method,dataset,dropout,avg test acc,avg test mcc,avg test ll,std error test ll,avg test rs,avg test ps,avg test std,avg test var,avg test ent,avg valid acc,avg valid mcc,avg valid ll,std error valid ll,avg valid rs,avg valid ps,avg valid std,avg valid var,avg valid ent,avg acc,avg mcc,avg std error ll,avg rs,avg ps,avg std,avg var,avg ent
Adv-ALSTM,stocknet,0.05,53.90860215053765,0.0894798245708822,7.4020187678067995,0.17445207980521504,0.4013626834381552,0.5709073715155945,0.17528972029685974,0.05701005086302757,0.191828266187463,53.18982387475538,0.056287192108391046,7.502903395604255,0.07493618179179122,0.48621597892888496,0.4768631433322673,0.17550316452980042,0.055987339466810226,0.1900301019758898,53.54921301264652,0.07288350833963662,0.12469413079850314,0.44378933118352004,0.5238852574239309,0.17539644241333008,0.0564986951649189,0.1909291840816764
Adv-ALSTM,stocknet,0.1,55.48924731182796,0.11587809446971087,7.143101724815634,0.04100800091112926,0.47819706498951786,0.5811784293491218,0.2543957829475403,0.09367845207452774,0.2979354590721916,53.51076320939334,0.07518255217985806,7.446896512839667,0.05797786330563268,0.5480245829675153,0.481693697981712,0.24619629979133606,0.08882705122232437,0.28532322780871233,54.50000526061065,0.09553032332478446,0.049492932108380974,0.5131108239785166,0.531436063665417,0.25029605627059937,0.09125275164842606,0.291629343440452
Adv-ALSTM,stocknet,0.25,55.994623655913976,0.1250064808740496,7.059793109272124,0.0797499009709358,0.5085953878406709,0.5828778016898427,0.2239447385072708,0.08555864542722702,0.2673654419052293,54.387475538160466,0.09365678436354971,7.306192371831256,0.04419063386553591,0.559964881474978,0.4903930345442854,0.21753911674022675,0.08376003056764603,0.26089816640447666,55.19104959703722,0.10933163261879966,0.06197026741823586,0.5342801346578245,0.5366354181170641,0.22074192762374878,0.08465933799743652,0.264131804154853
Adv-ALSTM,stocknet,0.5,57.16129032258065,0.14471069580092805,6.870057685247039,0.057501646950949614,0.550104821802935,0.5882327965548466,0.1669199913740158,0.06395004689693451,0.19945649381216143,54.504892367906066,0.10994739968725967,7.281187632191214,0.037331980219193095,0.6402107111501316,0.49224631555912846,0.17312660813331604,0.06735862046480179,0.20870020856408736,55.83309134524336,0.12732904774409387,0.047416813585071355,0.5951577664765333,0.5402395560569875,0.17002329230308533,0.06565433740615845,0.2040783511881244
Adv-ALSTM,stocknet,0.95,56.87096774193549,0.13870292750245644,6.914613261286938,0.07542200205187959,0.5692872117400418,0.582507840427548,0.0503942035138607,0.014125538058578968,0.05081325619919226,55.107632093933454,0.11731076865255256,7.186760812449603,0.036988477443457304,0.6189640035118524,0.49642264724607166,0.05227053537964821,0.0146399000659585,0.05276636355684096,55.989299917934474,0.1280068480775045,0.056205239747668445,0.5941256076259471,0.5394652438368098,0.051332369446754456,0.014382719062268734,0.05178980987801661
Adv-ALSTM,stocknet,0.9,57.55376344086021,0.14983963190950353,6.802112876016615,0.07658126308715489,0.609748427672956,0.5831389362849907,0.0734456405043602,0.023854464292526245,0.07976870701786495,54.75538160469669,0.11870986947942348,7.23979572306408,0.03887096509867681,0.6588235294117648,0.4942464775083927,0.0752079039812088,0.024560285732150078,0.08203282769205855,56.15457252277845,0.1342747506944635,0.05772611409291585,0.6342859785423605,0.5386927068966917,0.0743267685174942,0.024207375943660736,0.08090076735496175
Adv-ALSTM,stocknet,0.75,57.58602150537634,0.15332378732710608,6.8019958745728335,0.02362401861033564,0.5539832285115304,0.5928588650583692,0.11723224818706512,0.043177228420972824,0.13650986197356849,55.29549902152642,0.11797824008455911,7.157374268996515,0.05074490818396997,0.611764705882353,0.4987421448805075,0.12110162526369095,0.04535975307226181,0.14257506374260057,56.44076026345138,0.1356510137058326,0.037184463397152805,0.5828739671969416,0.5458005049694383,0.11916694045066833,0.04426848888397217,0.13954246285808453
Adv-ALSTM,kdd17,0.05,51.76804541768046,0.03413107420820902,7.73317311000554,0.03320177341394587,0.5278260869565218,0.5450695712471292,0.37412354350090027,0.1428057998418808,0.4558525230928312,51.739776951672866,0.03592920906303886,7.733140035428971,0.025079343409920497,0.5430523917995445,0.5066446735480724,0.37791064381599426,0.14580319821834564,0.46278598947833205,51.75391118467667,0.03503014163562394,0.029140558411933182,0.5354392393780332,0.5258571223976007,0.37601709365844727,0.14430449903011322,0.4593192562855816
Adv-ALSTM,kdd17,0.1,51.54366044876995,0.03002268762100947,7.769439447728587,0.0370004526205116,0.5225063938618926,0.5432992296502971,0.419803649187088,0.17860327661037445,0.5393377935965682,51.76456009913258,0.036448780324330216,7.729114981462824,0.02320723892781693,0.5439129334345735,0.5068796863397461,0.4222390651702881,0.18064166605472565,0.5438996505983149,51.65411027395126,0.033235733972669844,0.030103845774164265,0.5332096636482331,0.5250894579950216,0.42102134227752686,0.17962247133255005,0.5416187220974416
Adv-ALSTM,kdd17,0.25,52.368207623682075,0.04345572580033126,7.634766315991707,0.01746419712017366,0.5571867007672633,0.5488557425149836,0.44381484389305115,0.20025736093521118,0.5857289644641452,51.633209417596035,0.03507651703674359,7.747995656384566,0.010889557214185906,0.567856238926854,0.5054155042340558,0.44449979066848755,0.2008131444454193,0.5869894790522168,52.00070852063905,0.03926612141853743,0.014176877167179783,0.5625214698470586,0.5271356233745197,0.44415730237960815,0.20053525269031525,0.586359221758181
