method,dataset,test acc,test mcc,test ll,test rs,test ps,test avg std,test avg var,test avg entr,valid acc,valid mcc,valid ll,valid rs,valid ps,valid avg std,valid avg var,valid avg entr,dropout,run,iterations,run save path
Adv-ALSTM,stocknet,49.91935484,0.012773977,8.050838133,0.258909853,0.523860021,0.097649217,0.031556301,0.10623803,53.69863014,0.059202889,7.423836929,0.460052678,0.47985348,0.138373166,0.045573398,0.152398093,0.05,1,500,./experiment1/dropout/tmp/stocknet/Adv-ALSTM/0.05/1
Adv-ALSTM,stocknet,56.15591398,0.122695254,7.028619329,0.56918239,0.573087071,0.177242011,0.057001274,0.192752399,51.70254403,0.061137084,7.727274823,0.64881475,0.469802924,0.175098464,0.055022631,0.188020426,0.05,2,500,./experiment1/dropout/tmp/stocknet/Adv-ALSTM/0.05/2
Adv-ALSTM,stocknet,54.22043011,0.093982771,7.350785019,0.418238994,0.573687994,0.213708013,0.070337929,0.236134166,53.22896282,0.047723653,7.499950983,0.444249342,0.473782772,0.200245142,0.064291455,0.218085296,0.05,3,500,./experiment1/dropout/tmp/stocknet/Adv-ALSTM/0.05/3
Adv-ALSTM,stocknet,54.03225806,0.106664035,7.391222856,0.302410901,0.603556485,0.211028278,0.06935551,0.23233606,54.67710372,0.049559996,7.280773913,0.29499561,0.486251809,0.190211877,0.060426921,0.205086147,0.05,4,1000,./experiment1/dropout/tmp/stocknet/Adv-ALSTM/0.05/4
Adv-ALSTM,stocknet,55.21505376,0.111283086,7.188628502,0.458071279,0.580345286,0.176821053,0.056799211,0.191680675,52.64187867,0.063812339,7.58268033,0.582967515,0.474624732,0.173587188,0.054622319,0.186560548,0.05,5,1000,./experiment1/dropout/tmp/stocknet/Adv-ALSTM/0.05/5
Adv-ALSTM,stocknet,56.02150538,0.121366135,7.052408968,0.542976939,0.575555556,0.260111868,0.095134385,0.304122227,52.83757339,0.093150757,7.542610428,0.696224759,0.480024213,0.265129179,0.094569467,0.306248129,0.1,1,2000,./experiment1/dropout/tmp/stocknet/Adv-ALSTM/0.1/1
Adv-ALSTM,stocknet,56.15591398,0.128001005,7.035562735,0.492138365,0.586508432,0.267339706,0.100288115,0.316467263,53.97260274,0.065325778,7.379677764,0.46619842,0.483166515,0.253046364,0.092501774,0.295176589,0.1,2,2000,./experiment1/dropout/tmp/stocknet/Adv-ALSTM/0.1/2
Adv-ALSTM,stocknet,55.21505376,0.115078856,7.19174595,0.423480084,0.588064047,0.263712317,0.099016033,0.312501611,53.85518591,0.049617718,7.40437991,0.389815628,0.478448276,0.241577148,0.088213906,0.281740919,0.1,3,500,./experiment1/dropout/tmp/stocknet/Adv-ALSTM/0.1/3
Adv-ALSTM,stocknet,55.1344086,0.115075743,7.205878031,0.40932914,0.590325019,0.257213295,0.094542876,0.300689672,54.52054795,0.073375322,7.293216259,0.454784899,0.489140699,0.257847518,0.096129537,0.303927487,0.1,4,2000,./experiment1/dropout/tmp/stocknet/Adv-ALSTM/0.1/4
Adv-ALSTM,stocknet,54.91935484,0.099868733,7.22991294,0.523060797,0.565439093,0.223601922,0.079410858,0.255896523,52.36790607,0.094443186,7.614598203,0.73309921,0.477688787,0.213381365,0.072720543,0.239523015,0.1,5,1000,./experiment1/dropout/tmp/stocknet/Adv-ALSTM/0.1/5
