method,dataset,test acc,test mcc,test ll,test rs,test ps,test avg prob,valid acc,valid mcc,valid ll,valid rs,valid ps,valid avg prob,prob measure,dropout,run,prob confidence threshold,iterations,run save path,total test predictions,filtered test predictions,filtered test predictions sucessfully,filtered test predictions sucessful ratio,total valid predictions,filtered valid predictions,filtered valid predictions sucessfully,filtered valid predictions sucessful ratio
Adv-ALSTM,stocknet,100.0,0.0,1.1920930376163597e-07,0.0,0.0,0.1270902454853058,100.0,0.0,1.1920930376163597e-07,0.0,0.0,0.11229369044303894,std,0.05,1,1.0,200,./tmp/stocknet/Adv-ALSTM/0.05/200/1,3720,3720,1807,0.48575268817204303,2555,2555,1314,0.5142857142857142
Adv-ALSTM,stocknet,100.0,0.0,1.1920930376163597e-07,0.0,0.0,0.1270902454853058,100.0,0.0,1.1920930376163597e-07,0.0,0.0,0.11229369044303894,std,0.05,1,0.9,200,./tmp/stocknet/Adv-ALSTM/0.05/200/1,3720,3720,1807,0.48575268817204303,2555,2555,1314,0.5142857142857142
Adv-ALSTM,stocknet,100.0,0.0,1.1920930376163597e-07,0.0,0.0,0.1270902454853058,100.0,0.0,1.1920930376163597e-07,0.0,0.0,0.11229369044303894,std,0.05,1,0.8,200,./tmp/stocknet/Adv-ALSTM/0.05/200/1,3720,3720,1807,0.48575268817204303,2555,2555,1314,0.5142857142857142
Adv-ALSTM,stocknet,100.0,0.0,1.1920930376163597e-07,0.0,0.0,0.1270902454853058,100.0,0.0,1.1920930376163597e-07,0.0,0.0,0.11229369044303894,std,0.05,1,0.7,200,./tmp/stocknet/Adv-ALSTM/0.05/200/1,3720,3720,1807,0.48575268817204303,2555,2555,1314,0.5142857142857142
Adv-ALSTM,stocknet,100.0,0.0,1.1920930376163597e-07,0.0,0.0,0.1270902454853058,100.0,0.0,1.1920930376163597e-07,0.0,0.0,0.11229369044303894,std,0.05,1,0.6,200,./tmp/stocknet/Adv-ALSTM/0.05/200/1,3720,3720,1807,0.48575268817204303,2555,2555,1314,0.5142857142857142
Adv-ALSTM,stocknet,100.0,0.0,1.1920930376163597e-07,0.0,0.0,0.1270902454853058,100.0,0.0,1.1920930376163597e-07,0.0,0.0,0.11229369044303894,std,0.05,1,0.5,200,./tmp/stocknet/Adv-ALSTM/0.05/200/1,3720,3720,1807,0.48575268817204303,2555,2555,1314,0.5142857142857142
Adv-ALSTM,stocknet,95.02688172043011,0.6663555674169496,0.7928337619830338,1.0,0.46839080459770116,0.1270902454853058,95.06849315068493,0.5926290491047543,0.7861999077339831,1.0,0.37,0.11229369044303894,std,0.05,1,0.4,200,./tmp/stocknet/Adv-ALSTM/0.05/200/1,3720,3372,1622,0.48102016607354686,2555,2355,1188,0.5044585987261146
Adv-ALSTM,stocknet,88.41397849462366,0.6362007432627083,1.847088227509183,1.0,0.4645962732919255,0.1270902454853058,88.84540117416829,0.5875081089029995,1.7783091646817928,1.0,0.39232409381663114,0.11229369044303894,std,0.05,1,0.3,200,./tmp/stocknet/Adv-ALSTM/0.05/200/1,3720,2915,1376,0.472041166380789,2555,2086,1029,0.49328859060402686
Adv-ALSTM,stocknet,84.13978494623656,0.6308955504985478,2.528496601568767,1.0,0.48961937716262977,0.1270902454853058,84.93150684931507,0.5908506226236983,2.4022772508124905,1.0,0.42018072289156627,0.11229369044303894,std,0.05,1,0.2,200,./tmp/stocknet/Adv-ALSTM/0.05/200/1,3720,2564,1217,0.4746489859594384,2555,1891,929,0.49127445795875196
Adv-ALSTM,stocknet,80.86021505376344,0.6166592789370485,3.051338247073606,1.0,0.4978843441466855,0.1270902454853058,80.50880626223092,0.5652603976583064,3.1073611881401786,1.0,0.41273584905660377,0.11229369044303894,std,0.05,1,0.1,200,./tmp/stocknet/Adv-ALSTM/0.05/200/1,3720,2302,1095,0.47567332754126845,2555,1707,816,0.4780316344463972
