method,dataset,test acc,test mcc,test ll,test rs,test ps,test avg prob,valid acc,valid mcc,valid ll,valid rs,valid ps,valid avg prob,prob measure,dropout,run,prob confidence threshold,iterations,run save path,total test predictions,filtered test predictions,filtered test predictions sucessfully,filtered test predictions sucessful ratio,test success score,test failure score,test score,total valid predictions,filtered valid predictions,filtered valid predictions sucessfully,filtered valid predictions sucessful ratio,valid success score,valid failure score,valid score
Adv-ALSTM,stocknet,48.313090418353575,0.001545086419803759,8.319958594700163,0.1323024054982818,0.5255972696245734,0.0976492166519165,53.89221556886228,0.04857488658974768,7.403288431510246,0.34210526315789475,0.49056603773584906,0.13837316632270813,std,0.05,1,1.0,500,./experiment1/dropout/tmp/stocknet/Adv-ALSTM/0.05/1,2223,1497,714,0.47695390781563124,1788,1932,0.4806451612903226,1169,1386,644,0.46464646464646464,1274,1281,0.4986301369863014
Adv-ALSTM,stocknet,48.974854932301746,0.015078910821464358,8.212998068955242,0.1446587537091988,0.5401662049861495,0.0976492166519165,54.02219140083218,0.055285830315484966,7.381868176833939,0.3555219364599092,0.4978813559322034,0.13837316632270813,std,0.05,1,0.9,500,./experiment1/dropout/tmp/stocknet/Adv-ALSTM/0.05/1,2585,1135,544,0.479295154185022,1810,1910,0.48655913978494625,1442,1113,520,0.46720575022461813,1299,1256,0.5084148727984344
Adv-ALSTM,stocknet,50.24561403508771,0.03625494433715211,8.00712888048407,0.17142857142857143,0.5575221238938053,0.0976492166519165,54.14949970570924,0.06956766747945546,7.3601322056196175,0.39076154806491886,0.5182119205298014,0.13837316632270813,std,0.05,1,0.8,500,./experiment1/dropout/tmp/stocknet/Adv-ALSTM/0.05/1,2850,870,445,0.5114942528735632,1877,1843,0.5045698924731182,1699,856,404,0.4719626168224299,1324,1231,0.5181996086105675
Adv-ALSTM,stocknet,50.317460317460316,0.039846184601901244,7.993933910226072,0.19571865443425077,0.5614035087719298,0.0976492166519165,54.10821643286573,0.06437615222638658,7.36492612080011,0.4002169197396963,0.5040983606557377,0.13837316632270813,std,0.05,1,0.7,500,./experiment1/dropout/tmp/stocknet/Adv-ALSTM/0.05/1,3150,570,298,0.5228070175438596,1883,1837,0.5061827956989248,1996,559,267,0.4776386404293381,1347,1208,0.5272015655577299
Adv-ALSTM,stocknet,50.2031340684852,0.028388459869002108,8.009887716414557,0.21597300337457817,0.5439093484419264,0.0976492166519165,54.541465555068015,0.0695681422161812,7.293280256008993,0.4177215189873418,0.49480968858131485,0.13837316632270813,std,0.05,1,0.6,500,./experiment1/dropout/tmp/stocknet/Adv-ALSTM/0.05/1,3446,274,147,0.5364963503649635,1877,1843,0.5045698924731182,2279,276,147,0.532608695652174,1390,1165,0.5440313111545988
Adv-ALSTM,stocknet,49.91935483870968,0.012773976610369994,8.0508381326032,0.2589098532494759,0.5238600212089077,0.0976492166519165,53.6986301369863,0.0592028887669585,7.423836929224249,0.46005267778753295,0.47985347985347987,0.13837316632270813,std,0.05,1,0.5,500,./experiment1/dropout/tmp/stocknet/Adv-ALSTM/0.05/1,3720,0,0,0.0,1857,1863,0.4991935483870968,2555,0,0,0.0,1372,1183,0.536986301369863
Adv-ALSTM,stocknet,49.91935483870968,0.012773976610369994,8.0508381326032,0.2589098532494759,0.5238600212089077,0.0976492166519165,53.6986301369863,0.0592028887669585,7.423836929224249,0.46005267778753295,0.47985347985347987,0.13837316632270813,std,0.05,1,0.4,500,./experiment1/dropout/tmp/stocknet/Adv-ALSTM/0.05/1,3720,0,0,0.0,1857,1863,0.4991935483870968,2555,0,0,0.0,1372,1183,0.536986301369863
Adv-ALSTM,stocknet,49.91935483870968,0.012773976610369994,8.0508381326032,0.2589098532494759,0.5238600212089077,0.0976492166519165,53.6986301369863,0.0592028887669585,7.423836929224249,0.46005267778753295,0.47985347985347987,0.13837316632270813,std,0.05,1,0.3,500,./experiment1/dropout/tmp/stocknet/Adv-ALSTM/0.05/1,3720,0,0,0.0,1857,1863,0.4991935483870968,2555,0,0,0.0,1372,1183,0.536986301369863
Adv-ALSTM,stocknet,49.91935483870968,0.012773976610369994,8.0508381326032,0.2589098532494759,0.5238600212089077,0.0976492166519165,53.6986301369863,0.0592028887669585,7.423836929224249,0.46005267778753295,0.47985347985347987,0.13837316632270813,std,0.05,1,0.2,500,./experiment1/dropout/tmp/stocknet/Adv-ALSTM/0.05/1,3720,0,0,0.0,1857,1863,0.4991935483870968,2555,0,0,0.0,1372,1183,0.536986301369863
Adv-ALSTM,stocknet,49.91935483870968,0.012773976610369994,8.0508381326032,0.2589098532494759,0.5238600212089077,0.0976492166519165,53.6986301369863,0.0592028887669585,7.423836929224249,0.46005267778753295,0.47985347985347987,0.13837316632270813,std,0.05,1,0.1,500,./experiment1/dropout/tmp/stocknet/Adv-ALSTM/0.05/1,3720,0,0,0.0,1857,1863,0.4991935483870968,2555,0,0,0.0,1372,1183,0.536986301369863
Adv-ALSTM,stocknet,49.91935483870968,0.012773976610369994,8.0508381326032,0.2589098532494759,0.5238600212089077,0.0976492166519165,53.6986301369863,0.0592028887669585,7.423836929224249,0.46005267778753295,0.47985347985347987,0.13837316632270813,std,0.05,1,0.0,500,./experiment1/dropout/tmp/stocknet/Adv-ALSTM/0.05/1,3720,0,0,0.0,1857,1863,0.4991935483870968,2555,0,0,0.0,1372,1183,0.536986301369863
Adv-ALSTM,stocknet,48.313090418353575,0.001545086419803759,8.319958594700163,0.1323024054982818,0.5255972696245734,0.031556300818920135,53.89221556886228,0.04857488658974768,7.403288431510246,0.34210526315789475,0.49056603773584906,0.0455733984708786,var,0.05,1,1.0,500,./experiment1/dropout/tmp/stocknet/Adv-ALSTM/0.05/1,2223,1497,714,0.47695390781563124,1788,1932,0.4806451612903226,1169,1386,644,0.46464646464646464,1274,1281,0.4986301369863014
Adv-ALSTM,stocknet,50.15586034912718,0.03440858269687173,8.019466058014343,0.19771634615384615,0.554806070826307,0.031556300818920135,54.28849902534113,0.06659987399409616,7.335541272140161,0.4038257173219979,0.5019815059445178,0.0455733984708786,var,0.05,1,0.9,500,./experiment1/dropout/tmp/stocknet/Adv-ALSTM/0.05/1,3208,512,264,0.515625,1873,1847,0.503494623655914,2052,503,245,0.4870775347912525,1359,1196,0.5318982387475538
Adv-ALSTM,stocknet,50.11117287381879,0.020468937372404947,8.02222941129191,0.23850730124391564,0.532608695652174,0.031556300818920135,54.195948739148406,0.06493741687500562,7.34678506471738,0.43502304147465437,0.48810754912099275,0.0455733984708786,var,0.05,1,0.8,500,./experiment1/dropout/tmp/stocknet/Adv-ALSTM/0.05/1,3598,122,68,0.5573770491803278,1871,1849,0.5029569892473118,2419,136,75,0.5514705882352942,1386,1169,0.5424657534246575
Adv-ALSTM,stocknet,49.91935483870968,0.012773976610369994,8.0508381326032,0.2589098532494759,0.5238600212089077,0.031556300818920135,53.6986301369863,0.0592028887669585,7.423836929224249,0.46005267778753295,0.47985347985347987,0.0455733984708786,var,0.05,1,0.7,500,./experiment1/dropout/tmp/stocknet/Adv-ALSTM/0.05/1,3720,0,0,0.0,1857,1863,0.4991935483870968,2555,0,0,0.0,1372,1183,0.536986301369863
Adv-ALSTM,stocknet,49.91935483870968,0.012773976610369994,8.0508381326032,0.2589098532494759,0.5238600212089077,0.031556300818920135,53.6986301369863,0.0592028887669585,7.423836929224249,0.46005267778753295,0.47985347985347987,0.0455733984708786,var,0.05,1,0.6,500,./experiment1/dropout/tmp/stocknet/Adv-ALSTM/0.05/1,3720,0,0,0.0,1857,1863,0.4991935483870968,2555,0,0,0.0,1372,1183,0.536986301369863
Adv-ALSTM,stocknet,49.91935483870968,0.012773976610369994,8.0508381326032,0.2589098532494759,0.5238600212089077,0.031556300818920135,53.6986301369863,0.0592028887669585,7.423836929224249,0.46005267778753295,0.47985347985347987,0.0455733984708786,var,0.05,1,0.5,500,./experiment1/dropout/tmp/stocknet/Adv-ALSTM/0.05/1,3720,0,0,0.0,1857,1863,0.4991935483870968,2555,0,0,0.0,1372,1183,0.536986301369863
Adv-ALSTM,stocknet,49.91935483870968,0.012773976610369994,8.0508381326032,0.2589098532494759,0.5238600212089077,0.031556300818920135,53.6986301369863,0.0592028887669585,7.423836929224249,0.46005267778753295,0.47985347985347987,0.0455733984708786,var,0.05,1,0.4,500,./experiment1/dropout/tmp/stocknet/Adv-ALSTM/0.05/1,3720,0,0,0.0,1857,1863,0.4991935483870968,2555,0,0,0.0,1372,1183,0.536986301369863
Adv-ALSTM,stocknet,49.91935483870968,0.012773976610369994,8.0508381326032,0.2589098532494759,0.5238600212089077,0.031556300818920135,53.6986301369863,0.0592028887669585,7.423836929224249,0.46005267778753295,0.47985347985347987,0.0455733984708786,var,0.05,1,0.3,500,./experiment1/dropout/tmp/stocknet/Adv-ALSTM/0.05/1,3720,0,0,0.0,1857,1863,0.4991935483870968,2555,0,0,0.0,1372,1183,0.536986301369863
Adv-ALSTM,stocknet,49.91935483870968,0.012773976610369994,8.0508381326032,0.2589098532494759,0.5238600212089077,0.031556300818920135,53.6986301369863,0.0592028887669585,7.423836929224249,0.46005267778753295,0.47985347985347987,0.0455733984708786,var,0.05,1,0.2,500,./experiment1/dropout/tmp/stocknet/Adv-ALSTM/0.05/1,3720,0,0,0.0,1857,1863,0.4991935483870968,2555,0,0,0.0,1372,1183,0.536986301369863
Adv-ALSTM,stocknet,49.91935483870968,0.012773976610369994,8.0508381326032,0.2589098532494759,0.5238600212089077,0.031556300818920135,53.6986301369863,0.0592028887669585,7.423836929224249,0.46005267778753295,0.47985347985347987,0.0455733984708786,var,0.05,1,0.1,500,./experiment1/dropout/tmp/stocknet/Adv-ALSTM/0.05/1,3720,0,0,0.0,1857,1863,0.4991935483870968,2555,0,0,0.0,1372,1183,0.536986301369863
Adv-ALSTM,stocknet,49.91935483870968,0.012773976610369994,8.0508381326032,0.2589098532494759,0.5238600212089077,0.031556300818920135,53.6986301369863,0.0592028887669585,7.423836929224249,0.46005267778753295,0.47985347985347987,0.0455733984708786,var,0.05,1,0.0,500,./experiment1/dropout/tmp/stocknet/Adv-ALSTM/0.05/1,3720,0,0,0.0,1857,1863,0.4991935483870968,2555,0,0,0.0,1372,1183,0.536986301369863
Adv-ALSTM,stocknet,48.313090418353575,0.001545086419803759,8.319958594700163,0.1323024054982818,0.5255972696245734,0.1062380303219487,53.89221556886228,0.04857488658974768,7.403288431510246,0.34210526315789475,0.49056603773584906,0.1523980933501556,entr,0.05,1,1.0,500,./experiment1/dropout/tmp/stocknet/Adv-ALSTM/0.05/1,2223,1497,714,0.47695390781563124,1788,1932,0.4806451612903226,1169,1386,644,0.46464646464646464,1274,1281,0.4986301369863014
Adv-ALSTM,stocknet,49.64879852125693,0.027626078580380242,8.103897397178827,0.15883190883190884,0.551980198019802,0.1062380303219487,54.163976759199485,0.0648761182057485,7.35851437503712,0.37447988904299584,0.5103969754253308,0.1523980933501556,entr,0.05,1,0.9,500,./experiment1/dropout/tmp/stocknet/Adv-ALSTM/0.05/1,2705,1015,501,0.4935960591133005,1844,1876,0.4956989247311828,1549,1006,473,0.4701789264413519,1312,1243,0.5135029354207437
Adv-ALSTM,stocknet,50.31077348066299,0.038618591327598074,7.99633688891297,0.17713903743315507,0.5602536997885835,0.1062380303219487,54.012521343198635,0.06616147424182545,7.381703885699384,0.3922518159806295,0.5142857142857142,0.1523980933501556,entr,0.05,1,0.8,500,./experiment1/dropout/tmp/stocknet/Adv-ALSTM/0.05/1,2896,824,424,0.5145631067961165,1881,1839,0.5056451612903226,1757,798,375,0.4699248120300752,1324,1231,0.5181996086105675
Adv-ALSTM,stocknet,50.37132709073296,0.041010332703847345,7.9855235838528325,0.1930261519302615,0.5626134301270418,0.1062380303219487,54.10005157297576,0.06513633933080526,7.366390191445105,0.40044493882091214,0.5063291139240507,0.1523980933501556,entr,0.05,1,0.7,500,./experiment1/dropout/tmp/stocknet/Adv-ALSTM/0.05/1,3097,623,326,0.5232744783306581,1886,1834,0.5069892473118279,1939,616,293,0.47564935064935066,1342,1213,0.5252446183953033
