method,dataset,dropout,avg total val predicted return,avg total tes predicted return,avg val predicted return,avg tes predicted return,avg val sharpe ratio,avg tes sharpe ratio,prob,prob measure
Adv-ALSTM,stocknet,0.5,0.0,0.0,0.0,0.0,,,1.0,std
Adv-ALSTM,stocknet,0.5,0.0,0.0,0.0,0.0,,,0.9,std
Adv-ALSTM,stocknet,0.5,0.0,0.0,0.0,0.0,,,0.8,std
Adv-ALSTM,stocknet,0.5,0.0,0.0,0.0,0.0,,,0.7,std
Adv-ALSTM,stocknet,0.5,0.0,0.0,0.0,0.0,,,0.6,std
Adv-ALSTM,stocknet,0.5,0.0,0.0,0.0,0.0,,,0.5,std
Adv-ALSTM,stocknet,0.5,-0.5759786963992539,2.0711464741762207,-0.0002254319751073401,0.0005567598048860808,-0.019338872771102748,0.06430939414961064,0.4,std
Adv-ALSTM,stocknet,0.5,-1.3793978998125471,3.2123950124171587,-0.0005398817611790792,0.0008635470463486986,-0.03996358987637928,0.07850278481088543,0.3,std
Adv-ALSTM,stocknet,0.5,-2.0636981559053593,3.942877668724895,-0.000807709650060806,0.0010599133518077676,-0.053642138184539646,0.08556893032822271,0.2,std
Adv-ALSTM,stocknet,0.5,-2.4492196877856927,4.895374047474567,-0.000958598703634322,0.0013159607654501524,-0.05920432510667786,0.09669314484105392,0.1,std
Adv-ALSTM,stocknet,0.5,-2.6041464352451427,5.6461443122156805,-0.001019235395399273,0.0015177807290902368,-0.060320544004838654,0.10598900173200777,0.0,std
Adv-ALSTM,stocknet,0.5,0.0,0.0,0.0,0.0,,,1.0,var
Adv-ALSTM,stocknet,0.5,0.0,0.0,0.0,0.0,,,0.9,var
Adv-ALSTM,stocknet,0.5,0.0,0.0,0.0,0.0,,,0.8,var
Adv-ALSTM,stocknet,0.5,0.0,0.0,0.0,0.0,,,0.7,var
Adv-ALSTM,stocknet,0.5,0.0,0.0,0.0,0.0,,,0.6,var
Adv-ALSTM,stocknet,0.5,0.0,0.0,0.0,0.0,,,0.5,var
Adv-ALSTM,stocknet,0.5,0.0,0.0,0.0,0.0,,,0.4,var
Adv-ALSTM,stocknet,0.5,0.0,0.0,0.0,0.0,,,0.3,var
Adv-ALSTM,stocknet,0.5,-0.8827311441781419,1.2541081228131985,-0.0003454916415570027,0.0003371258394659136,-0.03422958471020198,0.0465170302095189,0.2,var
Adv-ALSTM,stocknet,0.5,-1.0611442562322067,2.803467348735864,-0.0004153206482317834,0.0007536202550365226,-0.03150602546450474,0.07044933139241853,0.1,var
Adv-ALSTM,stocknet,0.5,-2.6041464352451427,5.6461443122156805,-0.001019235395399273,0.0015177807290902368,-0.060320544004838654,0.10598900173200777,0.0,var
Adv-ALSTM,stocknet,0.5,0.0,0.0,0.0,0.0,,,1.0,entr
Adv-ALSTM,stocknet,0.5,0.0,0.0,0.0,0.0,,,0.9,entr
Adv-ALSTM,stocknet,0.5,0.0,0.0,0.0,0.0,,,0.8,entr
Adv-ALSTM,stocknet,0.5,0.0,0.0,0.0,0.0,,,0.7,entr
Adv-ALSTM,stocknet,0.5,-0.8406829742926539,1.1769470634043402,-0.00032903443220847514,0.0003163836191947151,-0.03293783503848521,0.04460493706475302,0.6,entr
Adv-ALSTM,stocknet,0.5,-0.5759786963992539,2.0711464741762207,-0.0002254319751073401,0.0005567598048860808,-0.019338872771102748,0.06430939414961064,0.5,entr
Adv-ALSTM,stocknet,0.5,-0.878684672626109,2.378037457669493,-0.0003439078953526846,0.0006392573810939498,-0.026753454600576577,0.06357080159374609,0.4,entr
Adv-ALSTM,stocknet,0.5,-1.4843867573038105,3.1718293565412083,-0.0005809732905298671,0.0008526423001454861,-0.0417150042137758,0.07642485536884712,0.3,entr
