method,dataset,dropout,total val trading days skipped,total val trading days successful,total val trading days successfuly skipped,ratio of val trading days successfully skipped over total,total val trading days,total val log return,avg val log return,val sharpe ratio,val acc,val mcc,total tes trading days skipped,total tes trading days successful,total tes trading days successfuly skipped,ratio of tes trading days successfully skipped over total,total tes trading days,total tes log return,avg tes log return,tes sharpe ratio,tes acc,tes mcc,run,prob,prob measure,val acc filtered,val mcc filtered,tes acc filtered,tes mcc filtered,val gt acc,tes gt acc
Adv-ALSTM,stocknet,0.5,2555,0,1227,0.4802348336594912,2555,0.0,0.0,,51.97651663405088,0.05099313521856975,3720,0,1587,0.4266129032258065,3720,0.0,0.0,,57.33870967741935,0.1450124158065286,5,1.0,std,100.0,0.0,100.0,0.0,100.0,100.0
Adv-ALSTM,stocknet,0.5,2555,0,1227,0.4802348336594912,2555,0.0,0.0,,51.97651663405088,0.05099313521856975,3720,0,1587,0.4266129032258065,3720,0.0,0.0,,57.33870967741935,0.1450124158065286,5,0.9,std,100.0,0.0,100.0,0.0,100.0,100.0
Adv-ALSTM,stocknet,0.5,2555,0,1227,0.4802348336594912,2555,0.0,0.0,,51.97651663405088,0.05099313521856975,3720,0,1587,0.4266129032258065,3720,0.0,0.0,,57.33870967741935,0.1450124158065286,5,0.8,std,100.0,0.0,100.0,0.0,100.0,100.0
Adv-ALSTM,stocknet,0.5,2555,0,1227,0.4802348336594912,2555,0.0,0.0,,51.97651663405088,0.05099313521856975,3720,0,1587,0.4266129032258065,3720,0.0,0.0,,57.33870967741935,0.1450124158065286,5,0.7,std,100.0,0.0,100.0,0.0,100.0,100.0
Adv-ALSTM,stocknet,0.5,2555,0,1227,0.4802348336594912,2555,0.0,0.0,,51.97651663405088,0.05099313521856975,3720,0,1587,0.4266129032258065,3720,0.0,0.0,,57.33870967741935,0.1450124158065286,5,0.6,std,100.0,0.0,100.0,0.0,100.0,100.0
Adv-ALSTM,stocknet,0.5,2555,0,1227,0.4802348336594912,2555,0.0,0.0,,51.97651663405088,0.05099313521856975,3720,0,1587,0.4266129032258065,3720,0.0,0.0,,57.33870967741935,0.1450124158065286,5,0.5,std,100.0,0.0,100.0,0.0,100.0,100.0
Adv-ALSTM,stocknet,0.5,2098,214,984,0.4690181124880839,2555,-0.5759786963992539,-0.0002254319751073401,-0.019338872771102748,51.97651663405088,0.05099313521856975,2983,405,1255,0.42071739859202145,3720,2.0711464741762207,0.0005567598048860808,0.06430939414961064,57.33870967741935,0.1450124158065286,5,0.4,std,90.48923679060665,0.647814734405384,91.0752688172043,0.7031996209873718,100.0,100.0
Adv-ALSTM,stocknet,0.5,1892,304,868,0.4587737843551797,2555,-1.3793978998125471,-0.0005398817611790792,-0.03996358987637928,51.97651663405088,0.05099313521856975,2573,644,1084,0.4212980956082394,3720,3.2123950124171587,0.0008635470463486986,0.07850278481088543,57.33870967741935,0.1450124158065286,5,0.3,std,85.94911937377691,0.6208016265452205,86.4784946236559,0.685311393691005,100.0,100.0
Adv-ALSTM,stocknet,0.5,1693,393,758,0.4477259303012404,2555,-2.0636981559053593,-0.000807709650060806,-0.053642138184539646,51.97651663405088,0.05099313521856975,2253,816,936,0.41544607190412786,3720,3.942877668724895,0.0010599133518077676,0.08556893032822271,57.33870967741935,0.1450124158065286,5,0.2,std,81.64383561643835,0.5975073837990056,82.5,0.6569197399695149,100.0,100.0
Adv-ALSTM,stocknet,0.5,1511,482,665,0.4401058901389808,2555,-2.4492196877856927,-0.000958598703634322,-0.05920432510667786,51.97651663405088,0.05099313521856975,1925,998,790,0.4103896103896104,3720,4.895374047474567,0.0013159607654501524,0.09669314484105392,57.33870967741935,0.1450124158065286,5,0.1,std,78.00391389432485,0.5801039877560414,78.5752688172043,0.6270531453921815,100.0,100.0
