method,dataset,dropout,prob,prob measure,run,ticker filename,total log return,avg log return,sharpe ratio,best benchmark log return,best benchmark sharpe ratio,total trading days skipped,total trading days successful,total trading days,total trading days correctly skipped,std log return before action
Adv-ALSTM,stocknet,0.5,1.0,std,5,TOT.csv,0.0,0.0,,0.2307287432575792,0.2931544175208536,43,0,43,17,0.019075518674643403
Adv-ALSTM,stocknet,0.5,1.0,std,5,DUK.csv,0.0,0.0,,0.05046336033902657,0.07744473790933115,38,0,38,14,0.017197584408740498
Adv-ALSTM,stocknet,0.5,1.0,std,5,HRG.csv,0.0,0.0,,0.20757505986569755,0.2773020256602778,47,0,47,27,0.016309634623036043
Adv-ALSTM,stocknet,0.5,1.0,std,5,ABBV.csv,0.0,0.0,,0.2594279063172988,0.16824070704939445,55,0,55,26,0.02838660042491638
Adv-ALSTM,stocknet,0.5,1.0,std,5,CVX.csv,0.0,0.0,,0.15824883384124155,0.13159049203194625,57,0,57,27,0.02109155423133215
Adv-ALSTM,stocknet,0.5,1.0,std,5,JPM.csv,0.0,0.0,,0.11399240230085413,0.16658055686981274,38,0,38,16,0.018097874020330678
Adv-ALSTM,stocknet,0.5,1.0,std,5,VZ.csv,0.0,0.0,,0.09315871642051957,0.1807403852724923,43,0,43,20,0.012109220447551286
Adv-ALSTM,stocknet,0.5,1.0,std,5,BUD.csv,0.0,0.0,,-0.08304377519897878,-0.1396973916323877,42,0,42,20,0.013606395453754869
Adv-ALSTM,stocknet,0.5,1.0,std,5,CMCSA.csv,0.0,0.0,,0.13443611841780584,0.22805907969382724,39,0,39,14,0.015511951974427552
Adv-ALSTM,stocknet,0.5,1.0,std,5,SRE.csv,0.0,0.0,,0.08337022662835993,0.12931018366947136,41,0,41,17,0.015856483865778148
Adv-ALSTM,stocknet,0.5,1.0,std,5,PEP.csv,0.0,0.0,,-0.08178424640453713,-0.1888038930124438,35,0,35,16,0.01236337487930957
Adv-ALSTM,stocknet,0.5,1.0,std,5,BAC.csv,0.0,0.0,,0.16443346056285602,0.18449898158109626,46,0,46,20,0.019616196448535513
Adv-ALSTM,stocknet,0.5,1.0,std,5,GOOG.csv,0.0,0.0,,0.25392474727188624,0.32645438491240003,44,0,44,18,0.017938403660825462
Adv-ALSTM,stocknet,0.5,1.0,std,5,TM.csv,0.0,0.0,,0.0875028890755187,0.15125566278219935,44,0,44,21,0.013223412278750471
Adv-ALSTM,stocknet,0.5,1.0,std,5,MA.csv,0.0,0.0,,0.21197149357237474,0.3643401780046289,40,0,40,14,0.01541652596864317
Adv-ALSTM,stocknet,0.5,1.0,std,5,NEE.csv,0.0,0.0,,0.2133692426209492,0.38692437415489067,38,0,38,16,0.015529974336984153
Adv-ALSTM,stocknet,0.5,1.0,std,5,AEP.csv,0.0,0.0,,0.23630236251930464,0.4078109290075236,39,0,39,17,0.01606243487402411
Adv-ALSTM,stocknet,0.5,1.0,std,5,GE.csv,0.0,0.0,,-0.14292535394131772,-0.2477958827796741,37,0,37,17,0.01503379001454672
Adv-ALSTM,stocknet,0.5,1.0,std,5,UPS.csv,0.0,0.0,,0.07156231442672459,0.1493162492646772,38,0,38,16,0.01273708499007513
Adv-ALSTM,stocknet,0.5,1.0,std,5,HD.csv,0.0,0.0,,0.02105948956802187,0.03828193984222479,37,0,37,16,0.014390367323790652
Adv-ALSTM,stocknet,0.5,1.0,std,5,MMM.csv,0.0,0.0,,0.14544048268921314,0.2316856058985011,38,0,38,12,0.01686732653759887
Adv-ALSTM,stocknet,0.5,1.0,std,5,SO.csv,0.0,0.0,,0.16786329957320972,0.3455551714825698,36,0,36,15,0.014223797372112284
