method,dataset,dropout,avg total val predicted return,avg total tes predicted return,avg val predicted return,avg tes predicted return,avg val sharpe ratio,avg tes sharpe ratio,prob,prob measure
Adv-ALSTM,stocknet,0.5,2.2379704789660075,7.717451778754722,0.0008759179956814119,0.0020745838114932047,0.0381143517354,0.10604589514023316,1.0,std
Adv-ALSTM,stocknet,0.5,2.2379704789660075,7.717451778754722,0.0008759179956814119,0.0020745838114932047,0.0381143517354,0.10604589514023316,0.9,std
Adv-ALSTM,stocknet,0.5,2.2379704789660075,7.717451778754722,0.0008759179956814119,0.0020745838114932047,0.0381143517354,0.10604589514023316,0.8,std
Adv-ALSTM,stocknet,0.5,2.2379704789660075,7.717451778754722,0.0008759179956814119,0.0020745838114932047,0.0381143517354,0.10604589514023316,0.7,std
Adv-ALSTM,stocknet,0.5,2.2379704789660075,7.717451778754722,0.0008759179956814119,0.0020745838114932047,0.0381143517354,0.10604589514023316,0.6,std
Adv-ALSTM,stocknet,0.5,2.3121282962279035,7.715981896453053,0.0009049425816938957,0.002074188681842219,0.039402984231788556,0.10613134792669442,0.5,std
Adv-ALSTM,stocknet,0.5,4.989476603094063,5.146400080665215,0.0019528284160837822,0.0013834408818992512,0.09705060950255294,0.07932419810369899,0.4,std
Adv-ALSTM,stocknet,0.5,5.287044379615946,3.8883085971679607,0.002069293299262601,0.001045244246550527,0.10837989539831705,0.06528653276124072,0.3,std
Adv-ALSTM,stocknet,0.5,5.2196386513387205,3.2395639748448035,0.002042911409525918,0.000870850530872259,0.11857635921711772,0.05814685992472827,0.2,std
Adv-ALSTM,stocknet,0.5,5.449054914176491,2.491126307917887,0.002132702510440897,0.000669657609655346,0.1328949378225742,0.048129779943755155,0.1,std
Adv-ALSTM,stocknet,0.5,0.0,0.0,0.0,0.0,,,0.0,std
Adv-ALSTM,stocknet,0.5,2.2379704789660075,7.717451778754722,0.0008759179956814119,0.0020745838114932047,0.0381143517354,0.10604589514023316,1.0,var
Adv-ALSTM,stocknet,0.5,2.2379704789660075,7.717451778754722,0.0008759179956814119,0.0020745838114932047,0.0381143517354,0.10604589514023316,0.9,var
Adv-ALSTM,stocknet,0.5,2.2379704789660075,7.717451778754722,0.0008759179956814119,0.0020745838114932047,0.0381143517354,0.10604589514023316,0.8,var
Adv-ALSTM,stocknet,0.5,2.2379704789660075,7.717451778754722,0.0008759179956814119,0.0020745838114932047,0.0381143517354,0.10604589514023316,0.7,var
Adv-ALSTM,stocknet,0.5,2.2379704789660075,7.717451778754722,0.0008759179956814119,0.0020745838114932047,0.0381143517354,0.10604589514023316,0.6,var
Adv-ALSTM,stocknet,0.5,2.2379704789660075,7.717451778754722,0.0008759179956814119,0.0020745838114932047,0.0381143517354,0.10604589514023316,0.5,var
Adv-ALSTM,stocknet,0.5,2.2379704789660075,7.717451778754722,0.0008759179956814119,0.0020745838114932047,0.0381143517354,0.10604589514023316,0.4,var
Adv-ALSTM,stocknet,0.5,2.2379704789660075,7.717451778754722,0.0008759179956814119,0.0020745838114932047,0.0381143517354,0.10604589514023316,0.3,var
Adv-ALSTM,stocknet,0.5,4.88856107763416,5.867037556373067,0.0019133311458450722,0.00157716063343362,0.09192810712099525,0.08725080580183261,0.2,var
Adv-ALSTM,stocknet,0.5,5.480809599071799,4.088358717076193,0.0021451309585408217,0.0010990211605043528,0.11136458282831171,0.06766754714784648,0.1,var
Adv-ALSTM,stocknet,0.5,0.0,0.0,0.0,0.0,,,0.0,var
Adv-ALSTM,stocknet,0.5,2.2379704789660075,7.717451778754722,0.0008759179956814119,0.0020745838114932047,0.0381143517354,0.10604589514023316,1.0,entr
Adv-ALSTM,stocknet,0.5,2.2379704789660075,7.717451778754722,0.0008759179956814119,0.0020745838114932047,0.0381143517354,0.10604589514023316,0.9,entr
Adv-ALSTM,stocknet,0.5,2.2379704789660075,7.717451778754722,0.0008759179956814119,0.0020745838114932047,0.0381143517354,0.10604589514023316,0.8,entr
Adv-ALSTM,stocknet,0.5,2.2379704789660075,7.717451778754722,0.0008759179956814119,0.0020745838114932047,0.0381143517354,0.10604589514023316,0.7,entr
Adv-ALSTM,stocknet,0.5,4.834547049053201,5.891334983391369,0.001892190625852525,0.0015836921998363894,0.09062900622882111,0.08717905248174171,0.6,entr
Adv-ALSTM,stocknet,0.5,4.989476603094063,5.146400080665215,0.0019528284160837822,0.0013834408818992512,0.09705060950255294,0.07932419810369899,0.5,entr
Adv-ALSTM,stocknet,0.5,5.2913048236184625,4.216500433748975,0.0020709607920228815,0.0011334678585346709,0.10625302386990204,0.06781423560144148,0.4,entr
Adv-ALSTM,stocknet,0.5,5.3825487618325045,3.857558827537871,0.0021066727052182015,0.0010369781794456643,0.11236431772008142,0.06531539096215627,0.3,entr
Adv-ALSTM,stocknet,0.5,5.463363985516876,3.345486373295075,0.0021383029297522022,0.0008993242938965256,0.12185440372048142,0.05932667144279994,0.2,entr
Adv-ALSTM,stocknet,0.5,5.270638881840264,2.890753487916625,0.0020628723607985376,0.0007770842709453293,0.12538638632724736,0.053996813017589955,0.1,entr
Adv-ALSTM,stocknet,0.5,0.0,0.0,0.0,0.0,,,0.0,entr
Adv-ALSTM,kdd17,0.5,-0.17864944293424867,8.148185956236492,-2.2137477439188186e-05,0.0011014038870284526,-0.0011296741799367554,0.05529396055773216,1.0,std
