ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,log_return,matches_gt_day
42,AAPL.csv,2016-01-05,-2.505932,0.0,100.474523,,4,Adv-ALSTM,kdd17,0.5,entr,0.6918966592050799,0,1.0,1,0,-0.01976370913273175,1
68,AAPL.csv,2016-01-06,-1.956969,0.0,98.508268,42.0,4,Adv-ALSTM,kdd17,0.5,entr,0.40496348506393853,0,1.0,1,0,-0.043121061456861,1
109,AAPL.csv,2016-01-07,-4.220457,0.0,94.350769,68.0,4,Adv-ALSTM,kdd17,0.5,entr,0.056001534354847345,0,1.0,1,0,0.021336353080490564,0
193,AAPL.csv,2016-01-11,1.619224,0.0,96.3855,109.0,4,Adv-ALSTM,kdd17,0.5,entr,0.4637264398194103,0,1.0,1,0,0.01440903431213984,0
221,AAPL.csv,2016-01-12,1.451334,0.0,97.784376,193.0,4,Adv-ALSTM,kdd17,0.5,entr,0.30253782309749805,0,1.0,1,0,-0.02604656906118599,1
255,AAPL.csv,2016-01-13,-2.571028,0.0,95.270312,221.0,4,Adv-ALSTM,kdd17,0.5,entr,0.6687480868518094,0,1.0,1,0,0.021635065622787743,0
301,AAPL.csv,2016-01-14,2.18708,0.0,97.35395,255.0,4,Adv-ALSTM,kdd17,0.5,entr,0.056001534354847345,0,1.0,1,0,-0.02430833402797511,1
348,AAPL.csv,2016-01-15,-2.401527,0.0,95.015969,301.0,4,Adv-ALSTM,kdd17,0.5,entr,0.6918966592050799,0,1.0,1,0,-0.008581904074908865,1
473,AAPL.csv,2016-01-21,-0.506248,0.0,94.20404,348.0,4,Adv-ALSTM,kdd17,0.5,entr,0.6709321847375349,0,1.0,1,0,0.051801944138492144,0
511,AAPL.csv,2016-01-22,5.316714,0.0,99.212599,473.0,4,Adv-ALSTM,kdd17,0.5,entr,0.5392763414970504,0,1.0,1,0,-0.019715828176533633,1
559,AAPL.csv,2016-01-25,-1.952274,0.0,97.275697,511.0,4,Adv-ALSTM,kdd17,0.5,entr,0.5139566706172256,0,1.0,1,0,0.005515689849071375,0
597,AAPL.csv,2016-01-26,0.553093,0.0,97.813722,559.0,4,Adv-ALSTM,kdd17,0.5,entr,0.6930971797265786,0,1.0,1,0,-0.06796472333329429,1
638,AAPL.csv,2016-01-27,-6.570657,0.0,91.386718,597.0,4,Adv-ALSTM,kdd17,0.5,entr,0.6913460990017393,0,1.0,1,0,0.007146299856002266,0
670,AAPL.csv,2016-01-28,0.71719,0.0,92.042134,638.0,4,Adv-ALSTM,kdd17,0.5,entr,0.37677016125643675,0,1.0,1,0,0.03395823497826169,0
710,AAPL.csv,2016-01-29,3.45414,0.0,95.221398,670.0,4,Adv-ALSTM,kdd17,0.5,entr,0.6230429935424382,0,1.0,1,0,-0.009392606762148998,1
760,AAPL.csv,2016-02-01,-0.934863,0.0,94.331208,710.0,4,Adv-ALSTM,kdd17,0.5,entr,0.29081440245335816,0,1.0,1,0,-0.02042915876813607,1
797,AAPL.csv,2016-02-02,-2.02219,0.0,92.423652,760.0,4,Adv-ALSTM,kdd17,0.5,entr,0.44786878553807696,0,1.0,1,0,0.01959917382594746,0
