ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
10,EXC.csv,2016-01-04,0.720197,1.0,26.932897,26.740314,0.19258299999999906,0.7201972273025629,0.007176161920254761,,2,Adv-ALSTM,kdd17,0.1,entr,0.40496348506393853,0.1,0.0,-1,-1,1,-0.007176161920254761,-0.007176161920254761,-0.19258299999999906,-0.19258299999999906
52,EXC.csv,2016-01-05,0.679303,1.0,27.115853,26.932897,0.18295600000000078,0.6793030842541773,0.006770062167801077,10.0,2,Adv-ALSTM,kdd17,0.1,entr,0.45904333713922807,0.1,0.0,-1,-1,1,-0.006770062167801077,-0.006770062167801077,-0.18295600000000078,-0.18295600000000078
121,EXC.csv,2016-01-07,-1.241578,0.0,26.807718,27.144741,-0.3370229999999985,-1.241577512196556,-0.012493494828200924,52.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6268694575724263,0.1,1.0,1,0,1,-0.0,-0.012493494828200924,-0.0,-0.3370229999999985
201,EXC.csv,2016-01-11,0.862689,1.0,27.01956,26.788459,0.2311009999999989,0.8626886675340262,0.008589887726700378,121.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5004024235381879,0.1,0.0,-1,-1,1,-0.008589887726700378,-0.008589887726700378,-0.2311009999999989,-0.2311009999999989
267,EXC.csv,2016-01-13,-1.431638,0.0,26.518843,26.904011,-0.3851680000000002,-1.4316378327380261,-0.014419846384044392,201.0,2,Adv-ALSTM,kdd17,0.1,entr,0.3863867062886037,0.1,0.0,-1,-1,1,0.014419846384044392,0.014419846384044392,0.3851680000000002,0.3851680000000002
314,EXC.csv,2016-01-14,1.343494,1.0,26.875122,26.518843,0.3562790000000007,1.3434937564960912,0.013345489057430548,267.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5871968670690039,0.1,1.0,1,1,1,0.013345489057430548,0.013345489057430548,0.3562790000000007,0.3562790000000007
361,EXC.csv,2016-01-15,-1.612328,0.0,26.441807,26.875122,-0.43331500000000034,-1.6123275645037083,-0.016254669905164488,314.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5645217214043494,0.1,0.0,-1,-1,1,0.016254669905164488,0.016254669905164488,0.43331500000000034,0.43331500000000034
405,EXC.csv,2016-01-19,0.6555,1.0,26.615133,26.441807,0.17332599999999942,0.6554998302498745,0.006533607727032612,361.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5416816936981409,0.1,0.0,-1,-1,1,-0.006533607727032612,-0.006533607727032612,-0.17332599999999942,-0.17332599999999942
442,EXC.csv,2016-01-20,-3.111429,0.0,25.787022,26.615133,-0.8281109999999998,-3.1114291256782365,-0.03160862168115823,405.0,2,Adv-ALSTM,kdd17,0.1,entr,0.44297150447050526,0.1,1.0,1,1,1,-0.03160862168115823,-0.03160862168115823,-0.8281109999999998,-0.8281109999999998
485,EXC.csv,2016-01-21,2.389842,1.0,26.403291,25.787022,0.6162689999999991,2.3898416808268865,0.02361731936076386,442.0,2,Adv-ALSTM,kdd17,0.1,entr,0.4862229646617922,0.1,0.0,-1,-1,1,-0.02361731936076386,-0.02361731936076386,-0.6162689999999991,-0.6162689999999991
