ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
26,PEP.csv,2016-01-04,-1.150923,0.0,95.945883,97.063003,-1.11712,-1.150922561091583,-0.011575969354740244,,2,Adv-ALSTM,kdd17,0.1,entr,0.4774049859313724,0.1,1.0,1,1,1,-0.011575969354740244,-0.011575969354740244,-1.11712,-1.11712
56,PEP.csv,2016-01-05,0.688469,1.0,96.606441,95.945883,0.6605580000000089,0.6884693530831426,0.006861102245608438,26.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5086085199812576,0.1,0.0,-1,-1,1,-0.006861102245608438,-0.006861102245608438,-0.6605580000000089,-0.6605580000000089
138,PEP.csv,2016-01-07,-1.919987,0.0,94.780198,96.635589,-1.8553909999999973,-1.9199872626636523,-0.019386583933392324,56.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5556469516188689,0.1,1.0,1,1,1,-0.019386583933392324,-0.019386583933392324,-1.8553909999999973,-1.8553909999999973
283,PEP.csv,2016-01-13,-1.147309,0.0,93.740792,94.828771,-1.0879790000000042,-1.1473089744039857,-0.011539413417825072,138.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6158626971929863,0.1,1.0,1,1,1,-0.011539413417825072,-0.011539413417825072,-1.0879790000000042,-1.0879790000000042
330,PEP.csv,2016-01-14,-0.715028,0.0,93.070519,93.740792,-0.6702729999999946,-0.715028095772857,-0.007175966730178573,283.0,2,Adv-ALSTM,kdd17,0.1,entr,0.45270073967914404,0.1,1.0,1,1,1,-0.007175966730178573,-0.007175966730178573,-0.6702729999999946,-0.6702729999999946
377,PEP.csv,2016-01-15,-1.962214,0.0,91.244276,93.070519,-1.8262430000000052,-1.9622142646480836,-0.01981721290195964,330.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5031625433421463,0.1,1.0,1,1,1,-0.01981721290195964,-0.01981721290195964,-1.8262430000000052,-1.8262430000000052
414,PEP.csv,2016-01-19,1.958902,1.0,93.031662,91.244276,1.787385999999998,1.9589020575931777,0.019399625097712755,377.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5792396338431507,0.1,1.0,1,1,1,0.019399625097712755,0.019399625097712755,1.787385999999998,1.787385999999998
457,PEP.csv,2016-01-20,-2.088336,0.0,91.088848,93.031662,-1.9428139999999985,-2.08833633435464,-0.02110450498171509,414.0,2,Adv-ALSTM,kdd17,0.1,entr,0.45904333713922807,0.1,0.0,-1,-1,1,0.02110450498171509,0.02110450498171509,1.9428139999999985,1.9428139999999985
496,PEP.csv,2016-01-21,0.746512,1.0,91.768837,91.088848,0.6799890000000062,0.7465118013129403,0.007437391919860041,457.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6474466390346325,0.1,1.0,1,0,1,0.0,0.007437391919860041,0.0,0.6799890000000062
542,PEP.csv,2016-01-22,1.460778,1.0,93.109376,91.768837,1.3405389999999926,1.4607780198848903,0.014502114363560017,496.0,2,Adv-ALSTM,kdd17,0.1,entr,0.4891100242677579,0.1,0.0,-1,-1,1,-0.014502114363560017,-0.014502114363560017,-1.3405389999999926,-1.3405389999999926
696,PEP.csv,2016-01-28,1.573894,1.0,94.663626,93.196807,1.4668189999999868,1.5738940498251048,0.01561636781091949,542.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6738142684948127,0.1,1.0,1,0,1,0.0,0.01561636781091949,0.0,1.4668189999999868
741,PEP.csv,2016-01-29,1.898416,1.0,96.460735,94.663626,1.797109000000006,1.898415554037626,0.01880620509161033,696.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5031625433421463,0.1,0.0,-1,-1,1,-0.01880620509161033,-0.01880620509161033,-1.797109000000006,-1.797109000000006
825,PEP.csv,2016-02-02,-0.828031,0.0,95.401898,96.198451,-0.796553000000003,-0.8280310043661752,-0.008314782236390919,741.0,2,Adv-ALSTM,kdd17,0.1,entr,0.32945533069176614,0.1,0.0,-1,-1,1,0.008314782236390919,0.008314782236390919,0.796553000000003,0.796553000000003
911,PEP.csv,2016-02-04,-1.347247,0.0,94.605344,95.897318,-1.2919739999999962,-1.3472472712949035,-0.01356404991784764,825.0,2,Adv-ALSTM,kdd17,0.1,entr,0.3669249912727096,0.1,0.0,-1,-1,1,0.01356404991784764,0.01356404991784764,1.2919739999999962,1.2919739999999962
1019,PEP.csv,2016-02-09,0.77933,1.0,95.469896,94.731624,0.7382720000000091,0.7793300366095373,0.007763089461052785,911.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6486759339353328,0.1,0.0,-1,0,1,0.0,-0.007763089461052785,0.0,-0.7382720000000091
1054,PEP.csv,2016-02-10,-0.671547,0.0,94.828771,95.469896,-0.6411250000000024,-0.6715467669515449,-0.006738117884000047,1019.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5852379538624384,0.1,1.0,1,1,1,-0.006738117884000047,-0.006738117884000047,-0.6411250000000024,-0.6411250000000024
1089,PEP.csv,2016-02-11,-0.737555,0.0,94.129357,94.828771,-0.6994140000000044,-0.7375546394036936,-0.007402880220545984,1054.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5709545676421635,0.1,1.0,1,1,1,-0.007402880220545984,-0.007402880220545984,-0.6994140000000044,-0.6994140000000044
1129,PEP.csv,2016-02-12,1.640863,1.0,95.673891,94.129357,1.5445339999999987,1.6408632218745518,0.016275465362425027,1089.0,2,Adv-ALSTM,kdd17,0.1,entr,0.4862229646617922,0.1,1.0,1,1,1,0.016275465362425027,0.016275465362425027,1.5445339999999987,1.5445339999999987
1203,PEP.csv,2016-02-17,0.963493,1.0,96.703587,95.780746,0.9228410000000054,0.9634932264987844,0.009588812310231364,1129.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5812594319855474,0.1,0.0,-1,-1,1,-0.009588812310231364,-0.009588812310231364,-0.9228410000000054,-0.9228410000000054
1395,PEP.csv,2016-02-25,0.993176,1.0,97.791559,96.829868,0.9616910000000018,0.9931759898712262,0.009882764113866878,1203.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6039327503846452,0.1,0.0,-1,-1,1,-0.009882764113866878,-0.009882764113866878,-0.9616910000000018,-0.9616910000000018
1434,PEP.csv,2016-02-26,-2.294624,0.0,95.54761,97.791559,-2.2439490000000006,-2.2946244266337965,-0.02321360723120363,1395.0,2,Adv-ALSTM,kdd17,0.1,entr,0.505897848305788,0.1,0.0,-1,-1,1,0.02321360723120363,0.02321360723120363,2.2439490000000006,2.2439490000000006
