ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
15,JNJ.csv,2016-01-04,-2.180684,0.0,97.718219,99.896649,-2.1784299999999917,-2.1806837584712095,-0.022048120867280453,,2,Adv-ALSTM,kdd17,0.1,entr,0.5416816936981409,0.2,1.0,1,1,1,-0.022048120867280453,-0.022048120867280453,-2.1784299999999917,-2.1784299999999917
82,JNJ.csv,2016-01-06,-0.505453,0.0,97.630689,98.126673,-0.4959839999999929,-0.5054527834648923,-0.005067345169088413,15.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5294276643957023,0.2,1.0,1,1,1,-0.005067345169088413,-0.005067345169088413,-0.4959839999999929,-0.4959839999999929
126,JNJ.csv,2016-01-07,-1.165453,0.0,96.492849,97.630689,-1.137839999999997,-1.1654532111311813,-0.011722978497480647,82.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5416816936981409,0.2,1.0,1,1,1,-0.011722978497480647,-0.011722978497480647,-1.137839999999997,-1.137839999999997
169,JNJ.csv,2016-01-08,-1.06833,0.0,95.461987,96.492849,-1.0308620000000133,-1.0683299443257326,-0.010740775610019003,126.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5556469516188689,0.2,1.0,1,0,1,-0.0,-0.010740775610019003,-0.0,-1.0308620000000133
204,JNJ.csv,2016-01-11,-0.601063,0.0,94.8882,95.461987,-0.5737869999999958,-0.6010633321512528,-0.006028769889333585,169.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5910544590955195,0.2,1.0,1,0,1,-0.0,-0.006028769889333585,-0.0,-0.5737869999999958
233,JNJ.csv,2016-01-12,0.686684,1.0,95.539782,94.8882,0.6515820000000048,0.6866839080096416,0.006843369719577972,204.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6238175238348482,0.2,0.0,-1,0,1,0.0,-0.006843369719577972,0.0,-0.6515820000000048
272,JNJ.csv,2016-01-13,-1.241858,0.0,94.353314,95.539782,-1.186468000000005,-1.2418575541652428,-0.012496330458405158,233.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5929533174474745,0.2,1.0,1,0,1,-0.0,-0.012496330458405158,-0.0,-1.186468000000005
319,JNJ.csv,2016-01-14,1.927441,1.0,96.171918,94.353314,1.8186040000000077,1.9274405136421682,0.0190910066409398,272.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5086085199812576,0.2,1.0,1,1,1,0.0190910066409398,0.0190910066409398,1.8186040000000077,1.8186040000000077
365,JNJ.csv,2016-01-15,-1.911214,0.0,94.333867,96.171918,-1.8380510000000072,-1.9112138327115482,-0.019297136172005788,319.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5464251820728714,0.2,0.0,-1,-1,1,0.019297136172005788,0.019297136172005788,1.8380510000000072,1.8380510000000072
446,JNJ.csv,2016-01-20,-1.794872,0.0,93.118224,94.820124,-1.701900000000009,-1.7948721518229707,-0.018111753577796978,365.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6410354778811556,0.2,1.0,1,0,1,-0.0,-0.018111753577796978,-0.0,-1.701900000000009
