ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
30,RDS-B.csv,2016-01-04,0.716763,1.0,43.026051,42.719851,0.306200000000004,0.7167627995706353,0.007142062639449337,,2,Adv-ALSTM,kdd17,0.1,entr,0.4121587218658618,0.2,0.0,-1,-1,1,-0.007142062639449337,-0.007142062639449337,-0.306200000000004,-0.306200000000004
59,RDS-B.csv,2016-01-05,-0.905754,0.0,42.636341,43.026051,-0.3897100000000009,-0.9057535863563236,-0.009098804726667435,30.0,2,Adv-ALSTM,kdd17,0.1,entr,0.49480699335306666,0.2,0.0,-1,-1,1,0.009098804726667435,0.009098804726667435,0.3897100000000009,0.3897100000000009
96,RDS-B.csv,2016-01-06,-3.852014,0.0,40.993983,42.636341,-1.6423580000000015,-3.852014411837079,-0.03928166489390652,59.0,2,Adv-ALSTM,kdd17,0.1,entr,0.40131622711833936,0.2,0.0,-1,-1,1,0.03928166489390652,0.03928166489390652,1.6423580000000015,1.6423580000000015
142,RDS-B.csv,2016-01-07,-4.843818,0.0,39.008309,40.993983,-1.985674000000003,-4.843818176926119,-0.04965062511752079,96.0,2,Adv-ALSTM,kdd17,0.1,entr,0.439669879401343,0.2,0.0,-1,-1,1,0.04965062511752079,0.04965062511752079,1.985674000000003,1.985674000000003
179,RDS-B.csv,2016-01-08,-5.613704,0.0,36.818498,39.008309,-2.189810999999999,-5.613703993167197,-0.057774292793880404,142.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5165944939436616,0.2,0.0,-1,-1,1,0.057774292793880404,0.057774292793880404,2.189810999999999,2.189810999999999
243,RDS-B.csv,2016-01-12,-0.728461,0.0,36.670037,36.939124,-0.26908699999999897,-0.7284606965774255,-0.007311269276978657,179.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6738142684948127,0.2,0.0,-1,0,1,-0.0,0.007311269276978657,-0.0,0.26908699999999897
287,RDS-B.csv,2016-01-13,-2.834006,0.0,35.630806,36.670037,-1.039231000000001,-2.8340058669698123,-0.028749390333550482,243.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6827430482038837,0.2,0.0,-1,0,1,-0.0,0.028749390333550482,-0.0,1.039231000000001
333,RDS-B.csv,2016-01-14,6.953121,1.0,38.108259,35.630806,2.477452999999997,6.953120847168029,0.06722042954626145,287.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6713564357727346,0.2,1.0,1,0,1,0.0,0.06722042954626145,0.0,2.477452999999997
381,RDS-B.csv,2016-01-15,-5.11322,0.0,36.1597,38.108259,-1.948558999999996,-5.113219682903898,-0.052485791265235504,333.0,2,Adv-ALSTM,kdd17,0.1,entr,0.45270073967914404,0.2,0.0,-1,-1,1,0.052485791265235504,0.052485791265235504,1.948558999999996,1.948558999999996
417,RDS-B.csv,2016-01-19,-1.283036,0.0,35.695758,36.1597,-0.46394200000000296,-1.2830360871356867,-0.012913380833276289,381.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6868620016589055,0.2,0.0,-1,0,1,-0.0,0.012913380833276289,-0.0,0.46394200000000296
459,RDS-B.csv,2016-01-20,-3.925144,0.0,34.294648,35.695758,-1.4011099999999956,-3.9251442706441355,-0.04004255118435994,417.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6917945705986355,0.2,1.0,1,0,1,-0.0,-0.04004255118435994,-0.0,-1.4011099999999956
499,RDS-B.csv,2016-01-21,3.246757,1.0,35.408112,34.294648,1.1134640000000005,3.2467573365966618,0.03195163941892156,459.0,2,Adv-ALSTM,kdd17,0.1,entr,0.4494866485477561,0.2,0.0,-1,-1,1,-0.03195163941892156,-0.03195163941892156,-1.1134640000000005,-1.1134640000000005
545,RDS-B.csv,2016-01-22,5.817613,1.0,37.468019,35.408112,2.0599069999999955,5.817613206826716,0.056546796015478844,499.0,2,Adv-ALSTM,kdd17,0.1,entr,0.4121587218658618,0.2,0.0,-1,-1,1,-0.056546796015478844,-0.056546796015478844,-2.0599069999999955,-2.0599069999999955
585,RDS-B.csv,2016-01-25,-2.055478,0.0,36.697872,37.468019,-0.7701470000000015,-2.0554783000403662,-0.020768972717965576,545.0,2,Adv-ALSTM,kdd17,0.1,entr,0.44297150447050526,0.2,0.0,-1,-1,1,0.020768972717965576,0.020768972717965576,0.7701470000000015,0.7701470000000015
625,RDS-B.csv,2016-01-26,4.12137,1.0,38.210327,36.697872,1.5124550000000028,4.121369762257612,0.04038704966312592,585.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6930751788318458,0.2,0.0,-1,0,1,0.0,-0.04038704966312592,0.0,-1.5124550000000028
660,RDS-B.csv,2016-01-27,1.991255,1.0,38.971192,38.210327,0.7608650000000026,1.9912548772482437,0.019716887123029936,625.0,2,Adv-ALSTM,kdd17,0.1,entr,0.45270073967914404,0.2,0.0,-1,-1,1,-0.019716887123029936,-0.019716887123029936,-0.7608650000000026,-0.7608650000000026
700,RDS-B.csv,2016-01-28,3.547623,1.0,40.353743,38.971192,1.3825509999999994,3.5476230750139726,0.03486144722031153,660.0,2,Adv-ALSTM,kdd17,0.1,entr,0.33378401544589653,0.2,0.0,-1,-1,1,-0.03486144722031153,-0.03486144722031153,-1.3825509999999994,-1.3825509999999994
745,RDS-B.csv,2016-01-29,1.471603,1.0,40.94759,40.353743,0.5938469999999967,1.4716032661455882,0.01460880257371524,700.0,2,Adv-ALSTM,kdd17,0.1,entr,0.23243549494150267,0.2,0.0,-1,-1,1,-0.01460880257371524,-0.01460880257371524,-0.5938469999999967,-0.5938469999999967
786,RDS-B.csv,2016-02-01,-1.291639,0.0,40.418695,40.94759,-0.5288949999999986,-1.2916388974296134,-0.013000530851124254,745.0,2,Adv-ALSTM,kdd17,0.1,entr,0.2638649208026663,0.2,0.0,-1,-1,1,0.013000530851124254,0.013000530851124254,0.5288949999999986,0.5288949999999986
828,RDS-B.csv,2016-02-02,-4.660244,0.0,38.535085,40.418695,-1.8836099999999973,-4.6602444735041475,-0.04772330044276893,786.0,2,Adv-ALSTM,kdd17,0.1,entr,0.3939204149736461,0.2,0.0,-1,-1,1,0.04772330044276893,0.04772330044276893,1.8836099999999973,1.8836099999999973
873,RDS-B.csv,2016-02-03,3.732248,1.0,39.97331,38.535085,1.4382249999999956,3.732248157750257,0.03664285638910971,828.0,2,Adv-ALSTM,kdd17,0.1,entr,0.4363384917718372,0.2,0.0,-1,-1,1,-0.03664285638910971,-0.03664285638910971,-1.4382249999999956,-1.4382249999999956
914,RDS-B.csv,2016-02-04,3.55153,1.0,41.392974,39.97331,1.4196640000000045,3.5515297582311907,0.03489917488036452,873.0,2,Adv-ALSTM,kdd17,0.1,entr,0.283627096116858,0.2,0.0,-1,-1,1,-0.03489917488036452,-0.03489917488036452,-1.4196640000000045,-1.4196640000000045
1022,RDS-B.csv,2016-02-09,-4.267748,0.0,39.54648,41.309464,-1.7629839999999959,-4.267748426849586,-0.043614937269333444,914.0,2,Adv-ALSTM,kdd17,0.1,entr,0.41570747271728126,0.2,0.0,-1,-1,1,0.043614937269333444,0.043614937269333444,1.7629839999999959,1.7629839999999959
1058,RDS-B.csv,2016-02-10,-0.680425,0.0,39.277396,39.54648,-0.26908399999999943,-0.6804246547353884,-0.006827500978846651,1022.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6650347397855725,0.2,1.0,1,0,1,-0.0,-0.006827500978846651,-0.0,-0.26908399999999943
1093,RDS-B.csv,2016-02-11,0.685086,1.0,39.54648,39.277396,0.26908399999999943,0.685086149804838,0.006827500978846734,1058.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6753695804824225,0.2,1.0,1,0,1,0.0,0.006827500978846734,0.0,0.26908399999999943
1133,RDS-B.csv,2016-02-12,3.871427,1.0,41.077493,39.54648,1.5310129999999944,3.8714267363365695,0.03798366694565,1093.0,2,Adv-ALSTM,kdd17,0.1,entr,0.46834720229396604,0.2,0.0,-1,-1,1,-0.03798366694565,-0.03798366694565,-1.5310129999999944,-1.5310129999999944
1170,RDS-B.csv,2016-02-16,2.48475,1.0,42.098166,41.077493,1.0206730000000022,2.484749982186114,0.024543820859832005,1133.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5086085199812576,0.2,0.0,-1,-1,1,-0.024543820859832005,-0.024543820859832005,-1.0206730000000022,-1.0206730000000022
1207,RDS-B.csv,2016-02-17,4.0063,1.0,43.784745,42.098166,1.6865790000000018,4.0063004169825405,0.03928129225085507,1170.0,2,Adv-ALSTM,kdd17,0.1,entr,0.3708910023130473,0.2,0.0,-1,-1,1,-0.03928129225085507,-0.03928129225085507,-1.6865790000000018,-1.6865790000000018
1237,RDS-B.csv,2016-02-18,-1.060372,0.0,43.320464,43.784745,-0.4642809999999997,-1.0603715974593428,-0.010660335981506031,1207.0,2,Adv-ALSTM,kdd17,0.1,entr,0.3939204149736461,0.2,0.0,-1,-1,1,0.010660335981506031,0.010660335981506031,0.4642809999999997,0.4642809999999997
1260,RDS-B.csv,2016-02-19,-0.91864,0.0,42.922505,43.320464,-0.3979590000000002,-0.9186397449482538,-0.009228852605179885,1237.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6091601703774071,0.2,1.0,1,0,1,-0.0,-0.009228852605179885,-0.0,-0.3979590000000002
1298,RDS-B.csv,2016-02-22,2.229586,1.0,43.879499,42.922505,0.9569940000000017,2.2295856218084236,0.022050937381326245,1260.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5192083729181044,0.2,0.0,-1,-1,1,-0.022050937381326245,-0.022050937381326245,-0.9569940000000017,-0.9569940000000017
1337,RDS-B.csv,2016-02-23,-4.232355,0.0,42.022363,43.879499,-1.8571360000000041,-4.232354612799941,-0.0432452888777211,1298.0,2,Adv-ALSTM,kdd17,0.1,entr,0.439669879401343,0.2,0.0,-1,-1,1,0.0432452888777211,0.0432452888777211,1.8571360000000041,1.8571360000000041
1398,RDS-B.csv,2016-02-25,2.096012,1.0,42.922505,42.041314,0.8811910000000012,2.0960120323546527,0.020743478991233286,1337.0,2,Adv-ALSTM,kdd17,0.1,entr,0.654560249527232,0.2,1.0,1,0,1,0.0,0.020743478991233286,0.0,0.8811910000000012
1438,RDS-B.csv,2016-02-26,0.927157,1.0,43.320464,42.922505,0.3979590000000002,0.9271569774410886,0.009228852605179754,1398.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5031625433421463,0.2,0.0,-1,-1,1,-0.009228852605179754,-0.009228852605179754,-0.3979590000000002,-0.3979590000000002
1511,RDS-B.csv,2016-03-01,1.815798,1.0,44.097427,43.310987,0.786440000000006,1.815797917512261,0.017995091918434965,1438.0,2,Adv-ALSTM,kdd17,0.1,entr,0.39017101687555217,0.2,1.0,1,1,1,0.017995091918434965,0.017995091918434965,0.786440000000006,0.786440000000006
1544,RDS-B.csv,2016-03-02,1.654491,1.0,44.827015,44.097427,0.7295879999999997,1.6544910885616968,0.01640953499479599,1511.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5192083729181044,0.2,0.0,-1,-1,1,-0.01640953499479599,-0.01640953499479599,-0.7295879999999997,-0.7295879999999997
1568,RDS-B.csv,2016-03-03,1.183677,1.0,45.357622,44.827015,0.5306069999999963,1.1836768520054175,0.011767261926886352,1544.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6474466390346325,0.2,1.0,1,0,1,0.0,0.011767261926886352,0.0,0.5306069999999963
1595,RDS-B.csv,2016-03-04,0.772933,1.0,45.708206,45.357622,0.3505839999999978,0.772932937269061,0.007699611142841605,1568.0,2,Adv-ALSTM,kdd17,0.1,entr,0.3939204149736461,0.2,0.0,-1,-1,1,-0.007699611142841605,-0.007699611142841605,-0.3505839999999978,-0.3505839999999978
1629,RDS-B.csv,2016-03-07,0.642615,1.0,46.001934,45.708206,0.29372800000000154,0.6426154638403475,0.00640559493954765,1595.0,2,Adv-ALSTM,kdd17,0.1,entr,0.40496348506393853,0.2,0.0,-1,-1,1,-0.00640559493954765,-0.00640559493954765,-0.29372800000000154,-0.29372800000000154
1662,RDS-B.csv,2016-03-08,-2.059733,0.0,45.054417,46.001934,-0.9475169999999977,-2.0597329668791704,-0.020812413220589448,1629.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5929533174474745,0.2,0.0,-1,0,1,-0.0,0.020812413220589448,-0.0,0.9475169999999977
1692,RDS-B.csv,2016-03-09,1.808624,1.0,45.869282,45.054417,0.8148649999999975,1.808624002392479,0.017924629691408348,1662.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5004024235381879,0.2,0.0,-1,-1,1,-0.017924629691408348,-0.017924629691408348,-0.8148649999999975,-0.8148649999999975
1721,RDS-B.csv,2016-03-10,-1.425322,0.0,45.215497,45.869282,-0.6537849999999992,-1.4253220706615797,-0.014355773494882151,1692.0,2,Adv-ALSTM,kdd17,0.1,entr,0.4494866485477561,0.2,0.0,-1,-1,1,0.014355773494882151,0.014355773494882151,0.6537849999999992,0.6537849999999992
1762,RDS-B.csv,2016-03-11,2.263198,1.0,46.238813,45.215497,1.0233160000000012,2.2631975050500968,0.022379671559916128,1721.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6534181947937018,0.2,1.0,1,0,1,0.0,0.022379671559916128,0.0,1.0233160000000012
1789,RDS-B.csv,2016-03-14,-0.655737,0.0,45.935608,46.238813,-0.3032049999999984,-0.6557369887501187,-0.006578963889091589,1762.0,2,Adv-ALSTM,kdd17,0.1,entr,0.49197129966350894,0.2,0.0,-1,-1,1,0.006578963889091589,0.006578963889091589,0.3032049999999984,0.3032049999999984
1808,RDS-B.csv,2016-03-15,-0.721943,0.0,45.603979,45.935608,-0.3316289999999995,-0.7219432036253869,-0.007245618244869725,1789.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6713564357727346,0.2,1.0,1,0,1,-0.0,-0.007245618244869725,-0.0,-0.3316289999999995
1836,RDS-B.csv,2016-03-16,2.57635,1.0,46.778897,45.603979,1.1749179999999981,2.576349752288058,0.02543721094028183,1808.0,2,Adv-ALSTM,kdd17,0.1,entr,0.505897848305788,0.2,1.0,1,1,1,0.02543721094028183,0.02543721094028183,1.1749179999999981,1.1749179999999981
1870,RDS-B.csv,2016-03-17,2.653438,1.0,48.020146,46.778897,1.2412489999999963,2.6534379380514173,0.026188448762591646,1836.0,2,Adv-ALSTM,kdd17,0.1,entr,0.575138476441581,0.2,0.0,-1,0,1,0.0,-0.026188448762591646,0.0,-1.2412489999999963
1899,RDS-B.csv,2016-03-18,-1.164168,0.0,47.461111,48.020146,-0.5590349999999944,-1.1641676391404443,-0.011709971268008159,1870.0,2,Adv-ALSTM,kdd17,0.1,entr,0.3250829733914482,0.2,0.0,-1,-1,1,0.011709971268008159,0.011709971268008159,0.5590349999999944,0.5590349999999944
1922,RDS-B.csv,2016-03-21,-0.978243,0.0,46.996826,47.461111,-0.46428500000000383,-0.9782430082599707,-0.009830592405527845,1899.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6534181947937018,0.2,1.0,1,0,1,-0.0,-0.009830592405527845,-0.0,-0.46428500000000383
1951,RDS-B.csv,2016-03-22,-1.411285,0.0,46.333567,46.996826,-0.6632589999999965,-1.4112846684582412,-0.014213379899449536,1922.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5709545676421635,0.2,0.0,-1,0,1,-0.0,0.014213379899449536,-0.0,0.6632589999999965
1979,RDS-B.csv,2016-03-23,-1.329246,0.0,45.71768,46.333567,-0.6158870000000007,-1.329245814379024,-0.013381593633268843,1951.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5217984709676377,0.2,1.0,1,1,1,-0.013381593633268843,-0.013381593633268843,-0.6158870000000007,-0.6158870000000007
2002,RDS-B.csv,2016-03-24,0.974096,1.0,46.163014,45.71768,0.44533399999999546,0.9740957983869598,0.009693820713561575,1979.0,2,Adv-ALSTM,kdd17,0.1,entr,0.39017101687555217,0.2,1.0,1,1,1,0.009693820713561575,0.009693820713561575,0.44533399999999546,0.44533399999999546
2081,RDS-B.csv,2016-03-30,1.864754,1.0,47.101053,46.238813,0.8622399999999999,1.8647537513560304,0.018475803840956862,2002.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6383465819821483,0.2,1.0,1,0,1,0.0,0.018475803840956862,0.0,0.8622399999999999
2105,RDS-B.csv,2016-03-31,-1.046068,0.0,46.608344,47.101053,-0.49270899999999784,-1.0460679085030176,-0.010515776563346794,2081.0,2,Adv-ALSTM,kdd17,0.1,entr,0.46834720229396604,0.2,1.0,1,1,1,-0.010515776563346794,-0.010515776563346794,-0.49270899999999784,-0.49270899999999784
2142,RDS-B.csv,2016-04-01,-1.443381,0.0,45.935608,46.608344,-0.6727360000000004,-1.4433810392405284,-0.014538991166701508,2105.0,2,Adv-ALSTM,kdd17,0.1,entr,0.35887877344212193,0.2,1.0,1,1,1,-0.014538991166701508,-0.014538991166701508,-0.6727360000000004,-0.6727360000000004
2199,RDS-B.csv,2016-04-05,-2.554064,0.0,44.827015,46.001934,-1.1749189999999956,-2.554064357381139,-0.025872468009275607,2142.0,2,Adv-ALSTM,kdd17,0.1,entr,0.46527357921001766,0.2,1.0,1,1,1,-0.025872468009275607,-0.025872468009275607,-1.1749189999999956,-1.1749189999999956
2238,RDS-B.csv,2016-04-06,1.564148,1.0,45.528176,44.827015,0.701160999999999,1.5641483154744944,0.015520415972016064,2199.0,2,Adv-ALSTM,kdd17,0.1,entr,0.40131622711833936,0.2,1.0,1,1,1,0.015520415972016064,0.015520415972016064,0.701160999999999,0.701160999999999
