ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
14,INTC.csv,2016-01-04,-1.335266,0.0,32.904457,33.349765,-0.44530799999999715,-1.335265780733379,-0.013442606139482317,,2,Adv-ALSTM,kdd17,0.1,entr,0.5792396338431507,0.3,1.0,1,1,1,-0.013442606139482317,-0.013442606139482317,-0.44530799999999715,-0.44530799999999715
81,INTC.csv,2016-01-06,-2.216967,0.0,32.02352,32.749567,-0.7260470000000012,-2.216966715926355,-0.022419107800303217,14.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5533743429353012,0.3,1.0,1,1,1,-0.022419107800303217,-0.022419107800303217,-0.7260470000000012,-0.7260470000000012
125,INTC.csv,2016-01-07,-3.748495,0.0,30.82312,32.02352,-1.2003999999999984,-3.748494856280629,-0.03820557508564311,81.0,2,Adv-ALSTM,kdd17,0.1,entr,0.439669879401343,0.3,1.0,1,1,1,-0.03820557508564311,-0.03820557508564311,-1.2003999999999984,-1.2003999999999984
168,INTC.csv,2016-01-08,-1.03643,0.0,30.50366,30.82312,-0.3194599999999994,-1.0364297968537883,-0.01041838131992366,125.0,2,Adv-ALSTM,kdd17,0.1,entr,0.4803706597454138,0.3,1.0,1,1,1,-0.01041838131992366,-0.01041838131992366,-0.3194599999999994,-0.3194599999999994
203,INTC.csv,2016-01-11,1.745479,1.0,31.036095,30.50366,0.5324349999999995,1.74547906710211,0.01730420557454038,168.0,2,Adv-ALSTM,kdd17,0.1,entr,0.49480699335306666,0.3,1.0,1,1,1,0.01730420557454038,0.01730420557454038,0.5324349999999995,0.5324349999999995
232,INTC.csv,2016-01-12,1.933871,1.0,31.636293,31.036095,0.6001979999999989,1.9338708687416988,0.019154092226508317,203.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6522587788817312,0.3,1.0,1,1,1,0.019154092226508317,0.019154092226508317,0.6001979999999989,0.6001979999999989
271,INTC.csv,2016-01-13,-2.356183,0.0,30.890884,31.636293,-0.7454089999999987,-2.3561831343514195,-0.023843850018354804,232.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5192083729181044,0.3,0.0,-1,-1,1,0.023843850018354804,0.023843850018354804,0.7454089999999987,0.7454089999999987
318,INTC.csv,2016-01-14,2.601072,1.0,31.694378,30.890884,0.8034940000000006,2.601071565320049,0.025678190800471793,271.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6091601703774071,0.3,1.0,1,1,1,0.025678190800471793,0.025678190800471793,0.8034940000000006,0.8034940000000006
364,INTC.csv,2016-01-15,-9.102018,0.0,28.80955,31.694378,-2.884827999999999,-9.102018029822194,-0.09543238559919293,318.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5031625433421463,0.3,0.0,-1,-1,1,0.09543238559919293,0.09543238559919293,2.884827999999999,2.884827999999999
445,INTC.csv,2016-01-20,-0.704694,0.0,28.644979,28.848271,-0.20329200000000114,-0.704693879227636,-0.007071885734247608,364.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6877293893152671,0.3,1.0,1,1,1,-0.007071885734247608,-0.007071885734247608,-0.20329200000000114,-0.20329200000000114
529,INTC.csv,2016-01-22,0.910317,1.0,28.97412,28.712743,0.2613769999999995,0.9103170672338743,0.00906198656282582,445.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6253527126087997,0.3,1.0,1,1,1,0.00906198656282582,0.00906198656282582,0.2613769999999995,0.2613769999999995
574,INTC.csv,2016-01-25,-1.10257,0.0,28.65466,28.97412,-0.3194599999999994,-1.1025701557113707,-0.011086935115823357,529.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6341786357122057,0.3,1.0,1,1,1,-0.011086935115823357,-0.011086935115823357,-0.3194599999999994,-0.3194599999999994
611,INTC.csv,2016-01-26,1.148647,1.0,28.983801,28.65466,0.3291409999999999,1.1486473753309232,0.011421005072888719,574.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5165944939436616,0.3,1.0,1,1,1,0.011421005072888719,0.011421005072888719,0.3291409999999999,0.3291409999999999
728,INTC.csv,2016-01-29,3.503507,1.0,30.029309,29.012842,1.0164670000000022,3.5035071710658414,0.03443531185400578,611.0,2,Adv-ALSTM,kdd17,0.1,entr,0.691994737783755,0.3,0.0,-1,-1,1,-0.03443531185400578,-0.03443531185400578,-1.0164670000000022,-1.0164670000000022
776,INTC.csv,2016-02-01,-0.644747,0.0,29.835696,30.029309,-0.1936130000000027,-0.6447467705633942,-0.006468342399861402,728.0,2,Adv-ALSTM,kdd17,0.1,entr,0.46834720229396604,0.3,0.0,-1,-1,1,0.006468342399861402,0.006468342399861402,0.1936130000000027,0.1936130000000027
812,INTC.csv,2016-02-02,-3.309542,0.0,28.848271,29.835696,-0.9874249999999982,-3.3095423683094176,-0.0336554685253417,776.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6696343095488462,0.3,1.0,1,1,1,-0.0336554685253417,-0.0336554685253417,-0.9874249999999982,-0.9874249999999982
