ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
17,KO.csv,2016-01-04,-1.303532,0.0,41.066197,41.608578,-0.5423809999999989,-1.3035316900279525,-0.013121022256001369,,2,Adv-ALSTM,kdd17,0.1,entr,0.5929533174474745,0.3,1.0,1,0,1,-0.0,-0.013121022256001369,-0.0,-0.5423809999999989
84,KO.csv,2016-01-06,-0.540541,0.0,40.988711,41.211476,-0.22276499999999544,-0.540541183237396,-0.005420073931236967,17.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5666870774074232,0.3,1.0,1,0,1,-0.0,-0.005420073931236967,-0.0,-0.22276499999999544
128,KO.csv,2016-01-07,-1.654065,0.0,40.310731,40.988711,-0.6779800000000051,-1.6540651888272484,-0.016678975904874962,84.0,2,Adv-ALSTM,kdd17,0.1,entr,0.37871151038331285,0.3,1.0,1,1,1,-0.016678975904874962,-0.016678975904874962,-0.6779800000000051,-0.6779800000000051
234,KO.csv,2016-01-12,1.298694,1.0,40.795002,40.271992,0.5230099999999993,1.2986941395896168,0.012903334162623303,128.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5533743429353012,0.3,1.0,1,0,1,0.0,0.012903334162623303,0.0,0.5230099999999993
274,KO.csv,2016-01-13,-0.641027,0.0,40.533495,40.795002,-0.2615069999999946,-0.6410270552260168,-0.006430904563533029,234.0,2,Adv-ALSTM,kdd17,0.1,entr,0.674600230714884,0.3,1.0,1,0,1,-0.0,-0.006430904563533029,-0.0,-0.2615069999999946
367,KO.csv,2016-01-15,-0.907357,0.0,40.194507,40.562554,-0.3680469999999971,-0.9073565732571898,-0.009114981244722565,274.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6650347397855725,0.3,1.0,1,0,1,-0.0,-0.009114981244722565,-0.0,-0.3680469999999971
407,KO.csv,2016-01-19,1.012044,1.0,40.601293,40.194507,0.40678599999999676,1.0120437601088048,0.0100695688936224,367.0,2,Adv-ALSTM,kdd17,0.1,entr,0.49480699335306666,0.3,0.0,-1,0,1,0.0,-0.0100695688936224,0.0,-0.40678599999999676
448,KO.csv,2016-01-20,-1.288161,0.0,40.078283,40.601293,-0.5230099999999993,-1.288160946007309,-0.012965296853591018,407.0,2,Adv-ALSTM,kdd17,0.1,entr,0.560127234322942,0.3,0.0,-1,0,1,-0.0,0.012965296853591018,-0.0,0.5230099999999993
532,KO.csv,2016-01-22,1.618753,1.0,40.736892,40.087967,0.6489249999999984,1.6187525797953246,0.016057904760637724,448.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5192083729181044,0.3,0.0,-1,0,1,0.0,-0.016057904760637724,0.0,-0.6489249999999984
686,KO.csv,2016-01-28,1.140413,1.0,41.230847,40.765947,0.4649000000000001,1.1404126095733778,0.011339589243849875,532.0,2,Adv-ALSTM,kdd17,0.1,entr,0.691994737783755,0.3,0.0,-1,0,1,0.0,-0.011339589243849875,0.0,-0.4649000000000001
731,KO.csv,2016-01-29,0.822171,1.0,41.569835,41.230847,0.3389880000000005,0.8221708372859781,0.008188094246588605,686.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5165944939436616,0.3,0.0,-1,0,1,0.0,-0.008188094246588605,0.0,-0.3389880000000005
815,KO.csv,2016-02-02,-1.302331,0.0,41.104935,41.647321,-0.5423860000000005,-1.302331067105134,-0.013108857528724264,731.0,2,Adv-ALSTM,kdd17,0.1,entr,0.49480699335306666,0.3,0.0,-1,0,1,-0.0,0.013108857528724264,-0.0,0.5423860000000005
861,KO.csv,2016-02-03,0.659763,1.0,41.37613,41.104935,0.27119500000000585,0.6597626294750396,0.006575957215826619,815.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6815502814029536,0.3,1.0,1,0,1,0.0,0.006575957215826619,0.0,0.27119500000000585
1013,KO.csv,2016-02-09,1.524027,1.0,41.937882,41.308332,0.6295500000000018,1.52402667820139,0.015125300522322225,861.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6775782136857396,0.3,1.0,1,0,1,0.0,0.015125300522322225,0.0,0.6295500000000018
1047,KO.csv,2016-02-10,-1.7321,0.0,41.211476,41.937882,-0.7264060000000043,-1.7320998709472364,-0.017472762224552428,1013.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5243649481876823,0.3,1.0,1,0,1,-0.0,-0.017472762224552428,-0.0,-0.7264060000000043
1122,KO.csv,2016-02-12,1.650557,1.0,41.753861,41.07588,0.6779810000000026,1.650557456103199,0.016370838145040936,1047.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5294276643957023,0.3,1.0,1,0,1,0.0,0.016370838145040936,0.0,0.6779810000000026
1160,KO.csv,2016-02-16,0.57991,1.0,41.995996,41.753861,0.24213499999999755,0.579910442294181,0.005782354342666108,1122.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5792396338431507,0.3,0.0,-1,0,1,0.0,-0.005782354342666108,0.0,-0.24213499999999755
1328,KO.csv,2016-02-23,-0.568959,0.0,42.315613,42.557749,-0.24213600000000213,-0.5689586636736875,-0.00570583399124786,1160.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5645217214043494,0.3,0.0,-1,0,1,-0.0,0.00570583399124786,-0.0,0.24213600000000213
1385,KO.csv,2016-02-25,0.569345,1.0,42.770829,42.528694,0.24213499999999755,0.569345016802062,0.005677303737554822,1328.0,2,Adv-ALSTM,kdd17,0.1,entr,0.60215168259268,0.3,0.0,-1,0,1,0.0,-0.005677303737554822,0.0,-0.24213499999999755
1426,KO.csv,2016-02-26,-2.309782,0.0,41.782916,42.770829,-0.9879129999999989,-2.309782211609691,-0.02336875694308313,1385.0,2,Adv-ALSTM,kdd17,0.1,entr,0.44297150447050526,0.3,0.0,-1,-1,1,0.02336875694308313,0.02336875694308313,0.9879129999999989,0.9879129999999989
1498,KO.csv,2016-03-01,1.298394,1.0,42.315613,41.773232,0.5423809999999989,1.2983936698984626,0.012900367982858341,1426.0,2,Adv-ALSTM,kdd17,0.1,entr,0.35887877344212193,0.3,1.0,1,1,1,0.012900367982858341,0.012900367982858341,0.5423809999999989,0.5423809999999989
1654,KO.csv,2016-03-08,0.704387,1.0,42.925796,42.625547,0.3002490000000009,0.7043874416438595,0.007019182217730699,1498.0,2,Adv-ALSTM,kdd17,0.1,entr,0.560127234322942,0.3,1.0,1,0,1,0.0,0.007019182217730699,0.0,0.3002490000000009
1685,KO.csv,2016-03-09,1.105599,1.0,43.400383,42.925796,0.47458699999999965,1.1055986008972312,0.010995315368566533,1654.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6687480868518094,0.3,1.0,1,0,1,0.0,0.010995315368566533,0.0,0.47458699999999965
1710,KO.csv,2016-03-10,0.937287,1.0,43.807169,43.400383,0.40678600000000387,0.9372866594287979,0.00932921383585245,1685.0,2,Adv-ALSTM,kdd17,0.1,entr,0.39017101687555217,0.3,0.0,-1,-1,1,-0.00932921383585245,-0.00932921383585245,-0.40678600000000387,-0.40678600000000387
1749,KO.csv,2016-03-11,0.713013,1.0,44.11952,43.807169,0.3123509999999996,0.7130134339427403,0.007104835118291121,1710.0,2,Adv-ALSTM,kdd17,0.1,entr,0.33806977200113625,0.3,0.0,-1,-1,1,-0.007104835118291121,-0.007104835118291121,-0.3123509999999996,-0.3123509999999996
1860,KO.csv,2016-03-17,1.598227,1.0,44.675894,43.973104,0.7027900000000002,1.5982269525480854,0.01585589774956717,1749.0,2,Adv-ALSTM,kdd17,0.1,entr,0.49761730339567445,0.3,0.0,-1,0,1,0.0,-0.01585589774956717,0.0,-0.7027900000000002
2042,KO.csv,2016-03-29,1.484716,1.0,45.368921,44.705176,0.6637449999999987,1.4847162216741943,0.014738022058774211,1860.0,2,Adv-ALSTM,kdd17,0.1,entr,0.598531185977196,0.3,0.0,-1,0,1,0.0,-0.014738022058774211,0.0,-0.6637449999999987
2129,KO.csv,2016-04-01,0.948487,1.0,45.710557,45.281072,0.4294849999999997,0.9484868202766924,0.009440169260460375,2042.0,2,Adv-ALSTM,kdd17,0.1,entr,0.48330991375882404,0.3,1.0,1,1,1,0.009440169260460375,0.009440169260460375,0.4294849999999997,0.4294849999999997
2190,KO.csv,2016-04-05,-0.767756,0.0,45.417725,45.76912,-0.3513950000000037,-0.7677556396102955,-0.007707180557064785,2129.0,2,Adv-ALSTM,kdd17,0.1,entr,0.3708910023130473,0.3,0.0,-1,-1,1,0.007707180557064785,0.007707180557064785,0.3513950000000037,0.3513950000000037
