ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
62,T.csv,2016-01-05,0.698693,1.0,32.54013,32.314352,0.22577799999999826,0.6986926428232206,0.006962630959232064,,2,Adv-ALSTM,kdd17,0.1,entr,0.6449352549591565,0.3,1.0,1,1,1,0.006962630959232064,0.006962630959232064,0.22577799999999826,0.22577799999999826
147,T.csv,2016-01-07,-1.614807,0.0,31.967743,32.492433,-0.5246899999999997,-1.6148067459275817,-0.016279868312630962,62.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6313096379016954,0.3,1.0,1,1,1,-0.016279868312630962,-0.016279868312630962,-0.5246899999999997,-0.5246899999999997
213,T.csv,2016-01-11,1.22242,1.0,32.387495,31.996365,0.3911300000000004,1.2224201092842901,0.01215008891020044,147.0,2,Adv-ALSTM,kdd17,0.1,entr,0.40131622711833936,0.3,1.0,1,1,1,0.01215008891020044,0.01215008891020044,0.3911300000000004,0.3911300000000004
338,T.csv,2016-01-14,1.659743,1.0,32.721385,32.187161,0.5342239999999947,1.6597425290164443,0.016461193359903665,213.0,2,Adv-ALSTM,kdd17,0.1,entr,0.4121587218658618,0.3,1.0,1,1,1,0.016461193359903665,0.016461193359903665,0.5342239999999947,0.5342239999999947
385,T.csv,2016-01-15,-0.903782,0.0,32.425655,32.721385,-0.29572999999999894,-0.903782037343465,-0.009078909228474548,338.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6039327503846452,0.3,0.0,-1,-1,1,0.009078909228474548,0.009078909228474548,0.29572999999999894,0.29572999999999894
421,T.csv,2016-01-19,1.529853,1.0,32.92172,32.425655,0.49606500000000153,1.5298534447492318,0.015182691856542533,385.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5510799280869728,0.3,1.0,1,1,1,0.015182691856542533,0.015182691856542533,0.49606500000000153,0.49606500000000153
464,T.csv,2016-01-20,-1.767596,0.0,32.339797,32.92172,-0.5819230000000033,-1.7675959822269411,-0.017834045244646702,421.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5812594319855474,0.3,0.0,-1,-1,1,0.017834045244646702,0.017834045244646702,0.5819230000000033,0.5819230000000033
504,T.csv,2016-01-21,1.887903,1.0,32.950341,32.339797,0.6105440000000044,1.887903006936019,0.018703032835639826,464.0,2,Adv-ALSTM,kdd17,0.1,entr,0.4261626606619693,0.3,0.0,-1,-1,1,-0.018703032835639826,-0.018703032835639826,-0.6105440000000044,-0.6105440000000044
549,T.csv,2016-01-22,1.737114,1.0,33.522726,32.950341,0.572384999999997,1.737114040792467,0.017221986980933898,504.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5192083729181044,0.3,0.0,-1,-1,1,-0.017221986980933898,-0.017221986980933898,-0.572384999999997,-0.572384999999997
629,T.csv,2016-01-26,1.142862,1.0,33.770762,33.38917,0.3815919999999977,1.1428615925463188,0.011363802644416245,549.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5709545676421635,0.3,0.0,-1,-1,1,-0.011363802644416245,-0.011363802644416245,-0.3815919999999977,-0.3815919999999977
750,T.csv,2016-01-29,1.491705,1.0,34.400386,33.894776,0.5056099999999972,1.491704798403144,0.014806883029882097,629.0,2,Adv-ALSTM,kdd17,0.1,entr,0.44624366428015794,0.3,0.0,-1,-1,1,-0.014806883029882097,-0.014806883029882097,-0.5056099999999972,-0.5056099999999972
878,T.csv,2016-02-03,1.830282,1.0,35.03001,34.400386,0.6296239999999997,1.8302817881171445,0.018137337432321175,750.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5792396338431507,0.3,0.0,-1,-1,1,-0.018137337432321175,-0.018137337432321175,-0.6296239999999997,-0.6296239999999997
917,T.csv,2016-02-04,-0.517436,0.0,34.848752,35.03001,-0.1812579999999997,-0.5174363353022158,-0.005187796730564407,878.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5112947360872375,0.3,0.0,-1,-1,1,0.005187796730564407,0.005187796730564407,0.1812579999999997,0.1812579999999997
955,T.csv,2016-02-05,0.958123,1.0,35.182646,34.848752,0.3338940000000008,0.9581232636394004,0.009535623721966383,917.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5392763414970504,0.3,0.0,-1,-1,1,-0.009535623721966383,-0.009535623721966383,-0.3338940000000008,-0.3338940000000008
993,T.csv,2016-02-08,0.623643,1.0,35.40206,35.182646,0.21941400000000044,0.6236426902058487,0.006217060866676147,955.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5243649481876823,0.3,0.0,-1,-1,1,-0.006217060866676147,-0.006217060866676147,-0.21941400000000044,-0.21941400000000044
1025,T.csv,2016-02-09,-1.239555,0.0,34.963232,35.40206,-0.4388280000000009,-1.2395549863482547,-0.012473015510210144,993.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5165944939436616,0.3,0.0,-1,-1,1,0.012473015510210144,0.012473015510210144,0.4388280000000009,0.4388280000000009
1060,T.csv,2016-02-10,-0.600276,0.0,34.753356,34.963232,-0.20987600000000128,-0.6002763131280349,-0.006020852139567884,1025.0,2,Adv-ALSTM,kdd17,0.1,entr,0.46527357921001766,0.3,0.0,-1,-1,1,0.006020852139567884,0.006020852139567884,0.20987600000000128,0.20987600000000128
1098,T.csv,2016-02-11,-0.603901,0.0,34.54348,34.753356,-0.20987599999999418,-0.6039013901276015,-0.006057322493502788,1060.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5319242077044304,0.3,1.0,1,1,1,-0.006057322493502788,-0.006057322493502788,-0.20987599999999418,-0.20987599999999418
1136,T.csv,2016-02-12,0.71804,1.0,34.791516,34.54348,0.24803599999999904,0.7180399890225276,0.007154743560861579,1098.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5792396338431507,0.3,1.0,1,1,1,0.007154743560861579,0.007154743560861579,0.24803599999999904,0.24803599999999904
1240,T.csv,2016-02-18,0.955247,1.0,35.287584,34.95369,0.3338940000000008,0.9552467851033777,0.009507131517259688,1136.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6461997616444423,0.3,1.0,1,1,1,0.009507131517259688,0.009507131517259688,0.3338940000000008,0.3338940000000008
1263,T.csv,2016-02-19,-1.135448,0.0,34.886912,35.287584,-0.40067200000000014,-1.135447527379602,-0.011419429476831965,1240.0,2,Adv-ALSTM,kdd17,0.1,entr,0.49197129966350894,0.3,0.0,-1,-1,1,0.011419429476831965,0.011419429476831965,0.40067200000000014,0.40067200000000014
1302,T.csv,2016-02-22,0.793002,1.0,35.163566,34.886912,0.2766540000000006,0.7930022582680881,0.007898745198364214,1263.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5416816936981409,0.3,1.0,1,1,1,0.007898745198364214,0.007898745198364214,0.2766540000000006,0.2766540000000006
1364,T.csv,2016-02-24,0.979849,1.0,35.392518,35.04909,0.34342800000000295,0.9798485495629216,0.009750791635284228,1302.0,2,Adv-ALSTM,kdd17,0.1,entr,0.48330991375882404,0.3,0.0,-1,-1,1,-0.009750791635284228,-0.009750791635284228,-0.34342800000000295,-0.34342800000000295
1402,T.csv,2016-02-25,0.727764,1.0,35.650092,35.392518,0.2575739999999982,0.7277639867273591,0.007251285633423665,1364.0,2,Adv-ALSTM,kdd17,0.1,entr,0.48330991375882404,0.3,0.0,-1,-1,1,-0.007251285633423665,-0.007251285633423665,-0.2575739999999982,-0.2575739999999982
1441,T.csv,2016-02-26,-0.64222,0.0,35.42114,35.650092,-0.2289519999999996,-0.6422199415361947,-0.006442910459283247,1402.0,2,Adv-ALSTM,kdd17,0.1,entr,0.40131622711833936,0.3,0.0,-1,-1,1,0.006442910459283247,0.006442910459283247,0.2289519999999996,0.2289519999999996
1516,T.csv,2016-03-01,1.190794,1.0,35.669172,35.249424,0.41974800000000556,1.1907939261645966,0.011837597618287902,1441.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5217984709676377,0.3,1.0,1,1,1,0.011837597618287902,0.011837597618287902,0.41974800000000556,0.41974800000000556
1547,T.csv,2016-03-02,0.802351,1.0,35.955364,35.669172,0.2861919999999998,0.8023511170934938,0.007991493951503524,1516.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5112947360872375,0.3,0.0,-1,-1,1,-0.007991493951503524,-0.007991493951503524,-0.2861919999999998,-0.2861919999999998
1570,T.csv,2016-03-03,0.795976,1.0,36.24156,35.955364,0.2861959999999968,0.7959758104520838,0.007928246336895662,1547.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6341786357122057,0.3,1.0,1,1,1,0.007928246336895662,0.007928246336895662,0.2861959999999968,0.2861959999999968
1724,T.csv,2016-03-10,0.868883,1.0,36.546832,36.232018,0.3148140000000055,0.868883427911759,0.008651303600431313,1570.0,2,Adv-ALSTM,kdd17,0.1,entr,0.560127234322942,0.3,1.0,1,1,1,0.008651303600431313,0.008651303600431313,0.3148140000000055,0.3148140000000055
1840,T.csv,2016-03-16,0.649016,1.0,36.985661,36.747166,0.23849500000000035,0.6490160356855827,0.006469189951418936,1724.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6341786357122057,0.3,1.0,1,1,1,0.006469189951418936,0.006469189951418936,0.23849500000000035,0.23849500000000035
1873,T.csv,2016-03-17,0.902755,1.0,37.319551,36.985661,0.3338899999999967,0.9027552596667034,0.0089870478337977,1840.0,2,Adv-ALSTM,kdd17,0.1,entr,0.49761730339567445,0.3,0.0,-1,-1,1,-0.0089870478337977,-0.0089870478337977,-0.3338899999999967,-0.3338899999999967
1901,T.csv,2016-03-18,-1.431488,0.0,36.785326,37.319551,-0.5342249999999993,-1.431488283446924,-0.01441832917127582,1873.0,2,Adv-ALSTM,kdd17,0.1,entr,0.39017101687555217,0.3,0.0,-1,-1,1,0.01441832917127582,0.01441832917127582,0.5342249999999993,0.5342249999999993
1925,T.csv,2016-03-21,0.933603,1.0,37.128755,36.785326,0.34342900000000043,0.9336032525578282,0.00929272113625624,1901.0,2,Adv-ALSTM,kdd17,0.1,entr,0.49761730339567445,0.3,1.0,1,1,1,0.00929272113625624,0.00929272113625624,0.34342900000000043,0.34342900000000043
1953,T.csv,2016-03-22,-0.745113,0.0,36.852104,37.128755,-0.2766510000000011,-0.7451125145456698,-0.007479023447308809,1925.0,2,Adv-ALSTM,kdd17,0.1,entr,0.560127234322942,0.3,0.0,-1,-1,1,0.007479023447308809,0.007479023447308809,0.2766510000000011,0.2766510000000011
2004,T.csv,2016-03-24,0.882203,1.0,37.090599,36.766246,0.324352999999995,0.88220320344915,0.008783345273952206,1953.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5792396338431507,0.3,1.0,1,1,1,0.008783345273952206,0.008783345273952206,0.324352999999995,0.324352999999995
2056,T.csv,2016-03-29,0.972616,1.0,37.634365,37.271853,0.3625120000000024,0.9726159845071356,0.009679165224825995,2004.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5392763414970504,0.3,0.0,-1,-1,1,-0.009679165224825995,-0.009679165224825995,-0.3625120000000024,-0.3625120000000024
2108,T.csv,2016-03-31,-0.508003,0.0,37.367249,37.558045,-0.19079599999999886,-0.508003012403864,-0.005092977343860025,2056.0,2,Adv-ALSTM,kdd17,0.1,entr,0.45904333713922807,0.3,0.0,-1,-1,1,0.005092977343860025,0.005092977343860025,0.19079599999999886,0.19079599999999886
2170,T.csv,2016-04-04,0.793858,1.0,37.548507,37.252773,0.29573400000000305,0.7938576814134161,0.00790723209225801,2108.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6341786357122057,0.3,1.0,1,1,1,0.00790723209225801,0.00790723209225801,0.29573400000000305,0.29573400000000305
2358,T.csv,2016-04-12,0.729355,1.0,37.347696,37.077271,0.2704249999999959,0.7293551890590758,0.0072670825666694295,2170.0,2,Adv-ALSTM,kdd17,0.1,entr,0.45904333713922807,0.3,1.0,1,1,1,0.0072670825666694295,0.0072670825666694295,0.2704249999999959,0.2704249999999959
2397,T.csv,2016-04-13,-1.08611,0.0,36.942059,37.347696,-0.4056369999999987,-1.0861098366014297,-0.010920510675126165,2358.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6522587788817312,0.3,1.0,1,1,1,-0.010920510675126165,-0.010920510675126165,-0.4056369999999987,-0.4056369999999987
2503,T.csv,2016-04-19,0.698568,1.0,37.589147,37.328383,0.26076399999999467,0.698567628820125,0.006961389492461995,2397.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5709545676421635,0.3,1.0,1,1,1,0.006961389492461995,0.006961389492461995,0.26076399999999467,0.26076399999999467
2538,T.csv,2016-04-20,-0.513866,0.0,37.395989,37.589147,-0.19315799999999683,-0.5138664093654396,-0.005151912433321642,2503.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6003511877776578,0.3,0.0,-1,-1,1,0.005151912433321642,0.005151912433321642,0.19315799999999683,0.19315799999999683
2569,T.csv,2016-04-21,-2.221075,0.0,36.565396,37.395989,-0.8305930000000004,-2.2210750997921207,-0.022461123986933014,2538.0,2,Adv-ALSTM,kdd17,0.1,entr,0.4774049859313724,0.3,1.0,1,1,1,-0.022461123986933014,-0.022461123986933014,-0.8305930000000004,-0.8305930000000004
2601,T.csv,2016-04-22,0.554672,1.0,36.768214,36.565396,0.2028180000000006,0.5546719636237513,0.005531393234924349,2569.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5812594319855474,0.3,1.0,1,1,1,0.005531393234924349,0.005531393234924349,0.2028180000000006,0.2028180000000006
2676,T.csv,2016-04-27,1.653979,1.0,37.395989,36.787531,0.6084579999999988,1.6539788984479518,0.016404496443143145,2601.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5165944939436616,0.3,1.0,1,1,1,0.016404496443143145,0.016404496443143145,0.6084579999999988,0.6084579999999988
2772,T.csv,2016-05-02,0.721274,1.0,37.762992,37.492568,0.27042399999999844,0.7212736134798727,0.007186848758201473,2676.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6108643020548935,0.3,1.0,1,1,1,0.007186848758201473,0.007186848758201473,0.27042399999999844,0.27042399999999844
2889,T.csv,2016-05-06,0.645327,1.0,37.656757,37.415306,0.24145099999999786,0.645326808231898,0.006432534897908977,2772.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6039327503846452,0.3,1.0,1,1,1,0.006432534897908977,0.006432534897908977,0.24145099999999786,0.24145099999999786
2959,T.csv,2016-05-10,1.158005,1.0,37.965814,37.531201,0.4346129999999988,1.1580045093680822,0.01151350953536347,2889.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5533743429353012,0.3,1.0,1,1,1,0.01151350953536347,0.01151350953536347,0.4346129999999988,0.4346129999999988
3015,T.csv,2016-05-12,0.944357,1.0,38.197606,37.840259,0.3573469999999972,0.9443566440705313,0.009399254722472232,2959.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5966915958005322,0.3,1.0,1,1,1,0.009399254722472232,0.009399254722472232,0.3573469999999972,0.3573469999999972
3052,T.csv,2016-05-13,-1.011372,0.0,37.811286,38.197606,-0.3863199999999978,-1.0113722833834085,-0.010165214001070491,3015.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6191006644255871,0.3,0.0,-1,-1,1,0.010165214001070491,0.010165214001070491,0.3863199999999978,0.3863199999999978
3157,T.csv,2016-05-18,-1.687549,0.0,37.135221,37.772653,-0.6374319999999969,-1.6875489259385539,-0.017019502827071986,3052.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5666870774074232,0.3,1.0,1,1,1,-0.017019502827071986,-0.017019502827071986,-0.6374319999999969,-0.6374319999999969
3344,T.csv,2016-05-26,0.569658,1.0,37.511885,37.299406,0.21247900000000186,0.5696578653290132,0.0056804145069478135,3157.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5771993483670567,0.3,1.0,1,1,1,0.0056804145069478135,0.0056804145069478135,0.21247900000000186,0.21247900000000186
3410,T.csv,2016-06-01,-1.072804,0.0,37.405645,37.811286,-0.4056410000000028,-1.0728040299925339,-0.010786000630837506,3344.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5556469516188689,0.3,0.0,-1,-1,1,0.010786000630837506,0.010786000630837506,0.4056410000000028,0.4056410000000028
3462,T.csv,2016-06-03,0.952623,1.0,37.869232,37.511885,0.3573469999999972,0.9526234152189292,0.009481145706186741,3410.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5416816936981409,0.3,0.0,-1,-1,1,-0.009481145706186741,-0.009481145706186741,-0.3573469999999972,-0.3573469999999972
3509,T.csv,2016-06-07,1.143878,1.0,38.429401,37.994787,0.4346139999999963,1.143877974628457,0.011373851568871728,3462.0,2,Adv-ALSTM,kdd17,0.1,entr,0.4713934868100942,0.3,1.0,1,1,1,0.011373851568871728,0.011373851568871728,0.4346139999999963,0.4346139999999963
3561,T.csv,2016-06-09,0.577016,1.0,38.719141,38.497007,0.22213399999999695,0.577016285967366,0.0057535792328641455,3509.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5730569171314204,0.3,0.0,-1,-1,1,-0.0057535792328641455,-0.0057535792328641455,-0.22213399999999695,-0.22213399999999695
3592,T.csv,2016-06-10,0.598657,1.0,38.950936,38.719141,0.2317949999999982,0.5986573927350253,0.005968725591819234,3561.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5623351446188083,0.3,0.0,-1,-1,1,-0.005968725591819234,-0.005968725591819234,-0.2317949999999982,-0.2317949999999982
3734,T.csv,2016-06-17,0.592733,1.0,39.337256,39.105465,0.23179099999999409,0.592733010590704,0.005909832593126152,3592.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6423531620946674,0.3,0.0,-1,-1,1,-0.005909832593126152,-0.005909832593126152,-0.23179099999999409,-0.23179099999999409
