ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
7,CVX.csv,2016-01-04,-1.233883,0.0,85.06257,86.125255,-1.0626850000000019,-1.2338831391558747,-0.012415586806545049,,2,Adv-ALSTM,kdd17,0.1,entr,0.560127234322942,0.4,1.0,1,0,1,-0.0,-0.012415586806545049,-0.0,-1.0626850000000019
46,CVX.csv,2016-01-05,0.855377,1.0,85.790176,85.06257,0.7276060000000086,0.8553774004241921,0.008517397768259249,7.0,2,Adv-ALSTM,kdd17,0.1,entr,0.505897848305788,0.4,0.0,-1,0,1,0.0,-0.008517397768259249,0.0,-0.7276060000000086
74,CVX.csv,2016-01-06,-3.950453,0.0,82.401075,85.790176,-3.3891009999999966,-3.9504534878212585,-0.04030601815709474,46.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5645217214043494,0.4,0.0,-1,0,1,-0.0,0.04030601815709474,-0.0,3.3891009999999966
117,CVX.csv,2016-01-07,-3.543631,0.0,79.481085,82.401075,-2.9199900000000127,-3.5436309538437607,-0.036079414123377694,74.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5812594319855474,0.4,1.0,1,0,1,-0.0,-0.036079414123377694,-0.0,-2.9199900000000127
161,CVX.csv,2016-01-08,-1.07203,0.0,78.629024,79.481085,-0.852060999999992,-1.0720299049767528,-0.010778175462243945,117.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5416816936981409,0.4,1.0,1,0,1,-0.0,-0.010778175462243945,-0.0,-0.852060999999992
197,CVX.csv,2016-01-11,-1.655911,0.0,77.326997,78.629024,-1.3020269999999954,-1.6559114354516156,-0.016697749064720473,161.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6222638287869882,0.4,1.0,1,0,1,-0.0,-0.016697749064720473,-0.0,-1.3020269999999954
224,CVX.csv,2016-01-12,1.708561,1.0,78.648176,77.326997,1.3211790000000008,1.7085611122335458,0.0169412935847738,197.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5966915958005322,0.4,1.0,1,0,1,0.0,0.0169412935847738,0.0,1.3211790000000008
262,CVX.csv,2016-01-13,-0.998174,0.0,77.86313,78.648176,-0.7850460000000083,-0.9981744522593993,-0.01003189614734623,224.0,2,Adv-ALSTM,kdd17,0.1,entr,0.49761730339567445,0.4,0.0,-1,0,1,-0.0,0.01003189614734623,-0.0,0.7850460000000083
309,CVX.csv,2016-01-14,5.090372,1.0,81.826653,77.86313,3.963522999999995,5.0903720412986155,0.0496504800991393,262.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5217984709676377,0.4,1.0,1,0,1,0.0,0.0496504800991393,0.0,3.963522999999995
356,CVX.csv,2016-01-15,-2.106006,0.0,80.103379,81.826653,-1.7232739999999893,-2.106005728964607,-0.02128498387945615,309.0,2,Adv-ALSTM,kdd17,0.1,entr,0.41922414160647103,0.4,0.0,-1,0,1,-0.0,0.02128498387945615,-0.0,1.7232739999999893
401,CVX.csv,2016-01-19,-2.581565,0.0,78.035458,80.103379,-2.0679209999999983,-2.5815652545693464,-0.026154724815032667,356.0,2,Adv-ALSTM,kdd17,0.1,entr,0.45270073967914404,0.4,0.0,-1,0,1,-0.0,0.026154724815032667,-0.0,2.0679209999999983
436,CVX.csv,2016-01-20,-3.103912,0.0,75.613306,78.035458,-2.422152000000011,-3.103912070330914,-0.031531040149188866,401.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6669251684863668,0.4,1.0,1,0,1,-0.0,-0.031531040149188866,-0.0,-2.422152000000011
481,CVX.csv,2016-01-21,2.620916,1.0,77.595067,75.613306,1.9817610000000059,2.6209156890984318,0.025871582591533885,436.0,2,Adv-ALSTM,kdd17,0.1,entr,0.4329770364122215,0.4,0.0,-1,0,1,0.0,-0.025871582591533885,0.0,-1.9817610000000059
