ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
25,ORCL.csv,2016-01-04,-1.731722,0.0,35.211852,35.832369,-0.6205169999999995,-1.7317219522940266,-0.01746891643232515,,2,Adv-ALSTM,kdd17,0.1,entr,0.6868620016589055,0.5,1.0,1,0,1,-0.0,-0.01746891643232515,-0.0,-0.6205169999999995
137,ORCL.csv,2016-01-07,-2.17755,0.0,34.512541,35.280798,-0.7682569999999984,-2.1775499522431394,-0.022016084699464353,25.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6696343095488462,0.5,1.0,1,0,1,-0.0,-0.022016084699464353,-0.0,-0.7682569999999984
175,ORCL.csv,2016-01-08,-1.113013,0.0,34.128412,34.512541,-0.3841290000000015,-1.1130128030851207,-0.011192531376031076,137.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6630765353541633,0.5,1.0,1,0,1,-0.0,-0.011192531376031076,-0.0,-0.3841290000000015
208,ORCL.csv,2016-01-11,0.836933,1.0,34.414044,34.128412,0.28563199999999966,0.8369331687627296,0.008334503024668614,175.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6687480868518094,0.5,1.0,1,0,1,0.0,0.008334503024668614,0.0,0.28563199999999966
241,ORCL.csv,2016-01-12,1.230681,1.0,34.837571,34.414044,0.423527,1.2306807069811383,0.012231693960141688,208.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6650347397855725,0.5,1.0,1,0,1,0.0,0.012231693960141688,0.0,0.423527
282,ORCL.csv,2016-01-13,-3.647152,0.0,33.566992,34.837571,-1.270578999999998,-3.6471515192606225,-0.03715322767536394,241.0,2,Adv-ALSTM,kdd17,0.1,entr,0.44297150447050526,0.5,0.0,-1,0,1,-0.0,0.03715322767536394,-0.0,1.270578999999998
329,ORCL.csv,2016-01-14,2.083332,1.0,34.266304,33.566992,0.699311999999999,2.083332340294296,0.0206192774750063,282.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6889091903146469,0.5,1.0,1,0,1,0.0,0.0206192774750063,0.0,0.699311999999999
376,ORCL.csv,2016-01-15,-1.925848,0.0,33.606387,34.266304,-0.6599170000000001,-1.9258482035296252,-0.01944634244916638,329.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5004024235381879,0.5,0.0,-1,0,1,-0.0,0.01944634244916638,-0.0,0.6599170000000001
413,ORCL.csv,2016-01-19,1.26026,1.0,34.029915,33.606387,0.42352800000000457,1.2602604379935414,0.012523852523438921,376.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6930751788318458,0.5,1.0,1,0,1,0.0,0.012523852523438921,0.0,0.42352800000000457
456,ORCL.csv,2016-01-20,-1.765558,0.0,33.429097,34.029915,-0.6008180000000038,-1.765558333013773,-0.01781330231261517,413.0,2,Adv-ALSTM,kdd17,0.1,entr,0.46834720229396604,0.5,0.0,-1,0,1,-0.0,0.01781330231261517,-0.0,0.6008180000000038
541,ORCL.csv,2016-01-22,1.992969,1.0,34.276152,33.606387,0.6697650000000053,1.9929693721613253,0.019733697196646506,456.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5086085199812576,0.5,0.0,-1,0,1,0.0,-0.019733697196646506,0.0,-0.6697650000000053
581,ORCL.csv,2016-01-25,-1.321837,0.0,33.823077,34.276152,-0.45307500000000545,-1.3218374104537913,-0.013306514387334654,541.0,2,Adv-ALSTM,kdd17,0.1,entr,0.42270908780599087,0.5,0.0,-1,0,1,-0.0,0.013306514387334654,-0.0,0.45307500000000545
621,ORCL.csv,2016-01-26,2.591728,1.0,34.699679,33.823077,0.8766020000000054,2.5917275356112794,0.025587115190058754,581.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6567924418440357,0.5,0.0,-1,0,1,0.0,-0.025587115190058754,0.0,-0.8766020000000054
658,ORCL.csv,2016-01-27,-0.908317,0.0,34.384496,34.699679,-0.31518300000000465,-0.9083167599331529,-0.009124671079353936,621.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5139566706172256,0.5,0.0,-1,0,1,-0.0,0.009124671079353936,-0.0,0.31518300000000465
695,ORCL.csv,2016-01-28,1.2031,1.0,34.798176,34.384496,0.4136799999999994,1.20310037407557,0.011959206503463861,658.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5929533174474745,0.5,0.0,-1,0,1,0.0,-0.011959206503463861,0.0,-0.4136799999999994
740,ORCL.csv,2016-01-29,2.773847,1.0,35.763424,34.798176,0.9652480000000025,2.7738465372437986,0.02736072354866986,695.0,2,Adv-ALSTM,kdd17,0.1,entr,0.4261626606619693,0.5,0.0,-1,0,1,0.0,-0.02736072354866986,0.0,-0.9652480000000025
824,ORCL.csv,2016-02-02,-2.670706,0.0,34.817872,35.773271,-0.9553989999999999,-2.6707062935340744,-0.027070176264954348,740.0,2,Adv-ALSTM,kdd17,0.1,entr,0.23243549494150267,0.5,0.0,-1,-1,1,0.027070176264954348,0.027070176264954348,0.9553989999999999,0.9553989999999999
869,ORCL.csv,2016-02-03,0.961811,1.0,35.152754,34.817872,0.33488200000000035,0.9618106471297279,0.009572146945992045,824.0,2,Adv-ALSTM,kdd17,0.1,entr,0.4862229646617922,0.5,0.0,-1,0,1,0.0,-0.009572146945992045,0.0,-0.33488200000000035
910,ORCL.csv,2016-02-04,2.129452,1.0,35.901315,35.152754,0.7485609999999951,2.129451934263799,0.021070959233495872,869.0,2,Adv-ALSTM,kdd17,0.1,entr,0.3669249912727096,0.5,0.0,-1,0,1,0.0,-0.021070959233495872,0.0,-0.7485609999999951
951,ORCL.csv,2016-02-05,-2.057613,0.0,35.162605,35.901315,-0.7387099999999975,-2.0576126529069967,-0.020790764402535928,910.0,2,Adv-ALSTM,kdd17,0.1,entr,0.3162041108066972,0.5,0.0,-1,-1,1,0.020790764402535928,0.020790764402535928,0.7387099999999975,0.7387099999999975
1018,ORCL.csv,2016-02-09,-1.488343,0.0,34.551939,35.07396,-0.5220210000000023,-1.4883434890157892,-0.014995304598661103,951.0,2,Adv-ALSTM,kdd17,0.1,entr,0.4862229646617922,0.5,0.0,-1,0,1,-0.0,0.014995304598661103,-0.0,0.5220210000000023
1088,ORCL.csv,2016-02-11,-1.02273,0.0,34.31555,34.670132,-0.3545820000000006,-1.0227304585976211,-0.010279962807647767,1018.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5871968670690039,0.5,1.0,1,0,1,-0.0,-0.010279962807647767,-0.0,-0.3545820000000006
1128,ORCL.csv,2016-02-12,2.009188,1.0,35.005014,34.31555,0.689464000000001,2.0091882543045383,0.019892704163691172,1088.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5294276643957023,0.5,1.0,1,0,1,0.0,0.019892704163691172,0.0,0.689464000000001
