ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
38,VALE.csv,2016-01-04,-3.951364,0.0,3.14114,3.270364,-0.12922399999999978,-3.9513644352738653,-0.04031550234317877,,2,Adv-ALSTM,kdd17,0.1,entr,0.39763534227532993,0.5,0.0,-1,-1,1,0.04031550234317877,0.04031550234317877,0.12922399999999978,0.12922399999999978
104,VALE.csv,2016-01-06,-7.61906,0.0,2.892632,3.1312,-0.23856800000000034,-7.619059785385805,-0.07924950335162445,38.0,2,Adv-ALSTM,kdd17,0.1,entr,0.439669879401343,0.5,0.0,-1,-1,1,0.07924950335162445,0.07924950335162445,0.23856800000000034,0.23856800000000034
152,VALE.csv,2016-01-07,-6.872841,0.0,2.693826,2.892632,-0.19880599999999982,-6.872841066544234,-0.07120432637904499,104.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6905529364152048,0.5,0.0,-1,0,1,-0.0,0.07120432637904499,-0.0,0.19880599999999982
188,VALE.csv,2016-01-08,-4.059059,0.0,2.584482,2.693826,-0.10934400000000011,-4.0590594938203175,-0.04143738689593511,152.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6924990405193354,0.5,1.0,1,0,1,-0.0,-0.04143738689593511,-0.0,-0.10934400000000011
216,VALE.csv,2016-01-11,-2.307696,0.0,2.52484,2.584482,-0.05964199999999975,-2.3076964745740054,-0.023347406650111802,188.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6827430482038837,0.5,1.0,1,0,1,-0.0,-0.023347406650111802,-0.0,-0.05964199999999975
251,VALE.csv,2016-01-12,-6.692899,0.0,2.355855,2.52484,-0.16898500000000016,-6.692899352038155,-0.06927397547909984,216.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6650347397855725,0.5,1.0,1,0,1,-0.0,-0.06927397547909984,-0.0,-0.16898500000000016
296,VALE.csv,2016-01-13,-5.907155,0.0,2.216691,2.355855,-0.13916400000000007,-5.9071547272646265,-0.060888175520848194,251.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6510819591876105,0.5,1.0,1,0,1,-0.0,-0.060888175520848194,-0.0,-0.13916400000000007
343,VALE.csv,2016-01-14,9.417009,1.0,2.425437,2.216691,0.2087460000000001,9.417009407265157,0.08999617095681889,296.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6589556806830628,0.5,1.0,1,0,1,0.0,0.08999617095681889,0.0,0.2087460000000001
390,VALE.csv,2016-01-15,-2.868844,0.0,2.355855,2.425437,-0.06958200000000003,-2.8688438413366346,-0.02910799543597075,343.0,2,Adv-ALSTM,kdd17,0.1,entr,0.4774049859313724,0.5,0.0,-1,-1,1,0.02910799543597075,0.02910799543597075,0.06958200000000003,0.06958200000000003
425,VALE.csv,2016-01-19,-1.687752,0.0,2.316094,2.355855,-0.039760999999999935,-1.68775242958501,-0.017021572797404905,390.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6761223439739077,0.5,1.0,1,0,1,-0.0,-0.017021572797404905,-0.0,-0.039760999999999935
507,VALE.csv,2016-01-21,-5.579394,0.0,2.18687,2.316094,-0.12922400000000023,-5.579393582471187,-0.05741084833678566,425.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5217984709676377,0.5,0.0,-1,0,1,-0.0,0.05741084833678566,-0.0,0.12922400000000023
554,VALE.csv,2016-01-22,3.181808,1.0,2.256452,2.18687,0.06958200000000003,3.181807789214724,0.03132237040776913,507.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6461997616444423,0.5,1.0,1,0,1,0.0,0.03132237040776913,0.0,0.06958200000000003
593,VALE.csv,2016-01-25,-5.286352,0.0,2.137168,2.256452,-0.11928399999999995,-5.286352202484252,-0.054312080049740565,554.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5852379538624384,0.5,0.0,-1,0,1,-0.0,0.054312080049740565,-0.0,0.11928399999999995
633,VALE.csv,2016-01-26,3.255804,1.0,2.20675,2.137168,0.06958200000000003,3.2558039424135132,0.032039256790508605,593.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6125493860067904,0.5,1.0,1,0,1,0.0,0.032039256790508605,0.0,0.06958200000000003
666,VALE.csv,2016-01-27,4.054061,1.0,2.296213,2.20675,0.08946299999999985,4.0540614025150035,0.03974039927108441,633.0,2,Adv-ALSTM,kdd17,0.1,entr,0.49197129966350894,0.5,0.0,-1,-1,1,-0.03974039927108441,-0.03974039927108441,-0.08946299999999985,-0.08946299999999985
707,VALE.csv,2016-01-28,-1.73159,0.0,2.256452,2.296213,-0.039760999999999935,-1.7315902313940361,-0.017467576011852393,666.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6125493860067904,0.5,1.0,1,0,1,-0.0,-0.017467576011852393,-0.0,-0.039760999999999935
755,VALE.csv,2016-01-29,7.929528,1.0,2.435378,2.256452,0.17892600000000014,7.929528303726388,0.0763083124488638,707.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6923469670899615,0.5,1.0,1,0,1,0.0,0.0763083124488638,0.0,0.17892600000000014
792,VALE.csv,2016-02-01,-3.265325,0.0,2.355855,2.435378,-0.07952300000000001,-3.2653247257715234,-0.03319826172244228,755.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5031625433421463,0.5,0.0,-1,0,1,-0.0,0.03319826172244228,-0.0,0.07952300000000001
837,VALE.csv,2016-02-02,-8.860775,0.0,2.147108,2.355855,-0.20874700000000024,-8.860774538331103,-0.09278189852433501,792.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5929533174474745,0.5,0.0,-1,0,1,-0.0,0.09278189852433501,-0.0,0.20874700000000024
883,VALE.csv,2016-02-03,7.407406,1.0,2.306153,2.147108,0.15904500000000033,7.4074056824342485,0.07145894792204995,837.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6174910645388487,0.5,0.0,-1,0,1,0.0,-0.07145894792204995,0.0,-0.15904500000000033
922,VALE.csv,2016-02-04,15.948291,1.0,2.673945,2.306153,0.3677919999999997,15.94829137529035,0.14797414172984585,883.0,2,Adv-ALSTM,kdd17,0.1,entr,0.3939204149736461,0.5,0.0,-1,-1,1,-0.14797414172984585,-0.14797414172984585,-0.3677919999999997,-0.3677919999999997
960,VALE.csv,2016-02-05,-2.973958,0.0,2.594423,2.673945,-0.07952199999999987,-2.973957953510632,-0.030190768811517343,922.0,2,Adv-ALSTM,kdd17,0.1,entr,0.283627096116858,0.5,0.0,-1,-1,1,0.030190768811517343,0.030190768811517343,0.07952199999999987,0.07952199999999987
998,VALE.csv,2016-02-08,-3.448281,0.0,2.50496,2.594423,-0.08946299999999985,-3.448281178512519,-0.03509137487443705,960.0,2,Adv-ALSTM,kdd17,0.1,entr,0.35887877344212193,0.5,0.0,-1,-1,1,0.03509137487443705,0.03509137487443705,0.08946299999999985,0.08946299999999985
1029,VALE.csv,2016-02-09,-1.984143,0.0,2.455258,2.50496,-0.04970199999999991,-1.9841434593765934,-0.02004091897102714,998.0,2,Adv-ALSTM,kdd17,0.1,entr,0.40496348506393853,0.5,0.0,-1,-1,1,0.02004091897102714,0.02004091897102714,0.04970199999999991,0.04970199999999991
