ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
32,SPY.csv,2016-01-04,-1.397945,0.0,196.794026,199.584102,-2.790075999999999,-1.397945012674406,-0.014078082940239756,,2,Adv-ALSTM,kdd17,0.1,entr,0.5319242077044304,0.6,1.0,1,0,1,-0.0,-0.014078082940239756,-0.0,-2.790075999999999
98,SPY.csv,2016-01-06,-1.261419,0.0,194.640278,197.126874,-2.4865959999999916,-1.2614190797749838,-0.012694425144132751,32.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6423531620946674,0.6,1.0,1,0,1,-0.0,-0.012694425144132751,-0.0,-2.4865959999999916
145,SPY.csv,2016-01-07,-2.399157,0.0,189.970552,194.640278,-4.669725999999997,-2.399157074775652,-0.02428405607740114,98.0,2,Adv-ALSTM,kdd17,0.1,entr,0.4774049859313724,0.6,1.0,1,0,1,-0.0,-0.02428405607740114,-0.0,-4.669725999999997
182,SPY.csv,2016-01-08,-1.097657,0.0,187.885326,189.970552,-2.085226000000006,-1.097657493778302,-0.011037262036065004,145.0,2,Adv-ALSTM,kdd17,0.1,entr,0.49480699335306666,0.6,1.0,1,0,1,-0.0,-0.011037262036065004,-0.0,-2.085226000000006
246,SPY.csv,2016-01-12,0.806831,1.0,189.588752,188.071334,1.5174179999999922,0.8068310931425584,0.008035936134153035,182.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6396999682785772,0.6,1.0,1,0,1,0.0,0.008035936134153035,0.0,1.5174179999999922
290,SPY.csv,2016-01-13,-2.494063,0.0,184.86029,189.588752,-4.7284620000000075,-2.494062516957761,-0.02525691257648119,246.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5487635832151017,0.6,0.0,-1,0,1,-0.0,0.02525691257648119,-0.0,4.7284620000000075
336,SPY.csv,2016-01-14,1.641683,1.0,187.89511,184.86029,3.0348199999999963,1.6416830245154306,0.016283531009535664,290.0,2,Adv-ALSTM,kdd17,0.1,entr,0.557897875664777,0.6,1.0,1,0,1,0.0,0.016283531009535664,0.0,3.0348199999999963
383,SPY.csv,2016-01-15,-2.146613,0.0,183.861729,187.89511,-4.0333809999999914,-2.1466130757740274,-0.021699879314010323,336.0,2,Adv-ALSTM,kdd17,0.1,entr,0.557897875664777,0.6,0.0,-1,0,1,-0.0,0.021699879314010323,-0.0,4.0333809999999914
462,SPY.csv,2016-01-20,-1.281508,0.0,181.747134,184.106473,-2.3593390000000056,-1.281507902223517,-0.012897900483970461,383.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6108643020548935,0.6,1.0,1,0,1,-0.0,-0.012897900483970461,-0.0,-2.3593390000000056
502,SPY.csv,2016-01-21,0.560199,1.0,182.765279,181.747134,1.018145000000004,0.5601986549069897,0.005586353778295763,462.0,2,Adv-ALSTM,kdd17,0.1,entr,0.46527357921001766,0.6,0.0,-1,0,1,0.0,-0.005586353778295763,0.0,-1.018145000000004
