ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
39,VZ.csv,2016-01-04,-0.757252,0.0,43.426344,43.7577,-0.33135599999999954,-0.7572518665286329,-0.007601335755566264,,2,Adv-ALSTM,kdd17,0.1,entr,0.5645217214043494,0.6,1.0,1,0,1,-0.0,-0.007601335755566264,-0.0,-0.33135599999999954
65,VZ.csv,2016-01-05,1.373447,1.0,44.022782,43.426344,0.5964379999999991,1.3734474170793634,0.01364101108561288,39.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5243649481876823,0.6,0.0,-1,0,1,0.0,-0.01364101108561288,0.0,-0.5964379999999991
105,VZ.csv,2016-01-06,-0.90345,0.0,43.625058,44.022782,-0.39772399999999664,-0.9034503998406931,-0.009075562612885491,65.0,2,Adv-ALSTM,kdd17,0.1,entr,0.46834720229396604,0.6,0.0,-1,0,1,-0.0,0.009075562612885491,-0.0,0.39772399999999664
153,VZ.csv,2016-01-07,-0.549207,0.0,43.385466,43.625058,-0.2395920000000018,-0.549207292744463,-0.005507209807303137,105.0,2,Adv-ALSTM,kdd17,0.1,entr,0.49480699335306666,0.6,1.0,1,0,1,-0.0,-0.005507209807303137,-0.0,-0.2395920000000018
189,VZ.csv,2016-01-08,-0.971943,0.0,42.963784,43.385466,-0.4216820000000041,-0.9719430004508978,-0.009766971968989893,153.0,2,Adv-ALSTM,kdd17,0.1,entr,0.4295851999835733,0.6,1.0,1,0,1,-0.0,-0.009766971968989893,-0.0,-0.4216820000000041
217,VZ.csv,2016-01-11,0.579965,1.0,43.212959,42.963784,0.24917500000000103,0.579965209768304,0.005782898859548077,189.0,2,Adv-ALSTM,kdd17,0.1,entr,0.4085775194420864,0.6,1.0,1,0,1,0.0,0.005782898859548077,0.0,0.24917500000000103
297,VZ.csv,2016-01-13,-1.73603,0.0,42.312091,43.059619,-0.7475279999999955,-1.7360302235837142,-0.017512759326690594,217.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5487635832151017,0.6,0.0,-1,0,1,-0.0,0.017512759326690594,-0.0,0.7475279999999955
344,VZ.csv,2016-01-14,1.630799,1.0,43.002116,42.312091,0.6900249999999986,1.630798629167248,0.01617643933367228,297.0,2,Adv-ALSTM,kdd17,0.1,entr,0.39763534227532993,0.6,1.0,1,0,1,0.0,0.01617643933367228,0.0,0.6900249999999986
391,VZ.csv,2016-01-15,-0.980608,0.0,42.580434,43.002116,-0.4216820000000041,-0.9806075589396673,-0.009854471793085285,344.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6298478604603786,0.6,0.0,-1,0,1,-0.0,0.009854471793085285,-0.0,0.4216820000000041
426,VZ.csv,2016-01-19,0.990319,1.0,43.002116,42.580434,0.4216820000000041,0.9903186989592546,0.009854471793085158,391.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5368484029613974,0.6,0.0,-1,0,1,0.0,-0.009854471793085158,0.0,-0.4216820000000041
469,VZ.csv,2016-01-20,-1.002899,0.0,42.570848,43.002116,-0.43126800000000287,-1.0028994852253383,-0.010079624011944248,426.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6056944697143358,0.6,0.0,-1,0,1,-0.0,0.010079624011944248,-0.0,0.43126800000000287
508,VZ.csv,2016-01-21,3.264297,1.0,43.960487,42.570848,1.3896390000000025,3.2642972016907033,0.03212150795380867,469.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5464251820728714,0.6,0.0,-1,0,1,0.0,-0.03212150795380867,0.0,-1.3896390000000025
555,VZ.csv,2016-01-22,2.550691,1.0,45.081783,43.960487,1.121296000000001,2.5506905781093847,0.025187032570124734,508.0,2,Adv-ALSTM,kdd17,0.1,entr,0.4774049859313724,0.6,0.0,-1,0,1,0.0,-0.025187032570124734,0.0,-1.121296000000001
634,VZ.csv,2016-01-26,2.594091,1.0,46.241411,45.072197,1.1692139999999966,2.5940914306884055,0.025610156695452666,555.0,2,Adv-ALSTM,kdd17,0.1,entr,0.46217237399048117,0.6,0.0,-1,0,1,0.0,-0.025610156695452666,0.0,-1.1692139999999966
667,VZ.csv,2016-01-27,1.616579,1.0,46.98894,46.241411,0.7475290000000001,1.6165791307709017,0.016036516264787002,634.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5192083729181044,0.6,0.0,-1,0,1,0.0,-0.016036516264787002,0.0,-0.7475290000000001
756,VZ.csv,2016-01-29,1.95879,1.0,47.889811,46.969772,0.9200390000000027,1.9587895806690367,0.019398521937675717,667.0,2,Adv-ALSTM,kdd17,0.1,entr,0.33806977200113625,0.6,0.0,-1,0,1,0.0,-0.019398521937675717,0.0,-0.9200390000000027
793,VZ.csv,2016-02-01,1.580944,1.0,48.646922,47.889811,0.7571110000000019,1.5809438045182551,0.01568577058537893,756.0,2,Adv-ALSTM,kdd17,0.1,entr,0.4295851999835733,0.6,0.0,-1,0,1,0.0,-0.01568577058537893,0.0,-0.7571110000000019
838,VZ.csv,2016-02-02,-1.674544,0.0,47.832308,48.646922,-0.8146140000000059,-1.6745437666128307,-0.016887227626193786,793.0,2,Adv-ALSTM,kdd17,0.1,entr,0.34231331619135297,0.6,0.0,-1,0,1,-0.0,0.016887227626193786,-0.0,0.8146140000000059
