ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
29,PTR.csv,2016-01-04,-1.707571,0.0,63.810127,64.918659,-1.1085320000000038,-1.707570700127992,-0.01722317807888234,,2,Adv-ALSTM,kdd17,0.1,entr,0.6640641265641081,0.7,0.0,-1,0,1,-0.0,0.01722317807888234,-0.0,1.1085320000000038
58,PTR.csv,2016-01-05,-1.023732,0.0,63.156882,63.810127,-0.6532449999999983,-1.023732486851183,-0.010290086680840221,29.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6849326630370529,0.7,0.0,-1,0,1,-0.0,0.010290086680840221,-0.0,0.6532449999999983
95,PTR.csv,2016-01-06,-3.494748,0.0,60.949708,63.156882,-2.207174000000002,-3.494748204954136,-0.03557275637742579,58.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6910977801629237,0.7,1.0,1,0,1,-0.0,-0.03557275637742579,-0.0,-2.207174000000002
141,PTR.csv,2016-01-07,-4.352064,0.0,58.297138,60.949708,-2.6525700000000043,-4.352063507835024,-0.04449606386130586,95.0,2,Adv-ALSTM,kdd17,0.1,entr,0.691994737783755,0.7,1.0,1,0,1,-0.0,-0.04449606386130586,-0.0,-2.6525700000000043
178,PTR.csv,2016-01-08,-0.747033,0.0,57.861639,58.297138,-0.4354990000000001,-0.7470332420092392,-0.0074983750993727364,141.0,2,Adv-ALSTM,kdd17,0.1,entr,0.683314913574166,0.7,1.0,1,0,1,-0.0,-0.0074983750993727364,-0.0,-0.4354990000000001
210,PTR.csv,2016-01-11,-2.600068,0.0,56.357197,57.861639,-1.5044419999999974,-2.6000680692781577,-0.026344674203071627,178.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6761223439739077,0.7,1.0,1,0,1,-0.0,-0.026344674203071627,-0.0,-1.5044419999999974
242,PTR.csv,2016-01-12,0.807872,1.0,56.812491,56.357197,0.4552940000000021,0.8078719741863707,0.008046261581930152,210.0,2,Adv-ALSTM,kdd17,0.1,entr,0.678968036741767,0.7,1.0,1,0,1,0.0,0.008046261581930152,0.0,0.4552940000000021
286,PTR.csv,2016-01-13,-2.125438,0.0,55.604977,56.812491,-1.2075140000000033,-2.125437520421351,-0.021483501882991383,242.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6730116670092565,0.7,1.0,1,0,1,-0.0,-0.021483501882991383,-0.0,-1.2075140000000033
332,PTR.csv,2016-01-14,3.951587,1.0,57.802256,55.604977,2.1972790000000018,3.95158692359499,0.03875509441965298,286.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6091601703774071,0.7,1.0,1,0,1,0.0,0.03875509441965298,0.0,2.1972790000000018
380,PTR.csv,2016-01-15,-5.787674,0.0,54.45685,57.802256,-3.345405999999997,-5.787673754463834,-0.05961916110269102,332.0,2,Adv-ALSTM,kdd17,0.1,entr,0.46527357921001766,0.7,0.0,-1,0,1,-0.0,0.05961916110269102,-0.0,3.345405999999997
416,PTR.csv,2016-01-19,2.508182,1.0,55.822727,54.45685,1.3658769999999976,2.508182166247217,0.02477243541661293,380.0,2,Adv-ALSTM,kdd17,0.1,entr,0.44624366428015794,0.7,0.0,-1,0,1,0.0,-0.02477243541661293,0.0,-1.3658769999999976
458,PTR.csv,2016-01-20,-4.16667,0.0,53.496778,55.822727,-2.3259490000000014,-4.166670324077864,-0.04255965258308736,416.0,2,Adv-ALSTM,kdd17,0.1,entr,0.42270908780599087,0.7,0.0,-1,0,1,-0.0,0.04255965258308736,-0.0,2.3259490000000014
498,PTR.csv,2016-01-21,2.775206,1.0,54.981424,53.496778,1.484645999999998,2.7752063871958756,0.02737395493974425,458.0,2,Adv-ALSTM,kdd17,0.1,entr,0.4329770364122215,0.7,0.0,-1,0,1,0.0,-0.02737395493974425,0.0,-1.484645999999998
544,PTR.csv,2016-01-22,6.804686,1.0,58.722737,54.981424,3.741313000000005,6.804685524332737,0.06583161152633822,498.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6859298002523728,0.7,0.0,-1,0,1,0.0,-0.06583161152633822,0.0,-3.741313000000005
584,PTR.csv,2016-01-25,-3.387834,0.0,56.733308,58.722737,-1.9894290000000012,-3.3878342557500365,-0.03446551331784755,544.0,2,Adv-ALSTM,kdd17,0.1,entr,0.40496348506393853,0.7,0.0,-1,0,1,-0.0,0.03446551331784755,-0.0,1.9894290000000012
624,PTR.csv,2016-01-26,1.988833,1.0,57.861639,56.733308,1.1283309999999958,1.988833438021974,0.01969314520541044,584.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6600115406504978,0.7,0.0,-1,0,1,0.0,-0.01969314520541044,0.0,-1.1283309999999958
659,PTR.csv,2016-01-27,0.906608,1.0,58.386217,57.861639,0.5245780000000053,0.9066075712096668,0.009025225562416353,624.0,2,Adv-ALSTM,kdd17,0.1,entr,0.46834720229396604,0.7,0.0,-1,0,1,0.0,-0.009025225562416353,0.0,-0.5245780000000053
699,PTR.csv,2016-01-28,0.864552,1.0,58.890996,58.386217,0.5047789999999992,0.8645516458105159,0.008608357996492889,659.0,2,Adv-ALSTM,kdd17,0.1,entr,0.3669249912727096,0.7,0.0,-1,0,1,0.0,-0.008608357996492889,0.0,-0.5047789999999992
