ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
24,NTT.csv,2016-01-04,-1.434333,0.0,39.169998,39.740002,-0.5700039999999973,-1.4343330933903762,-0.0144471908325414,,2,Adv-ALSTM,kdd17,0.1,entr,0.5243649481876823,0.8,1.0,1,0,1,-0.0,-0.0144471908325414,-0.0,-0.5700039999999973
55,NTT.csv,2016-01-05,3.44652,1.0,40.52,39.169998,1.3500020000000035,3.4465204721225757,0.033884582762228346,24.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5771993483670567,0.8,0.0,-1,0,1,0.0,-0.033884582762228346,0.0,-1.3500020000000035
91,NTT.csv,2016-01-06,0.765059,1.0,40.830002,40.52,0.3100019999999972,0.7650592300098648,0.007621474934591025,55.0,2,Adv-ALSTM,kdd17,0.1,entr,0.41922414160647103,0.8,0.0,-1,0,1,0.0,-0.007621474934591025,0.0,-0.3100019999999972
135,NTT.csv,2016-01-07,-1.542985,0.0,40.200001,40.830002,-0.630001,-1.5429854742598348,-0.01555013381447678,91.0,2,Adv-ALSTM,kdd17,0.1,entr,0.39017101687555217,0.8,0.0,-1,0,1,-0.0,0.01555013381447678,-0.0,0.630001
239,NTT.csv,2016-01-12,0.649024,1.0,40.32,40.060001,0.25999900000000054,0.6490239478526237,0.006469268562885131,135.0,2,Adv-ALSTM,kdd17,0.1,entr,0.439669879401343,0.8,0.0,-1,0,1,0.0,-0.006469268562885131,0.0,-0.25999900000000054
280,NTT.csv,2016-01-13,-1.289685,0.0,39.799999,40.32,-0.5200010000000006,-1.2896850198412713,-0.012980736598349604,239.0,2,Adv-ALSTM,kdd17,0.1,entr,0.307140834123651,0.8,0.0,-1,0,1,-0.0,0.012980736598349604,-0.0,0.5200010000000006
327,NTT.csv,2016-01-14,1.457291,1.0,40.380001,39.799999,0.5800020000000004,1.4572914939017971,0.014467750484662532,280.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5792396338431507,0.8,1.0,1,0,1,0.0,0.014467750484662532,0.0,0.5800020000000004
374,NTT.csv,2016-01-15,-0.619118,0.0,40.130001,40.380001,-0.25,-0.6191183601010808,-0.006210428451587873,327.0,2,Adv-ALSTM,kdd17,0.1,entr,0.4862229646617922,0.8,0.0,-1,0,1,-0.0,0.006210428451587873,-0.0,0.25
454,NTT.csv,2016-01-20,-2.880554,0.0,39.110001,40.27,-1.1599990000000062,-2.8805537621058015,-0.029228560527032287,374.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6222638287869882,0.8,1.0,1,0,1,-0.0,-0.029228560527032287,-0.0,-1.1599990000000062
494,NTT.csv,2016-01-21,-1.508568,0.0,38.52,39.110001,-0.5900009999999938,-1.508568102567918,-0.015200627406405681,454.0,2,Adv-ALSTM,kdd17,0.1,entr,0.439669879401343,0.8,0.0,-1,0,1,-0.0,0.015200627406405681,-0.0,0.5900009999999938
539,NTT.csv,2016-01-22,2.777778,1.0,39.59,38.52,1.0700000000000003,2.777777777777778,0.027398974188114347,494.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5929533174474745,0.8,1.0,1,0,1,0.0,0.027398974188114347,0.0,1.0700000000000003
619,NTT.csv,2016-01-26,0.68476,1.0,39.700001,39.43,0.2700010000000006,0.6847603347704808,0.0068242649925254195,539.0,2,Adv-ALSTM,kdd17,0.1,entr,0.4295851999835733,0.8,1.0,1,0,1,0.0,0.0068242649925254195,0.0,0.2700010000000006
656,NTT.csv,2016-01-27,1.964733,1.0,40.48,39.700001,0.7799989999999966,1.9647329479916047,0.01945681209714867,619.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6158626971929863,0.8,1.0,1,0,1,0.0,0.01945681209714867,0.0,0.7799989999999966
693,NTT.csv,2016-01-28,2.692688,1.0,41.57,40.48,1.0900000000000034,2.6926877470355817,0.02657072828533595,656.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5464251820728714,0.8,1.0,1,0,1,0.0,0.02657072828533595,0.0,1.0900000000000034
738,NTT.csv,2016-01-29,2.862637,1.0,42.759998,41.57,1.1899980000000028,2.862636516718794,0.028224286119612543,693.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5666870774074232,0.8,0.0,-1,0,1,0.0,-0.028224286119612543,0.0,-1.1899980000000028
781,NTT.csv,2016-02-01,3.507952,1.0,44.259998,42.759998,1.5,3.5079515204841685,0.03447825005121578,738.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5510799280869728,0.8,0.0,-1,0,1,0.0,-0.03447825005121578,0.0,-1.5
822,NTT.csv,2016-02-02,-1.400811,0.0,43.639999,44.259998,-0.619999,-1.400811179431142,-0.014107151385261594,781.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5004024235381879,0.8,0.0,-1,0,1,-0.0,0.014107151385261594,-0.0,0.619999
867,NTT.csv,2016-02-03,2.658112,1.0,44.799999,43.639999,1.1599999999999966,2.6581118849246455,0.02623397904939783,822.0,2,Adv-ALSTM,kdd17,0.1,entr,0.60215168259268,0.8,0.0,-1,0,1,0.0,-0.02623397904939783,0.0,-1.1599999999999966
908,NTT.csv,2016-02-04,-1.696424,0.0,44.040001,44.799999,-0.7599980000000031,-1.6964241450094744,-0.017109782538401477,867.0,2,Adv-ALSTM,kdd17,0.1,entr,0.4713934868100942,0.8,0.0,-1,0,1,-0.0,0.017109782538401477,-0.0,0.7599980000000031
949,NTT.csv,2016-02-05,2.293365,1.0,45.049999,44.040001,1.009998000000003,2.293365070541218,0.022674627295679095,908.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5165944939436616,0.8,0.0,-1,0,1,0.0,-0.022674627295679095,0.0,-1.009998000000003
985,NTT.csv,2016-02-08,-1.709212,0.0,44.279999,45.049999,-0.7700000000000031,-1.7092120246218054,-0.01723987659991181,949.0,2,Adv-ALSTM,kdd17,0.1,entr,0.44297150447050526,0.8,0.0,-1,0,1,-0.0,0.01723987659991181,-0.0,0.7700000000000031
