ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
31,RIO.csv,2016-01-04,-2.438192,0.0,26.946867,27.620303,-0.6734359999999988,-2.438191934389709,-0.024684079954269078,,2,Adv-ALSTM,kdd17,0.1,entr,0.6859298002523728,0.8,0.0,-1,0,1,-0.0,0.024684079954269078,-0.0,0.6734359999999988
60,RIO.csv,2016-01-05,0.844774,1.0,27.174507,26.946867,0.2276399999999974,0.8447735315574809,0.008412252890305687,31.0,2,Adv-ALSTM,kdd17,0.1,entr,0.46834720229396604,0.8,0.0,-1,0,1,0.0,-0.008412252890305687,0.0,-0.2276399999999974
97,RIO.csv,2016-01-06,-5.654447,0.0,25.637939,27.174507,-1.536567999999999,-5.6544466473669575,-0.058206044562020685,60.0,2,Adv-ALSTM,kdd17,0.1,entr,0.3748196691868336,0.8,0.0,-1,0,1,-0.0,0.058206044562020685,-0.0,1.536567999999999
143,RIO.csv,2016-01-07,-4.513506,0.0,24.480769,25.637939,-1.1571700000000007,-4.513506331378668,-0.046185376056929656,97.0,2,Adv-ALSTM,kdd17,0.1,entr,0.4891100242677579,0.8,0.0,-1,0,1,-0.0,0.046185376056929656,-0.0,1.1571700000000007
180,RIO.csv,2016-01-08,-2.867108,0.0,23.778879,24.480769,-0.7018899999999988,-2.867107646822691,-0.029090120852101088,143.0,2,Adv-ALSTM,kdd17,0.1,entr,0.33806977200113625,0.8,0.0,-1,0,1,-0.0,0.029090120852101088,-0.0,0.7018899999999988
211,RIO.csv,2016-01-11,-1.316315,0.0,23.465874,23.778879,-0.3130050000000004,-1.3163152056074654,-0.013250554181033693,180.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5217984709676377,0.8,0.0,-1,0,1,-0.0,0.013250554181033693,-0.0,0.3130050000000004
244,RIO.csv,2016-01-12,-2.91026,0.0,22.782956,23.465874,-0.6829180000000008,-2.91026023577899,-0.029534482965784026,211.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5852379538624384,0.8,0.0,-1,0,1,-0.0,0.029534482965784026,-0.0,0.6829180000000008
288,RIO.csv,2016-01-13,-0.874276,0.0,22.58377,22.782956,-0.19918599999999742,-0.8742763669472804,-0.008781205852384255,244.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6610502784404404,0.8,0.0,-1,0,1,-0.0,0.008781205852384255,-0.0,0.19918599999999742
334,RIO.csv,2016-01-14,5.837887,1.0,23.902185,22.58377,1.3184149999999981,5.837887119820995,0.0567383706546921,288.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6854393565969992,0.8,0.0,-1,0,1,0.0,-0.0567383706546921,0.0,-1.3184149999999981
382,RIO.csv,2016-01-15,-6.269841,0.0,22.403556,23.902185,-1.498629000000001,-6.2698410208104445,-0.06475018109127023,334.0,2,Adv-ALSTM,kdd17,0.1,entr,0.4744126705931132,0.8,0.0,-1,0,1,-0.0,0.06475018109127023,-0.0,1.498629000000001
