ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
40,WFC.csv,2016-01-04,-2.667402,0.0,51.262457,52.667306,-1.4048490000000058,-2.667402429886969,-0.02703623162765776,,2,Adv-ALSTM,kdd17,0.1,entr,0.5464251820728714,0.8,1.0,1,0,1,-0.0,-0.02703623162765776,-0.0,-1.4048490000000058
106,WFC.csv,2016-01-06,-1.90962,0.0,50.264531,51.243079,-0.9785480000000035,-1.9096198337340415,-0.019280885731071347,40.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6327532106005813,0.8,1.0,1,0,1,-0.0,-0.019280885731071347,-0.0,-0.9785480000000035
154,WFC.csv,2016-01-07,-2.852737,0.0,48.830616,50.264531,-1.433914999999999,-2.852737251243822,-0.028942186076183967,106.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5871968670690039,0.8,1.0,1,0,1,-0.0,-0.028942186076183967,-0.0,-1.433914999999999
190,WFC.csv,2016-01-08,-1.666667,0.0,48.016772,48.830616,-0.813843999999996,-1.6666674858248687,-0.01680712664680366,154.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6039327503846452,0.8,1.0,1,0,1,-0.0,-0.01680712664680366,-0.0,-0.813843999999996
218,WFC.csv,2016-01-11,1.06941,1.0,48.530268,48.016772,0.5134959999999964,1.069409663773309,0.01063731921641066,190.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6174910645388487,0.8,1.0,1,0,1,0.0,0.01063731921641066,0.0,0.5134959999999964
252,WFC.csv,2016-01-12,2.535436,1.0,49.760722,48.530268,1.2304540000000017,2.5354362353820132,0.025038272212780998,218.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6849326630370529,0.8,1.0,1,0,1,0.0,0.025038272212780998,0.0,1.2304540000000017
298,WFC.csv,2016-01-13,-3.173678,0.0,48.181477,49.760722,-1.5792450000000002,-3.1736778256553437,-0.03225130538131216,252.0,2,Adv-ALSTM,kdd17,0.1,entr,0.35067649762003944,0.8,0.0,-1,0,1,-0.0,0.03225130538131216,-0.0,1.5792450000000002
345,WFC.csv,2016-01-14,1.829882,1.0,49.063141,48.181477,0.8816640000000007,1.8298816368788378,0.01813340783478385,298.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6844097029195598,0.8,1.0,1,0,1,0.0,0.01813340783478385,0.0,0.8816640000000007
392,WFC.csv,2016-01-15,-3.593997,0.0,47.299813,49.063141,-1.7633280000000013,-3.5939973757489385,-0.036601718423733984,345.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5139566706172256,0.8,0.0,-1,0,1,-0.0,0.036601718423733984,-0.0,1.7633280000000013
427,WFC.csv,2016-01-19,-1.249489,0.0,46.708807,47.299813,-0.5910060000000001,-1.2494890836037769,-0.012573608383320539,392.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6885320764504561,0.8,1.0,1,0,1,-0.0,-0.012573608383320539,-0.0,-0.5910060000000001
