ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
42,AAPL.csv,2016-01-05,-2.505932,0.0,100.474523,103.057063,-2.5825399999999945,-2.5059320776490543,-0.02537865165727018,,2,Adv-ALSTM,kdd17,0.1,entr,0.48330991375882404,0.9,0.0,-1,0,1,-0.0,0.02537865165727018,-0.0,2.5825399999999945
68,AAPL.csv,2016-01-06,-1.956969,0.0,98.508268,100.474523,-1.9662550000000039,-1.9569687332578867,-0.01976370913273175,42.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6864040100950229,0.9,1.0,1,0,1,-0.0,-0.01976370913273175,-0.0,-1.9662550000000039
109,AAPL.csv,2016-01-07,-4.220457,0.0,94.350769,98.508268,-4.157499000000001,-4.220456906216239,-0.043121061456861,68.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6327532106005813,0.9,1.0,1,0,1,-0.0,-0.043121061456861,-0.0,-4.157499000000001
193,AAPL.csv,2016-01-11,1.619224,1.0,96.3855,94.849671,1.5358289999999926,1.6192243829712307,0.016062547624958234,109.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6283678200932494,0.9,1.0,1,0,1,0.0,0.016062547624958234,0.0,1.5358289999999926
221,AAPL.csv,2016-01-12,1.451334,1.0,97.784376,96.3855,1.3988760000000013,1.4513344849588388,0.01440903431213984,193.0,2,Adv-ALSTM,kdd17,0.1,entr,0.4891100242677579,0.9,0.0,-1,0,1,0.0,-0.01440903431213984,0.0,-1.3988760000000013
255,AAPL.csv,2016-01-13,-2.571028,0.0,95.270312,97.784376,-2.5140639999999905,-2.5710283205161435,-0.02604656906118599,221.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5165944939436616,0.9,0.0,-1,0,1,-0.0,0.02604656906118599,-0.0,2.5140639999999905
301,AAPL.csv,2016-01-14,2.18708,1.0,97.35395,95.270312,2.0836379999999934,2.187080063304499,0.021635065622787743,255.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6873037899231933,0.9,1.0,1,0,1,0.0,0.021635065622787743,0.0,2.0836379999999934
348,AAPL.csv,2016-01-15,-2.401527,0.0,95.015969,97.35395,-2.337980999999999,-2.40152659445251,-0.02430833402797511,301.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5004024235381879,0.9,0.0,-1,0,1,-0.0,0.02430833402797511,-0.0,2.337980999999999
473,AAPL.csv,2016-01-21,-0.506248,0.0,94.20404,94.683373,-0.4793329999999969,-0.5062483357030351,-0.00507534113912907,348.0,2,Adv-ALSTM,kdd17,0.1,entr,0.46834720229396604,0.9,0.0,-1,0,1,-0.0,0.00507534113912907,-0.0,0.4793329999999969
511,AAPL.csv,2016-01-22,5.316714,1.0,99.212599,94.20404,5.008558999999991,5.316713593174975,0.051801944138492144,473.0,2,Adv-ALSTM,kdd17,0.1,entr,0.2931842691952422,0.9,0.0,-1,0,1,0.0,-0.051801944138492144,0.0,-5.008558999999991
