ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
9,DOW.csv,2016-01-04,-3.010878,0.0,48.219468,49.716367,-1.496898999999999,-3.0108776854109216,-0.030571354859700823,,2,Adv-ALSTM,kdd17,0.1,entr,0.6423531620946674,1,0.0,-1,0,1,-0.0,0.030571354859700823,-0.0,1.496898999999999
50,DOW.csv,2016-01-05,-0.761068,0.0,47.852485,48.219468,-0.3669829999999976,-0.7610681229415422,-0.007639790250844436,9.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5688313232795487,1,0.0,-1,0,1,-0.0,0.007639790250844436,-0.0,0.3669829999999976
78,DOW.csv,2016-01-06,-2.199798,0.0,46.799827,47.852485,-1.052658000000001,-2.1997979833231254,-0.022243543339260104,50.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6877293893152671,1,0.0,-1,0,1,-0.0,0.022243543339260104,-0.0,1.052658000000001
119,DOW.csv,2016-01-07,-3.755674,0.0,45.042178,46.799827,-1.7576490000000007,-3.7556741395646625,-0.03828016665731414,78.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6926350931428009,1,1.0,1,0,1,-0.0,-0.03828016665731414,-0.0,-1.7576490000000007
164,DOW.csv,2016-01-08,-0.77187,0.0,44.694511,45.042178,-0.3476670000000013,-0.7718698682821272,-0.007748642019414183,119.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6864040100950229,1,1.0,1,0,1,-0.0,-0.007748642019414183,-0.0,-0.3476670000000013
199,DOW.csv,2016-01-11,-1.901464,0.0,43.844661,44.694511,-0.8498499999999964,-1.9014639180189183,-0.019197742239830458,164.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6864040100950229,1,1.0,1,0,1,-0.0,-0.019197742239830458,-0.0,-0.8498499999999964
228,DOW.csv,2016-01-12,-1.343614,0.0,43.255558,43.844661,-0.5891030000000015,-1.3436139921346444,-0.013527221627136524,199.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6889091903146469,1,1.0,1,0,1,-0.0,-0.013527221627136524,-0.0,-0.5891030000000015
265,DOW.csv,2016-01-13,-2.589864,0.0,42.135298,43.255558,-1.1202600000000018,-2.5898637118494734,-0.026239912087526785,228.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6630765353541633,1,1.0,1,0,1,-0.0,-0.026239912087526785,-0.0,-1.1202600000000018
312,DOW.csv,2016-01-14,1.398122,1.0,42.724401,42.135298,0.5891030000000015,1.3981223059108339,0.013884387304349759,265.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6600115406504978,1,1.0,1,0,1,0.0,0.013884387304349759,0.0,0.5891030000000015
360,DOW.csv,2016-01-15,-2.893316,0.0,41.488249,42.724401,-1.236151999999997,-2.893316163753816,-0.02935997849495978,312.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6474466390346325,1,1.0,1,0,1,-0.0,-0.02935997849495978,-0.0,-1.236151999999997
403,DOW.csv,2016-01-19,-2.071693,0.0,40.62874,41.488249,-0.8595090000000027,-2.071692637594811,-0.02093453256278016,360.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6474466390346325,1,1.0,1,0,1,-0.0,-0.02093453256278016,-0.0,-0.8595090000000027
