ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
12,GOOGL.csv,2016-01-04,-2.38686,0.0,759.440002,778.01001,-18.570007999999916,-2.3868597783208365,-0.024158068212466046,,2,Adv-ALSTM,kdd17,0.1,entr,0.5510799280869728,1,1.0,1,0,1,-0.0,-0.024158068212466046,-0.0,-18.570007999999916
123,GOOGL.csv,2016-01-07,-2.413972,0.0,741.0,759.330017,-18.330016999999998,-2.4139723953517827,-0.024435862605825583,12.0,2,Adv-ALSTM,kdd17,0.1,entr,0.6074369177669534,1,1.0,1,0,1,-0.0,-0.024435862605825583,-0.0,-18.330016999999998
166,GOOGL.csv,2016-01-08,-1.361677,0.0,730.909973,741.0,-10.090026999999964,-1.3616770580296846,-0.01371032908137756,123.0,2,Adv-ALSTM,kdd17,0.1,entr,0.4744126705931132,1,1.0,1,0,1,-0.0,-0.01371032908137756,-0.0,-10.090026999999964
230,GOOGL.csv,2016-01-12,1.673786,1.0,745.340027,733.070007,12.270019999999931,1.6737855706596831,0.016599321506273072,166.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5871968670690039,1,0.0,-1,0,1,0.0,-0.016599321506273072,0.0,-12.270019999999931
269,GOOGL.csv,2016-01-13,-3.457485,0.0,719.570007,745.340027,-25.77001999999993,-3.457485049303535,-0.035186705228100926,230.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5812594319855474,1,0.0,-1,0,1,-0.0,0.035186705228100926,-0.0,25.77001999999993
316,GOOGL.csv,2016-01-14,1.642649,1.0,731.390015,719.570007,11.820007999999916,1.6426487881671694,0.016293032613944963,269.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5533743429353012,1,1.0,1,0,1,0.0,0.016293032613944963,0.0,11.820007999999916
363,GOOGL.csv,2016-01-15,-2.857576,0.0,710.48999,731.390015,-20.900024999999914,-2.8575759268466245,-0.028991994953669456,316.0,2,Adv-ALSTM,kdd17,0.1,entr,0.4774049859313724,1,0.0,-1,0,1,-0.0,0.028991994953669456,-0.0,20.900024999999914
406,GOOGL.csv,2016-01-19,1.209029,1.0,719.080017,710.48999,8.590026999999964,1.2090285747727372,0.012017782051576137,363.0,2,Adv-ALSTM,kdd17,0.1,entr,0.5688313232795487,1,1.0,1,0,1,0.0,0.012017782051576137,0.0,8.590026999999964
487,GOOGL.csv,2016-01-21,1.128644,1.0,726.669983,718.559998,8.109985000000052,1.1286440968844542,0.011223224309995505,406.0,2,Adv-ALSTM,kdd17,0.1,entr,0.505897848305788,1,0.0,-1,0,1,0.0,-0.011223224309995505,0.0,-8.109985000000052
527,GOOGL.csv,2016-01-22,2.585773,1.0,745.460022,726.669983,18.79003899999998,2.5857733826333074,0.02552907614627475,487.0,2,Adv-ALSTM,kdd17,0.1,entr,0.4803706597454138,1,0.0,-1,0,1,0.0,-0.02552907614627475,0.0,-18.79003899999998
