ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
36,UNH.csv,2016-01-04,-1.00306,0.0,114.469105,115.628933,-1.1598280000000045,-1.0030603672525495,-0.010081249131842721,,2,Adv-ALSTM,kdd17,0.1,std,0.43185117840766907,0.2,1.0,1,0,1,-0.0,-0.010081249131842721,-0.0,-1.1598280000000045
102,UNH.csv,2016-01-06,-1.019885,0.0,113.515686,114.685345,-1.1696589999999958,-1.01988532187787,-0.01025121786609212,36.0,2,Adv-ALSTM,kdd17,0.1,std,0.39696863293647766,0.2,1.0,1,1,1,-0.01025121786609212,-0.01025121786609212,-1.1696589999999958,-1.1696589999999958
150,UNH.csv,2016-01-07,-2.943979,0.0,110.173808,113.515686,-3.3418780000000083,-2.9439790373992967,-0.02988183849735057,102.0,2,Adv-ALSTM,kdd17,0.1,std,0.4014924168586731,0.2,1.0,1,0,1,-0.0,-0.02988183849735057,-0.0,-3.3418780000000083
186,UNH.csv,2016-01-08,-1.721824,0.0,108.276809,110.173808,-1.8969989999999939,-1.7218239384082956,-0.017368197099188798,150.0,2,Adv-ALSTM,kdd17,0.1,std,0.3202243149280548,0.2,1.0,1,1,1,-0.017368197099188798,-0.017368197099188798,-1.8969989999999939,-1.8969989999999939
215,UNH.csv,2016-01-11,-0.526509,0.0,107.706722,108.276809,-0.5700870000000009,-0.5265088667324883,-0.005278998091043513,186.0,2,Adv-ALSTM,kdd17,0.1,std,0.36660632491111755,0.2,1.0,1,1,1,-0.005278998091043513,-0.005278998091043513,-0.5700870000000009,-0.5700870000000009
249,UNH.csv,2016-01-12,2.445702,1.0,110.340907,107.706722,2.634185000000002,2.4457015784028804,0.024162731529686527,215.0,2,Adv-ALSTM,kdd17,0.1,std,0.4352967143058777,0.2,1.0,1,0,1,0.0,0.024162731529686527,0.0,2.634185000000002
294,UNH.csv,2016-01-13,-2.69909,0.0,107.362707,110.340907,-2.978200000000001,-2.6990896494987133,-0.027361840719640287,249.0,2,Adv-ALSTM,kdd17,0.1,std,0.46330928802490234,0.2,1.0,1,0,1,-0.0,-0.027361840719640287,-0.0,-2.978200000000001
341,UNH.csv,2016-01-14,1.400713,1.0,108.86655,107.362707,1.5038430000000034,1.4007126329256987,0.01390993308241879,294.0,2,Adv-ALSTM,kdd17,0.1,std,0.4599817991256714,0.2,1.0,1,0,1,0.0,0.01390993308241879,0.0,1.5038430000000034
388,UNH.csv,2016-01-15,-1.345256,0.0,107.402016,108.86655,-1.4645340000000004,-1.3452561875066311,-0.013543867372092929,341.0,2,Adv-ALSTM,kdd17,0.1,std,0.4115138649940491,0.2,0.0,-1,0,1,-0.0,0.013543867372092929,-0.0,1.4645340000000004
424,UNH.csv,2016-01-19,3.029199,1.0,110.655437,107.402016,3.253421000000003,3.029199191195818,0.029842249359777546,388.0,2,Adv-ALSTM,kdd17,0.1,std,0.46330928802490234,0.2,1.0,1,0,1,0.0,0.029842249359777546,0.0,3.253421000000003
