ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
2,BAC.csv,2016-01-04,-2.376704,0.0,16.1768,16.570635,-0.39383499999999927,-2.376704332694548,-0.02405403593397039,,3,Adv-ALSTM,kdd17,0.1,std,0.4750436544418335,0.3,1.0,1,0,1,-0.0,-0.02405403593397039,-0.0,-0.39383499999999927
70,BAC.csv,2016-01-06,-2.130248,0.0,15.832194,16.1768,-0.34460600000000063,-2.130248256762775,-0.021532655150727418,2.0,3,Adv-ALSTM,kdd17,0.1,std,0.46930667757987976,0.3,1.0,1,0,1,-0.0,-0.021532655150727418,-0.0,-0.34460600000000063
112,BAC.csv,2016-01-07,-3.606967,0.0,15.261132,15.832194,-0.5710619999999995,-3.6069669181668664,-0.036736257918602244,70.0,3,Adv-ALSTM,kdd17,0.1,std,0.4350138306617737,0.3,1.0,1,0,1,-0.0,-0.036736257918602244,-0.0,-0.5710619999999995
158,BAC.csv,2016-01-08,-1.935486,0.0,14.965755,15.261132,-0.2953770000000002,-1.9354855196849108,-0.019544612885546757,112.0,3,Adv-ALSTM,kdd17,0.1,std,0.4616696834564209,0.3,1.0,1,0,1,-0.0,-0.019544612885546757,-0.0,-0.2953770000000002
195,BAC.csv,2016-01-11,0.723686,1.0,15.07406,14.965755,0.10830499999999965,0.7236855073466033,0.007210794692389947,158.0,3,Adv-ALSTM,kdd17,0.1,std,0.4752082824707031,0.3,1.0,1,0,1,0.0,0.007210794692389947,0.0,0.10830499999999965
258,BAC.csv,2016-01-13,-2.677991,0.0,14.670378,15.07406,-0.4036819999999999,-2.6779911981244595,-0.02714502708280055,195.0,3,Adv-ALSTM,kdd17,0.1,std,0.4367043375968933,0.3,0.0,-1,0,1,-0.0,0.02714502708280055,-0.0,0.4036819999999999
304,BAC.csv,2016-01-14,0.604027,1.0,14.758991,14.670378,0.0886130000000005,0.6040266992438811,0.00602209770794539,258.0,3,Adv-ALSTM,kdd17,0.1,std,0.44052791595458984,0.3,1.0,1,0,1,0.0,0.00602209770794539,0.0,0.0886130000000005
351,BAC.csv,2016-01-15,-3.535689,0.0,14.237159,14.758991,-0.5218319999999999,-3.5356888556948087,-0.03599707874963139,304.0,3,Adv-ALSTM,kdd17,0.1,std,0.3729775846004486,0.3,0.0,-1,0,1,-0.0,0.03599707874963139,-0.0,0.5218319999999999
396,BAC.csv,2016-01-19,-1.521441,0.0,14.020549,14.237159,-0.2166099999999993,-1.5214411807861337,-0.015331338467412524,351.0,3,Adv-ALSTM,kdd17,0.1,std,0.4752083122730255,0.3,1.0,1,0,1,-0.0,-0.015331338467412524,-0.0,-0.2166099999999993
431,BAC.csv,2016-01-20,-3.862359,0.0,13.479025,14.020549,-0.5415240000000008,-3.8623594553965095,-0.039389265693586396,396.0,3,Adv-ALSTM,kdd17,0.1,std,0.4584752321243286,0.3,1.0,1,0,1,-0.0,-0.039389265693586396,-0.0,-0.5415240000000008
476,BAC.csv,2016-01-21,-2.410516,0.0,13.154111,13.479025,-0.3249139999999997,-2.410515597381856,-0.024400440150060147,431.0,3,Adv-ALSTM,kdd17,0.1,std,0.4897972345352173,0.3,1.0,1,0,1,-0.0,-0.024400440150060147,-0.0,-0.3249139999999997
514,BAC.csv,2016-01-22,1.497007,1.0,13.351029,13.154111,0.19691800000000015,1.4970072854030207,0.014859127186186686,476.0,3,Adv-ALSTM,kdd17,0.1,std,0.4487572908401489,0.3,1.0,1,0,1,0.0,0.014859127186186686,0.0,0.19691800000000015
560,BAC.csv,2016-01-25,-4.424775,0.0,12.760276,13.351029,-0.5907530000000012,-4.424775049174121,-0.04525655275077681,514.0,3,Adv-ALSTM,kdd17,0.1,std,0.4643145501613617,0.3,1.0,1,0,1,-0.0,-0.04525655275077681,-0.0,-0.5907530000000012
600,BAC.csv,2016-01-26,2.700616,1.0,13.104882,12.760276,0.34460600000000063,2.7006155666225453,0.026647924761199763,560.0,3,Adv-ALSTM,kdd17,0.1,std,0.4763352572917938,0.3,1.0,1,0,1,0.0,0.026647924761199763,0.0,0.34460600000000063
673,BAC.csv,2016-01-28,1.272454,1.0,13.321491,13.154111,0.16737999999999964,1.2724539119367293,0.012644262443357876,600.0,3,Adv-ALSTM,kdd17,0.1,std,0.4927178621292114,0.3,1.0,1,0,1,0.0,0.012644262443357876,0.0,0.16737999999999964
713,BAC.csv,2016-01-29,4.508504,1.0,13.922091,13.321491,0.6006,4.508504340842928,0.04409826335758537,673.0,3,Adv-ALSTM,kdd17,0.1,std,0.3870753347873688,0.3,0.0,-1,0,1,0.0,-0.04409826335758537,0.0,-0.6006
763,BAC.csv,2016-02-01,-1.272984,0.0,13.744865,13.922091,-0.17722599999999922,-1.2729840653964926,-0.012811559326683337,713.0,3,Adv-ALSTM,kdd17,0.1,std,0.308475524187088,0.3,0.0,-1,-1,1,0.012811559326683337,0.012811559326683337,0.17722599999999922,0.17722599999999922
800,BAC.csv,2016-02-02,-5.229233,0.0,13.026114,13.744865,-0.718751000000001,-5.229232880788578,-0.0537091880023823,763.0,3,Adv-ALSTM,kdd17,0.1,std,0.29799163341522217,0.3,0.0,-1,-1,1,0.0537091880023823,0.0537091880023823,0.718751000000001,0.718751000000001
845,BAC.csv,2016-02-03,-1.511717,0.0,12.829196,13.026114,-0.19691800000000015,-1.5117171552467616,-0.015232600776691361,800.0,3,Adv-ALSTM,kdd17,0.1,std,0.32613155245780945,0.3,0.0,-1,-1,1,0.015232600776691361,0.015232600776691361,0.19691800000000015,0.19691800000000015
891,BAC.csv,2016-02-04,1.688414,1.0,13.045806,12.829196,0.21661000000000108,1.6884144571491548,0.01674319176842305,845.0,3,Adv-ALSTM,kdd17,0.1,std,0.3097459375858307,0.3,0.0,-1,-1,1,-0.01674319176842305,-0.01674319176842305,-0.21661000000000108,-0.21661000000000108
928,BAC.csv,2016-02-05,-2.264153,0.0,12.750429,13.045806,-0.2953770000000002,-2.26415293926646,-0.022901784707750783,891.0,3,Adv-ALSTM,kdd17,0.1,std,0.4421291947364807,0.3,0.0,-1,0,1,-0.0,0.022901784707750783,-0.0,0.2953770000000002
967,BAC.csv,2016-02-08,-5.250961,0.0,12.080909,12.750429,-0.6695200000000003,-5.2509605755225985,-0.05393848007718404,928.0,3,Adv-ALSTM,kdd17,0.1,std,0.4294947385787964,0.3,0.0,-1,0,1,-0.0,0.05393848007718404,-0.0,0.6695200000000003
1002,BAC.csv,2016-02-09,-0.570495,0.0,12.011988,12.080909,-0.06892099999999957,-0.5704951506546367,-0.0057212869004392335,967.0,3,Adv-ALSTM,kdd17,0.1,std,0.4732034504413605,0.3,0.0,-1,0,1,-0.0,0.0057212869004392335,-0.0,0.06892099999999957
1035,BAC.csv,2016-02-10,-1.803282,0.0,11.795378,12.011988,-0.21661000000000108,-1.8032818547604368,-0.018197391295712264,1002.0,3,Adv-ALSTM,kdd17,0.1,std,0.49136513471603394,0.3,0.0,-1,0,1,-0.0,0.018197391295712264,-0.0,0.21661000000000108
1070,BAC.csv,2016-02-11,-6.84474,0.0,10.988015,11.795378,-0.8073629999999987,-6.844740372033849,-0.07090262646618645,1035.0,3,Adv-ALSTM,kdd17,0.1,std,0.49254459142684937,0.3,0.0,-1,0,1,-0.0,0.07090262646618645,-0.0,0.8073629999999987
1108,BAC.csv,2016-02-12,7.078849,1.0,11.76584,10.988015,0.777825,7.078849091487406,0.06839528448795207,1070.0,3,Adv-ALSTM,kdd17,0.1,std,0.4987720549106598,0.3,0.0,-1,0,1,0.0,-0.06839528448795207,0.0,-0.777825
1148,BAC.csv,2016-02-16,2.510462,1.0,12.061217,11.76584,0.29537699999999845,2.5104624914158142,0.02479468046825205,1108.0,3,Adv-ALSTM,kdd17,0.1,std,0.29663708806037903,0.3,0.0,-1,-1,1,-0.02479468046825205,-0.02479468046825205,-0.29537699999999845,-0.29537699999999845
1182,BAC.csv,2016-02-17,2.530615,1.0,12.36644,12.061217,0.3052230000000016,2.5306152770487556,0.02499125362244307,1148.0,3,Adv-ALSTM,kdd17,0.1,std,0.3619079291820526,0.3,0.0,-1,0,1,0.0,-0.02499125362244307,0.0,-0.3052230000000016
1219,BAC.csv,2016-02-18,-2.547774,0.0,12.051371,12.36644,-0.31506900000000115,-2.5477744605561594,-0.025807922538050955,1182.0,3,Adv-ALSTM,kdd17,0.1,std,0.3546064496040344,0.3,0.0,-1,0,1,-0.0,0.025807922538050955,-0.0,0.31506900000000115
1249,BAC.csv,2016-02-19,-0.898686,0.0,11.943067,12.051371,-0.1083040000000004,-0.8986861328889502,-0.009027486746987527,1219.0,3,Adv-ALSTM,kdd17,0.1,std,0.28902581334114075,0.3,0.0,-1,-1,1,0.009027486746987527,0.009027486746987527,0.1083040000000004,0.1083040000000004
1272,BAC.csv,2016-02-22,3.380045,1.0,12.346748,11.943067,0.4036810000000006,3.3800446736169247,0.03324176590987801,1249.0,3,Adv-ALSTM,kdd17,0.1,std,0.3006664514541626,0.3,0.0,-1,-1,1,-0.03324176590987801,-0.03324176590987801,-0.4036810000000006,-0.4036810000000006
1312,BAC.csv,2016-02-23,-3.030304,0.0,11.972604,12.346748,-0.37414399999999937,-3.030304012036201,-0.030771668790877053,1272.0,3,Adv-ALSTM,kdd17,0.1,std,0.30460986495018005,0.3,0.0,-1,-1,1,0.030771668790877053,0.030771668790877053,0.37414399999999937,0.37414399999999937
1372,BAC.csv,2016-02-25,1.566356,1.0,12.130138,11.943067,0.18707100000000132,1.5663564476361167,0.015542156991803236,1312.0,3,Adv-ALSTM,kdd17,0.1,std,0.25848498940467834,0.3,0.0,-1,-1,1,-0.015542156991803236,-0.015542156991803236,-0.18707100000000132,-0.18707100000000132
1412,BAC.csv,2016-02-26,3.084417,1.0,12.504282,12.130138,0.37414399999999937,3.0844166818217515,0.030378046004875772,1372.0,3,Adv-ALSTM,kdd17,0.1,std,0.2939038872718811,0.3,0.0,-1,-1,1,-0.030378046004875772,-0.030378046004875772,-0.37414399999999937,-0.37414399999999937
1446,BAC.csv,2016-02-29,-1.417314,0.0,12.327057,12.504282,-0.17722499999999997,-1.4173144847501036,-0.014274543093176781,1412.0,3,Adv-ALSTM,kdd17,0.1,std,0.3623824715614319,0.3,0.0,-1,0,1,-0.0,0.014274543093176781,-0.0,0.17722499999999997
1481,BAC.csv,2016-03-01,5.351431,1.0,12.986731,12.327057,0.6596740000000008,5.351431408161743,0.05213154133792481,1446.0,3,Adv-ALSTM,kdd17,0.1,std,0.33464372158050537,0.3,0.0,-1,-1,1,-0.05213154133792481,-0.05213154133792481,-0.6596740000000008,-0.6596740000000008
1525,BAC.csv,2016-03-02,2.05479,1.0,13.253581,12.986731,0.2668499999999998,2.0547896156469228,0.020339636175675187,1481.0,3,Adv-ALSTM,kdd17,0.1,std,0.3765065670013428,0.3,0.0,-1,0,1,0.0,-0.020339636175675187,0.0,-0.2668499999999998
1554,BAC.csv,2016-03-03,0.671147,1.0,13.342532,13.253581,0.08895099999999978,0.6711469149356674,0.006689047505822412,1525.0,3,Adv-ALSTM,kdd17,0.1,std,0.24915628135204315,0.3,0.0,-1,-1,1,-0.006689047505822412,-0.006689047505822412,-0.08895099999999978,-0.08895099999999978
1638,BAC.csv,2016-03-08,-3.473756,0.0,12.907664,13.372181,-0.46451699999999896,-3.4737564500510345,-0.035355260730424436,1554.0,3,Adv-ALSTM,kdd17,0.1,std,0.37027713656425476,0.3,0.0,-1,0,1,-0.0,0.035355260730424436,-0.0,0.46451699999999896
1673,BAC.csv,2016-03-09,0.612559,1.0,12.986731,12.907664,0.07906700000000022,0.6125585543596441,0.006106900410566712,1638.0,3,Adv-ALSTM,kdd17,0.1,std,0.4938000440597534,0.3,0.0,-1,0,1,0.0,-0.006106900410566712,0.0,-0.07906700000000022
1698,BAC.csv,2016-03-10,0.989348,1.0,13.115215,12.986731,0.1284839999999985,0.9893482817192293,0.009844862734366296,1673.0,3,Adv-ALSTM,kdd17,0.1,std,0.3395739197731018,0.3,0.0,-1,-1,1,-0.009844862734366296,-0.009844862734366296,-0.1284839999999985,-0.1284839999999985
1733,BAC.csv,2016-03-11,3.918609,1.0,13.629149,13.115215,0.5139340000000008,3.918609035383719,0.038437801328781614,1698.0,3,Adv-ALSTM,kdd17,0.1,std,0.2868999242782593,0.3,0.0,-1,-1,1,-0.038437801328781614,-0.038437801328781614,-0.5139340000000008,-0.5139340000000008
1774,BAC.csv,2016-03-14,-1.087742,0.0,13.480899,13.629149,-0.1482499999999991,-1.0877421620381367,-0.01093701330082287,1733.0,3,Adv-ALSTM,kdd17,0.1,std,0.29390496015548706,0.3,0.0,-1,-1,1,0.01093701330082287,0.01093701330082287,0.1482499999999991,0.1482499999999991
1796,BAC.csv,2016-03-15,-0.5132,0.0,13.411715,13.480899,-0.06918400000000169,-0.5132001953282321,-0.005145215904041625,1774.0,3,Adv-ALSTM,kdd17,0.1,std,0.35510483384132385,0.3,0.0,-1,0,1,-0.0,0.005145215904041625,-0.0,0.06918400000000169
1817,BAC.csv,2016-03-16,-1.915989,0.0,13.154748,13.411715,-0.2569669999999995,-1.91598911846844,-0.019345820656599767,1796.0,3,Adv-ALSTM,kdd17,0.1,std,0.4185640513896942,0.3,0.0,-1,0,1,-0.0,0.019345820656599767,-0.0,0.2569669999999995
1847,BAC.csv,2016-03-17,0.676182,1.0,13.243698,13.154748,0.08895000000000053,0.6761817102083638,0.006739058551989493,1817.0,3,Adv-ALSTM,kdd17,0.1,std,0.4595523178577423,0.3,1.0,1,0,1,0.0,0.006739058551989493,0.0,0.08895000000000053
1882,BAC.csv,2016-03-18,2.910448,1.0,13.629149,13.243698,0.38545099999999977,2.910448426111799,0.028688991309474523,1847.0,3,Adv-ALSTM,kdd17,0.1,std,0.48538804054260254,0.3,1.0,1,0,1,0.0,0.028688991309474523,0.0,0.38545099999999977
1933,BAC.csv,2016-03-22,-0.578036,0.0,13.599499,13.678566,-0.07906700000000022,-0.5780357385416002,-0.0057971283103548914,1882.0,3,Adv-ALSTM,kdd17,0.1,std,0.32728320360183716,0.3,0.0,-1,-1,1,0.0057971283103548914,0.0057971283103548914,0.07906700000000022,0.07906700000000022
