ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
27,PFE.csv,2016-01-04,-1.0223,0.0,30.785729,31.103702,-0.3179729999999985,-1.0222995320621273,-0.010275609024204302,,2,Adv-ALSTM,kdd17,0.1,std,0.4128870964050293,0.4,1.0,1,1,1,-0.010275609024204302,-0.010275609024204302,-0.3179729999999985,-0.3179729999999985
57,PFE.csv,2016-01-05,0.719873,1.0,31.007347,30.785729,0.22161799999999943,0.719872509759309,0.007172937958471207,27.0,2,Adv-ALSTM,kdd17,0.1,std,0.3874843120574951,0.4,0.0,-1,-1,1,-0.007172937958471207,-0.007172937958471207,-0.22161799999999943,-0.22161799999999943
93,PFE.csv,2016-01-06,-1.771283,0.0,30.458119,31.007347,-0.5492279999999994,-1.7712834316331527,-0.01787158396371377,57.0,2,Adv-ALSTM,kdd17,0.1,std,0.42708292603492737,0.4,0.0,-1,-1,1,0.01787158396371377,0.01787158396371377,0.5492279999999994,0.5492279999999994
139,PFE.csv,2016-01-07,-0.664352,0.0,30.25577,30.458119,-0.20234900000000167,-0.6643515970241027,-0.006665682352151706,93.0,2,Adv-ALSTM,kdd17,0.1,std,0.368451327085495,0.4,1.0,1,1,1,-0.006665682352151706,-0.006665682352151706,-0.20234900000000167,-0.20234900000000167
176,PFE.csv,2016-01-08,-1.273883,0.0,29.870347,30.25577,-0.3854229999999994,-1.2738826346181222,-0.012820660921645329,139.0,2,Adv-ALSTM,kdd17,0.1,std,0.3874843716621399,0.4,1.0,1,1,1,-0.012820660921645329,-0.012820660921645329,-0.3854229999999994,-0.3854229999999994
284,PFE.csv,2016-01-13,-2.032256,0.0,29.263305,29.870347,-0.6070419999999999,-2.0322562707423515,-0.020531907117648,176.0,2,Adv-ALSTM,kdd17,0.1,std,0.45093709230422974,0.4,1.0,1,1,1,-0.020531907117648,-0.020531907117648,-0.6070419999999999,-0.6070419999999999
331,PFE.csv,2016-01-14,2.436615,1.0,29.976339,29.263305,0.7130340000000004,2.4366147296076104,0.024074028424753292,284.0,2,Adv-ALSTM,kdd17,0.1,std,0.37563300132751465,0.4,1.0,1,1,1,0.024074028424753292,0.024074028424753292,0.7130340000000004,0.7130340000000004
378,PFE.csv,2016-01-15,-0.964324,0.0,29.68727,29.976339,-0.2890689999999978,-0.9643238955897776,-0.00969003607824929,331.0,2,Adv-ALSTM,kdd17,0.1,std,0.40442997217178345,0.4,0.0,-1,-1,1,0.00969003607824929,0.00969003607824929,0.2890689999999978,0.2890689999999978
582,PFE.csv,2016-01-25,-0.683811,0.0,29.388567,29.590913,-0.20234600000000214,-0.6838112767929876,-0.00686159979356725,378.0,2,Adv-ALSTM,kdd17,0.1,std,0.4014921486377716,0.4,1.0,1,1,1,-0.00686159979356725,-0.00686159979356725,-0.20234600000000214,-0.20234600000000214
622,PFE.csv,2016-01-26,0.557377,1.0,29.552372,29.388567,0.16380499999999998,0.5573766151986927,0.005558290197033015,582.0,2,Adv-ALSTM,kdd17,0.1,std,0.46249285340309143,0.4,1.0,1,1,1,0.005558290197033015,0.005558290197033015,0.16380499999999998,0.16380499999999998
697,PFE.csv,2016-01-28,-1.048489,0.0,29.0995,29.407838,-0.30833800000000267,-1.0484891816936786,-0.010540245553741275,622.0,2,Adv-ALSTM,kdd17,0.1,std,0.4672428369522095,0.4,1.0,1,1,1,-0.010540245553741275,-0.010540245553741275,-0.30833800000000267,-0.30833800000000267
742,PFE.csv,2016-01-29,0.96026,1.0,29.378931,29.0995,0.2794310000000024,0.9602604855753619,0.00955679288840241,697.0,2,Adv-ALSTM,kdd17,0.1,std,0.38081949949264526,0.4,0.0,-1,-1,1,-0.00955679288840241,-0.00955679288840241,-0.2794310000000024,-0.2794310000000024
