ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
16,JPM.csv,2016-01-04,-3.003506,0.0,61.870034,63.785846,-1.9158120000000025,-3.0035064518858974,-0.030495357126613366,,2,Adv-ALSTM,kdd17,0.1,std,0.4537612497806549,0.5,1.0,1,1,1,-0.030495357126613366,-0.030495357126613366,-1.9158120000000025,-1.9158120000000025
83,JPM.csv,2016-01-06,-1.443587,0.0,61.082316,61.977008,-0.8946919999999992,-1.4435869508253758,-0.014541080440888393,16.0,2,Adv-ALSTM,kdd17,0.1,std,0.48386427760124207,0.5,1.0,1,1,1,-0.014541080440888393,-0.014541080440888393,-0.8946919999999992,-0.8946919999999992
127,JPM.csv,2016-01-07,-4.043943,0.0,58.612182,61.082316,-2.4701340000000016,-4.0439429310440715,-0.04127983817971207,83.0,2,Adv-ALSTM,kdd17,0.1,std,0.4318511188030243,0.5,1.0,1,1,1,-0.04127983817971207,-0.04127983817971207,-2.4701340000000016,-2.4701340000000016
170,JPM.csv,2016-01-08,-2.239925,0.0,57.299313,58.612182,-1.3128689999999992,-2.239925140476769,-0.022653924817112175,127.0,2,Adv-ALSTM,kdd17,0.1,std,0.4375346601009369,0.5,1.0,1,1,1,-0.022653924817112175,-0.022653924817112175,-1.3128689999999992,-1.3128689999999992
273,JPM.csv,2016-01-13,-2.747623,0.0,55.762776,57.338214,-1.5754379999999983,-2.747623077342448,-0.027860762424132973,170.0,2,Adv-ALSTM,kdd17,0.1,std,0.48170962929725647,0.5,1.0,1,1,1,-0.027860762424132973,-0.027860762424132973,-1.5754379999999983,-1.5754379999999983
320,JPM.csv,2016-01-14,1.499827,1.0,56.599121,55.762776,0.8363449999999943,1.4998266944242415,0.014886905048196748,273.0,2,Adv-ALSTM,kdd17,0.1,std,0.4352967441082001,0.5,1.0,1,1,1,0.014886905048196748,0.014886905048196748,0.8363449999999943,0.8363449999999943
366,JPM.csv,2016-01-15,-1.993128,0.0,55.471028,56.599121,-1.1280929999999998,-1.993128126495109,-0.020132588617679817,320.0,2,Adv-ALSTM,kdd17,0.1,std,0.44899868965148926,0.5,1.0,1,1,1,-0.020132588617679817,-0.020132588617679817,-1.1280929999999998,-1.1280929999999998
447,JPM.csv,2016-01-20,-2.631117,0.0,53.983111,55.441851,-1.4587399999999988,-2.631117059926442,-0.026663503384549155,366.0,2,Adv-ALSTM,kdd17,0.1,std,0.45468276739120483,0.5,1.0,1,1,1,-0.026663503384549155,-0.026663503384549155,-1.4587399999999988,-1.4587399999999988
531,JPM.csv,2016-01-22,3.076925,1.0,55.383504,53.730264,1.6532400000000038,3.076925138502956,0.030305369495730507,447.0,2,Adv-ALSTM,kdd17,0.1,std,0.4352966547012329,0.5,1.0,1,1,1,0.030305369495730507,0.030305369495730507,1.6532400000000038,1.6532400000000038
575,JPM.csv,2016-01-25,-2.265147,0.0,54.128986,55.383504,-1.2545180000000045,-2.265147398402247,-0.022911959727715512,531.0,2,Adv-ALSTM,kdd17,0.1,std,0.37910979986190796,0.5,0.0,-1,-1,1,0.022911959727715512,0.022911959727715512,1.2545180000000045,1.2545180000000045
613,JPM.csv,2016-01-26,2.551208,1.0,55.509929,54.128986,1.380943000000002,2.5512079609250433,0.02519207769958812,575.0,2,Adv-ALSTM,kdd17,0.1,std,0.48280462622642517,0.5,1.0,1,1,1,0.02519207769958812,0.02519207769958812,1.380943000000002,1.380943000000002
730,JPM.csv,2016-01-29,3.875699,1.0,57.863361,55.704425,2.158935999999997,3.8756992824178638,0.03802479912556283,613.0,2,Adv-ALSTM,kdd17,0.1,std,0.4974931478500366,0.5,0.0,-1,-1,1,-0.03802479912556283,-0.03802479912556283,-2.158935999999997,-2.158935999999997
777,JPM.csv,2016-02-01,-1.075629,0.0,57.240966,57.863361,-0.6223949999999974,-1.0756288422305738,-0.01081455549425591,730.0,2,Adv-ALSTM,kdd17,0.1,std,0.3825136125087738,0.5,0.0,-1,-1,1,0.01081455549425591,0.01081455549425591,0.6223949999999974,0.6223949999999974
814,JPM.csv,2016-02-02,-3.109076,0.0,55.461301,57.240966,-1.7796650000000014,-3.109075762278368,-0.031584332595271,777.0,2,Adv-ALSTM,kdd17,0.1,std,0.3384915888309479,0.5,0.0,-1,-1,1,0.031584332595271,0.031584332595271,1.7796650000000014,1.7796650000000014
860,JPM.csv,2016-02-03,0.666319,1.0,55.83085,55.461301,0.36954899999999924,0.6663186642520327,0.006641085735064489,814.0,2,Adv-ALSTM,kdd17,0.1,std,0.4972887337207794,0.5,1.0,1,1,1,0.006641085735064489,0.006641085735064489,0.36954899999999924,0.36954899999999924
903,JPM.csv,2016-02-04,1.724441,1.0,56.79362,55.83085,0.962769999999999,1.724440878116667,0.01709741147872433,860.0,2,Adv-ALSTM,kdd17,0.1,std,0.34065189957618713,0.5,0.0,-1,-1,1,-0.01709741147872433,-0.01709741147872433,-0.962769999999999,-0.962769999999999
944,JPM.csv,2016-02-05,-1.113016,0.0,56.161498,56.79362,-0.6321219999999954,-1.1130158634015501,-0.011192562323646698,903.0,2,Adv-ALSTM,kdd17,0.1,std,0.3647405803203583,0.5,0.0,-1,-1,1,0.011192562323646698,0.011192562323646698,0.6321219999999954,0.6321219999999954
980,JPM.csv,2016-02-08,-2.095236,0.0,54.984782,56.161498,-1.176715999999999,-2.095236134905089,-0.02117497711360224,944.0,2,Adv-ALSTM,kdd17,0.1,std,0.2945915162563324,0.5,0.0,-1,-1,1,0.02117497711360224,0.02117497711360224,1.176715999999999,1.176715999999999
