ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
6,CMCSA.csv,2016-01-04,-0.961196,0.0,54.714849,55.24587,-0.5310209999999955,-0.9611958323762403,-0.009658451361131706,,2,Adv-ALSTM,kdd17,0.1,std,0.49909940361976624,0.6,1.0,1,0,1,-0.0,-0.009658451361131706,-0.0,-0.5310209999999955
73,CMCSA.csv,2016-01-06,-0.772688,0.0,54.301834,54.724685,-0.4228510000000014,-0.7726878647177254,-0.007756885647568277,6.0,2,Adv-ALSTM,kdd17,0.1,std,0.49909934401512146,0.6,1.0,1,0,1,-0.0,-0.007756885647568277,-0.0,-0.4228510000000014
116,CMCSA.csv,2016-01-07,-1.104672,0.0,53.701977,54.301834,-0.5998570000000001,-1.104671713297934,-0.011108185212202032,73.0,2,Adv-ALSTM,kdd17,0.1,std,0.4999632239341736,0.6,1.0,1,0,1,-0.0,-0.011108185212202032,-0.0,-0.5998570000000001
261,CMCSA.csv,2016-01-13,-2.405687,0.0,52.6596,53.957652,-1.2980520000000055,-2.405686592885853,-0.024350958537844657,116.0,2,Adv-ALSTM,kdd17,0.1,std,0.4702124297618866,0.6,1.0,1,0,1,-0.0,-0.024350958537844657,-0.0,-1.2980520000000055
308,CMCSA.csv,2016-01-14,2.801121,1.0,54.134659,52.6596,1.4750590000000017,2.801120783294977,0.02762606953477604,261.0,2,Adv-ALSTM,kdd17,0.1,std,0.49108412861824036,0.6,1.0,1,0,1,0.0,0.02762606953477604,0.0,1.4750590000000017
355,CMCSA.csv,2016-01-15,-2.107175,0.0,52.993947,54.134659,-1.1407120000000006,-2.1071749985531465,-0.02129692819310187,308.0,2,Adv-ALSTM,kdd17,0.1,std,0.4246211349964142,0.6,0.0,-1,0,1,-0.0,0.02129692819310187,-0.0,1.1407120000000006
400,CMCSA.csv,2016-01-19,0.668029,1.0,53.347962,52.993947,0.35401500000000397,0.6680291241563946,0.0066580769730046445,355.0,2,Adv-ALSTM,kdd17,0.1,std,0.4221095144748688,0.6,0.0,-1,0,1,0.0,-0.0066580769730046445,0.0,-0.35401500000000397
435,CMCSA.csv,2016-01-20,-1.179723,0.0,52.718604,53.347962,-0.6293580000000034,-1.1797226668190313,-0.011867366126530596,400.0,2,Adv-ALSTM,kdd17,0.1,std,0.3469870090484619,0.6,0.0,-1,-1,1,0.011867366126530596,0.011867366126530596,0.6293580000000034,0.6293580000000034
480,CMCSA.csv,2016-01-21,1.324379,1.0,53.416798,52.718604,0.6981940000000009,1.3243787714864392,0.013156855458746066,435.0,2,Adv-ALSTM,kdd17,0.1,std,0.31781184673309326,0.6,0.0,-1,-1,1,-0.013156855458746066,-0.013156855458746066,-0.6981940000000009,-0.6981940000000009
518,CMCSA.csv,2016-01-22,1.859355,1.0,54.410006,53.416798,0.9932080000000028,1.8593551788708913,0.01842280498368099,480.0,2,Adv-ALSTM,kdd17,0.1,std,0.3531067669391632,0.6,0.0,-1,-1,1,-0.01842280498368099,-0.01842280498368099,-0.9932080000000028,-0.9932080000000028
564,CMCSA.csv,2016-01-25,-2.024223,0.0,53.308626,54.410006,-1.101380000000006,-2.0242232651104763,-0.020449914045181598,518.0,2,Adv-ALSTM,kdd17,0.1,std,0.30264800786972046,0.6,0.0,-1,-1,1,0.020449914045181598,0.020449914045181598,1.101380000000006,1.101380000000006
604,CMCSA.csv,2016-01-26,1.16215,1.0,53.928152,53.308626,0.6195260000000005,1.1621496303431278,0.011554485393584502,564.0,2,Adv-ALSTM,kdd17,0.1,std,0.4641159176826477,0.6,0.0,-1,0,1,0.0,-0.011554485393584502,0.0,-0.6195260000000005
643,CMCSA.csv,2016-01-27,-1.312914,0.0,53.220122,53.928152,-0.7080299999999937,-1.3129135224214503,-0.013216084201872896,604.0,2,Adv-ALSTM,kdd17,0.1,std,0.4014923870563507,0.6,0.0,-1,0,1,-0.0,0.013216084201872896,-0.0,0.7080299999999937
717,CMCSA.csv,2016-01-29,2.956937,1.0,54.783685,53.21029,1.5733949999999979,2.95693746453928,0.02914063195198432,643.0,2,Adv-ALSTM,kdd17,0.1,std,0.3720813989639282,0.6,0.0,-1,-1,1,-0.02914063195198432,-0.02914063195198432,-1.5733949999999979,-1.5733949999999979
804,CMCSA.csv,2016-02-02,-2.185989,0.0,53.682309,54.882024,-1.1997150000000047,-2.1859889861204915,-0.022102357307717323,717.0,2,Adv-ALSTM,kdd17,0.1,std,0.299999475479126,0.6,0.0,-1,-1,1,0.022102357307717323,0.022102357307717323,1.1997150000000047,1.1997150000000047
848,CMCSA.csv,2016-02-03,5.953472,1.0,56.87827,53.682309,3.195961000000004,5.953471561739276,0.057829864227546275,804.0,2,Adv-ALSTM,kdd17,0.1,std,0.37910977005958557,0.6,0.0,-1,-1,1,-0.057829864227546275,-0.057829864227546275,-3.195961000000004,-3.195961000000004
895,CMCSA.csv,2016-02-04,0.639692,1.0,57.242116,56.87827,0.36384600000000233,0.6396924519680404,0.0063765510369535846,848.0,2,Adv-ALSTM,kdd17,0.1,std,0.33849138021469116,0.6,0.0,-1,-1,1,-0.0063765510369535846,-0.0063765510369535846,-0.36384600000000233,-0.36384600000000233
932,CMCSA.csv,2016-02-05,2.061503,1.0,58.422164,57.242116,1.1800479999999993,2.061503107257599,0.02040541722160288,895.0,2,Adv-ALSTM,kdd17,0.1,std,0.3295818269252777,0.6,0.0,-1,-1,1,-0.02040541722160288,-0.02040541722160288,-1.1800479999999993,-1.1800479999999993
1006,CMCSA.csv,2016-02-09,-2.003371,0.0,57.242116,58.412332,-1.1702159999999964,-2.0033714798443527,-0.02023711076486586,932.0,2,Adv-ALSTM,kdd17,0.1,std,0.280364453792572,0.6,0.0,-1,-1,1,0.02023711076486586,0.02023711076486586,1.1702159999999964,1.1702159999999964
1039,CMCSA.csv,2016-02-10,-4.122999,0.0,54.882024,57.242116,-2.3600920000000016,-4.122999226653329,-0.04210405795678245,1006.0,2,Adv-ALSTM,kdd17,0.1,std,0.3052601218223572,0.6,0.0,-1,-1,1,0.04210405795678245,0.04210405795678245,2.3600920000000016,2.3600920000000016
1112,CMCSA.csv,2016-02-12,1.32048,1.0,55.835893,55.1082,0.7276930000000021,1.3204804366682312,0.013118380909390001,1039.0,2,Adv-ALSTM,kdd17,0.1,std,0.3791096806526184,0.6,0.0,-1,-1,1,-0.013118380909390001,-0.013118380909390001,-0.7276930000000021,-0.7276930000000021
