ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
22,MSFT.csv,2016-01-04,-1.225669,0.0,53.336436,53.998276,-0.661839999999998,-1.2256687602396752,-0.012332420255087639,,3,Adv-ALSTM,kdd17,0.1,std,0.4122023582458496,0.6,1.0,1,0,1,-0.0,-0.012332420255087639,-0.0,-0.661839999999998
89,MSFT.csv,2016-01-06,-1.816531,0.0,52.606467,53.57976,-0.9732929999999982,-1.8165310930843999,-0.01833232586872535,22.0,3,Adv-ALSTM,kdd17,0.1,std,0.46762722730636597,0.6,1.0,1,0,1,-0.0,-0.01833232586872535,-0.0,-0.9732929999999982
133,MSFT.csv,2016-01-07,-3.478262,0.0,50.776676,52.606467,-1.8297910000000002,-3.478262472938926,-0.035401943662445534,89.0,3,Adv-ALSTM,kdd17,0.1,std,0.42859479784965515,0.6,1.0,1,0,1,-0.0,-0.035401943662445534,-0.0,-1.8297910000000002
237,MSFT.csv,2016-01-12,0.917781,1.0,51.370385,50.903205,0.46717999999999904,0.9177811102463962,0.009135950922429956,133.0,3,Adv-ALSTM,kdd17,0.1,std,0.4227432608604431,0.6,0.0,-1,0,1,0.0,-0.009135950922429956,0.0,-0.46717999999999904
279,MSFT.csv,2016-01-13,-2.159908,0.0,50.260832,51.370385,-1.1095529999999982,-2.1599078924559323,-0.021835753199723227,237.0,3,Adv-ALSTM,kdd17,0.1,std,0.412202388048172,0.6,0.0,-1,0,1,-0.0,0.021835753199723227,-0.0,1.1095529999999982
325,MSFT.csv,2016-01-14,2.846632,1.0,51.691573,50.260832,1.4307409999999976,2.846632144887688,0.028068684264941524,279.0,3,Adv-ALSTM,kdd17,0.1,std,0.4489991366863251,0.6,1.0,1,0,1,0.0,0.028068684264941524,0.0,1.4307409999999976
372,MSFT.csv,2016-01-15,-3.991713,0.0,49.628194,51.691573,-2.0633789999999976,-3.9917125369738655,-0.04073567050642449,325.0,3,Adv-ALSTM,kdd17,0.1,std,0.3850194811820984,0.6,0.0,-1,0,1,-0.0,0.04073567050642449,-0.0,2.0633789999999976
410,MSFT.csv,2016-01-19,-0.843303,0.0,49.209678,49.628194,-0.4185160000000039,-0.8433029015724488,-0.008468788185578549,372.0,3,Adv-ALSTM,kdd17,0.1,std,0.42524659633636475,0.6,0.0,-1,0,1,-0.0,0.008468788185578549,-0.0,0.4185160000000039
492,MSFT.csv,2016-01-21,-0.610361,0.0,49.131812,49.433535,-0.30172300000000263,-0.6103609624519117,-0.006122312793139314,410.0,3,Adv-ALSTM,kdd17,0.1,std,0.3702770471572876,0.6,0.0,-1,0,1,-0.0,0.006122312793139314,-0.0,0.30172300000000263
537,MSFT.csv,2016-01-22,3.585581,1.0,50.893473,49.131812,1.7616610000000037,3.585581170912247,0.03522795626420312,492.0,3,Adv-ALSTM,kdd17,0.1,std,0.4576003849506378,0.6,1.0,1,0,1,0.0,0.03522795626420312,0.0,1.7616610000000037
579,MSFT.csv,2016-01-25,-0.956205,0.0,50.406827,50.893473,-0.48664600000000036,-0.956205130665774,-0.009608061253815052,537.0,3,Adv-ALSTM,kdd17,0.1,std,0.3084752857685089,0.6,0.0,-1,0,1,-0.0,0.009608061253815052,-0.0,0.48664600000000036
617,MSFT.csv,2016-01-26,0.733728,1.0,50.776676,50.406827,0.3698490000000021,0.7337279928371649,0.007310493038798808,579.0,3,Adv-ALSTM,kdd17,0.1,std,0.48100680112838745,0.6,1.0,1,0,1,0.0,0.007310493038798808,0.0,0.3698490000000021
655,MSFT.csv,2016-01-27,-1.820964,0.0,49.852051,50.776676,-0.9246249999999989,-1.8209640189917096,-0.018377476300174566,617.0,3,Adv-ALSTM,kdd17,0.1,std,0.409077525138855,0.6,0.0,-1,0,1,-0.0,0.018377476300174566,-0.0,0.9246249999999989
691,MSFT.csv,2016-01-28,1.639985,1.0,50.669617,49.852051,0.8175659999999993,1.63998468187397,0.016266821754238048,655.0,3,Adv-ALSTM,kdd17,0.1,std,0.49897411465644836,0.6,1.0,1,0,1,0.0,0.016266821754238048,0.0,0.8175659999999993
736,MSFT.csv,2016-01-29,5.820204,1.0,53.618692,50.669617,2.9490750000000006,5.820203851156011,0.05657127788138942,691.0,3,Adv-ALSTM,kdd17,0.1,std,0.3698228597640991,0.6,0.0,-1,0,1,0.0,-0.05657127788138942,0.0,-2.9490750000000006
779,MSFT.csv,2016-02-01,-0.689782,0.0,53.24884,53.618692,-0.3698520000000016,-0.6897818395122388,-0.00692171831269792,736.0,3,Adv-ALSTM,kdd17,0.1,std,0.31475329399108887,0.6,0.0,-1,0,1,-0.0,0.00692171831269792,-0.0,0.3698520000000016
820,MSFT.csv,2016-02-02,-3.12557,0.0,51.58451,53.24884,-1.6643299999999996,-3.1255704349615874,-0.03175458669281059,779.0,3,Adv-ALSTM,kdd17,0.1,std,0.384603887796402,0.6,0.0,-1,0,1,-0.0,0.03175458669281059,-0.0,1.6643299999999996
866,MSFT.csv,2016-02-03,-1.584906,0.0,50.766944,51.58451,-0.8175659999999993,-1.5849060115139202,-0.01597599950163801,820.0,3,Adv-ALSTM,kdd17,0.1,std,0.44343867897987366,0.6,0.0,-1,0,1,-0.0,0.01597599950163801,-0.0,0.8175659999999993
947,MSFT.csv,2016-02-05,-3.538463,0.0,48.820359,50.611218,-1.7908589999999975,-3.5384625598222064,-0.036025832845030664,866.0,3,Adv-ALSTM,kdd17,0.1,std,0.43009012937545776,0.6,0.0,-1,0,1,-0.0,0.036025832845030664,-0.0,1.7908589999999975
983,MSFT.csv,2016-02-08,-1.495214,0.0,48.09039,48.820359,-0.7299690000000041,-1.4952143223690837,-0.01506505343058355,947.0,3,Adv-ALSTM,kdd17,0.1,std,0.3469906747341156,0.6,0.0,-1,0,1,-0.0,0.01506505343058355,-0.0,0.7299690000000041
1052,MSFT.csv,2016-02-10,0.872565,1.0,48.382377,47.963861,0.4185159999999968,0.8725652841000369,0.00868780434147587,983.0,3,Adv-ALSTM,kdd17,0.1,std,0.45376425981521606,0.6,1.0,1,0,1,0.0,0.00868780434147587,0.0,0.4185159999999968
1125,MSFT.csv,2016-02-12,1.630111,1.0,49.151279,48.36291,0.788369000000003,1.630110760498082,0.01616967100156921,1052.0,3,Adv-ALSTM,kdd17,0.1,std,0.4040692448616028,0.6,0.0,-1,0,1,0.0,-0.01616967100156921,0.0,-0.788369000000003
1165,MSFT.csv,2016-02-16,1.894691,1.0,50.082544,49.151279,0.9312649999999962,1.8946912856530065,0.018769655588609095,1125.0,3,Adv-ALSTM,kdd17,0.1,std,0.3443741500377655,0.6,0.0,-1,0,1,0.0,-0.018769655588609095,0.0,-0.9312649999999962
1200,MSFT.csv,2016-02-17,2.603244,1.0,51.386315,50.082544,1.3037710000000047,2.603244355957646,0.025699367651727725,1165.0,3,Adv-ALSTM,kdd17,0.1,std,0.3536110520362854,0.6,0.0,-1,0,1,0.0,-0.025699367651727725,0.0,-1.3037710000000047
