ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
1,BA.csv,2016-01-04,-2.828686,0.0,135.906839,139.863127,-3.9562880000000007,-2.828685504793555,-0.028694636439765116,,2,Adv-ALSTM,kdd17,0.1,std,0.47633495926856995,0.7,1.0,1,0,1,-0.0,-0.028694636439765116,-0.0,-3.9562880000000007
69,BA.csv,2016-01-06,-1.587868,0.0,134.291436,136.458212,-2.1667759999999987,-1.5878677935484005,-0.016006094749048277,1.0,2,Adv-ALSTM,kdd17,0.1,std,0.3825136125087738,0.7,0.0,-1,0,1,-0.0,0.016006094749048277,-0.0,2.1667759999999987
111,BA.csv,2016-01-07,-4.192183,0.0,128.661693,134.291436,-5.629742999999991,-4.19218318582876,-0.04282590920249179,69.0,2,Adv-ALSTM,kdd17,0.1,std,0.4828045666217804,0.7,1.0,1,0,1,-0.0,-0.04282590920249179,-0.0,-5.629742999999991
157,BA.csv,2016-01-08,-2.270498,0.0,125.740432,128.661693,-2.9212610000000154,-2.270497870722108,-0.02296670599926531,111.0,2,Adv-ALSTM,kdd17,0.1,std,0.45649072527885437,0.7,1.0,1,0,1,-0.0,-0.02296670599926531,-0.0,-2.9212610000000154
222,BA.csv,2016-01-12,1.313256,1.0,127.60733,125.953241,1.654088999999999,1.3132564012386143,0.013047079500795134,157.0,2,Adv-ALSTM,kdd17,0.1,std,0.46411579847335815,0.7,1.0,1,0,1,0.0,0.013047079500795134,0.0,1.654088999999999
257,BA.csv,2016-01-13,-2.880536,0.0,123.931555,127.60733,-3.6757750000000016,-2.8805359378650124,-0.02922837699798802,222.0,2,Adv-ALSTM,kdd17,0.1,std,0.4800000488758087,0.7,1.0,1,0,1,-0.0,-0.02922837699798802,-0.0,-3.6757750000000016
303,BA.csv,2016-01-14,0.842961,1.0,124.97625,123.931555,1.0446949999999902,0.8429612619643078,0.008394281846155927,257.0,2,Adv-ALSTM,kdd17,0.1,std,0.42585840821266174,0.7,1.0,1,0,1,0.0,0.008394281846155927,0.0,1.0446949999999902
350,BA.csv,2016-01-15,-2.763158,0.0,121.522959,124.97625,-3.453290999999993,-2.7631577999819914,-0.028020511357700145,303.0,2,Adv-ALSTM,kdd17,0.1,std,0.40442997217178345,0.7,0.0,-1,0,1,-0.0,0.028020511357700145,-0.0,3.453290999999993
430,BA.csv,2016-01-20,-3.109629,0.0,118.147055,121.938902,-3.791847000000004,-3.1096286236856585,-0.031590038630061795,350.0,2,Adv-ALSTM,kdd17,0.1,std,0.4439588189125061,0.7,1.0,1,0,1,-0.0,-0.031590038630061795,-0.0,-3.791847000000004
475,BA.csv,2016-01-21,1.031605,1.0,119.365866,118.147055,1.2188110000000023,1.0316050620136086,0.010263203309551553,430.0,2,Adv-ALSTM,kdd17,0.1,std,0.4838642179965973,0.7,1.0,1,0,1,0.0,0.010263203309551553,0.0,1.2188110000000023
513,BA.csv,2016-01-22,0.98055,1.0,120.536308,119.365866,1.1704420000000084,0.9805500007849886,0.009757738058712787,475.0,2,Adv-ALSTM,kdd17,0.1,std,0.46411582827568054,0.7,1.0,1,0,1,0.0,0.009757738058712787,0.0,1.1704420000000084
599,BA.csv,2016-01-26,3.225541,1.0,123.825151,119.955924,3.8692270000000093,3.2255405743863133,0.03174612262563059,513.0,2,Adv-ALSTM,kdd17,0.1,std,0.46724289655685425,0.7,1.0,1,0,1,0.0,0.03174612262563059,0.0,3.8692270000000093
640,BA.csv,2016-01-27,-8.928985,0.0,112.768822,123.825151,-11.056329000000005,-8.928984871579122,-0.09353059778748726,599.0,2,Adv-ALSTM,kdd17,0.1,std,0.36845120787620544,0.7,0.0,-1,0,1,-0.0,0.09353059778748726,-0.0,11.056329000000005
672,BA.csv,2016-01-28,1.226626,1.0,114.152074,112.768822,1.3832519999999988,1.2266262744147483,0.012191641737503894,640.0,2,Adv-ALSTM,kdd17,0.1,std,0.4988425374031067,0.7,1.0,1,0,1,0.0,0.012191641737503894,0.0,1.3832519999999988
712,BA.csv,2016-01-29,1.796454,1.0,116.202763,114.152074,2.0506890000000055,1.7964535624644067,0.017805080217612047,672.0,2,Adv-ALSTM,kdd17,0.1,std,0.338491827249527,0.7,0.0,-1,0,1,0.0,-0.017805080217612047,0.0,-2.0506890000000055
762,BA.csv,2016-02-01,1.190377,1.0,117.586014,116.202763,1.3832510000000013,1.1903770308800672,0.011833477716396383,712.0,2,Adv-ALSTM,kdd17,0.1,std,0.499856173992157,0.7,0.0,-1,0,1,0.0,-0.011833477716396383,0.0,-1.3832510000000013
799,BA.csv,2016-02-02,-3.323462,0.0,113.678087,117.586014,-3.907927000000001,-3.323462431509925,-0.03379944411135261,762.0,2,Adv-ALSTM,kdd17,0.1,std,0.41823962330818176,0.7,0.0,-1,0,1,-0.0,0.03379944411135261,-0.0,3.907927000000001
844,BA.csv,2016-02-03,3.701503,1.0,117.885885,113.678087,4.207797999999997,3.701503175365712,0.03634642456533849,799.0,2,Adv-ALSTM,kdd17,0.1,std,0.49996325373649597,0.7,1.0,1,0,1,0.0,0.03634642456533849,0.0,4.207797999999997
890,BA.csv,2016-02-04,1.427749,1.0,119.569,117.885885,1.6831150000000008,1.4277493866207993,0.014176530320163833,844.0,2,Adv-ALSTM,kdd17,0.1,std,0.33408990502357483,0.7,0.0,-1,0,1,0.0,-0.014176530320163833,0.0,-1.6831150000000008
927,BA.csv,2016-02-05,-0.849448,0.0,118.553323,119.569,-1.0156769999999966,-0.8494484356313062,-0.008530768109179545,890.0,2,Adv-ALSTM,kdd17,0.1,std,0.3954285681247711,0.7,0.0,-1,0,1,-0.0,0.008530768109179545,-0.0,1.0156769999999966
966,BA.csv,2016-02-08,-2.521211,0.0,115.564343,118.553323,-2.988980000000012,-2.5212114889432597,-0.02553538538528743,927.0,2,Adv-ALSTM,kdd17,0.1,std,0.38748404383659363,0.7,0.0,-1,0,1,-0.0,0.02553538538528743,-0.0,2.988980000000012
1034,BA.csv,2016-02-10,-1.214021,0.0,113.59758,114.993627,-1.39604700000001,-1.2140211909308765,-0.012214506193104145,966.0,2,Adv-ALSTM,kdd17,0.1,std,0.49897608160972595,0.7,1.0,1,0,1,-0.0,-0.012214506193104145,-0.0,-1.39604700000001
1069,BA.csv,2016-02-11,-6.806461,0.0,105.865605,113.59758,-7.731974999999991,-6.806461017919564,-0.07049179092618588,1034.0,2,Adv-ALSTM,kdd17,0.1,std,0.40442994236946106,0.7,0.0,-1,0,1,-0.0,0.07049179092618588,-0.0,7.731974999999991
