ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
41,XOM.csv,2016-01-04,-0.628605,0.0,74.817362,75.290643,-0.47328100000000006,-0.6286053367879991,-0.00630589379035622,,2,Adv-ALSTM,kdd17,0.1,std,0.499856173992157,0.8,1.0,1,0,1,-0.0,-0.00630589379035622,-0.0,-0.47328100000000006
67,XOM.csv,2016-01-05,0.852058,1.0,75.454849,74.817362,0.637486999999993,0.8520575745506678,0.008484480529742709,41.0,2,Adv-ALSTM,kdd17,0.1,std,0.37386640906333923,0.8,0.0,-1,0,1,0.0,-0.008484480529742709,0.0,-0.637486999999993
108,XOM.csv,2016-01-06,-0.832055,0.0,74.827023,75.454849,-0.6278259999999989,-0.8320552069489914,-0.00835536108415284,67.0,2,Adv-ALSTM,kdd17,0.1,std,0.43753474950790405,0.8,0.0,-1,0,1,-0.0,0.00835536108415284,-0.0,0.6278259999999989
156,XOM.csv,2016-01-07,-1.600617,0.0,73.629329,74.827023,-1.1976939999999985,-1.6006169322010826,-0.016135651585727738,108.0,2,Adv-ALSTM,kdd17,0.1,std,0.4470180869102478,0.8,1.0,1,0,1,-0.0,-0.016135651585727738,-0.0,-1.1976939999999985
192,XOM.csv,2016-01-08,-2.020203,0.0,72.141867,73.629329,-1.4874619999999936,-2.020203117700548,-0.020408882832480796,156.0,2,Adv-ALSTM,kdd17,0.1,std,0.39230093359947205,0.8,1.0,1,0,1,-0.0,-0.020408882832480796,-0.0,-1.4874619999999936
220,XOM.csv,2016-01-11,-1.338867,0.0,71.175983,72.141867,-0.9658840000000026,-1.3388674845357171,-0.013479111275502716,192.0,2,Adv-ALSTM,kdd17,0.1,std,0.35707056522369385,0.8,1.0,1,0,1,-0.0,-0.013479111275502716,-0.0,-0.9658840000000026
254,XOM.csv,2016-01-12,2.049118,1.0,72.634463,71.175983,1.4584799999999944,2.0491181695376013,0.020284062069600452,220.0,2,Adv-ALSTM,kdd17,0.1,std,0.4591251313686371,0.8,0.0,-1,0,1,0.0,-0.020284062069600452,0.0,-1.4584799999999944
300,XOM.csv,2016-01-13,0.59841,1.0,73.069115,72.634463,0.4346519999999998,0.5984101513905319,0.00596626788855818,254.0,2,Adv-ALSTM,kdd17,0.1,std,0.3954285681247711,0.8,0.0,-1,0,1,0.0,-0.00596626788855818,0.0,-0.4346519999999998
347,XOM.csv,2016-01-14,4.586915,1.0,76.420733,73.069115,3.351618000000002,4.586914731347166,0.0448482596466251,300.0,2,Adv-ALSTM,kdd17,0.1,std,0.45376119017601013,0.8,1.0,1,0,1,0.0,0.0448482596466251,0.0,3.351618000000002
394,XOM.csv,2016-01-15,-1.946412,0.0,74.933271,76.420733,-1.4874619999999936,-1.9464115844060195,-0.019656036202120537,347.0,2,Adv-ALSTM,kdd17,0.1,std,0.4221096932888031,0.8,0.0,-1,0,1,-0.0,0.019656036202120537,-0.0,1.4874619999999936
