ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
35,TOT.csv,2016-01-04,-1.290327,0.0,41.920707,42.468692,-0.5479849999999971,-1.2903270013590178,-0.012987240311821791,,2,Adv-ALSTM,kdd17,0.1,std,0.4115141034126282,0.9,0.0,-1,0,1,-0.0,0.012987240311821791,-0.0,0.5479849999999971
63,TOT.csv,2016-01-05,-2.141087,0.0,41.023148,41.920707,-0.8975590000000011,-2.141087458281658,-0.021643412576774892,35.0,2,Adv-ALSTM,kdd17,0.1,std,0.3808195888996124,0.9,0.0,-1,0,1,-0.0,0.021643412576774892,-0.0,0.8975590000000011
101,TOT.csv,2016-01-06,-1.77337,0.0,40.295656,41.023148,-0.727491999999998,-1.7733695132318907,-0.017892821172373025,63.0,2,Adv-ALSTM,kdd17,0.1,std,0.4970746338367462,0.9,1.0,1,0,1,-0.0,-0.017892821172373025,-0.0,-0.727491999999998
149,TOT.csv,2016-01-07,-2.391561,0.0,39.331961,40.295656,-0.9636950000000013,-2.391560519575612,-0.02420622622105149,101.0,2,Adv-ALSTM,kdd17,0.1,std,0.48863402009010315,0.9,0.0,-1,0,1,-0.0,0.02420622622105149,-0.0,0.9636950000000013
185,TOT.csv,2016-01-08,-2.450158,0.0,38.368266,39.331961,-0.9636950000000013,-2.450157519478882,-0.02480673367659347,149.0,2,Adv-ALSTM,kdd17,0.1,std,0.4956245720386505,0.9,0.0,-1,0,1,-0.0,0.02480673367659347,-0.0,0.9636950000000013
293,TOT.csv,2016-01-13,-1.125252,0.0,38.188752,38.623362,-0.4346099999999993,-1.1252516029029251,-0.011316304559924936,185.0,2,Adv-ALSTM,kdd17,0.1,std,0.4800000488758087,0.9,1.0,1,0,1,-0.0,-0.011316304559924936,-0.0,-0.4346099999999993
340,TOT.csv,2016-01-14,5.987142,1.0,40.475167,38.188752,2.286414999999998,5.987142496827333,0.058147603567133284,293.0,2,Adv-ALSTM,kdd17,0.1,std,0.4811493754386902,0.9,1.0,1,0,1,0.0,0.058147603567133284,0.0,2.286414999999998
387,TOT.csv,2016-01-15,-3.898232,0.0,38.897351,40.475167,-1.5778159999999986,-3.898232217300051,-0.03976247493962023,340.0,2,Adv-ALSTM,kdd17,0.1,std,0.35310667753219604,0.9,0.0,-1,0,1,-0.0,0.03976247493962023,-0.0,1.5778159999999986
423,TOT.csv,2016-01-19,1.335932,1.0,39.416993,38.897351,0.5196419999999975,1.3359315908170648,0.013270867120156135,387.0,2,Adv-ALSTM,kdd17,0.1,std,0.491463840007782,0.9,0.0,-1,0,1,0.0,-0.013270867120156135,0.0,-0.5196419999999975
466,TOT.csv,2016-01-20,-3.61937,0.0,37.990346,39.416993,-1.4266469999999956,-3.6193704578124355,-0.036864942921458414,423.0,2,Adv-ALSTM,kdd17,0.1,std,0.20948484539985657,0.9,0.0,-1,0,1,-0.0,0.036864942921458414,-0.0,1.4266469999999956
505,TOT.csv,2016-01-21,1.989553,1.0,38.746184,37.990346,0.7558379999999971,1.989552819550517,0.019700198712811378,466.0,2,Adv-ALSTM,kdd17,0.1,std,0.28036466240882874,0.9,0.0,-1,0,1,0.0,-0.019700198712811378,0.0,-0.7558379999999971
551,TOT.csv,2016-01-22,4.31602,1.0,40.418477,38.746184,1.6722930000000034,4.31601986920829,0.04225475836815793,505.0,2,Adv-ALSTM,kdd17,0.1,std,0.3153657913208008,0.9,0.0,-1,0,1,0.0,-0.04225475836815793,0.0,-1.6722930000000034
590,TOT.csv,2016-01-25,-3.366055,0.0,39.057969,40.418477,-1.360508000000003,-3.366054589340422,-0.034240104730097254,551.0,2,Adv-ALSTM,kdd17,0.1,std,0.27436476945877075,0.9,0.0,-1,0,1,-0.0,0.034240104730097254,-0.0,1.360508000000003
631,TOT.csv,2016-01-26,4.184808,1.0,40.69247,39.057969,1.6345010000000002,4.184807970941859,0.04099613587781051,590.0,2,Adv-ALSTM,kdd17,0.1,std,0.4306790828704834,0.9,0.0,-1,0,1,0.0,-0.04099613587781051,0.0,-1.6345010000000002
705,TOT.csv,2016-01-28,1.802633,1.0,41.618372,40.88143,0.7369419999999991,1.8026326378504838,0.017865778676561788,631.0,2,Adv-ALSTM,kdd17,0.1,std,0.3449001610279083,0.9,0.0,-1,0,1,0.0,-0.017865778676561788,0.0,-0.7369419999999991
752,TOT.csv,2016-01-29,0.612941,1.0,41.873468,41.618372,0.25509600000000177,0.6129408425682815,0.006110700010615321,705.0,2,Adv-ALSTM,kdd17,0.1,std,0.22202719748020172,0.9,0.0,-1,0,1,0.0,-0.006110700010615321,0.0,-0.25509600000000177
789,TOT.csv,2016-02-01,-1.511728,0.0,41.240455,41.873468,-0.6330130000000054,-1.5117281425078173,-0.01523271233576572,752.0,2,Adv-ALSTM,kdd17,0.1,std,0.2649977207183838,0.9,0.0,-1,0,1,-0.0,0.01523271233576572,-0.0,0.6330130000000054
834,TOT.csv,2016-02-02,-4.833909,0.0,39.246929,41.240455,-1.9935259999999957,-4.833908840239507,-0.04954649293645487,789.0,2,Adv-ALSTM,kdd17,0.1,std,0.31781187653541565,0.9,0.0,-1,0,1,-0.0,0.04954649293645487,-0.0,1.9935259999999957
