ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
48,DCM.csv,2016-01-05,1.991258,1.0,21.0,20.59,0.41000000000000014,1.9912578921806712,0.01971691668372486,,2,Adv-ALSTM,kdd17,0.1,std,0.3825135827064514,0,0.0,-1,-1,1,-0.01971691668372486,-0.01971691668372486,-0.41000000000000014,-0.41000000000000014
76,DCM.csv,2016-01-06,-1.904762,0.0,20.6,21.0,-0.3999999999999986,-1.904761904761898,-0.019231361927887533,48.0,2,Adv-ALSTM,kdd17,0.1,std,0.3272867798805237,0,0.0,-1,-1,1,0.019231361927887533,0.019231361927887533,0.3999999999999986,0.3999999999999986
163,DCM.csv,2016-01-08,-1.121399,0.0,20.280001,20.51,-0.22999900000000295,-1.1213993174061576,-0.011277344051643495,76.0,2,Adv-ALSTM,kdd17,0.1,std,0.3984925448894501,0,1.0,1,1,1,-0.011277344051643495,-0.011277344051643495,-0.22999900000000295,-0.22999900000000295
226,DCM.csv,2016-01-12,1.61844,1.0,20.719999,20.389999,0.33000000000000185,1.6184404913408865,0.01605483358601913,163.0,2,Adv-ALSTM,kdd17,0.1,std,0.35902154445648193,0,0.0,-1,-1,1,-0.01605483358601913,-0.01605483358601913,-0.33000000000000185,-0.33000000000000185
263,DCM.csv,2016-01-13,0.772201,1.0,20.879999,20.719999,0.16000000000000014,0.7722008094691517,0.007692345992983714,226.0,2,Adv-ALSTM,kdd17,0.1,std,0.3702760934829712,0,0.0,-1,-1,1,-0.007692345992983714,-0.007692345992983714,-0.16000000000000014,-0.16000000000000014
358,DCM.csv,2016-01-15,-2.639151,0.0,20.290001,20.84,-0.5499989999999997,-2.6391506717850275,-0.02674601376208176,263.0,2,Adv-ALSTM,kdd17,0.1,std,0.4330126941204071,0,0.0,-1,-1,1,0.02674601376208176,0.02674601376208176,0.5499989999999997,0.5499989999999997
438,DCM.csv,2016-01-20,-2.357574,0.0,19.879999,20.360001,-0.48000199999999893,-2.35757355807595,-0.023858089871618485,358.0,2,Adv-ALSTM,kdd17,0.1,std,0.38081952929496765,0,0.0,-1,-1,1,0.023858089871618485,0.023858089871618485,0.48000199999999893,0.48000199999999893
482,DCM.csv,2016-01-21,-1.207244,0.0,19.639999,19.879999,-0.240000000000002,-1.2072435214911328,-0.012145898916794335,438.0,2,Adv-ALSTM,kdd17,0.1,std,0.357070654630661,0,0.0,-1,-1,1,0.012145898916794335,0.012145898916794335,0.240000000000002,0.240000000000002
521,DCM.csv,2016-01-22,1.985754,1.0,20.030001,19.639999,0.39000199999999907,1.985753665262402,0.019662947593016226,482.0,2,Adv-ALSTM,kdd17,0.1,std,0.42083290219306946,0,1.0,1,1,1,0.019662947593016226,0.019662947593016226,0.39000199999999907,0.39000199999999907
566,DCM.csv,2016-01-25,-0.998507,0.0,19.83,20.030001,-0.20000100000000032,-0.998507189290706,-0.01003525707113341,521.0,2,Adv-ALSTM,kdd17,0.1,std,0.4439587891101837,0,0.0,-1,-1,1,0.01003525707113341,0.01003525707113341,0.20000100000000032,0.20000100000000032
645,DCM.csv,2016-01-27,2.361814,1.0,20.370001,19.9,0.4700009999999999,2.3618140703517585,0.023343547600068258,566.0,2,Adv-ALSTM,kdd17,0.1,std,0.4364219605922699,0,1.0,1,1,1,0.023343547600068258,0.023343547600068258,0.4700009999999999,0.4700009999999999
679,DCM.csv,2016-01-28,2.503672,1.0,20.879999,20.370001,0.5099980000000031,2.503671943855099,0.024728435791201774,645.0,2,Adv-ALSTM,kdd17,0.1,std,0.46082937717437744,0,1.0,1,1,1,0.024728435791201774,0.024728435791201774,0.5099980000000031,0.5099980000000031
720,DCM.csv,2016-01-29,7.998085,1.0,22.549999,20.879999,1.6699999999999982,7.998084674237763,0.07694330648107184,679.0,2,Adv-ALSTM,kdd17,0.1,std,0.4709300994873047,0,0.0,-1,-1,1,-0.07694330648107184,-0.07694330648107184,-1.6699999999999982,-1.6699999999999982
768,DCM.csv,2016-02-01,5.720626,1.0,23.84,22.549999,1.2900010000000002,5.72062553084814,0.05562982059436059,720.0,2,Adv-ALSTM,kdd17,0.1,std,0.42585816979408264,0,0.0,-1,-1,1,-0.05562982059436059,-0.05562982059436059,-1.2900010000000002,-1.2900010000000002
806,DCM.csv,2016-02-02,-3.775164,0.0,22.940001,23.84,-0.8999990000000011,-3.775163590604032,-0.03848268690394635,768.0,2,Adv-ALSTM,kdd17,0.1,std,0.40296921133995056,0,0.0,-1,-1,1,0.03848268690394635,0.03848268690394635,0.8999990000000011,0.8999990000000011
850,DCM.csv,2016-02-03,2.571927,1.0,23.530001,22.940001,0.5899999999999999,2.571926653359779,0.02539408994500487,806.0,2,Adv-ALSTM,kdd17,0.1,std,0.44899874925613403,0,0.0,-1,-1,1,-0.02539408994500487,-0.02539408994500487,-0.5899999999999999,-0.5899999999999999
972,DCM.csv,2016-02-08,1.319706,1.0,23.799999,23.49,0.30999900000000125,1.3197062579821255,0.013110739989800007,850.0,2,Adv-ALSTM,kdd17,0.1,std,0.34065189957618713,0,0.0,-1,-1,1,-0.013110739989800007,-0.013110739989800007,-0.30999900000000125,-0.30999900000000125
1040,DCM.csv,2016-02-10,-2.864368,0.0,23.059999,23.74,-0.6800009999999972,-2.8643681550126256,-0.02906191770574421,972.0,2,Adv-ALSTM,kdd17,0.1,std,0.4750421345233917,0,1.0,1,1,1,-0.02906191770574421,-0.02906191770574421,-0.6800009999999972,-0.6800009999999972
1114,DCM.csv,2016-02-12,-0.777202,0.0,22.98,23.16,-0.17999999999999972,-0.7772020725388589,-0.007802380284184899,1040.0,2,Adv-ALSTM,kdd17,0.1,std,0.4246211051940918,0,1.0,1,1,1,-0.007802380284184899,-0.007802380284184899,-0.17999999999999972,-0.17999999999999972
1152,DCM.csv,2016-02-16,0.870322,1.0,23.18,22.98,0.1999999999999993,0.8703220191470813,0.008665565490995925,1114.0,2,Adv-ALSTM,kdd17,0.1,std,0.4182395935058594,0,1.0,1,1,1,0.008665565490995925,0.008665565490995925,0.1999999999999993,0.1999999999999993
1188,DCM.csv,2016-02-17,1.423641,1.0,23.51,23.18,0.33000000000000185,1.4236410698878423,0.014136024640372525,1152.0,2,Adv-ALSTM,kdd17,0.1,std,0.45825648307800293,0,1.0,1,1,1,0.014136024640372525,0.014136024640372525,0.33000000000000185,0.33000000000000185
1223,DCM.csv,2016-02-18,-1.488728,0.0,23.16,23.51,-0.3500000000000014,-1.4887282007656375,-0.014999209847183654,1188.0,2,Adv-ALSTM,kdd17,0.1,std,0.4429173767566681,0,0.0,-1,-1,1,0.014999209847183654,0.014999209847183654,0.3500000000000014,0.3500000000000014
1279,DCM.csv,2016-02-22,1.340259,1.0,23.440001,23.129999,0.3100019999999972,1.3402594613168692,0.013313574361475301,1223.0,2,Adv-ALSTM,kdd17,0.1,std,0.42708295583724976,0,0.0,-1,-1,1,-0.013313574361475301,-0.013313574361475301,-0.3100019999999972,-0.3100019999999972
1318,DCM.csv,2016-02-23,-4.010243,0.0,22.5,23.440001,-0.9400009999999988,-4.010243002975976,-0.04092869816055251,1279.0,2,Adv-ALSTM,kdd17,0.1,std,0.3272867500782013,0,0.0,-1,-1,1,0.04092869816055251,0.04092869816055251,0.9400009999999988,0.9400009999999988
1375,DCM.csv,2016-02-25,1.552111,1.0,22.9,22.549999,0.3500009999999989,1.5521109335747594,0.01540188895740564,1318.0,2,Adv-ALSTM,kdd17,0.1,std,0.48170962929725647,0,1.0,1,1,1,0.01540188895740564,0.01540188895740564,0.3500009999999989,0.3500009999999989
1417,DCM.csv,2016-02-26,1.222707,1.0,23.18,22.9,0.28000000000000114,1.222707423580791,0.012152927351411758,1375.0,2,Adv-ALSTM,kdd17,0.1,std,0.4657006561756134,0,1.0,1,1,1,0.012152927351411758,0.012152927351411758,0.28000000000000114,0.28000000000000114
1487,DCM.csv,2016-03-01,1.759657,1.0,23.709999,23.299999,0.41000000000000014,1.7596567278822635,0.017443540247817177,1417.0,2,Adv-ALSTM,kdd17,0.1,std,0.441864013671875,0,1.0,1,1,1,0.017443540247817177,0.017443540247817177,0.41000000000000014,0.41000000000000014
1530,DCM.csv,2016-03-02,0.590472,1.0,23.85,23.709999,0.1400010000000016,0.5904723994294626,0.005887359433334009,1487.0,2,Adv-ALSTM,kdd17,0.1,std,0.44498881697654724,0,0.0,-1,-1,1,-0.005887359433334009,-0.005887359433334009,-0.1400010000000016,-0.1400010000000016
1558,DCM.csv,2016-03-03,-1.802935,0.0,23.42,23.85,-0.4299999999999997,-1.8029350104821789,-0.0181938591647789,1530.0,2,Adv-ALSTM,kdd17,0.1,std,0.4128870964050293,0,0.0,-1,-1,1,0.0181938591647789,0.0181938591647789,0.4299999999999997,0.4299999999999997
1581,DCM.csv,2016-03-04,-2.348416,0.0,22.870001,23.42,-0.5499990000000032,-2.3484158838599627,-0.02376430640947819,1558.0,2,Adv-ALSTM,kdd17,0.1,std,0.4115138649940491,0,1.0,1,1,1,-0.02376430640947819,-0.02376430640947819,-0.5499990000000032,-0.5499990000000032
1612,DCM.csv,2016-03-07,-1.923922,0.0,22.43,22.870001,-0.44000099999999875,-1.9239220846557845,-0.01942670322797625,1581.0,2,Adv-ALSTM,kdd17,0.1,std,0.4460085928440094,0,1.0,1,1,1,-0.01942670322797625,-0.01942670322797625,-0.44000099999999875,-0.44000099999999875
1645,DCM.csv,2016-03-08,1.694155,1.0,22.809999,22.43,0.37999900000000153,1.6941551493535514,0.01679964392375804,1612.0,2,Adv-ALSTM,kdd17,0.1,std,0.4155924916267395,0,1.0,1,1,1,0.01679964392375804,0.01679964392375804,0.37999900000000153,0.37999900000000153
1679,DCM.csv,2016-03-09,0.569934,1.0,22.940001,22.809999,0.1300019999999975,0.5699342643548451,0.005683162837327908,1645.0,2,Adv-ALSTM,kdd17,0.1,std,0.3969685733318329,0,0.0,-1,-1,1,-0.005683162837327908,-0.005683162837327908,-0.1300019999999975,-0.1300019999999975
1704,DCM.csv,2016-03-10,-1.874459,0.0,22.51,22.940001,-0.4300009999999972,-1.8744593777480532,-0.018922500374561727,1679.0,2,Adv-ALSTM,kdd17,0.1,std,0.42462119460105896,0,1.0,1,1,1,-0.018922500374561727,-0.018922500374561727,-0.4300009999999972,-0.4300009999999972
1740,DCM.csv,2016-03-11,2.221235,1.0,23.01,22.51,0.5,2.2212350066637048,0.021969249128633715,1704.0,2,Adv-ALSTM,kdd17,0.1,std,0.4115140736103058,0,1.0,1,1,1,0.021969249128633715,0.021969249128633715,0.5,0.5
1777,DCM.csv,2016-03-14,-1.608001,0.0,22.639999,23.01,-0.370001000000002,-1.6080008691873187,-0.016210694881904717,1740.0,2,Adv-ALSTM,kdd17,0.1,std,0.49614015221595764,0,1.0,1,1,1,-0.016210694881904717,-0.016210694881904717,-0.370001000000002,-0.370001000000002
1823,DCM.csv,2016-03-16,1.195748,1.0,22.85,22.58,0.2700000000000031,1.195748449955727,0.011886558618697973,1777.0,2,Adv-ALSTM,kdd17,0.1,std,0.49322882294654846,0,1.0,1,1,1,0.011886558618697973,0.011886558618697973,0.2700000000000031,0.2700000000000031
1937,DCM.csv,2016-03-22,2.018425,1.0,23.25,22.790001,0.4599989999999998,2.018424659130115,0.019983244896879117,1823.0,2,Adv-ALSTM,kdd17,0.1,std,0.4624929130077362,0,1.0,1,1,1,0.019983244896879117,0.019983244896879117,0.4599989999999998,0.4599989999999998
1995,DCM.csv,2016-03-24,1.035822,1.0,23.41,23.17,0.23999999999999844,1.035822183858431,0.010304943058534443,1937.0,2,Adv-ALSTM,kdd17,0.1,std,0.43185126781463623,0,1.0,1,1,1,0.010304943058534443,0.010304943058534443,0.23999999999999844,0.23999999999999844
2015,DCM.csv,2016-03-28,1.238791,1.0,23.700001,23.41,0.2900010000000002,1.2387911149081596,0.012311808832358115,1995.0,2,Adv-ALSTM,kdd17,0.1,std,0.4591251313686371,0,0.0,-1,-1,1,-0.012311808832358115,-0.012311808832358115,-0.2900010000000002,-0.2900010000000002
2034,DCM.csv,2016-03-29,-1.139245,0.0,23.43,23.700001,-0.2700010000000006,-1.1392446776690035,-0.011457837815473187,2015.0,2,Adv-ALSTM,kdd17,0.1,std,0.4429173469543457,0,0.0,-1,-1,1,0.011457837815473187,0.011457837815473187,0.2700010000000006,0.2700010000000006
2066,DCM.csv,2016-03-30,0.896283,1.0,23.639999,23.43,0.20999899999999982,0.8962825437473317,0.008922897717007905,2034.0,2,Adv-ALSTM,kdd17,0.1,std,0.43185093998908997,0,0.0,-1,-1,1,-0.008922897717007905,-0.008922897717007905,-0.20999899999999982,-0.20999899999999982
2093,DCM.csv,2016-03-31,-3.680199,0.0,22.77,23.639999,-0.869999,-3.680198971243611,-0.03749627016106385,2066.0,2,Adv-ALSTM,kdd17,0.1,std,0.4573802053928375,0,0.0,-1,-1,1,0.03749627016106385,0.03749627016106385,0.869999,0.869999
