ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
37,UPS.csv,2016-01-04,-1.444463,0.0,92.068892,93.418285,-1.349392999999992,-1.4444634687952065,-0.014549974046493844,,2,Adv-ALSTM,kdd17,0.1,std,0.47233980894088745,0,1.0,1,1,1,-0.014549974046493844,-0.014549974046493844,-1.349392999999992,-1.349392999999992
64,UPS.csv,2016-01-05,0.991146,1.0,92.981429,92.068892,0.9125370000000004,0.9911458476115911,0.009862662135245621,37.0,2,Adv-ALSTM,kdd17,0.1,std,0.4985547661781311,0,1.0,1,1,1,0.009862662135245621,0.009862662135245621,0.9125370000000004,0.9125370000000004
103,UPS.csv,2016-01-06,-1.419922,0.0,91.661165,92.981429,-1.3202640000000088,-1.4199222513562453,-0.01430099602539508,64.0,2,Adv-ALSTM,kdd17,0.1,std,0.37563300132751465,0,0.0,-1,-1,1,0.01430099602539508,0.01430099602539508,1.3202640000000088,1.3202640000000088
151,UPS.csv,2016-01-07,-1.927557,0.0,89.894344,91.661165,-1.766820999999993,-1.927556779362332,-0.01946376386637322,103.0,2,Adv-ALSTM,kdd17,0.1,std,0.491463840007782,0,1.0,1,1,1,-0.01946376386637322,-0.01946376386637322,-1.766820999999993,-1.766820999999993
187,UPS.csv,2016-01-08,-1.306695,0.0,88.719699,89.894344,-1.1746449999999982,-1.3066951130985482,-0.013153074808873106,151.0,2,Adv-ALSTM,kdd17,0.1,std,0.4616667330265045,0,1.0,1,1,1,-0.013153074808873106,-0.013153074808873106,-1.1746449999999982,-1.1746449999999982
250,UPS.csv,2016-01-12,1.461921,1.0,90.282658,88.981814,1.300843999999998,1.4619211966166457,0.014513381478931458,187.0,2,Adv-ALSTM,kdd17,0.1,std,0.48989924788475037,0,1.0,1,1,1,0.014513381478931458,0.014513381478931458,1.300843999999998,1.300843999999998
295,UPS.csv,2016-01-13,-2.569892,0.0,87.962491,90.282658,-2.320166999999998,-2.569892215623512,-0.026034908276420216,250.0,2,Adv-ALSTM,kdd17,0.1,std,0.4115141034126282,0,0.0,-1,-1,1,0.026034908276420216,0.026034908276420216,2.320166999999998,2.320166999999998
342,UPS.csv,2016-01-14,0.595962,1.0,88.486714,87.962491,0.5242230000000063,0.5959619765656777,0.005941931473984847,295.0,2,Adv-ALSTM,kdd17,0.1,std,0.47504204511642456,0,1.0,1,1,1,0.005941931473984847,0.005941931473984847,0.5242230000000063,0.5242230000000063
389,UPS.csv,2016-01-15,-1.217774,0.0,87.409146,88.486714,-1.0775679999999994,-1.2177737778803712,-0.012252493954842925,342.0,2,Adv-ALSTM,kdd17,0.1,std,0.42708277702331543,0,0.0,-1,-1,1,0.012252493954842925,0.012252493954842925,1.0775679999999994,1.0775679999999994
468,UPS.csv,2016-01-20,-1.826234,0.0,86.108295,87.710086,-1.6017910000000057,-1.8262335303148667,-0.01843115021018404,389.0,2,Adv-ALSTM,kdd17,0.1,std,0.457380086183548,0,1.0,1,1,1,-0.01843115021018404,-0.01843115021018404,-1.6017910000000057,-1.6017910000000057
