ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
28,PG.csv,2016-01-04,-1.30966,0.0,75.876568,76.88348,-1.0069119999999998,-1.3096597604582931,-0.013183114251685835,,2,Adv-ALSTM,kdd17,0.1,std,0.41823944449424744,1,1.0,1,0,1,-0.0,-0.013183114251685835,-0.0,-1.0069119999999998
94,PG.csv,2016-01-06,-0.966678,0.0,75.382792,76.118614,-0.7358219999999989,-0.9666781373607235,-0.009713808014243467,28.0,2,Adv-ALSTM,kdd17,0.1,std,0.4195432960987091,1,1.0,1,0,1,-0.0,-0.009713808014243467,-0.0,-0.7358219999999989
140,PG.csv,2016-01-07,-0.873362,0.0,74.724427,75.382792,-0.6583649999999892,-0.8733624512076831,-0.008771986131275705,94.0,2,Adv-ALSTM,kdd17,0.1,std,0.418239563703537,1,1.0,1,0,1,-0.0,-0.008771986131275705,-0.0,-0.6583649999999892
177,PG.csv,2016-01-08,-1.567762,0.0,73.552926,74.724427,-1.1715010000000063,-1.5677617708597567,-0.01580181130711821,140.0,2,Adv-ALSTM,kdd17,0.1,std,0.485878050327301,1,1.0,1,0,1,-0.0,-0.01580181130711821,-0.0,-1.1715010000000063
209,PG.csv,2016-01-11,0.921411,1.0,74.230651,73.552926,0.6777249999999952,0.9214113385509575,0.009171922413010264,177.0,2,Adv-ALSTM,kdd17,0.1,std,0.3647405803203583,1,1.0,1,0,1,0.0,0.009171922413010264,0.0,0.6777249999999952
285,PG.csv,2016-01-13,-0.862637,0.0,73.436741,74.075746,-0.6390049999999974,-0.862637279413963,-0.008663795317112633,209.0,2,Adv-ALSTM,kdd17,0.1,std,0.4429173767566681,1,1.0,1,0,1,-0.0,-0.008663795317112633,-0.0,-0.6390049999999974
379,PG.csv,2016-01-15,-1.536438,0.0,72.594426,73.727199,-1.1327730000000003,-1.5364384045025232,-0.015483639292790091,285.0,2,Adv-ALSTM,kdd17,0.1,std,0.36660635471343994,1,1.0,1,0,1,-0.0,-0.015483639292790091,-0.0,-1.1327730000000003
415,PG.csv,2016-01-19,2.333955,1.0,74.288747,72.594426,1.6943210000000022,2.3339546758039003,0.023071344663089865,379.0,2,Adv-ALSTM,kdd17,0.1,std,0.4397227466106415,1,1.0,1,0,1,0.0,0.023071344663089865,0.0,1.6943210000000022
497,PG.csv,2016-01-21,1.173677,1.0,74.926481,74.057288,0.8691929999999957,1.1736765191833594,0.011668423583099012,415.0,2,Adv-ALSTM,kdd17,0.1,std,0.4087252914905548,1,0.0,-1,0,1,0.0,-0.011668423583099012,0.0,-0.8691929999999957
543,PG.csv,2016-01-22,0.834202,1.0,75.551519,74.926481,0.6250380000000035,0.8342017290255546,0.008307414966293572,497.0,2,Adv-ALSTM,kdd17,0.1,std,0.4246211647987366,1,0.0,-1,0,1,0.0,-0.008307414966293572,0.0,-0.6250380000000035
583,PG.csv,2016-01-25,-0.659259,0.0,75.053439,75.551519,-0.49808000000000163,-0.6592587503105023,-0.0066144145923174875,543.0,2,Adv-ALSTM,kdd17,0.1,std,0.3226076662540436,1,0.0,-1,0,1,-0.0,0.0066144145923174875,-0.0,0.49808000000000163
623,PG.csv,2016-01-26,2.550423,1.0,76.967619,75.053439,1.9141800000000018,2.5504227727659514,0.025184421123126133,583.0,2,Adv-ALSTM,kdd17,0.1,std,0.4881969094276428,1,1.0,1,0,1,0.0,0.025184421123126133,0.0,1.9141800000000018
698,PG.csv,2016-01-28,1.294411,1.0,77.954009,76.957858,0.9961509999999976,1.2944110268765505,0.012861051255609527,623.0,2,Adv-ALSTM,kdd17,0.1,std,0.37386661767959595,1,0.0,-1,0,1,0.0,-0.012861051255609527,0.0,-0.9961509999999976
743,PG.csv,2016-01-29,2.342775,1.0,79.780296,77.954009,1.8262870000000078,2.3427749559358877,0.02315753208804347,698.0,2,Adv-ALSTM,kdd17,0.1,std,0.3202243149280548,1,0.0,-1,0,1,0.0,-0.02315753208804347,0.0,-1.8262870000000078
784,PG.csv,2016-02-01,-0.697759,0.0,79.223622,79.780296,-0.556674000000001,-0.6977587548684965,-0.0070020447472470635,743.0,2,Adv-ALSTM,kdd17,0.1,std,0.2773878872394562,1,0.0,-1,0,1,-0.0,0.0070020447472470635,-0.0,0.556674000000001
826,PG.csv,2016-02-02,-1.10947,0.0,78.34466,79.223622,-0.8789620000000014,-1.109469597338028,-0.011156701158416103,784.0,2,Adv-ALSTM,kdd17,0.1,std,0.27129286527633667,1,0.0,-1,0,1,-0.0,0.011156701158416103,-0.0,0.8789620000000014
871,PG.csv,2016-02-03,1.09698,1.0,79.204085,78.34466,0.8594250000000017,1.0969796792787174,0.010910065005321443,826.0,2,Adv-ALSTM,kdd17,0.1,std,0.40000060200691223,1,0.0,-1,0,1,0.0,-0.010910065005321443,0.0,-0.8594250000000017
952,PG.csv,2016-02-05,0.619578,1.0,79.301746,78.813435,0.48831099999999594,0.6195783751843781,0.0061766687978103835,871.0,2,Adv-ALSTM,kdd17,0.1,std,0.4903029799461365,1,1.0,1,0,1,0.0,0.0061766687978103835,0.0,0.48831099999999594
988,PG.csv,2016-02-08,1.748775,1.0,80.688555,79.301746,1.3868089999999995,1.7487748630402156,0.017336597604042266,952.0,2,Adv-ALSTM,kdd17,0.1,std,0.45093709230422974,1,0.0,-1,0,1,0.0,-0.017336597604042266,0.0,-1.3868089999999995
1056,PG.csv,2016-02-10,-1.234265,0.0,79.711933,80.708085,-0.996151999999995,-1.2342654394537984,-0.012419457577716059,988.0,2,Adv-ALSTM,kdd17,0.1,std,0.4537612199783325,1,0.0,-1,0,1,-0.0,0.012419457577716059,-0.0,0.996151999999995
1091,PG.csv,2016-02-11,-2.107328,0.0,78.032141,79.711933,-1.6797920000000062,-2.1073281462136997,-0.021298492636464765,1056.0,2,Adv-ALSTM,kdd17,0.1,std,0.41692236065864563,1,1.0,1,0,1,-0.0,-0.021298492636464765,-0.0,-1.6797920000000062
1131,PG.csv,2016-02-12,1.364201,1.0,79.096656,78.032141,1.064515,1.3642006823829174,0.01354979236240544,1091.0,2,Adv-ALSTM,kdd17,0.1,std,0.4044298827648163,1,1.0,1,0,1,0.0,0.01354979236240544,0.0,1.064515
1168,PG.csv,2016-02-16,0.59267,1.0,79.565438,79.096656,0.4687820000000045,0.5926698089486925,0.005909204300604696,1131.0,2,Adv-ALSTM,kdd17,0.1,std,0.33408990502357483,1,0.0,-1,0,1,0.0,-0.005909204300604696,0.0,-0.4687820000000045
1205,PG.csv,2016-02-17,1.202892,1.0,80.522524,79.565438,0.9570860000000039,1.2028916374469074,0.011957143949617761,1168.0,2,Adv-ALSTM,kdd17,0.1,std,0.33185017108917236,1,0.0,-1,0,1,0.0,-0.011957143949617761,0.0,-0.9570860000000039
1236,PG.csv,2016-02-18,-0.570034,0.0,80.063518,80.522524,-0.45900600000000225,-0.5700342925167152,-0.005716651887214781,1205.0,2,Adv-ALSTM,kdd17,0.1,std,0.3490505516529083,1,0.0,-1,0,1,-0.0,0.005716651887214781,-0.0,0.45900600000000225
1397,PG.csv,2016-02-25,0.95635,1.0,80.415095,79.65333,0.7617649999999969,0.9563504752406421,0.009518063926811883,1236.0,2,Adv-ALSTM,kdd17,0.1,std,0.39387354254722595,1,0.0,-1,0,1,0.0,-0.009518063926811883,0.0,-0.7617649999999969
1436,PG.csv,2016-02-26,-1.505949,0.0,79.204085,80.415095,-1.2110099999999875,-1.5059486033063663,-0.01517403154545281,1397.0,2,Adv-ALSTM,kdd17,0.1,std,0.3609488606452942,1,0.0,-1,0,1,-0.0,0.01517403154545281,-0.0,1.2110099999999875
1466,PG.csv,2016-02-29,-0.998764,0.0,78.413023,79.204085,-0.7910620000000108,-0.998764142026274,-0.010037852517542604,1436.0,2,Adv-ALSTM,kdd17,0.1,std,0.44498875737190247,1,1.0,1,0,1,-0.0,-0.010037852517542604,-0.0,-0.7910620000000108
1509,PG.csv,2016-03-01,1.17076,1.0,79.331051,78.413023,0.9180280000000067,1.17075960711272,0.011639592426417048,1466.0,2,Adv-ALSTM,kdd17,0.1,std,0.37738049030303955,1,1.0,1,0,1,0.0,0.011639592426417048,0.0,0.9180280000000067
1542,PG.csv,2016-03-02,1.625014,1.0,80.620192,79.331051,1.2891410000000008,1.6250143969477988,0.01611952354725628,1509.0,2,Adv-ALSTM,kdd17,0.1,std,0.47021248936653137,1,1.0,1,0,1,0.0,0.01611952354725628,0.0,1.2891410000000008
1593,PG.csv,2016-03-04,0.784647,1.0,81.538212,80.903406,0.6348059999999975,0.7846468169708423,0.007815844724622564,1542.0,2,Adv-ALSTM,kdd17,0.1,std,0.4528314173221588,1,0.0,-1,0,1,0.0,-0.007815844724622564,0.0,-0.6348059999999975
