ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
34,TM.csv,2016-01-04,-1.284137,0.0,119.640975,121.197314,-1.5563390000000084,-1.284136544478212,-0.012924528496582308,,2,Adv-ALSTM,kdd17,0.1,var,0.14759953320026398,0.1,1.0,1,1,1,-0.012924528496582308,-0.012924528496582308,-1.5563390000000084,-1.5563390000000084
100,TM.csv,2016-01-06,-2.278358,0.0,116.6071,119.325768,-2.718667999999994,-2.2783578480718383,-0.02304713507408977,34.0,2,Adv-ALSTM,kdd17,0.1,var,0.18030311167240143,0.1,1.0,1,1,1,-0.02304713507408977,-0.02304713507408977,-2.718667999999994,-2.718667999999994
148,TM.csv,2016-01-07,-2.37371,0.0,113.839186,116.6071,-2.7679140000000046,-2.3737096626191754,-0.024023360631278207,100.0,2,Adv-ALSTM,kdd17,0.1,var,0.14372415840625763,0.1,1.0,1,1,1,-0.024023360631278207,-0.024023360631278207,-2.7679140000000046,-2.7679140000000046
184,TM.csv,2016-01-08,-2.171845,0.0,111.366775,113.839186,-2.472410999999994,-2.1718452906014223,-0.02195776991275146,148.0,2,Adv-ALSTM,kdd17,0.1,var,0.13303565979003906,0.1,1.0,1,1,1,-0.02195776991275146,-0.02195776991275146,-2.472410999999994,-2.472410999999994
214,TM.csv,2016-01-11,1.54785,1.0,113.090566,111.366775,1.7237909999999914,1.5478503350752424,0.015359933277320537,184.0,2,Adv-ALSTM,kdd17,0.1,var,0.19892358779907227,0.1,1.0,1,1,1,0.015359933277320537,0.015359933277320537,1.7237909999999914,1.7237909999999914
248,TM.csv,2016-01-12,0.888428,1.0,114.095294,113.090566,1.004728,0.8884277756643291,0.008845044761008036,214.0,2,Adv-ALSTM,kdd17,0.1,var,0.23560048639774323,0.1,1.0,1,1,1,0.008845044761008036,0.008845044761008036,1.004728,1.004728
292,TM.csv,2016-01-13,-0.725203,0.0,113.267871,114.095294,-0.827422999999996,-0.7252034426590777,-0.007278458256774985,248.0,2,Adv-ALSTM,kdd17,0.1,var,0.20673641562461853,0.1,0.0,-1,-1,1,0.007278458256774985,0.007278458256774985,0.827422999999996,0.827422999999996
339,TM.csv,2016-01-14,1.130535,1.0,114.548404,113.267871,1.2805330000000055,1.1305350658528803,0.011241922783669877,292.0,2,Adv-ALSTM,kdd17,0.1,var,0.1875,0.1,1.0,1,1,1,0.011241922783669877,0.011241922783669877,1.2805330000000055,1.2805330000000055
386,TM.csv,2016-01-15,-3.173103,0.0,110.913665,114.548404,-3.6347390000000104,-3.1731031363824242,-0.032245370140206744,339.0,2,Adv-ALSTM,kdd17,0.1,var,0.18030309677124023,0.1,0.0,-1,-1,1,0.032245370140206744,0.032245370140206744,3.6347390000000104,3.6347390000000104
422,TM.csv,2016-01-19,2.149199,1.0,113.29742,110.913665,2.383755000000008,2.1491986582537037,0.02126429048954394,386.0,2,Adv-ALSTM,kdd17,0.1,var,0.2138996422290802,0.1,1.0,1,1,1,0.02126429048954394,0.02126429048954394,2.383755000000008,2.383755000000008
465,TM.csv,2016-01-20,-3.051639,0.0,109.839992,113.29742,-3.4574280000000073,-3.051638775181295,-0.03099170774483345,422.0,2,Adv-ALSTM,kdd17,0.1,var,0.13028407096862793,0.1,0.0,-1,-1,1,0.03099170774483345,0.03099170774483345,3.4574280000000073,3.4574280000000073
550,TM.csv,2016-01-22,4.365435,1.0,114.213492,109.436129,4.777363000000008,4.365434928715368,0.04272835158206903,465.0,2,Adv-ALSTM,kdd17,0.1,var,0.237900048494339,0.1,1.0,1,1,1,0.04272835158206903,0.04272835158206903,4.777363000000008,4.777363000000008
589,TM.csv,2016-01-25,-2.190593,0.0,111.711539,114.213492,-2.5019530000000003,-2.1905932094257308,-0.022149429619997343,550.0,2,Adv-ALSTM,kdd17,0.1,var,0.15265601873397827,0.1,0.0,-1,-1,1,0.022149429619997343,0.022149429619997343,2.5019530000000003,2.5019530000000003
