ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
51,DUK.csv,2016-01-05,0.716385,1.0,68.723193,68.234372,0.4888210000000015,0.7163852845307956,0.007138314348332209,,2,Adv-ALSTM,kdd17,0.1,var,0.1844647377729416,0.2,0.0,-1,-1,1,-0.007138314348332209,-0.007138314348332209,-0.4888210000000015,-0.4888210000000015
120,DUK.csv,2016-01-07,-0.918458,0.0,68.243951,68.876553,-0.6326020000000057,-0.9184576934330696,-0.009227015212682784,51.0,2,Adv-ALSTM,kdd17,0.1,var,0.21465550363063812,0.2,1.0,1,1,1,-0.009227015212682784,-0.009227015212682784,-0.6326020000000057,-0.6326020000000057
200,DUK.csv,2016-01-11,1.112051,1.0,68.8478,68.090598,0.7572020000000066,1.1120507415722896,0.011059129191921913,120.0,2,Adv-ALSTM,kdd17,0.1,var,0.12326429039239883,0.2,1.0,1,1,1,0.011059129191921913,0.011059129191921913,0.7572020000000066,0.7572020000000066
229,DUK.csv,2016-01-12,-0.779625,0.0,68.311045,68.8478,-0.5367550000000136,-0.7796254927536008,-0.007826804608641358,200.0,2,Adv-ALSTM,kdd17,0.1,var,0.16473613679409027,0.2,0.0,-1,-1,1,0.007826804608641358,0.007826804608641358,0.5367550000000136,0.5367550000000136
266,DUK.csv,2016-01-13,0.60334,1.0,68.723193,68.311045,0.41214800000000196,0.6033402065507885,0.006015273974762542,229.0,2,Adv-ALSTM,kdd17,0.1,var,0.13575629889965057,0.2,0.0,-1,-1,1,-0.006015273974762542,-0.006015273974762542,-0.41214800000000196,-0.41214800000000196
313,DUK.csv,2016-01-14,0.934456,1.0,69.365381,68.723193,0.6421880000000044,0.9344559994469472,0.00930116969312342,266.0,2,Adv-ALSTM,kdd17,0.1,var,0.1437242478132248,0.2,1.0,1,1,1,0.00930116969312342,0.00930116969312342,0.6421880000000044,0.6421880000000044
404,DUK.csv,2016-01-19,1.498336,1.0,70.122583,69.087421,1.0351619999999997,1.498336433777141,0.014872222544432698,313.0,2,Adv-ALSTM,kdd17,0.1,var,0.189483180642128,0.2,0.0,-1,-1,1,-0.014872222544432698,-0.014872222544432698,-1.0351619999999997,-1.0351619999999997
441,DUK.csv,2016-01-20,-2.378355,0.0,68.454819,70.122583,-1.6677640000000054,-2.3783550585978914,-0.02407094521621083,404.0,2,Adv-ALSTM,kdd17,0.1,var,0.15014399588108063,0.2,0.0,-1,-1,1,0.02407094521621083,0.02407094521621083,1.6677640000000054,1.6677640000000054
524,DUK.csv,2016-01-22,1.533272,1.0,69.183267,68.138518,1.044748999999996,1.533272267530086,0.015216364368665893,441.0,2,Adv-ALSTM,kdd17,0.1,var,0.1875,0.2,0.0,-1,-1,1,-0.015216364368665893,-0.015216364368665893,-1.044748999999996,-1.044748999999996
569,DUK.csv,2016-01-25,-0.526457,0.0,68.819047,69.183267,-0.3642200000000031,-0.5264567803656961,-0.005278474470603863,524.0,2,Adv-ALSTM,kdd17,0.1,var,0.17160028219223022,0.2,0.0,-1,-1,1,0.005278474470603863,0.005278474470603863,0.3642200000000031,0.3642200000000031
