ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
13,HD.csv,2016-01-04,-0.892244,0.0,128.338604,129.494006,-1.1554020000000094,-0.8922436147353486,-0.008962479447900054,,2,Adv-ALSTM,kdd17,0.1,var,0.15758424997329712,0.2,1.0,1,1,1,-0.008962479447900054,-0.008962479447900054,-1.1554020000000094,-1.1554020000000094
80,HD.csv,2016-01-06,-1.035031,0.0,126.390068,127.711926,-1.321858000000006,-1.0350309805836033,-0.010404246761302662,13.0,2,Adv-ALSTM,kdd17,0.1,var,0.18948322534561157,0.2,1.0,1,1,1,-0.010404246761302662,-0.010404246761302662,-1.321858000000006,-1.321858000000006
124,HD.csv,2016-01-07,-2.850945,0.0,122.786757,126.390068,-3.603311000000005,-2.850944743537922,-0.02892373479800892,80.0,2,Adv-ALSTM,kdd17,0.1,var,0.10407571494579315,0.2,1.0,1,1,1,-0.02892373479800892,-0.02892373479800892,-3.603311000000005,-3.603311000000005
167,HD.csv,2016-01-08,-1.196173,0.0,121.318015,122.786757,-1.4687419999999918,-1.196172971650348,-0.012033846879700437,124.0,2,Adv-ALSTM,kdd17,0.1,var,0.16705642640590668,0.2,1.0,1,1,1,-0.012033846879700437,-0.012033846879700437,-1.4687419999999918,-1.4687419999999918
202,HD.csv,2016-01-11,1.517351,1.0,123.158835,121.318015,1.8408199999999937,1.5173509062112445,0.015059542773118703,167.0,2,Adv-ALSTM,kdd17,0.1,var,0.15389978885650635,0.2,1.0,1,1,1,0.015059542773118703,0.015059542773118703,1.8408199999999937,1.8408199999999937
231,HD.csv,2016-01-12,1.359516,1.0,124.833199,123.158835,1.674363999999997,1.35951594540497,0.013503574415569156,202.0,2,Adv-ALSTM,kdd17,0.1,var,0.2439163774251938,0.2,0.0,-1,-1,1,-0.013503574415569156,-0.013503574415569156,-1.674363999999997,-1.674363999999997
270,HD.csv,2016-01-13,-4.776842,0.0,118.870114,124.833199,-5.963084999999992,-4.776842256521835,-0.048947020164169686,231.0,2,Adv-ALSTM,kdd17,0.1,var,0.19143657386302948,0.2,1.0,1,1,1,-0.048947020164169686,-0.048947020164169686,-5.963084999999992,-5.963084999999992
317,HD.csv,2016-01-14,-1.466226,0.0,117.127209,118.870114,-1.7429050000000075,-1.4662264057389627,-0.014770817450109648,270.0,2,Adv-ALSTM,kdd17,0.1,var,0.22503599524497986,0.2,1.0,1,1,1,-0.014770817450109648,-0.014770817450109648,-1.7429050000000075,-1.7429050000000075
444,HD.csv,2016-01-20,-2.755514,0.0,114.033057,117.264291,-3.2312340000000006,-2.7555140379435716,-0.02794190471597691,317.0,2,Adv-ALSTM,kdd17,0.1,var,0.21236373484134674,0.2,1.0,1,1,1,-0.02794190471597691,-0.02794190471597691,-3.2312340000000006,-3.2312340000000006
488,HD.csv,2016-01-21,3.228579,1.0,117.714704,114.033057,3.681646999999998,3.228578709417566,0.03177555420144049,444.0,2,Adv-ALSTM,kdd17,0.1,var,0.1738242357969284,0.2,0.0,-1,-1,1,-0.03177555420144049,-0.03177555420144049,-3.681646999999998,-3.681646999999998
528,HD.csv,2016-01-22,2.112794,1.0,120.201773,117.714704,2.4870690000000053,2.1127938273539772,0.020907838162391064,488.0,2,Adv-ALSTM,kdd17,0.1,var,0.17271718382835388,0.2,0.0,-1,-1,1,-0.020907838162391064,-0.020907838162391064,-2.4870690000000053,-2.4870690000000053
573,HD.csv,2016-01-25,-0.85533,0.0,119.173651,120.201773,-1.0281219999999962,-0.8553301455877828,-0.008590090869618459,528.0,2,Adv-ALSTM,kdd17,0.1,var,0.22628362476825714,0.2,1.0,1,1,1,-0.008590090869618459,-0.008590090869618459,-1.0281219999999962,-1.0281219999999962
651,HD.csv,2016-01-27,-0.515546,0.0,119.036569,119.653438,-0.6168689999999941,-0.5155464066147386,-0.005168799323722085,573.0,2,Adv-ALSTM,kdd17,0.1,var,0.16589990258216858,0.2,0.0,-1,-1,1,0.005168799323722085,0.005168799323722085,0.6168689999999941,0.6168689999999941
685,HD.csv,2016-01-28,0.584025,1.0,119.731772,119.036569,0.6952030000000065,0.5840247294089991,0.005823259161036084,651.0,2,Adv-ALSTM,kdd17,0.1,var,0.2286827713251114,0.2,0.0,-1,-1,1,-0.005823259161036084,-0.005823259161036084,-0.6952030000000065,-0.6952030000000065
727,HD.csv,2016-01-29,2.84593,1.0,123.139255,119.731772,3.407482999999999,2.845930485351874,0.02806186185457472,685.0,2,Adv-ALSTM,kdd17,0.1,var,0.1670563817024231,0.2,0.0,-1,-1,1,-0.02806186185457472,-0.02806186185457472,-3.407482999999999,-3.407482999999999
775,HD.csv,2016-02-01,0.596374,1.0,123.873626,123.139255,0.7343709999999959,0.5963744055459779,0.00594603132179931,727.0,2,Adv-ALSTM,kdd17,0.1,var,0.11161605268716812,0.2,0.0,-1,-1,1,-0.00594603132179931,-0.00594603132179931,-0.7343709999999959,-0.7343709999999959
811,HD.csv,2016-02-02,-0.980164,0.0,122.659461,123.873626,-1.2141650000000084,-0.9801642522355875,-0.009849994834574136,775.0,2,Adv-ALSTM,kdd17,0.1,var,0.06337587535381317,0.2,0.0,-1,-1,1,0.009849994834574136,0.009849994834574136,1.2141650000000084,1.2141650000000084
857,HD.csv,2016-02-03,-1.181445,0.0,121.210307,122.659461,-1.449153999999993,-1.181444943737355,-0.01188479465408813,811.0,2,Adv-ALSTM,kdd17,0.1,var,0.14502350986003876,0.2,0.0,-1,-1,1,0.01188479465408813,0.01188479465408813,1.449153999999993,1.449153999999993
901,HD.csv,2016-02-04,-2.164957,0.0,118.586156,121.210307,-2.6241509999999977,-2.164956978452334,-0.021887360022370263,857.0,2,Adv-ALSTM,kdd17,0.1,var,0.10407570004463196,0.2,0.0,-1,-1,1,0.021887360022370263,0.021887360022370263,2.6241509999999977,2.6241509999999977
941,HD.csv,2016-02-05,-3.864255,0.0,114.003684,118.586156,-4.582471999999996,-3.864255453225076,-0.03940898758934145,901.0,2,Adv-ALSTM,kdd17,0.1,var,0.10100436955690384,0.2,0.0,-1,-1,1,0.03940898758934145,0.03940898758934145,4.582471999999996,4.582471999999996
977,HD.csv,2016-02-08,-3.933696,0.0,109.519126,114.003684,-4.484558000000007,-3.93369568653589,-0.04013156299104931,941.0,2,Adv-ALSTM,kdd17,0.1,var,0.1875,0.2,0.0,-1,-1,1,0.04013156299104931,0.04013156299104931,4.484558000000007,4.484558000000007
1011,HD.csv,2016-02-09,1.797051,1.0,111.487241,109.519126,1.9681149999999974,1.7970514118237186,0.017810953188455436,977.0,2,Adv-ALSTM,kdd17,0.1,var,0.18343554437160492,0.2,0.0,-1,-1,1,-0.017810953188455436,-0.017810953188455436,-1.9681149999999974,-1.9681149999999974
1080,HD.csv,2016-02-11,-0.927146,0.0,110.909532,111.947448,-1.0379159999999956,-0.9271457443138817,-0.009314704923707182,1011.0,2,Adv-ALSTM,kdd17,0.1,var,0.24999596178531647,0.2,0.0,-1,-1,1,0.009314704923707182,0.009314704923707182,1.0379159999999956,1.0379159999999956
1119,HD.csv,2016-02-12,2.692684,1.0,113.895975,110.909532,2.9864430000000084,2.692683799260832,0.026570689842727313,1080.0,2,Adv-ALSTM,kdd17,0.1,var,0.24996322393417358,0.2,1.0,1,1,1,0.026570689842727313,0.026570689842727313,2.9864430000000084,2.9864430000000084
1158,HD.csv,2016-02-16,2.67366,1.0,116.941166,113.895975,3.0451909999999884,2.6736598900882917,0.026385421810145148,1119.0,2,Adv-ALSTM,kdd17,0.1,var,0.07694389671087265,0.2,0.0,-1,-1,1,-0.026385421810145148,-0.026385421810145148,-3.0451909999999884,-3.0451909999999884
1194,HD.csv,2016-02-17,1.490412,1.0,118.684071,116.941166,1.7429050000000075,1.4904118537692772,0.014794143536815312,1158.0,2,Adv-ALSTM,kdd17,0.1,var,0.12468437105417252,0.2,0.0,-1,-1,1,-0.014794143536815312,-0.014794143536815312,-1.7429050000000075,-1.7429050000000075
1229,HD.csv,2016-02-18,-1.023016,0.0,117.469914,118.684071,-1.2141570000000002,-1.0230159698515904,-0.010282847426177768,1194.0,2,Adv-ALSTM,kdd17,0.1,var,0.13303565979003906,0.2,0.0,-1,-1,1,0.010282847426177768,0.010282847426177768,1.2141570000000002,1.2141570000000002
1255,HD.csv,2016-02-19,1.433692,1.0,119.154071,117.469914,1.684156999999999,1.4336922047972207,0.01423512024372434,1229.0,2,Adv-ALSTM,kdd17,0.1,var,0.16820457577705383,0.2,0.0,-1,-1,1,-0.01423512024372434,-0.01423512024372434,-1.684156999999999,-1.684156999999999
