ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
39,VZ.csv,2016-01-04,-0.757252,0.0,43.426344,43.7577,-0.33135599999999954,-0.7572518665286329,-0.007601335755566264,,2,Adv-ALSTM,kdd17,0.1,var,0.1884964257478714,0.2,1.0,1,1,1,-0.007601335755566264,-0.007601335755566264,-0.33135599999999954,-0.33135599999999954
65,VZ.csv,2016-01-05,1.373447,1.0,44.022782,43.426344,0.5964379999999991,1.3734474170793634,0.01364101108561288,39.0,2,Adv-ALSTM,kdd17,0.1,var,0.17047575116157532,0.2,0.0,-1,-1,1,-0.01364101108561288,-0.01364101108561288,-0.5964379999999991,-0.5964379999999991
105,VZ.csv,2016-01-06,-0.90345,0.0,43.625058,44.022782,-0.39772399999999664,-0.9034503998406931,-0.009075562612885491,65.0,2,Adv-ALSTM,kdd17,0.1,var,0.14631667733192444,0.2,0.0,-1,-1,1,0.009075562612885491,0.009075562612885491,0.39772399999999664,0.39772399999999664
153,VZ.csv,2016-01-07,-0.549207,0.0,43.385466,43.625058,-0.2395920000000018,-0.549207292744463,-0.005507209807303137,105.0,2,Adv-ALSTM,kdd17,0.1,var,0.1575842797756195,0.2,1.0,1,1,1,-0.005507209807303137,-0.005507209807303137,-0.2395920000000018,-0.2395920000000018
189,VZ.csv,2016-01-08,-0.971943,0.0,42.963784,43.385466,-0.4216820000000041,-0.9719430004508978,-0.009766971968989893,153.0,2,Adv-ALSTM,kdd17,0.1,var,0.1302844136953354,0.2,1.0,1,1,1,-0.009766971968989893,-0.009766971968989893,-0.4216820000000041,-0.4216820000000041
217,VZ.csv,2016-01-11,0.579965,1.0,43.212959,42.963784,0.24917500000000103,0.579965209768304,0.005782898859548077,189.0,2,Adv-ALSTM,kdd17,0.1,var,0.12183625996112823,0.2,1.0,1,1,1,0.005782898859548077,0.005782898859548077,0.24917500000000103,0.24917500000000103
297,VZ.csv,2016-01-13,-1.73603,0.0,42.312091,43.059619,-0.7475279999999955,-1.7360302235837142,-0.017512759326690594,217.0,2,Adv-ALSTM,kdd17,0.1,var,0.181355282664299,0.2,0.0,-1,-1,1,0.017512759326690594,0.017512759326690594,0.7475279999999955,0.7475279999999955
344,VZ.csv,2016-01-14,1.630799,1.0,43.002116,42.312091,0.6900249999999986,1.630798629167248,0.01617643933367228,297.0,2,Adv-ALSTM,kdd17,0.1,var,0.11750443279743195,0.2,1.0,1,1,1,0.01617643933367228,0.01617643933367228,0.6900249999999986,0.6900249999999986
391,VZ.csv,2016-01-15,-0.980608,0.0,42.580434,43.002116,-0.4216820000000041,-0.9806075589396673,-0.009854471793085285,344.0,2,Adv-ALSTM,kdd17,0.1,var,0.21902377903461456,0.2,0.0,-1,-1,1,0.009854471793085285,0.009854471793085285,0.4216820000000041,0.4216820000000041
426,VZ.csv,2016-01-19,0.990319,1.0,43.002116,42.580434,0.4216820000000041,0.9903186989592546,0.009854471793085158,391.0,2,Adv-ALSTM,kdd17,0.1,var,0.17601647973060608,0.2,0.0,-1,-1,1,-0.009854471793085158,-0.009854471793085158,-0.4216820000000041,-0.4216820000000041
469,VZ.csv,2016-01-20,-1.002899,0.0,42.570848,43.002116,-0.43126800000000287,-1.0028994852253383,-0.010079624011944248,426.0,2,Adv-ALSTM,kdd17,0.1,var,0.20756348967552185,0.2,0.0,-1,-1,1,0.010079624011944248,0.010079624011944248,0.43126800000000287,0.43126800000000287
508,VZ.csv,2016-01-21,3.264297,1.0,43.960487,42.570848,1.3896390000000025,3.2642972016907033,0.03212150795380867,469.0,2,Adv-ALSTM,kdd17,0.1,var,0.18030312657356262,0.2,0.0,-1,-1,1,-0.03212150795380867,-0.03212150795380867,-1.3896390000000025,-1.3896390000000025
555,VZ.csv,2016-01-22,2.550691,1.0,45.081783,43.960487,1.121296000000001,2.5506905781093847,0.025187032570124734,508.0,2,Adv-ALSTM,kdd17,0.1,var,0.15014396607875824,0.2,0.0,-1,-1,1,-0.025187032570124734,-0.025187032570124734,-1.121296000000001,-1.121296000000001
634,VZ.csv,2016-01-26,2.594091,1.0,46.241411,45.072197,1.1692139999999966,2.5940914306884055,0.025610156695452666,555.0,2,Adv-ALSTM,kdd17,0.1,var,0.14372418820858002,0.2,0.0,-1,-1,1,-0.025610156695452666,-0.025610156695452666,-1.1692139999999966,-1.1692139999999966
667,VZ.csv,2016-01-27,1.616579,1.0,46.98894,46.241411,0.7475290000000001,1.6165791307709017,0.016036516264787002,634.0,2,Adv-ALSTM,kdd17,0.1,var,0.16820470988750458,0.2,0.0,-1,-1,1,-0.016036516264787002,-0.016036516264787002,-0.7475290000000001,-0.7475290000000001
756,VZ.csv,2016-01-29,1.95879,1.0,47.889811,46.969772,0.9200390000000027,1.9587895806690367,0.019398521937675717,667.0,2,Adv-ALSTM,kdd17,0.1,var,0.09476363658905029,0.2,0.0,-1,-1,1,-0.019398521937675717,-0.019398521937675717,-0.9200390000000027,-0.9200390000000027
793,VZ.csv,2016-02-01,1.580944,1.0,48.646922,47.889811,0.7571110000000019,1.5809438045182551,0.01568577058537893,756.0,2,Adv-ALSTM,kdd17,0.1,var,0.1302841454744339,0.2,0.0,-1,-1,1,-0.01568577058537893,-0.01568577058537893,-0.7571110000000019,-0.7571110000000019
838,VZ.csv,2016-02-02,-1.674544,0.0,47.832308,48.646922,-0.8146140000000059,-1.6745437666128307,-0.016887227626193786,793.0,2,Adv-ALSTM,kdd17,0.1,var,0.09633632749319077,0.2,0.0,-1,-1,1,0.016887227626193786,0.016887227626193786,0.8146140000000059,0.8146140000000059
884,VZ.csv,2016-02-03,1.422557,1.0,48.51275,47.832308,0.6804419999999993,1.4225573225527803,0.014125339230996849,838.0,2,Adv-ALSTM,kdd17,0.1,var,0.1647360622882843,0.2,0.0,-1,-1,1,-0.014125339230996849,-0.014125339230996849,-0.6804419999999993,-0.6804419999999993
961,VZ.csv,2016-02-05,1.070792,1.0,48.848182,48.330661,0.5175210000000021,1.0707923071857057,0.01065099926025077,884.0,2,Adv-ALSTM,kdd17,0.1,var,0.10560017824172974,0.2,0.0,-1,-1,1,-0.01065099926025077,-0.01065099926025077,-0.5175210000000021,-0.5175210000000021
1030,VZ.csv,2016-02-09,-1.162791,0.0,48.062318,48.627757,-0.5654390000000049,-1.162790625938196,-0.011696039037389463,961.0,2,Adv-ALSTM,kdd17,0.1,var,0.13844457268714905,0.2,0.0,-1,-1,1,0.011696039037389463,0.011696039037389463,0.5654390000000049,0.5654390000000049
1104,VZ.csv,2016-02-11,-1.180472,0.0,47.333954,47.899393,-0.5654390000000049,-1.1804721617244813,-0.011874950579518729,1030.0,2,Adv-ALSTM,kdd17,0.1,var,0.15140439569950104,0.2,1.0,1,1,1,-0.011874950579518729,-0.011874950579518729,-0.5654390000000049,-0.5654390000000049
1141,VZ.csv,2016-02-12,1.457789,1.0,48.023983,47.333954,0.6900290000000027,1.4577886309688024,0.014472650436570459,1104.0,2,Adv-ALSTM,kdd17,0.1,var,0.1316646933555603,0.2,1.0,1,1,1,0.014472650436570459,0.014472650436570459,0.6900290000000027,0.6900290000000027
1244,VZ.csv,2016-02-18,1.232112,1.0,48.819429,48.22524,0.5941890000000001,1.2321120641390277,0.012245833418936276,1141.0,2,Adv-ALSTM,kdd17,0.1,var,0.15879632532596588,0.2,0.0,-1,-1,1,-0.012245833418936276,-0.012245833418936276,-0.5941890000000001,-0.5941890000000001
1345,VZ.csv,2016-02-23,-0.86156,0.0,48.522336,48.944018,-0.421681999999997,-0.861559833522448,-0.008652927164006419,1244.0,2,Adv-ALSTM,kdd17,0.1,var,0.13710422813892365,0.2,0.0,-1,-1,1,0.008652927164006419,0.008652927164006419,0.421681999999997,0.421681999999997
