ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
18,MA.csv,2016-01-04,-2.619149,0.0,93.855128,96.379449,-2.5243210000000005,-2.6191486112355764,-0.026540592318742746,,2,Adv-ALSTM,kdd17,0.1,var,0.1834355592727661,0.3,1.0,1,0,1,-0.0,-0.026540592318742746,-0.0,-2.5243210000000005
85,MA.csv,2016-01-06,-1.529532,0.0,92.595046,94.033316,-1.4382700000000028,-1.5295323627638557,-0.015413503707097645,18.0,2,Adv-ALSTM,kdd17,0.1,var,0.19524379074573517,0.3,1.0,1,0,1,-0.0,-0.015413503707097645,-0.0,-1.4382700000000028
129,MA.csv,2016-01-07,-1.831815,0.0,90.898876,92.595046,-1.696169999999995,-1.8318150627626397,-0.018488005430469686,85.0,2,Adv-ALSTM,kdd17,0.1,var,0.15014410018920898,0.3,1.0,1,1,1,-0.018488005430469686,-0.018488005430469686,-1.696169999999995,-1.696169999999995
171,MA.csv,2016-01-08,-1.909646,0.0,89.163029,90.898876,-1.7358470000000068,-1.909646275494107,-0.019281155296380182,129.0,2,Adv-ALSTM,kdd17,0.1,var,0.17924410104751587,0.3,1.0,1,0,1,-0.0,-0.019281155296380182,-0.0,-1.7358470000000068
205,MA.csv,2016-01-11,0.767607,1.0,89.847451,89.163029,0.6844220000000121,0.7676073902783317,0.0076467627483368045,171.0,2,Adv-ALSTM,kdd17,0.1,var,0.20919647812843323,0.3,1.0,1,0,1,0.0,0.0076467627483368045,0.0,0.6844220000000121
235,MA.csv,2016-01-12,0.949437,1.0,90.700496,89.847451,0.8530449999999945,0.9494370630503411,0.009449582361451186,205.0,2,Adv-ALSTM,kdd17,0.1,var,0.2331003099679947,0.3,1.0,1,0,1,0.0,0.009449582361451186,0.0,0.8530449999999945
275,MA.csv,2016-01-13,-2.460629,0.0,88.468693,90.700496,-2.2318029999999993,-2.4606293222475863,-0.024914087667203596,235.0,2,Adv-ALSTM,kdd17,0.1,var,0.19335585832595825,0.3,0.0,-1,0,1,-0.0,0.024914087667203596,-0.0,2.2318029999999993
321,MA.csv,2016-01-14,1.704223,1.0,89.976397,88.468693,1.507704000000004,1.7042232103508117,0.016898642363044284,275.0,2,Adv-ALSTM,kdd17,0.1,var,0.19892355799674988,0.3,1.0,1,0,1,0.0,0.016898642363044284,0.0,1.507704000000004
368,MA.csv,2016-01-15,-2.204829,0.0,87.992571,89.976397,-1.9838260000000076,-2.204829339854548,-0.0222949899196539,321.0,2,Adv-ALSTM,kdd17,0.1,var,0.2237558811903,0.3,1.0,1,0,1,-0.0,-0.0222949899196539,-0.0,-1.9838260000000076
408,MA.csv,2016-01-19,-2.806896,0.0,85.522711,87.992571,-2.469859999999997,-2.80689605034952,-0.0284704240586136,368.0,2,Adv-ALSTM,kdd17,0.1,var,0.21614375710487366,0.3,1.0,1,0,1,-0.0,-0.0284704240586136,-0.0,-2.469859999999997
449,MA.csv,2016-01-20,-1.264213,0.0,84.441522,85.522711,-1.0811889999999948,-1.2642127305809971,-0.012722718950886582,408.0,2,Adv-ALSTM,kdd17,0.1,var,0.2395954132080078,0.3,1.0,1,0,1,-0.0,-0.012722718950886582,-0.0,-1.0811889999999948
489,MA.csv,2016-01-21,1.162934,1.0,85.423521,84.441522,0.9819989999999876,1.1629337993220772,0.011562236968086906,449.0,2,Adv-ALSTM,kdd17,0.1,var,0.22809571027755737,0.3,1.0,1,0,1,0.0,0.011562236968086906,0.0,0.9819989999999876
