ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
61,SO.csv,2016-01-05,0.701682,1.0,45.295795,44.980177,0.3156180000000006,0.7016824322412084,0.006992320967674982,,2,Adv-ALSTM,kdd17,0.1,var,0.21831588447093964,0.4,1.0,1,0,1,0.0,0.006992320967674982,0.0,0.3156180000000006
144,SO.csv,2016-01-07,-0.844412,0.0,44.922794,45.305358,-0.382563999999995,-0.8444122657633453,-0.008479976238722573,61.0,2,Adv-ALSTM,kdd17,0.1,var,0.22926464676856995,0.4,1.0,1,0,1,-0.0,-0.008479976238722573,-0.0,-0.382563999999995
181,SO.csv,2016-01-08,-0.745161,0.0,44.588047,44.922794,-0.33474700000000013,-0.7451606861318557,-0.007479508779558905,144.0,2,Adv-ALSTM,kdd17,0.1,var,0.16238410770893097,0.4,1.0,1,0,1,-0.0,-0.007479508779558905,-0.0,-0.33474700000000013
245,SO.csv,2016-01-12,-0.83262,0.0,44.425458,44.798459,-0.37300100000000214,-0.832620157760342,-0.008361058009926352,181.0,2,Adv-ALSTM,kdd17,0.1,var,0.2033444195985794,0.4,1.0,1,0,1,-0.0,-0.008361058009926352,-0.0,-0.37300100000000214
289,SO.csv,2016-01-13,0.753496,1.0,44.760202,44.425458,0.3347440000000006,0.7534958896765918,0.00750671289355615,245.0,2,Adv-ALSTM,kdd17,0.1,var,0.12749943137168884,0.4,0.0,-1,-1,1,-0.00750671289355615,-0.00750671289355615,-0.3347440000000006,-0.3347440000000006
335,SO.csv,2016-01-14,0.726496,1.0,45.085383,44.760202,0.3251810000000006,0.7264958276997959,0.007238695589125247,289.0,2,Adv-ALSTM,kdd17,0.1,var,0.20589934289455414,0.4,1.0,1,0,1,0.0,0.007238695589125247,0.0,0.3251810000000006
419,SO.csv,2016-01-19,1.632395,1.0,45.850514,45.114074,0.7364399999999947,1.6323952476559636,0.016192149196912264,335.0,2,Adv-ALSTM,kdd17,0.1,var,0.19143640995025635,0.4,1.0,1,0,1,0.0,0.016192149196912264,0.0,0.7364399999999947
461,SO.csv,2016-01-20,-1.627033,0.0,45.104511,45.850514,-0.7460029999999946,-1.6270330142863714,-0.016404145428859644,419.0,2,Adv-ALSTM,kdd17,0.1,var,0.1844647377729416,0.4,0.0,-1,0,1,-0.0,0.016404145428859644,-0.0,0.7460029999999946
501,SO.csv,2016-01-21,-0.74215,0.0,44.769768,45.104511,-0.3347430000000031,-0.7421497153577458,-0.007449173481796033,461.0,2,Adv-ALSTM,kdd17,0.1,var,0.13977615535259247,0.4,0.0,-1,-1,1,0.007449173481796033,0.007449173481796033,0.3347430000000031,0.3347430000000031
546,SO.csv,2016-01-22,1.153593,1.0,45.286229,44.769768,0.5164609999999996,1.15359320155512,0.01146990049007336,501.0,2,Adv-ALSTM,kdd17,0.1,var,0.15758420526981354,0.4,0.0,-1,0,1,0.0,-0.01146990049007336,0.0,-0.5164609999999996
702,SO.csv,2016-01-28,1.343408,1.0,46.175695,45.56359,0.6121049999999997,1.3434081906188686,0.013344644741627148,546.0,2,Adv-ALSTM,kdd17,0.1,var,0.17817647755146027,0.4,1.0,1,0,1,0.0,0.013344644741627148,0.0,0.6121049999999997
747,SO.csv,2016-01-29,1.3256,1.0,46.7878,46.175695,0.6121049999999997,1.3255999720199116,0.01316890777220853,702.0,2,Adv-ALSTM,kdd17,0.1,var,0.18849633634090424,0.4,0.0,-1,0,1,0.0,-0.01316890777220853,0.0,-0.6121049999999997
