ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
33,SYT.csv,2016-01-04,-1.702025,0.0,75.302415,76.606273,-1.3038580000000053,-1.7020251070039725,-0.017166760339183778,,2,Adv-ALSTM,kdd17,0.1,var,0.23560044169425964,0.4,1.0,1,1,1,-0.017166760339183778,-0.017166760339183778,-1.3038580000000053,-1.3038580000000053
99,SYT.csv,2016-01-06,-2.205506,0.0,73.346633,75.00078,-1.654147000000009,-2.205506396066826,-0.02230191315064182,33.0,2,Adv-ALSTM,kdd17,0.1,var,0.1875,0.4,1.0,1,1,1,-0.02230191315064182,-0.02230191315064182,-1.654147000000009,-1.654147000000009
146,SYT.csv,2016-01-07,-1.538865,0.0,72.217927,73.346633,-1.128705999999994,-1.5388654582140042,-0.015508288854365693,99.0,2,Adv-ALSTM,kdd17,0.1,var,0.11012450605630875,0.4,1.0,1,1,1,-0.015508288854365693,-0.015508288854365693,-1.128705999999994,-1.128705999999994
183,SYT.csv,2016-01-08,-0.727567,0.0,71.692493,72.217927,-0.5254340000000042,-0.7275672701045603,-0.007302269492560865,146.0,2,Adv-ALSTM,kdd17,0.1,var,0.11895580589771271,0.4,1.0,1,1,1,-0.007302269492560865,-0.007302269492560865,-0.5254340000000042,-0.5254340000000042
212,SYT.csv,2016-01-11,-1.343646,0.0,70.7292,71.692493,-0.9632929999999931,-1.3436455613281477,-0.013527541618571769,183.0,2,Adv-ALSTM,kdd17,0.1,var,0.14631666243076324,0.4,1.0,1,1,1,-0.013527541618571769,-0.013527541618571769,-0.9632929999999931,-0.9632929999999931
247,SYT.csv,2016-01-12,2.063558,1.0,72.188738,70.7292,1.459537999999995,2.063557908190669,0.020425549986515905,212.0,2,Adv-ALSTM,kdd17,0.1,var,0.1693439930677414,0.4,1.0,1,1,1,0.020425549986515905,0.020425549986515905,1.459537999999995,1.459537999999995
291,SYT.csv,2016-01-13,-1.132233,0.0,71.371393,72.188738,-0.8173450000000031,-1.1322333962951439,-0.011386919555340538,247.0,2,Adv-ALSTM,kdd17,0.1,var,0.20589926838874817,0.4,1.0,1,1,1,-0.011386919555340538,-0.011386919555340538,-0.8173450000000031,-0.8173450000000031
337,SYT.csv,2016-01-14,0.981596,1.0,72.071972,71.371393,0.7005790000000047,0.981596365927739,0.009768100051408816,291.0,2,Adv-ALSTM,kdd17,0.1,var,0.18446476757526398,0.4,1.0,1,1,1,0.009768100051408816,0.009768100051408816,0.7005790000000047,0.7005790000000047
384,SYT.csv,2016-01-15,2.268126,1.0,73.706655,72.071972,1.6346829999999954,2.2681258117926832,0.02242786277741378,337.0,2,Adv-ALSTM,kdd17,0.1,var,0.15014399588108063,0.4,0.0,-1,-1,1,-0.02242786277741378,-0.02242786277741378,-1.6346829999999954,-1.6346829999999954
420,SYT.csv,2016-01-19,-3.775579,0.0,70.923802,73.706655,-2.782853000000003,-3.7755790165759153,-0.038487004155958716,384.0,2,Adv-ALSTM,kdd17,0.1,var,0.14502353966236115,0.4,0.0,-1,-1,1,0.038487004155958716,0.038487004155958716,2.782853000000003,2.782853000000003
463,SYT.csv,2016-01-20,-2.4146,0.0,69.211276,70.923802,-1.7125259999999969,-2.41459982644472,-0.02444229214420711,420.0,2,Adv-ALSTM,kdd17,0.1,var,0.19046418368816376,0.4,1.0,1,1,1,-0.02444229214420711,-0.02444229214420711,-1.7125259999999969,-1.7125259999999969
