ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
3,BHP.csv,2016-01-04,-1.08696,0.0,24.949751,25.223925,-0.27417400000000214,-1.0869600983986518,-0.010929106691825608,,2,Adv-ALSTM,kdd17,0.1,var,0.10711675137281418,0.5,0.0,-1,-1,1,0.010929106691825608,0.010929106691825608,0.27417400000000214,0.27417400000000214
44,BHP.csv,2016-01-05,-0.824169,0.0,24.744123,24.949751,-0.2056280000000008,-0.8241685458103403,-0.008275835915357316,3.0,2,Adv-ALSTM,kdd17,0.1,var,0.14241613447666168,0.5,0.0,-1,0,1,-0.0,0.008275835915357316,-0.0,0.2056280000000008
71,BHP.csv,2016-01-06,-5.975467,0.0,23.265546,24.744123,-1.4785769999999978,-5.975467386740673,-0.06161445252137316,44.0,2,Adv-ALSTM,kdd17,0.1,var,0.23918312788009644,0.5,1.0,1,0,1,-0.0,-0.06161445252137316,-0.0,-1.4785769999999978
113,BHP.csv,2016-01-07,-5.471387,0.0,21.992598,23.265546,-1.2729479999999995,-5.471386745017717,-0.05626761155174538,71.0,2,Adv-ALSTM,kdd17,0.1,var,0.24855689704418182,0.5,1.0,1,0,1,-0.0,-0.05626761155174538,-0.0,-1.2729479999999995
159,BHP.csv,2016-01-08,-2.226181,0.0,21.503003,21.992598,-0.48959500000000133,-2.226180826840018,-0.022513342400673486,113.0,2,Adv-ALSTM,kdd17,0.1,var,0.2429448962211609,0.5,0.0,-1,0,1,-0.0,0.022513342400673486,-0.0,0.48959500000000133
196,BHP.csv,2016-01-11,-2.550086,0.0,20.954658,21.503003,-0.5483450000000012,-2.5500856787305533,-0.025831639241994265,159.0,2,Adv-ALSTM,kdd17,0.1,var,0.24993662536144257,0.5,1.0,1,0,1,-0.0,-0.025831639241994265,-0.0,-0.5483450000000012
223,BHP.csv,2016-01-12,-3.551406,0.0,20.210473,20.954658,-0.7441849999999981,-3.55140608832651,-0.036160025159690606,196.0,2,Adv-ALSTM,kdd17,0.1,var,0.24769620597362518,0.5,1.0,1,0,1,-0.0,-0.036160025159690606,-0.0,-0.7441849999999981
259,BHP.csv,2016-01-13,-1.259688,0.0,19.955884,20.210473,-0.2545889999999993,-1.2596884793344485,-0.012676898203210772,223.0,2,Adv-ALSTM,kdd17,0.1,var,0.23095518350601196,0.5,1.0,1,0,1,-0.0,-0.012676898203210772,-0.0,-0.2545889999999993
305,BHP.csv,2016-01-14,6.37881,1.0,21.228832,19.955884,1.2729479999999995,6.37881037993606,0.061836220521835045,259.0,2,Adv-ALSTM,kdd17,0.1,var,0.24260379374027252,0.5,1.0,1,0,1,0.0,0.061836220521835045,0.0,1.2729479999999995
352,BHP.csv,2016-01-15,-6.872696,0.0,19.769839,21.228832,-1.4589929999999995,-6.872695586832095,-0.07120276421822984,305.0,2,Adv-ALSTM,kdd17,0.1,var,0.12039998173713684,0.5,0.0,-1,-1,1,0.07120276421822984,0.07120276421822984,1.4589929999999995,1.4589929999999995
397,BHP.csv,2016-01-19,-0.594355,0.0,19.652336,19.769839,-0.1175030000000028,-0.5943548655100469,-0.005961281840688717,352.0,2,Adv-ALSTM,kdd17,0.1,var,0.1693437695503235,0.5,0.0,-1,0,1,-0.0,0.005961281840688717,-0.0,0.1175030000000028
432,BHP.csv,2016-01-20,-3.437973,0.0,18.976694,19.652336,-0.6756419999999999,-3.4379729717627456,-0.034984616997474856,397.0,2,Adv-ALSTM,kdd17,0.1,var,0.2445230931043625,0.5,1.0,1,0,1,-0.0,-0.034984616997474856,-0.0,-0.6756419999999999
477,BHP.csv,2016-01-21,8.359138,1.0,20.562982,18.976694,1.5862880000000033,8.359137792915897,0.0802808743211401,432.0,2,Adv-ALSTM,kdd17,0.1,var,0.14110015332698822,0.5,0.0,-1,0,1,0.0,-0.0802808743211401,0.0,-1.5862880000000033
