ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
17,KO.csv,2016-01-04,-1.303532,0.0,41.066197,41.608578,-0.5423809999999989,-1.3035316900279525,-0.013121022256001369,,2,Adv-ALSTM,kdd17,0.1,var,0.2015998363494873,0.6,1.0,1,0,1,-0.0,-0.013121022256001369,-0.0,-0.5423809999999989
84,KO.csv,2016-01-06,-0.540541,0.0,40.988711,41.211476,-0.22276499999999544,-0.540541183237396,-0.005420073931236967,17.0,2,Adv-ALSTM,kdd17,0.1,var,0.18948319554328918,0.6,1.0,1,0,1,-0.0,-0.005420073931236967,-0.0,-0.22276499999999544
128,KO.csv,2016-01-07,-1.654065,0.0,40.310731,40.988711,-0.6779800000000051,-1.6540651888272484,-0.016678975904874962,84.0,2,Adv-ALSTM,kdd17,0.1,var,0.11012456566095352,0.6,1.0,1,0,1,-0.0,-0.016678975904874962,-0.0,-0.6779800000000051
234,KO.csv,2016-01-12,1.298694,1.0,40.795002,40.271992,0.5230099999999993,1.2986941395896168,0.012903334162623303,128.0,2,Adv-ALSTM,kdd17,0.1,var,0.1834355741739273,0.6,1.0,1,0,1,0.0,0.012903334162623303,0.0,0.5230099999999993
274,KO.csv,2016-01-13,-0.641027,0.0,40.533495,40.795002,-0.2615069999999946,-0.6410270552260168,-0.006430904563533029,234.0,2,Adv-ALSTM,kdd17,0.1,var,0.240784153342247,0.6,1.0,1,0,1,-0.0,-0.006430904563533029,-0.0,-0.2615069999999946
367,KO.csv,2016-01-15,-0.907357,0.0,40.194507,40.562554,-0.3680469999999971,-0.9073565732571898,-0.009114981244722565,274.0,2,Adv-ALSTM,kdd17,0.1,var,0.23607748746871948,0.6,1.0,1,0,1,-0.0,-0.009114981244722565,-0.0,-0.3680469999999971
407,KO.csv,2016-01-19,1.012044,1.0,40.601293,40.194507,0.40678599999999676,1.0120437601088048,0.0100695688936224,367.0,2,Adv-ALSTM,kdd17,0.1,var,0.1575843095779419,0.6,0.0,-1,0,1,0.0,-0.0100695688936224,0.0,-0.40678599999999676
448,KO.csv,2016-01-20,-1.288161,0.0,40.078283,40.601293,-0.5230099999999993,-1.288160946007309,-0.012965296853591018,407.0,2,Adv-ALSTM,kdd17,0.1,var,0.18649522960186005,0.6,0.0,-1,0,1,-0.0,0.012965296853591018,-0.0,0.5230099999999993
532,KO.csv,2016-01-22,1.618753,1.0,40.736892,40.087967,0.6489249999999984,1.6187525797953246,0.016057904760637724,448.0,2,Adv-ALSTM,kdd17,0.1,var,0.16820469498634338,0.6,0.0,-1,0,1,0.0,-0.016057904760637724,0.0,-0.6489249999999984
686,KO.csv,2016-01-28,1.140413,1.0,41.230847,40.765947,0.4649000000000001,1.1404126095733778,0.011339589243849875,532.0,2,Adv-ALSTM,kdd17,0.1,var,0.24942408502101898,0.6,0.0,-1,0,1,0.0,-0.011339589243849875,0.0,-0.4649000000000001
731,KO.csv,2016-01-29,0.822171,1.0,41.569835,41.230847,0.3389880000000005,0.8221708372859781,0.008188094246588605,686.0,2,Adv-ALSTM,kdd17,0.1,var,0.16705632209777832,0.6,0.0,-1,0,1,0.0,-0.008188094246588605,0.0,-0.3389880000000005
815,KO.csv,2016-02-02,-1.302331,0.0,41.104935,41.647321,-0.5423860000000005,-1.302331067105134,-0.013108857528724264,731.0,2,Adv-ALSTM,kdd17,0.1,var,0.1575840711593628,0.6,0.0,-1,0,1,-0.0,0.013108857528724264,-0.0,0.5423860000000005
861,KO.csv,2016-02-03,0.659763,1.0,41.37613,41.104935,0.27119500000000585,0.6597626294750396,0.006575957215826619,815.0,2,Adv-ALSTM,kdd17,0.1,var,0.24422532320022583,0.6,1.0,1,0,1,0.0,0.006575957215826619,0.0,0.27119500000000585
1013,KO.csv,2016-02-09,1.524027,1.0,41.937882,41.308332,0.6295500000000018,1.52402667820139,0.015125300522322225,861.0,2,Adv-ALSTM,kdd17,0.1,var,0.2422560602426529,0.6,1.0,1,0,1,0.0,0.015125300522322225,0.0,0.6295500000000018
1047,KO.csv,2016-02-10,-1.7321,0.0,41.211476,41.937882,-0.7264060000000043,-1.7320998709472364,-0.017472762224552428,1013.0,2,Adv-ALSTM,kdd17,0.1,var,0.1704757660627365,0.6,1.0,1,0,1,-0.0,-0.017472762224552428,-0.0,-0.7264060000000043
1122,KO.csv,2016-02-12,1.650557,1.0,41.753861,41.07588,0.6779810000000026,1.650557456103199,0.016370838145040936,1047.0,2,Adv-ALSTM,kdd17,0.1,var,0.1727171242237091,0.6,1.0,1,0,1,0.0,0.016370838145040936,0.0,0.6779810000000026
