ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
47,D.csv,2016-01-05,0.859643,1.0,65.485333,64.927191,0.5581420000000037,0.8596429190968754,0.00855969029230209,,2,Adv-ALSTM,kdd17,0.1,var,0.1670563519001007,0.7,0.0,-1,0,1,0.0,-0.00855969029230209,0.0,-0.5581420000000037
75,D.csv,2016-01-06,0.617192,1.0,65.889503,65.485333,0.4041700000000077,0.6171916389277698,0.006152948120356115,47.0,2,Adv-ALSTM,kdd17,0.1,var,0.1704757958650589,0.7,0.0,-1,0,1,0.0,-0.006152948120356115,0.0,-0.4041700000000077
162,D.csv,2016-01-08,1.47423,1.0,66.899926,65.927996,0.9719300000000004,1.4742295518887008,0.014634684216188805,75.0,2,Adv-ALSTM,kdd17,0.1,var,0.19046416878700256,0.7,1.0,1,0,1,0.0,0.014634684216188805,0.0,0.9719300000000004
225,D.csv,2016-01-12,-0.734767,0.0,66.303297,66.794078,-0.49078099999999836,-0.7347672349036667,-0.007374799455923886,162.0,2,Adv-ALSTM,kdd17,0.1,var,0.2217751294374466,0.7,1.0,1,0,1,-0.0,-0.007374799455923886,-0.0,-0.49078099999999836
310,D.csv,2016-01-14,0.941758,1.0,67.044274,66.41877,0.6255040000000065,0.9417578795873615,0.00937350986637414,225.0,2,Adv-ALSTM,kdd17,0.1,var,0.2007167786359787,0.7,1.0,1,0,1,0.0,0.00937350986637414,0.0,0.6255040000000065
357,D.csv,2016-01-15,-1.133918,0.0,66.284047,67.044274,-0.7602270000000004,-1.1339178644845949,-0.01140395728762791,310.0,2,Adv-ALSTM,kdd17,0.1,var,0.20420347154140472,0.7,0.0,-1,0,1,-0.0,0.01140395728762791,-0.0,0.7602270000000004
402,D.csv,2016-01-19,1.480842,1.0,67.265609,66.284047,0.9815619999999967,1.480841989023387,0.014699845801822762,357.0,2,Adv-ALSTM,kdd17,0.1,var,0.11161606013774872,0.7,0.0,-1,0,1,0.0,-0.014699845801822762,0.0,-0.9815619999999967
437,D.csv,2016-01-20,-1.673817,0.0,66.139706,67.265609,-1.1259029999999939,-1.6738167047591794,-0.016879833211833426,402.0,2,Adv-ALSTM,kdd17,0.1,var,0.1501443088054657,0.7,0.0,-1,0,1,-0.0,0.016879833211833426,-0.0,1.1259029999999939
520,D.csv,2016-01-22,1.854291,1.0,67.130886,65.908746,1.2221400000000102,1.854291083007421,0.018373087196410294,437.0,2,Adv-ALSTM,kdd17,0.1,var,0.19239914417266846,0.7,0.0,-1,0,1,0.0,-0.018373087196410294,0.0,-1.2221400000000102
678,D.csv,2016-01-28,1.764458,1.0,68.266414,67.082767,1.1836469999999935,1.7644576288870037,0.017490717959616153,520.0,2,Adv-ALSTM,kdd17,0.1,var,0.2058992236852646,0.7,1.0,1,0,1,0.0,0.017490717959616153,0.0,1.1836469999999935
