ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
11,GE.csv,2016-01-04,-1.412525,0.0,29.778762,30.205421,-0.4266590000000008,-1.4125245928537158,-0.014225956716060504,,2,Adv-ALSTM,kdd17,0.1,var,0.21540343761444092,0.7,1.0,1,1,1,-0.014225956716060504,-0.014225956716060504,-0.4266590000000008,-0.4266590000000008
79,GE.csv,2016-01-06,-1.594013,0.0,29.332712,29.807853,-0.4751410000000007,-1.5940128260831152,-0.01606853851749859,11.0,2,Adv-ALSTM,kdd17,0.1,var,0.19892355799674988,0.7,0.0,-1,-1,1,0.01606853851749859,0.01606853851749859,0.4751410000000007,0.4751410000000007
122,GE.csv,2016-01-07,-4.231406,0.0,28.091526,29.332712,-1.241185999999999,-4.231405537953664,-0.043235378744296386,79.0,2,Adv-ALSTM,kdd17,0.1,var,0.14110015332698822,0.7,1.0,1,1,1,-0.043235378744296386,-0.043235378744296386,-1.241185999999999,-1.241185999999999
165,GE.csv,2016-01-08,-1.794958,0.0,27.587295,28.091526,-0.5042310000000008,-1.7949576680170407,-0.018112624369711595,122.0,2,Adv-ALSTM,kdd17,0.1,var,0.10862421989440918,0.7,1.0,1,1,1,-0.018112624369711595,-0.018112624369711595,-0.5042310000000008,-0.5042310000000008
268,GE.csv,2016-01-13,-1.39665,0.0,27.383662,27.771533,-0.3878710000000005,-1.396649583586187,-0.014064945074311708,165.0,2,Adv-ALSTM,kdd17,0.1,var,0.2015998512506485,0.7,1.0,1,1,1,-0.014064945074311708,-0.014064945074311708,-0.3878710000000005,-0.3878710000000005
315,GE.csv,2016-01-14,2.903684,1.0,28.178797,27.383662,0.7951349999999984,2.903683955783556,0.028623257530628672,268.0,2,Adv-ALSTM,kdd17,0.1,var,0.19801495969295502,0.7,1.0,1,1,1,0.028623257530628672,0.028623257530628672,0.7951349999999984,0.7951349999999984
362,GE.csv,2016-01-15,-1.961461,0.0,27.626081,28.178797,-0.5527160000000002,-1.9614605974839887,-0.019809525414308356,315.0,2,Adv-ALSTM,kdd17,0.1,var,0.19617578387260437,0.7,0.0,-1,-1,1,0.019809525414308356,0.019809525414308356,0.5527160000000002,0.5527160000000002
443,GE.csv,2016-01-20,-1.7199,0.0,27.15094,27.626081,-0.4751410000000007,-1.7199001190215895,-0.0173486220456578,362.0,2,Adv-ALSTM,kdd17,0.1,var,0.22109976410865784,0.7,1.0,1,1,1,-0.0173486220456578,-0.0173486220456578,-0.4751410000000007,-0.4751410000000007
486,GE.csv,2016-01-21,2.107143,1.0,27.723049,27.15094,0.5721090000000011,2.107142515139443,0.020852492809560138,443.0,2,Adv-ALSTM,kdd17,0.1,var,0.15636375546455383,0.7,0.0,-1,-1,1,-0.020852492809560138,-0.020852492809560138,-0.5721090000000011,-0.5721090000000011
526,GE.csv,2016-01-22,-1.224205,0.0,27.383662,27.723049,-0.33938699999999855,-1.2242051731034294,-0.012317602880222748,486.0,2,Adv-ALSTM,kdd17,0.1,var,0.16238385438919067,0.7,0.0,-1,-1,1,0.012317602880222748,0.012317602880222748,0.33938699999999855,0.33938699999999855
571,GE.csv,2016-01-25,-0.708211,0.0,27.189728,27.383662,-0.19393400000000227,-0.7082106111301048,-0.007107303261190199,526.0,2,Adv-ALSTM,kdd17,0.1,var,0.14502346515655518,0.7,0.0,-1,-1,1,0.007107303261190199,0.007107303261190199,0.19393400000000227,0.19393400000000227
610,GE.csv,2016-01-26,0.962904,1.0,27.451539,27.189728,0.26181100000000157,0.9629040790698663,0.009582977041175193,571.0,2,Adv-ALSTM,kdd17,0.1,var,0.2168770581483841,0.7,1.0,1,1,1,0.009582977041175193,0.009582977041175193,0.26181100000000157,0.26181100000000157
649,GE.csv,2016-01-27,-1.095017,0.0,27.15094,27.451539,-0.30059900000000184,-1.0950169314733205,-0.011010563709322423,610.0,2,Adv-ALSTM,kdd17,0.1,var,0.23560044169425964,0.7,1.0,1,1,1,-0.011010563709322423,-0.011010563709322423,-0.30059900000000184,-0.30059900000000184
683,GE.csv,2016-01-28,0.749996,1.0,27.354571,27.15094,0.20363100000000145,0.7499961327305849,0.007471976453892222,649.0,2,Adv-ALSTM,kdd17,0.1,var,0.2286827564239502,0.7,1.0,1,1,1,0.007471976453892222,0.007471976453892222,0.20363100000000145,0.20363100000000145
725,GE.csv,2016-01-29,3.154917,1.0,28.217585,27.354571,0.8630139999999997,3.154916960679075,0.03106172045589554,683.0,2,Adv-ALSTM,kdd17,0.1,var,0.20919662714004517,0.7,0.0,-1,-1,1,-0.03106172045589554,-0.03106172045589554,-0.8630139999999997,-0.8630139999999997
773,GE.csv,2016-02-01,-1.580759,0.0,27.771533,28.217585,-0.4460519999999981,-1.5807589487193825,-0.01593386190613862,725.0,2,Adv-ALSTM,kdd17,0.1,var,0.13575635850429535,0.7,0.0,-1,-1,1,0.01593386190613862,0.01593386190613862,0.4460519999999981,0.4460519999999981
809,GE.csv,2016-02-02,-1.39665,0.0,27.383662,27.771533,-0.3878710000000005,-1.396649583586187,-0.014064945074311708,773.0,2,Adv-ALSTM,kdd17,0.1,var,0.24225591123104095,0.7,0.0,-1,-1,1,0.014064945074311708,0.014064945074311708,0.3878710000000005,0.3878710000000005
855,GE.csv,2016-02-03,1.522663,1.0,27.800623,27.383662,0.4169610000000006,1.5226634041860456,0.015111872339722353,809.0,2,Adv-ALSTM,kdd17,0.1,var,0.16820457577705383,0.7,0.0,-1,-1,1,-0.015111872339722353,-0.015111872339722353,-0.4169610000000006,-0.4169610000000006
899,GE.csv,2016-02-04,1.778867,1.0,28.295159,27.800623,0.4945360000000001,1.7788666102914314,0.017632299428646032,855.0,2,Adv-ALSTM,kdd17,0.1,var,0.13166487216949463,0.7,0.0,-1,-1,1,-0.017632299428646032,-0.017632299428646032,-0.4945360000000001,-0.4945360000000001
939,GE.csv,2016-02-05,-2.193283,0.0,27.674566,28.295159,-0.6205930000000031,-2.1932833104065717,-0.022176933497828583,899.0,2,Adv-ALSTM,kdd17,0.1,var,0.11604372411966324,0.7,0.0,-1,-1,1,0.022176933497828583,0.022176933497828583,0.6205930000000031,0.6205930000000031
976,GE.csv,2016-02-08,-1.296429,0.0,27.315785,27.674566,-0.3587809999999969,-1.2964286413741661,-0.013049056225307873,939.0,2,Adv-ALSTM,kdd17,0.1,var,0.0899997428059578,0.7,0.0,-1,-1,1,0.013049056225307873,0.013049056225307873,0.3587809999999969,0.3587809999999969
1079,GE.csv,2016-02-11,-3.003527,0.0,26.617619,27.441842,-0.8242229999999999,-3.0035265125424155,-0.030495563945003034,976.0,2,Adv-ALSTM,kdd17,0.1,var,0.1998252272605896,0.7,0.0,-1,-1,1,0.030495563945003034,0.030495563945003034,0.8242229999999999,0.8242229999999999
1118,GE.csv,2016-02-12,2.950816,1.0,27.403056,26.617619,0.7854369999999982,2.9508161492581215,0.029081175081851537,1079.0,2,Adv-ALSTM,kdd17,0.1,var,0.19335602223873138,0.7,0.0,-1,-1,1,-0.029081175081851537,-0.029081175081851537,-0.7854369999999982,-0.7854369999999982
1156,GE.csv,2016-02-16,2.123146,1.0,27.984863,27.403056,0.5818070000000013,2.123146411115612,0.02100921683020447,1118.0,2,Adv-ALSTM,kdd17,0.1,var,0.10862424224615097,0.7,0.0,-1,-1,1,-0.02100921683020447,-0.02100921683020447,-0.5818070000000013,-0.5818070000000013
1192,GE.csv,2016-02-17,1.663199,1.0,28.450307,27.984863,0.46544399999999797,1.663199137333629,0.01649519452366022,1156.0,2,Adv-ALSTM,kdd17,0.1,var,0.09476352483034134,0.7,0.0,-1,-1,1,-0.01649519452366022,-0.01649519452366022,-0.46544399999999797,-0.46544399999999797
1227,GE.csv,2016-02-18,-0.886163,0.0,28.198191,28.450307,-0.25211599999999734,-0.8861626695275989,-0.008901124425012178,1192.0,2,Adv-ALSTM,kdd17,0.1,var,0.2268950641155243,0.7,1.0,1,1,1,-0.008901124425012178,-0.008901124425012178,-0.25211599999999734,-0.25211599999999734
1283,GE.csv,2016-02-22,1.343898,1.0,28.518184,28.140011,0.3781730000000003,1.3438978399830772,0.01334947631567883,1227.0,2,Adv-ALSTM,kdd17,0.1,var,0.15636375546455383,0.7,0.0,-1,-1,1,-0.01334947631567883,-0.01334947631567883,-0.3781730000000003,-0.3781730000000003
1322,GE.csv,2016-02-23,-0.64604,0.0,28.333945,28.518184,-0.1842390000000016,-0.6460404351132651,-0.006481363079996843,1283.0,2,Adv-ALSTM,kdd17,0.1,var,0.14759975671768188,0.7,0.0,-1,-1,1,0.006481363079996843,0.006481363079996843,0.1842390000000016,0.1842390000000016
1354,GE.csv,2016-02-24,-0.889802,0.0,28.081829,28.333945,-0.2521160000000009,-0.889801967216358,-0.008937843460445906,1322.0,2,Adv-ALSTM,kdd17,0.1,var,0.1704757660627365,0.7,0.0,-1,-1,1,0.008937843460445906,0.008937843460445906,0.2521160000000009,0.2521160000000009
1379,GE.csv,2016-02-25,1.740339,1.0,28.570548,28.081829,0.4887189999999997,1.7403389216564196,0.017253684653745,1354.0,2,Adv-ALSTM,kdd17,0.1,var,0.13166481256484985,0.7,0.0,-1,-1,1,-0.017253684653745,-0.017253684653745,-0.4887189999999997,-0.4887189999999997
1421,GE.csv,2016-02-26,0.581595,1.0,28.736713,28.570548,0.166165000000003,0.581595424771002,0.005799106876602575,1379.0,2,Adv-ALSTM,kdd17,0.1,var,0.14631664752960205,0.7,0.0,-1,-1,1,-0.005799106876602575,-0.005799106876602575,-0.166165000000003,-0.166165000000003
1451,GE.csv,2016-02-29,-0.884357,0.0,28.482578,28.736713,-0.25413500000000155,-0.8843565372281845,-0.008882901784340947,1421.0,2,Adv-ALSTM,kdd17,0.1,var,0.20673635601997375,0.7,1.0,1,1,1,-0.008882901784340947,-0.008882901784340947,-0.25413500000000155,-0.25413500000000155
1492,GE.csv,2016-03-01,2.539465,1.0,29.205883,28.482578,0.7233049999999999,2.5394646509877017,0.025077559474057744,1451.0,2,Adv-ALSTM,kdd17,0.1,var,0.11750456690788269,0.7,1.0,1,1,1,0.025077559474057744,0.025077559474057744,0.7233049999999999,0.7233049999999999
1534,GE.csv,2016-03-02,1.00402,1.0,29.499116,29.205883,0.29323300000000074,1.0040203201526237,0.009990135210990181,1492.0,2,Adv-ALSTM,kdd17,0.1,var,0.14759977161884308,0.7,0.0,-1,-1,1,-0.009990135210990181,-0.009990135210990181,-0.29323300000000074,-0.29323300000000074
1585,GE.csv,2016-03-04,0.794175,1.0,29.772798,29.538213,0.2345850000000027,0.7941746509851586,0.007910376818341976,1534.0,2,Adv-ALSTM,kdd17,0.1,var,0.16238409280776978,0.7,0.0,-1,-1,1,-0.007910376818341976,-0.007910376818341976,-0.2345850000000027,-0.2345850000000027
1617,GE.csv,2016-03-07,-0.558103,0.0,29.606635,29.772798,-0.16616300000000095,-0.5581034070093142,-0.005596666230282655,1585.0,2,Adv-ALSTM,kdd17,0.1,var,0.1526559740304947,0.7,0.0,-1,-1,1,0.005596666230282655,0.005596666230282655,0.16616300000000095,0.16616300000000095
1650,GE.csv,2016-03-08,-0.75933,0.0,29.381823,29.606635,-0.224812,-0.7593297921226104,-0.007622273782646006,1617.0,2,Adv-ALSTM,kdd17,0.1,var,0.2197248488664627,0.7,0.0,-1,-1,1,0.007622273782646006,0.007622273782646006,0.224812,0.224812
1744,GE.csv,2016-03-11,1.336003,1.0,29.655506,29.264531,0.3909749999999974,1.336002958666918,0.013271571389842127,1650.0,2,Adv-ALSTM,kdd17,0.1,var,0.2015998512506485,0.7,1.0,1,1,1,0.013271571389842127,0.013271571389842127,0.3909749999999974,0.3909749999999974
1857,GE.csv,2016-03-17,2.618495,1.0,30.261518,29.489341,0.7721769999999992,2.6184952725800117,0.02584799631726809,1744.0,2,Adv-ALSTM,kdd17,0.1,var,0.15014411509037018,0.7,1.0,1,1,1,0.02584799631726809,0.02584799631726809,0.7721769999999992,0.7721769999999992
2017,GE.csv,2016-03-28,1.221469,1.0,30.779561,30.408135,0.3714259999999996,1.221469189083775,0.012140694502655532,1857.0,2,Adv-ALSTM,kdd17,0.1,var,0.21079610288143158,0.7,0.0,-1,-1,1,-0.012140694502655532,-0.012140694502655532,-0.3714259999999996,-0.3714259999999996
2070,GE.csv,2016-03-30,1.111818,1.0,31.11189,30.769786,0.3421039999999991,1.1118179372453194,0.01105682675029155,2017.0,2,Adv-ALSTM,kdd17,0.1,var,0.13575637340545654,0.7,0.0,-1,-1,1,-0.01105682675029155,-0.01105682675029155,-0.3421039999999991,-0.3421039999999991
2158,GE.csv,2016-04-04,-2.192297,0.0,30.525427,31.209635,-0.6842079999999982,-2.192297346636698,-0.02216685281182197,2070.0,2,Adv-ALSTM,kdd17,0.1,var,0.21236371994018555,0.7,1.0,1,1,1,-0.02216685281182197,-0.02216685281182197,-0.6842079999999982,-0.6842079999999982
2187,GE.csv,2016-04-05,-0.800513,0.0,30.281067,30.525427,-0.24436000000000035,-0.8005129625213772,-0.008037342703792989,2158.0,2,Adv-ALSTM,kdd17,0.1,var,0.19617576897144318,0.7,1.0,1,1,1,-0.008037342703792989,-0.008037342703792989,-0.24436000000000035,-0.24436000000000035
2260,GE.csv,2016-04-07,-0.873788,0.0,29.938963,30.202872,-0.2639089999999982,-0.8737877642894298,-0.008776276743816258,2187.0,2,Adv-ALSTM,kdd17,0.1,var,0.12183628231287003,0.7,1.0,1,1,1,-0.008776276743816258,-0.008776276743816258,-0.2639089999999982,-0.2639089999999982
2379,GE.csv,2016-04-13,0.55177,1.0,30.281067,30.114902,0.16616499999999945,0.5517700173820903,0.005502533430998845,2260.0,2,Adv-ALSTM,kdd17,0.1,var,0.18446466326713562,0.7,1.0,1,1,1,0.005502533430998845,0.005502533430998845,0.16616499999999945,0.16616499999999945
