ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
48,DCM.csv,2016-01-05,1.991258,1.0,21.0,20.59,0.41000000000000014,1.9912578921806712,0.01971691668372486,,2,Adv-ALSTM,kdd17,0.1,var,0.14631664752960205,0.8,0.0,-1,-1,1,-0.01971691668372486,-0.01971691668372486,-0.41000000000000014,-0.41000000000000014
76,DCM.csv,2016-01-06,-1.904762,0.0,20.6,21.0,-0.3999999999999986,-1.904761904761898,-0.019231361927887533,48.0,2,Adv-ALSTM,kdd17,0.1,var,0.10711663216352463,0.8,0.0,-1,-1,1,0.019231361927887533,0.019231361927887533,0.3999999999999986,0.3999999999999986
163,DCM.csv,2016-01-08,-1.121399,0.0,20.280001,20.51,-0.22999900000000295,-1.1213993174061576,-0.011277344051643495,76.0,2,Adv-ALSTM,kdd17,0.1,var,0.1587963104248047,0.8,1.0,1,1,1,-0.011277344051643495,-0.011277344051643495,-0.22999900000000295,-0.22999900000000295
226,DCM.csv,2016-01-12,1.61844,1.0,20.719999,20.389999,0.33000000000000185,1.6184404913408865,0.01605483358601913,163.0,2,Adv-ALSTM,kdd17,0.1,var,0.12889647483825684,0.8,0.0,-1,-1,1,-0.01605483358601913,-0.01605483358601913,-0.33000000000000185,-0.33000000000000185
263,DCM.csv,2016-01-13,0.772201,1.0,20.879999,20.719999,0.16000000000000014,0.7722008094691517,0.007692345992983714,226.0,2,Adv-ALSTM,kdd17,0.1,var,0.13710437715053558,0.8,0.0,-1,-1,1,-0.007692345992983714,-0.007692345992983714,-0.16000000000000014,-0.16000000000000014
358,DCM.csv,2016-01-15,-2.639151,0.0,20.290001,20.84,-0.5499989999999997,-2.6391506717850275,-0.02674601376208176,263.0,2,Adv-ALSTM,kdd17,0.1,var,0.1875,0.8,0.0,-1,-1,1,0.02674601376208176,0.02674601376208176,0.5499989999999997,0.5499989999999997
438,DCM.csv,2016-01-20,-2.357574,0.0,19.879999,20.360001,-0.48000199999999893,-2.35757355807595,-0.023858089871618485,358.0,2,Adv-ALSTM,kdd17,0.1,var,0.14502350986003876,0.8,0.0,-1,-1,1,0.023858089871618485,0.023858089871618485,0.48000199999999893,0.48000199999999893
482,DCM.csv,2016-01-21,-1.207244,0.0,19.639999,19.879999,-0.240000000000002,-1.2072435214911328,-0.012145898916794335,438.0,2,Adv-ALSTM,kdd17,0.1,var,0.12749944627285004,0.8,0.0,-1,-1,1,0.012145898916794335,0.012145898916794335,0.240000000000002,0.240000000000002
521,DCM.csv,2016-01-22,1.985754,1.0,20.030001,19.639999,0.39000199999999907,1.985753665262402,0.019662947593016226,482.0,2,Adv-ALSTM,kdd17,0.1,var,0.17710033059120178,0.8,1.0,1,1,1,0.019662947593016226,0.019662947593016226,0.39000199999999907,0.39000199999999907
566,DCM.csv,2016-01-25,-0.998507,0.0,19.83,20.030001,-0.20000100000000032,-0.998507189290706,-0.01003525707113341,521.0,2,Adv-ALSTM,kdd17,0.1,var,0.19709940254688263,0.8,0.0,-1,-1,1,0.01003525707113341,0.01003525707113341,0.20000100000000032,0.20000100000000032
