ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
41,XOM.csv,2016-01-04,-0.628605,0.0,74.817362,75.290643,-0.47328100000000006,-0.6286053367879991,-0.00630589379035622,,2,Adv-ALSTM,kdd17,0.1,var,0.24985620379447937,0.8,1.0,1,0,1,-0.0,-0.00630589379035622,-0.0,-0.47328100000000006
67,XOM.csv,2016-01-05,0.852058,1.0,75.454849,74.817362,0.637486999999993,0.8520575745506678,0.008484480529742709,41.0,2,Adv-ALSTM,kdd17,0.1,var,0.1397760808467865,0.8,0.0,-1,-1,1,-0.008484480529742709,-0.008484480529742709,-0.637486999999993,-0.637486999999993
108,XOM.csv,2016-01-06,-0.832055,0.0,74.827023,75.454849,-0.6278259999999989,-0.8320552069489914,-0.00835536108415284,67.0,2,Adv-ALSTM,kdd17,0.1,var,0.19143666326999664,0.8,0.0,-1,-1,1,0.00835536108415284,0.00835536108415284,0.6278259999999989,0.6278259999999989
156,XOM.csv,2016-01-07,-1.600617,0.0,73.629329,74.827023,-1.1976939999999985,-1.6006169322010826,-0.016135651585727738,108.0,2,Adv-ALSTM,kdd17,0.1,var,0.19982516765594482,0.8,1.0,1,1,1,-0.016135651585727738,-0.016135651585727738,-1.1976939999999985,-1.1976939999999985
192,XOM.csv,2016-01-08,-2.020203,0.0,72.141867,73.629329,-1.4874619999999936,-2.020203117700548,-0.020408882832480796,156.0,2,Adv-ALSTM,kdd17,0.1,var,0.15390002727508545,0.8,1.0,1,1,1,-0.020408882832480796,-0.020408882832480796,-1.4874619999999936,-1.4874619999999936
220,XOM.csv,2016-01-11,-1.338867,0.0,71.175983,72.141867,-0.9658840000000026,-1.3388674845357171,-0.013479111275502716,192.0,2,Adv-ALSTM,kdd17,0.1,var,0.12749938666820526,0.8,1.0,1,1,1,-0.013479111275502716,-0.013479111275502716,-0.9658840000000026,-0.9658840000000026
254,XOM.csv,2016-01-12,2.049118,1.0,72.634463,71.175983,1.4584799999999944,2.0491181695376013,0.020284062069600452,220.0,2,Adv-ALSTM,kdd17,0.1,var,0.21079587936401367,0.8,0.0,-1,0,1,0.0,-0.020284062069600452,0.0,-1.4584799999999944
300,XOM.csv,2016-01-13,0.59841,1.0,73.069115,72.634463,0.4346519999999998,0.5984101513905319,0.00596626788855818,254.0,2,Adv-ALSTM,kdd17,0.1,var,0.15636375546455383,0.8,0.0,-1,-1,1,-0.00596626788855818,-0.00596626788855818,-0.4346519999999998,-0.4346519999999998
347,XOM.csv,2016-01-14,4.586915,1.0,76.420733,73.069115,3.351618000000002,4.586914731347166,0.0448482596466251,300.0,2,Adv-ALSTM,kdd17,0.1,var,0.2058992236852646,0.8,1.0,1,0,1,0.0,0.0448482596466251,0.0,3.351618000000002
394,XOM.csv,2016-01-15,-1.946412,0.0,74.933271,76.420733,-1.4874619999999936,-1.9464115844060195,-0.019656036202120537,347.0,2,Adv-ALSTM,kdd17,0.1,var,0.17817659676074982,0.8,0.0,-1,-1,1,0.019656036202120537,0.019656036202120537,1.4874619999999936,1.4874619999999936
429,XOM.csv,2016-01-19,-1.521011,0.0,73.793528,74.933271,-1.13974300000001,-1.5210106068905092,-0.015326966216645437,394.0,2,Adv-ALSTM,kdd17,0.1,var,0.1551363170146942,0.8,0.0,-1,-1,1,0.015326966216645437,0.015326966216645437,1.13974300000001,1.13974300000001
472,XOM.csv,2016-01-20,-4.214661,0.0,70.683381,73.793528,-3.1101469999999978,-4.214660938829213,-0.043060549662386025,429.0,2,Adv-ALSTM,kdd17,0.1,var,0.12039998918771744,0.8,0.0,-1,-1,1,0.043060549662386025,0.043060549662386025,3.1101469999999978,3.1101469999999978
510,XOM.csv,2016-01-21,1.257171,1.0,71.571992,70.683381,0.8886109999999974,1.257171045623861,0.01249334263253927,472.0,2,Adv-ALSTM,kdd17,0.1,var,0.1232643574476242,0.8,0.0,-1,-1,1,-0.01249334263253927,-0.01249334263253927,-0.8886109999999974,-0.8886109999999974
558,XOM.csv,2016-01-22,3.333335,1.0,73.957726,71.571992,2.3857339999999994,3.3333346373816166,0.03278983544281285,510.0,2,Adv-ALSTM,kdd17,0.1,var,0.19046416878700256,0.8,1.0,1,1,1,0.03278983544281285,0.03278983544281285,2.3857339999999994,2.3857339999999994
596,XOM.csv,2016-01-25,-3.38252,0.0,71.456091,73.957726,-2.501634999999993,-3.3825201710501394,-0.03441051052895904,558.0,2,Adv-ALSTM,kdd17,0.1,var,0.1475997269153595,0.8,0.0,-1,-1,1,0.03441051052895904,0.03441051052895904,2.501634999999993,2.501634999999993
637,XOM.csv,2016-01-26,3.676659,1.0,74.083288,71.456091,2.6271969999999953,3.6766592787730237,0.03610682463429925,596.0,2,Adv-ALSTM,kdd17,0.1,var,0.22868286073207855,0.8,1.0,1,0,1,0.0,0.03610682463429925,0.0,2.6271969999999953
669,XOM.csv,2016-01-27,-1.838326,0.0,72.721396,74.083288,-1.3618919999999974,-1.8383255343634282,-0.018554327197550582,637.0,2,Adv-ALSTM,kdd17,0.1,var,0.1475997418165207,0.8,0.0,-1,-1,1,0.018554327197550582,0.018554327197550582,1.3618919999999974,1.3618919999999974
709,XOM.csv,2016-01-28,2.257932,1.0,74.363396,72.721396,1.641999999999996,2.257932452231797,0.02232818492065722,669.0,2,Adv-ALSTM,kdd17,0.1,var,0.2268950641155243,0.8,1.0,1,0,1,0.0,0.02232818492065722,0.0,1.641999999999996
759,XOM.csv,2016-01-29,1.117028,1.0,75.194056,74.363396,0.8306600000000088,1.1170280604183391,0.011108353753261423,709.0,2,Adv-ALSTM,kdd17,0.1,var,0.14241595566272736,0.8,0.0,-1,-1,1,-0.011108353753261423,-0.011108353753261423,-0.8306600000000088,-0.8306600000000088
796,XOM.csv,2016-02-01,-2.00385,0.0,73.68728,75.194056,-1.5067760000000021,-2.0038498787723356,-0.020241992566443455,759.0,2,Adv-ALSTM,kdd17,0.1,var,0.09790010005235672,0.8,0.0,-1,-1,1,0.020241992566443455,0.020241992566443455,1.5067760000000021,1.5067760000000021
841,XOM.csv,2016-02-02,-2.228345,0.0,72.045273,73.68728,-1.6420070000000067,-2.228345244932377,-0.022535479636058817,796.0,2,Adv-ALSTM,kdd17,0.1,var,0.10560029000043869,0.8,0.0,-1,-1,1,0.022535479636058817,0.022535479636058817,1.6420070000000067,1.6420070000000067
887,XOM.csv,2016-02-03,5.215186,1.0,75.802568,72.045273,3.757294999999999,5.2151860122731435,0.05083745762635344,841.0,2,Adv-ALSTM,kdd17,0.1,var,0.14759978652000427,0.8,0.0,-1,-1,1,-0.05083745762635344,-0.05083745762635344,-3.757294999999999,-3.757294999999999
924,XOM.csv,2016-02-04,1.720182,1.0,77.10651,75.802568,1.3039420000000064,1.720181828140712,0.017055542100021366,887.0,2,Adv-ALSTM,kdd17,0.1,var,0.10100434720516205,0.8,0.0,-1,-1,1,-0.017055542100021366,-0.017055542100021366,-1.3039420000000064,-1.3039420000000064
1000,XOM.csv,2016-02-08,1.348653,1.0,78.391137,77.347981,1.0431559999999962,1.3486531729897335,0.013396397951266951,924.0,2,Adv-ALSTM,kdd17,0.1,var,0.08189968019723892,0.8,0.0,-1,-1,1,-0.013396397951266951,-0.013396397951266951,-1.0431559999999962,-1.0431559999999962
1066,XOM.csv,2016-02-10,-0.911592,0.0,77.338511,78.050009,-0.711498000000006,-0.9115924637497556,-0.00915772892894997,1000.0,2,Adv-ALSTM,kdd17,0.1,var,0.08353640884160995,0.8,0.0,-1,-1,1,0.00915772892894997,0.00915772892894997,0.711498000000006,0.711498000000006
1144,XOM.csv,2016-02-12,1.796482,1.0,78.975924,77.582174,1.3937500000000114,1.796482269238822,0.01780536221928668,1066.0,2,Adv-ALSTM,kdd17,0.1,var,0.1587962955236435,0.8,0.0,-1,-1,1,-0.01780536221928668,-0.01780536221928668,-1.3937500000000114,-1.3937500000000114
1215,XOM.csv,2016-02-17,0.960353,1.0,79.921336,79.16111,0.760226000000003,0.960352880347437,0.009557708047786462,1144.0,2,Adv-ALSTM,kdd17,0.1,var,0.08516388386487961,0.8,0.0,-1,-1,1,-0.009557708047786462,-0.009557708047786462,-0.760226000000003,-0.760226000000003
1348,XOM.csv,2016-02-23,-1.407932,0.0,79.170859,80.301449,-1.1305900000000122,-1.4079322528787894,-0.014179376427838954,1215.0,2,Adv-ALSTM,kdd17,0.1,var,0.1475997418165207,0.8,1.0,1,1,1,-0.014179376427838954,-0.014179376427838954,-1.1305900000000122,-1.1305900000000122
1410,XOM.csv,2016-02-25,0.601086,1.0,79.931085,79.453501,0.4775839999999931,0.6010861623328506,0.005992868461536866,1348.0,2,Adv-ALSTM,kdd17,0.1,var,0.20919650793075562,0.8,1.0,1,0,1,0.0,0.005992868461536866,0.0,0.4775839999999931
1477,XOM.csv,2016-02-29,-1.957186,0.0,78.118234,79.677674,-1.559439999999995,-1.9571856477637577,-0.01976592157703321,1410.0,2,Adv-ALSTM,kdd17,0.1,var,0.1923993080854416,0.8,1.0,1,1,1,-0.01976592157703321,-0.01976592157703321,-1.559439999999995,-1.559439999999995
1524,XOM.csv,2016-03-01,1.409854,1.0,79.219587,78.118234,1.1013530000000031,1.4098539401185173,0.014000079344060699,1477.0,2,Adv-ALSTM,kdd17,0.1,var,0.14241597056388855,0.8,1.0,1,1,1,0.014000079344060699,0.014000079344060699,1.1013530000000031,1.1013530000000031
1552,XOM.csv,2016-03-02,1.747045,1.0,80.603589,79.219587,1.3840019999999953,1.7470452099175866,0.017319598206983016,1524.0,2,Adv-ALSTM,kdd17,0.1,var,0.18446463346481323,0.8,0.0,-1,-1,1,-0.017319598206983016,-0.017319598206983016,-1.3840019999999953,-1.3840019999999953
1636,XOM.csv,2016-03-07,2.637012,1.0,82.318975,80.203986,2.1149889999999942,2.63701233003556,0.026028425653582456,1552.0,2,Adv-ALSTM,kdd17,0.1,var,0.2224448025226593,0.8,1.0,1,0,1,0.0,0.026028425653582456,0.0,2.1149889999999942
1672,XOM.csv,2016-03-08,-2.166708,0.0,80.535363,82.318975,-1.7836119999999909,-2.1667082224966854,-0.021905260149605373,1636.0,2,Adv-ALSTM,kdd17,0.1,var,0.12183625251054764,0.8,0.0,-1,-1,1,0.021905260149605373,0.021905260149605373,1.7836119999999909,1.7836119999999909
1879,XOM.csv,2016-03-17,1.484247,1.0,81.968101,80.769285,1.1988160000000079,1.4842473843862898,0.014733402265880019,1672.0,2,Adv-ALSTM,kdd17,0.1,var,0.16356362402439117,0.8,0.0,-1,-1,1,-0.014733402265880019,-0.014733402265880019,-1.1988160000000079,-1.1988160000000079
1929,XOM.csv,2016-03-21,-0.688829,0.0,81.500273,82.065564,-0.5652909999999878,-0.6888285078988646,-0.006912118826811244,1879.0,2,Adv-ALSTM,kdd17,0.1,var,0.0915958434343338,0.8,0.0,-1,-1,1,0.006912118826811244,0.006912118826811244,0.5652909999999878,0.5652909999999878
1958,XOM.csv,2016-03-22,0.597943,1.0,81.987598,81.500273,0.48732499999999845,0.5979427823511688,0.005961621988843354,1929.0,2,Adv-ALSTM,kdd17,0.1,var,0.19430312514305115,0.8,1.0,1,1,1,0.005961621988843354,0.005961621988843354,0.48732499999999845,0.48732499999999845
2114,XOM.csv,2016-03-31,-1.100331,0.0,81.471027,82.377452,-0.9064249999999987,-1.1003314353544202,-0.011064298581970692,1958.0,2,Adv-ALSTM,kdd17,0.1,var,0.18030308187007904,0.8,0.0,-1,-1,1,0.011064298581970692,0.011064298581970692,0.9064249999999987,0.9064249999999987
2150,XOM.csv,2016-04-01,-0.753675,0.0,80.857,81.471027,-0.6140270000000072,-0.7536752912173393,-0.007565297748431008,2114.0,2,Adv-ALSTM,kdd17,0.1,var,0.15636375546455383,0.8,1.0,1,1,1,-0.007565297748431008,-0.007565297748431008,-0.6140270000000072,-0.6140270000000072
