ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
21,MRK.csv,2016-01-04,-0.643697,0.0,50.837844,51.167206,-0.32936200000000326,-0.6436974494952944,-0.006457781151281831,,2,Adv-ALSTM,kdd17,0.1,var,0.1864950805902481,0.9,1.0,1,0,1,-0.0,-0.006457781151281831,-0.0,-0.32936200000000326
54,MRK.csv,2016-01-05,1.276681,1.0,51.486881,50.837844,0.6490369999999999,1.2766808128212517,0.012685999485492242,21.0,2,Adv-ALSTM,kdd17,0.1,var,0.19524388015270233,0.9,0.0,-1,0,1,0.0,-0.012685999485492242,0.0,-0.6490369999999999
88,MRK.csv,2016-01-06,-1.373478,0.0,50.77972,51.486881,-0.7071609999999993,-1.3734780322000848,-0.013829975074964208,54.0,2,Adv-ALSTM,kdd17,0.1,var,0.19430312514305115,0.9,0.0,-1,0,1,-0.0,0.013829975074964208,-0.0,0.7071609999999993
132,MRK.csv,2016-01-07,-0.877526,0.0,50.334115,50.77972,-0.4456050000000005,-0.8775255160918581,-0.008813984451894689,88.0,2,Adv-ALSTM,kdd17,0.1,var,0.16705641150474548,0.9,1.0,1,0,1,-0.0,-0.008813984451894689,-0.0,-0.4456050000000005
172,MRK.csv,2016-01-08,-1.693605,0.0,49.481654,50.334115,-0.8524609999999981,-1.6936048244813646,-0.017081103214422844,132.0,2,Adv-ALSTM,kdd17,0.1,var,0.15758417546749115,0.9,1.0,1,0,1,-0.0,-0.017081103214422844,-0.0,-0.8524609999999981
236,MRK.csv,2016-01-12,0.995119,1.0,50.140373,49.646333,0.49403999999999826,0.9951188137097623,0.009902001108173804,172.0,2,Adv-ALSTM,kdd17,0.1,var,0.20756347477436066,0.9,0.0,-1,0,1,0.0,-0.009902001108173804,0.0,-0.49403999999999826
278,MRK.csv,2016-01-13,-2.125192,0.0,49.074794,50.140373,-1.0655789999999996,-2.1251916095638133,-0.021480989375733357,236.0,2,Adv-ALSTM,kdd17,0.1,var,0.17817649245262146,0.9,0.0,-1,0,1,-0.0,0.021480989375733357,-0.0,1.0655789999999996
324,MRK.csv,2016-01-14,2.250296,1.0,50.179122,49.074794,1.1043280000000024,2.25029574245386,0.02225350127737391,278.0,2,Adv-ALSTM,kdd17,0.1,var,0.15636375546455383,0.9,1.0,1,0,1,0.0,0.02225350127737391,0.0,1.1043280000000024
371,MRK.csv,2016-01-15,-1.274132,0.0,49.539774,50.179122,-0.6393479999999983,-1.2741315003478904,-0.012823181693757882,324.0,2,Adv-ALSTM,kdd17,0.1,var,0.1914365589618683,0.9,0.0,-1,0,1,-0.0,0.012823181693757882,-0.0,0.6393479999999983
452,MRK.csv,2016-01-20,-1.538763,0.0,48.968236,49.733517,-0.7652810000000017,-1.538763084058587,-0.015507249113125014,371.0,2,Adv-ALSTM,kdd17,0.1,var,0.19430312514305115,0.9,0.0,-1,0,1,-0.0,0.015507249113125014,-0.0,0.7652810000000017
491,MRK.csv,2016-01-21,0.731946,1.0,49.326657,48.968236,0.3584209999999999,0.7319459087723722,0.007292801845749991,452.0,2,Adv-ALSTM,kdd17,0.1,var,0.13028408586978912,0.9,0.0,-1,0,1,0.0,-0.007292801845749991,0.0,-0.3584209999999999
536,MRK.csv,2016-01-22,0.844462,1.0,49.743202,49.326657,0.4165449999999993,0.8444622549628679,0.00840916619513926,491.0,2,Adv-ALSTM,kdd17,0.1,var,0.15389986336231232,0.9,0.0,-1,0,1,0.0,-0.00840916619513926,0.0,-0.4165449999999993
578,MRK.csv,2016-01-25,-0.837391,0.0,49.326657,49.743202,-0.4165449999999993,-0.8373908056823509,-0.00840916619513927,536.0,2,Adv-ALSTM,kdd17,0.1,var,0.12039998918771744,0.9,0.0,-1,0,1,-0.0,0.00840916619513927,-0.0,0.4165449999999993
616,MRK.csv,2016-01-26,1.040853,1.0,49.840075,49.326657,0.5134180000000015,1.040853021926869,0.010354734436627525,578.0,2,Adv-ALSTM,kdd17,0.1,var,0.2298361361026764,0.9,1.0,1,0,1,0.0,0.010354734436627525,0.0,0.5134180000000015
654,MRK.csv,2016-01-27,-2.099128,0.0,48.793868,49.840075,-1.0462069999999954,-2.09912806110343,-0.0212147300674217,616.0,2,Adv-ALSTM,kdd17,0.1,var,0.1894831508398056,0.9,0.0,-1,0,1,-0.0,0.0212147300674217,-0.0,1.0462069999999954
690,MRK.csv,2016-01-28,-2.322808,0.0,47.66048,48.793868,-1.1333880000000036,-2.3228082676290462,-0.023502106267523845,654.0,2,Adv-ALSTM,kdd17,0.1,var,0.23560045659542084,0.9,1.0,1,0,1,-0.0,-0.023502106267523845,-0.0,-1.1333880000000036
735,MRK.csv,2016-01-29,2.9878,1.0,49.08448,47.66048,1.4239999999999995,2.9878003746500235,0.029440352262059735,690.0,2,Adv-ALSTM,kdd17,0.1,var,0.22109980881214142,0.9,1.0,1,0,1,0.0,0.029440352262059735,0.0,1.4239999999999995
819,MRK.csv,2016-02-02,-0.669951,0.0,48.832617,49.161978,-0.3293609999999987,-0.6699506679735276,-0.006722049113145097,735.0,2,Adv-ALSTM,kdd17,0.1,var,0.11750447750091553,0.9,0.0,-1,0,1,-0.0,0.006722049113145097,-0.0,0.3293609999999987
865,MRK.csv,2016-02-03,-0.714146,0.0,48.483881,48.832617,-0.3487360000000024,-0.7141456293444244,-0.007167078552141629,819.0,2,Adv-ALSTM,kdd17,0.1,var,0.15513628721237183,0.9,0.0,-1,0,1,-0.0,0.007167078552141629,-0.0,0.3487360000000024
906,MRK.csv,2016-02-04,-2.917081,0.0,47.069567,48.483881,-1.4143139999999974,-2.917080833524852,-0.029604735881783903,865.0,2,Adv-ALSTM,kdd17,0.1,var,0.1475997269153595,0.9,0.0,-1,0,1,-0.0,0.029604735881783903,-0.0,1.4143139999999974
946,MRK.csv,2016-02-05,1.625851,1.0,47.834848,47.069567,0.7652810000000017,1.625850945261514,0.0161277552299338,906.0,2,Adv-ALSTM,kdd17,0.1,var,0.24481604993343353,0.9,0.0,-1,0,1,0.0,-0.0161277552299338,0.0,-0.7652810000000017
982,MRK.csv,2016-02-08,-1.113809,0.0,47.302059,47.834848,-0.5327890000000011,-1.1138093299679785,-0.011200586329604119,946.0,2,Adv-ALSTM,kdd17,0.1,var,0.1288965493440628,0.9,0.0,-1,0,1,-0.0,0.011200586329604119,-0.0,0.5327890000000011
1015,MRK.csv,2016-02-09,0.67581,1.0,47.621731,47.302059,0.31967199999999707,0.675809905019139,0.006735365465209152,982.0,2,Adv-ALSTM,kdd17,0.1,var,0.13844463229179382,0.9,0.0,-1,0,1,0.0,-0.006735365465209152,0.0,-0.31967199999999707
1051,MRK.csv,2016-02-10,0.752642,1.0,47.980152,47.621731,0.3584209999999999,0.7526416878882456,0.007498234722135455,1015.0,2,Adv-ALSTM,kdd17,0.1,var,0.1575842797756195,0.9,0.0,-1,0,1,0.0,-0.007498234722135455,0.0,-0.3584209999999999
1084,MRK.csv,2016-02-11,-1.372905,0.0,47.32143,47.980152,-0.6587219999999974,-1.372905196298664,-0.013824166959394103,1051.0,2,Adv-ALSTM,kdd17,0.1,var,0.2365432232618332,0.9,1.0,1,0,1,-0.0,-0.013824166959394103,-0.0,-0.6587219999999974
1164,MRK.csv,2016-02-16,1.529674,1.0,48.222329,47.495798,0.7265310000000014,1.5296742671846493,0.015180927077843355,1084.0,2,Adv-ALSTM,kdd17,0.1,var,0.11895592510700226,0.9,0.0,-1,0,1,0.0,-0.015180927077843355,0.0,-0.7265310000000014
1199,MRK.csv,2016-02-17,1.647249,1.0,49.016671,48.222329,0.7943420000000003,1.6472493479110069,0.016338293689746517,1164.0,2,Adv-ALSTM,kdd17,0.1,var,0.13303570449352264,0.9,0.0,-1,0,1,0.0,-0.016338293689746517,0.0,-0.7943420000000003
1233,MRK.csv,2016-02-18,-0.553359,0.0,48.745433,49.016671,-0.27123800000000386,-0.5533586726034574,-0.005548953733058117,1199.0,2,Adv-ALSTM,kdd17,0.1,var,0.12609590590000153,0.9,0.0,-1,0,1,-0.0,0.005548953733058117,-0.0,0.27123800000000386
