ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
66,WMT.csv,2016-01-05,2.375527,1.0,61.144463,59.725664,1.418799,2.3755265408183655,0.023477499427772653,,2,Adv-ALSTM,kdd17,0.1,var,0.23560045659542084,0.9,1.0,1,0,1,0.0,0.023477499427772653,0.0,1.418799
107,WMT.csv,2016-01-06,1.001275,1.0,61.756687,61.144463,0.6122239999999977,1.0012746370836516,0.009962950942679568,66.0,2,Adv-ALSTM,kdd17,0.1,var,0.16119609773159027,0.9,0.0,-1,0,1,0.0,-0.009962950942679568,0.0,-0.6122239999999977
155,WMT.csv,2016-01-07,2.328873,1.0,63.194922,61.756687,1.4382349999999988,2.328873308893657,0.02302168868050307,107.0,2,Adv-ALSTM,kdd17,0.1,var,0.23700371384620667,0.9,1.0,1,0,1,0.0,0.02302168868050307,0.0,1.4382349999999988
191,WMT.csv,2016-01-08,-2.291247,0.0,61.74697,63.194922,-1.4479520000000008,-2.2912473885164393,-0.023179044345202883,155.0,2,Adv-ALSTM,kdd17,0.1,var,0.2042035162448883,0.9,0.0,-1,0,1,-0.0,0.023179044345202883,-0.0,1.4479520000000008
219,WMT.csv,2016-01-11,1.070193,1.0,62.407782,61.74697,0.660812,1.0701934038220822,0.010645073659744682,191.0,2,Adv-ALSTM,kdd17,0.1,var,0.20673640072345734,0.9,1.0,1,0,1,0.0,0.010645073659744682,0.0,0.660812
253,WMT.csv,2016-01-12,-0.934292,0.0,61.824711,62.407782,-0.5830709999999968,-0.9342921368363912,-0.009386840225883424,219.0,2,Adv-ALSTM,kdd17,0.1,var,0.163563534617424,0.9,0.0,-1,0,1,-0.0,0.009386840225883424,-0.0,0.5830709999999968
299,WMT.csv,2016-01-13,-2.672118,0.0,60.172682,61.824711,-1.6520289999999989,-2.6721176262352424,-0.027084676965412523,253.0,2,Adv-ALSTM,kdd17,0.1,var,0.17924410104751587,0.9,1.0,1,0,1,-0.0,-0.027084676965412523,-0.0,-1.6520289999999989
346,WMT.csv,2016-01-14,1.841091,1.0,61.280516,60.172682,1.1078339999999969,1.841091277932396,0.01824348381570995,299.0,2,Adv-ALSTM,kdd17,0.1,var,0.20673637092113495,0.9,1.0,1,0,1,0.0,0.01824348381570995,0.0,1.1078339999999969
393,WMT.csv,2016-01-15,-1.791946,0.0,60.182402,61.280516,-1.0981139999999954,-1.7919463994069427,-0.018081961764491342,346.0,2,Adv-ALSTM,kdd17,0.1,var,0.1813553124666214,0.9,0.0,-1,0,1,-0.0,0.018081961764491342,-0.0,1.0981139999999954
428,WMT.csv,2016-01-19,1.017279,1.0,60.794625,60.182402,0.6122230000000002,1.017279104280351,0.010121396461012183,393.0,2,Adv-ALSTM,kdd17,0.1,var,0.1551363468170166,0.9,1.0,1,0,1,0.0,0.010121396461012183,0.0,0.6122230000000002
