ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
92,NVS.csv,2016-01-06,-1.368751,0.0,81.84123,82.976978,-1.1357480000000066,-1.368750739512358,-0.013782044971534652,,2,Adv-ALSTM,kdd17,0.1,var,0.21972481906414032,0,1.0,1,1,1,-0.013782044971534652,-0.013782044971534652,-1.1357480000000066,-1.1357480000000066
136,NVS.csv,2016-01-07,-1.281897,0.0,80.79211,81.84123,-1.049120000000002,-1.2818966674865495,-0.01290183861167348,92.0,2,Adv-ALSTM,kdd17,0.1,var,0.14759978652000427,0,1.0,1,1,1,-0.01290183861167348,-0.01290183861167348,-1.049120000000002,-1.049120000000002
174,NVS.csv,2016-01-08,-2.835364,0.0,78.50136,80.79211,-2.2907499999999885,-2.835363502698455,-0.028763362765217654,136.0,2,Adv-ALSTM,kdd17,0.1,var,0.13028408586978912,0,1.0,1,1,1,-0.028763362765217654,-0.028763362765217654,-2.2907499999999885,-2.2907499999999885
240,NVS.csv,2016-01-12,0.734933,1.0,79.155859,78.578361,0.5774980000000056,0.7349326107730927,0.0073224514042569185,174.0,2,Adv-ALSTM,kdd17,0.1,var,0.197099506855011,0,1.0,1,1,1,0.0073224514042569185,0.0073224514042569185,0.5774980000000056,0.5774980000000056
281,NVS.csv,2016-01-13,-1.398349,0.0,78.048984,79.155859,-1.1068750000000023,-1.39834879437036,-0.014082178012322857,240.0,2,Adv-ALSTM,kdd17,0.1,var,0.19239920377731323,0,1.0,1,1,1,-0.014082178012322857,-0.014082178012322857,-1.1068750000000023,-1.1068750000000023
328,NVS.csv,2016-01-14,1.985449,1.0,79.598607,78.048984,1.5496229999999969,1.9854492916909678,0.019659963117100006,281.0,2,Adv-ALSTM,kdd17,0.1,var,0.15879639983177185,0,1.0,1,1,1,0.019659963117100006,0.019659963117100006,1.5496229999999969,1.5496229999999969
375,NVS.csv,2016-01-15,-2.986692,0.0,77.221242,79.598607,-2.3773649999999975,-2.9866917143411786,-0.030322018074381136,328.0,2,Adv-ALSTM,kdd17,0.1,var,0.1587963104248047,0,0.0,-1,-1,1,0.030322018074381136,0.030322018074381136,2.3773649999999975,2.3773649999999975
412,NVS.csv,2016-01-19,0.94727,1.0,77.952736,77.221242,0.7314939999999979,0.9472704414673851,0.009428119687692615,375.0,2,Adv-ALSTM,kdd17,0.1,var,0.19982491433620453,0,1.0,1,1,1,0.009428119687692615,0.009428119687692615,0.7314939999999979,0.7314939999999979
455,NVS.csv,2016-01-20,-0.61736,0.0,77.471487,77.952736,-0.48124900000000537,-0.6173599859278902,-0.00619273532400991,412.0,2,Adv-ALSTM,kdd17,0.1,var,0.15636375546455383,0,0.0,-1,-1,1,0.00619273532400991,0.00619273532400991,0.48124900000000537,0.48124900000000537
495,NVS.csv,2016-01-21,-0.782703,0.0,76.865115,77.471487,-0.6063719999999932,-0.7827034480440439,-0.007857826493490743,455.0,2,Adv-ALSTM,kdd17,0.1,var,0.171600341796875,0,0.0,-1,-1,1,0.007857826493490743,0.007857826493490743,0.6063719999999932,0.6063719999999932
