ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
97,ORCL.csv,2015-10-02,1.793567,1.0,35.752758,35.122807,0.6299509999999984,1.7935667841126661,0.017776721476382786,,3,Adv-ALSTM,stocknet,0.75,entr,0.0,0.1,1.0,1,1,1,0.017776721476382786,0.017776721476382786,0.6299509999999984,0.6299509999999984
174,ORCL.csv,2015-10-05,1.897546,1.0,36.431183,35.752758,0.6784249999999972,1.8975459179960248,0.018797670712073812,97.0,3,Adv-ALSTM,stocknet,0.75,entr,0.0,0.1,1.0,1,1,1,0.018797670712073812,0.018797670712073812,0.6784249999999972,0.6784249999999972
365,ORCL.csv,2015-10-08,0.610723,1.0,36.721928,36.49902,0.22290799999999678,0.610723246815933,0.006088658907621912,174.0,3,Adv-ALSTM,stocknet,0.75,entr,0.0,0.1,1.0,1,1,1,0.006088658907621912,0.006088658907621912,0.22290799999999678,0.22290799999999678
426,ORCL.csv,2015-10-09,0.953904,1.0,37.07222,36.721928,0.35029200000000316,0.9539041632018972,0.009493832249790207,365.0,3,Adv-ALSTM,stocknet,0.75,entr,0.6834553292027741,0.1,1.0,1,1,1,0.009493832249790207,0.009493832249790207,0.35029200000000316,0.35029200000000316
520,ORCL.csv,2015-10-13,-0.57833,0.0,36.799778,37.01384,-0.21406199999999842,-0.5783296194072228,-0.00580008420950801,426.0,3,Adv-ALSTM,stocknet,0.75,entr,0.0,0.1,0.0,-1,-1,1,0.00580008420950801,0.00580008420950801,0.21406199999999842,0.21406199999999842
572,ORCL.csv,2015-10-14,-1.480702,0.0,36.254883,36.799778,-0.5448950000000039,-1.4807018672775794,-0.014917736870728626,520.0,3,Adv-ALSTM,stocknet,0.75,entr,0.0,0.1,0.0,-1,-1,1,0.014917736870728626,0.014917736870728626,0.5448950000000039,0.5448950000000039
637,ORCL.csv,2015-10-15,0.778303,1.0,36.537056,36.254883,0.28217300000000023,0.7783034357054751,0.007752902787530529,572.0,3,Adv-ALSTM,stocknet,0.75,entr,0.0,0.1,0.0,-1,-1,1,-0.007752902787530529,-0.007752902787530529,-0.28217300000000023,-0.28217300000000023
744,ORCL.csv,2015-10-19,-1.33798,0.0,35.875397,36.361912,-0.48651499999999714,-1.337979696997224,-0.013470112964601839,637.0,3,Adv-ALSTM,stocknet,0.75,entr,0.0,0.1,0.0,-1,-1,1,0.013470112964601839,0.013470112964601839,0.48651499999999714,0.48651499999999714
830,ORCL.csv,2015-10-21,-0.651118,0.0,35.632141,35.865669,-0.23352799999999974,-0.6511184832492591,-0.006532475063192062,744.0,3,Adv-ALSTM,stocknet,0.75,entr,0.3305415666025602,0.1,0.0,-1,-1,1,0.006532475063192062,0.006532475063192062,0.23352799999999974,0.23352799999999974
898,ORCL.csv,2015-10-22,3.194989,1.0,36.770584,35.632141,1.1384430000000023,3.1949890409335837,0.03145011007559259,830.0,3,Adv-ALSTM,stocknet,0.75,entr,0.5010947899563688,0.1,0.0,-1,-1,1,-0.03145011007559259,-0.03145011007559259,-1.1384430000000023,-1.1384430000000023
970,ORCL.csv,2015-10-23,0.740935,1.0,37.04303,36.770584,0.2724460000000022,0.7409346558107486,0.0073820321880090625,898.0,3,Adv-ALSTM,stocknet,0.75,entr,0.0,0.1,1.0,1,1,1,0.0073820321880090625,0.0073820321880090625,0.2724460000000022,0.2724460000000022
1027,ORCL.csv,2015-10-26,0.788024,1.0,37.334938,37.04303,0.2919079999999994,0.7880240898220241,0.007849353958154098,970.0,3,Adv-ALSTM,stocknet,0.75,entr,0.03410138672141592,0.1,1.0,1,1,1,0.007849353958154098,0.007849353958154098,0.2919079999999994,0.2919079999999994
1137,ORCL.csv,2015-10-28,1.408461,1.0,37.831181,37.305744,0.5254370000000037,1.4084613886805308,0.013986347335334085,1027.0,3,Adv-ALSTM,stocknet,0.75,entr,0.0,0.1,1.0,1,1,1,0.013986347335334085,0.013986347335334085,0.5254370000000037,0.5254370000000037
1309,ORCL.csv,2015-11-02,2.342935,1.0,38.677711,37.792263,0.8854480000000038,2.342934584256052,0.023159091828784735,1137.0,3,Adv-ALSTM,stocknet,0.75,entr,0.1850457627493396,0.1,1.0,1,1,1,0.023159091828784735,0.023159091828784735,0.8854480000000038,0.8854480000000038
1366,ORCL.csv,2015-11-03,1.132081,1.0,39.115574,38.677711,0.4378630000000001,1.1320809548424415,0.01125720874229157,1309.0,3,Adv-ALSTM,stocknet,0.75,entr,0.0,0.1,0.0,-1,-1,1,-0.01125720874229157,-0.01125720874229157,-0.4378630000000001,-0.4378630000000001
1409,ORCL.csv,2015-11-04,0.696505,1.0,39.388016,39.115574,0.2724419999999981,0.6965051823092205,0.006940907893958193,1366.0,3,Adv-ALSTM,stocknet,0.75,entr,0.0,0.1,0.0,-1,-1,1,-0.006940907893958193,-0.006940907893958193,-0.2724419999999981,-0.2724419999999981
1498,ORCL.csv,2015-11-06,0.669149,1.0,39.524242,39.261524,0.26271799999999956,0.6691487574450741,0.006669198945612724,1409.0,3,Adv-ALSTM,stocknet,0.75,entr,0.0,0.1,0.0,-1,-1,1,-0.006669198945612724,-0.006669198945612724,-0.26271799999999956,-0.26271799999999956
1565,ORCL.csv,2015-11-09,-1.280169,0.0,39.018265,39.524242,-0.5059770000000015,-1.2801687632618013,-0.012884335346877275,1498.0,3,Adv-ALSTM,stocknet,0.75,entr,0.0,0.1,0.0,-1,-1,1,0.012884335346877275,0.012884335346877275,0.5059770000000015,0.5059770000000015
1669,ORCL.csv,2015-11-11,-2.2044,0.0,37.986866,38.843124,-0.856258000000004,-2.204400449356246,-0.022290604329292515,1565.0,3,Adv-ALSTM,stocknet,0.75,entr,0.0,0.1,0.0,-1,-1,1,0.022290604329292515,0.022290604329292515,0.856258000000004,0.856258000000004
1733,ORCL.csv,2015-11-12,-1.050208,0.0,37.587925,37.986866,-0.39894100000000066,-1.0502077217952137,-0.010557613201904173,1669.0,3,Adv-ALSTM,stocknet,0.75,entr,0.0,0.1,0.0,-1,-1,1,0.010557613201904173,0.010557613201904173,0.39894100000000066,0.39894100000000066
1803,ORCL.csv,2015-11-13,-3.442935,0.0,36.293797,37.587925,-1.2941280000000006,-3.4429354639821184,-0.03503601007498232,1733.0,3,Adv-ALSTM,stocknet,0.75,entr,0.15501658919315114,0.1,1.0,1,1,1,-0.03503601007498232,-0.03503601007498232,-1.2941280000000006,-1.2941280000000006
1873,ORCL.csv,2015-11-16,2.198406,1.0,37.091682,36.293797,0.7978850000000008,2.1984059700339453,0.021745894497781117,1803.0,3,Adv-ALSTM,stocknet,0.75,entr,0.0,0.1,1.0,1,1,1,0.021745894497781117,0.021745894497781117,0.7978850000000008,0.7978850000000008
2003,ORCL.csv,2015-11-18,1.494884,1.0,37.656033,37.10141,0.5546229999999994,1.4948838871622383,0.014838206170784485,1873.0,3,Adv-ALSTM,stocknet,0.75,entr,0.0,0.1,1.0,1,1,1,0.014838206170784485,0.014838206170784485,0.5546229999999994,0.5546229999999994
2062,ORCL.csv,2015-11-19,0.826879,1.0,37.967403,37.656033,0.3113699999999966,0.8268794538181878,0.008234795349581853,2003.0,3,Adv-ALSTM,stocknet,0.75,entr,0.0,0.1,1.0,1,1,1,0.008234795349581853,0.008234795349581853,0.3113699999999966,0.3113699999999966
2110,ORCL.csv,2015-11-20,0.820101,1.0,38.278774,37.967403,0.3113710000000012,0.8201008638910625,0.008167563101233786,2062.0,3,Adv-ALSTM,stocknet,0.75,entr,0.0,0.1,1.0,1,1,1,0.008167563101233786,0.008167563101233786,0.3113710000000012,0.3113710000000012
2159,ORCL.csv,2015-11-23,-0.508394,0.0,38.084167,38.278774,-0.19460699999999775,-0.5083940253676823,-0.0050969074462202,2110.0,3,Adv-ALSTM,stocknet,0.75,entr,0.6696343095488462,0.1,0.0,-1,-1,1,0.0050969074462202,0.0050969074462202,0.19460699999999775,0.19460699999999775
2209,ORCL.csv,2015-11-24,0.817586,1.0,38.395538,38.084167,0.3113710000000012,0.8175864789165564,0.008142623468095165,2159.0,3,Adv-ALSTM,stocknet,0.75,entr,0.0,0.1,1.0,1,1,1,0.008142623468095165,0.008142623468095165,0.3113710000000012,0.3113710000000012
2252,ORCL.csv,2015-11-25,-0.506866,0.0,38.200924,38.395538,-0.1946140000000014,-0.5068661884617983,-0.005081551123845308,2209.0,3,Adv-ALSTM,stocknet,0.75,entr,0.4962153091215037,0.1,1.0,1,1,1,-0.005081551123845308,-0.005081551123845308,-0.1946140000000014,-0.1946140000000014
2331,ORCL.csv,2015-11-30,-0.535974,0.0,37.918755,38.123085,-0.2043300000000059,-0.5359744627172902,-0.005374159588486169,2252.0,3,Adv-ALSTM,stocknet,0.75,entr,0.5628837843924268,0.1,1.0,1,1,1,-0.005374159588486169,-0.005374159588486169,-0.2043300000000059,-0.2043300000000059
2389,ORCL.csv,2015-12-01,0.667179,1.0,38.171741,37.918755,0.25298599999999993,0.6671790780050663,0.00664963288457192,2331.0,3,Adv-ALSTM,stocknet,0.75,entr,0.1615351033721248,0.1,1.0,1,1,1,0.00664963288457192,0.00664963288457192,0.25298599999999993,0.25298599999999993
2453,ORCL.csv,2015-12-02,-1.35102,0.0,37.656033,38.171741,-0.5157079999999965,-1.3510203791857347,-0.01360229700109779,2389.0,3,Adv-ALSTM,stocknet,0.75,entr,0.0,0.1,0.0,-1,-1,1,0.01360229700109779,0.01360229700109779,0.5157079999999965,0.5157079999999965
2527,ORCL.csv,2015-12-03,-2.299738,0.0,36.790043,37.656033,-0.8659900000000036,-2.299737733924345,-0.023265942540954706,2453.0,3,Adv-ALSTM,stocknet,0.75,entr,0.0,0.1,0.0,-1,-1,1,0.023265942540954706,0.023265942540954706,0.8659900000000036,0.8659900000000036
2603,ORCL.csv,2015-12-04,3.570474,1.0,38.103622,36.790043,1.3135790000000043,3.570474217711581,0.03508210531913543,2527.0,3,Adv-ALSTM,stocknet,0.75,entr,0.0,0.1,0.0,-1,-1,1,-0.03508210531913543,-0.03508210531913543,-1.3135790000000043,-1.3135790000000043
2659,ORCL.csv,2015-12-07,-0.868217,0.0,37.7728,38.103622,-0.33082200000000483,-0.8682166750447106,-0.008720076344630063,2603.0,3,Adv-ALSTM,stocknet,0.75,entr,0.0,0.1,0.0,-1,-1,1,0.008720076344630063,0.008720076344630063,0.33082200000000483,0.33082200000000483
2834,ORCL.csv,2015-12-10,-1.010893,0.0,37.15979,37.539272,-0.3794819999999959,-1.010893338581515,-0.010160375630701313,2659.0,3,Adv-ALSTM,stocknet,0.75,entr,0.6831734779535306,0.1,1.0,1,1,1,-0.010160375630701313,-0.010160375630701313,-0.3794819999999959,-0.3794819999999959
2903,ORCL.csv,2015-12-11,-2.566118,0.0,36.206226,37.15979,-0.9535640000000001,-2.5661178386637817,-0.025996169698181575,2834.0,3,Adv-ALSTM,stocknet,0.75,entr,0.49761730339567445,0.1,0.0,-1,-1,1,0.025996169698181575,0.025996169698181575,0.9535640000000001,0.9535640000000001
2966,ORCL.csv,2015-12-14,1.18249,1.0,36.634361,36.206226,0.4281349999999975,1.1824899949527947,0.011755532129646593,2903.0,3,Adv-ALSTM,stocknet,0.75,entr,0.0,0.1,1.0,1,1,1,0.011755532129646593,0.011755532129646593,0.4281349999999975,0.4281349999999975
3031,ORCL.csv,2015-12-15,1.48738,1.0,37.179253,36.634361,0.5448920000000044,1.4873795669590208,0.014764265521203175,2966.0,3,Adv-ALSTM,stocknet,0.75,entr,0.0,0.1,1.0,1,1,1,0.014764265521203175,0.014764265521203175,0.5448920000000044,0.5448920000000044
3110,ORCL.csv,2015-12-16,1.831984,1.0,37.860371,37.179253,0.6811179999999979,1.8319840906970288,0.018154054349149826,3031.0,3,Adv-ALSTM,stocknet,0.75,entr,0.0,0.1,1.0,1,1,1,0.018154054349149826,0.018154054349149826,0.6811179999999979,0.6811179999999979
3187,ORCL.csv,2015-12-17,-5.088664,0.0,35.933784,37.860371,-1.9265869999999978,-5.088663816844261,-0.052227033521487096,3110.0,3,Adv-ALSTM,stocknet,0.75,entr,0.0,0.1,1.0,1,1,1,-0.052227033521487096,-0.052227033521487096,-1.9265869999999978,-1.9265869999999978
3268,ORCL.csv,2015-12-18,-1.570547,0.0,35.369427,35.933784,-0.5643570000000011,-1.5705470929529743,-0.01583010855558066,3187.0,3,Adv-ALSTM,stocknet,0.75,entr,0.5306788217108684,0.1,0.0,-1,-1,1,0.01583010855558066,0.01583010855558066,0.5643570000000011,0.5643570000000011
3440,ORCL.csv,2015-12-23,0.929218,1.0,35.933784,35.602955,0.33082900000000137,0.9292178135213814,0.009249271440923766,3268.0,3,Adv-ALSTM,stocknet,0.75,entr,0.5573371710281856,0.1,0.0,-1,-1,1,-0.009249271440923766,-0.009249271440923766,-0.33082900000000137,-0.33082900000000137
