ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
37,PFE.csv,2015-10-01,1.368996,1.0,29.549698,29.150627,0.3990709999999993,1.3689962826528543,0.013597101834584851,,3,Adv-ALSTM,stocknet,0.75,entr,0.0,0.1,1.0,1,1,1,0.013597101834584851,0.013597101834584851,0.3990709999999993,0.3990709999999993
100,PFE.csv,2015-10-02,3.894483,1.0,30.700506,29.549698,1.1508080000000014,3.894483117898536,0.03820561270828999,37.0,3,Adv-ALSTM,stocknet,0.75,entr,0.0,0.1,1.0,1,1,1,0.03820561270828999,0.03820561270828999,1.1508080000000014,1.1508080000000014
178,PFE.csv,2015-10-05,1.209166,1.0,31.071726,30.700506,0.371220000000001,1.2091657381803445,0.01201913729938946,100.0,3,Adv-ALSTM,stocknet,0.75,entr,0.0,0.1,1.0,1,1,1,0.01201913729938946,0.01201913729938946,0.371220000000001,0.371220000000001
243,PFE.csv,2015-10-06,-2.060928,0.0,30.43136,31.071726,-0.6403660000000002,-2.060928317918355,-0.020824618193784068,178.0,3,Adv-ALSTM,stocknet,0.75,entr,0.20144922183237493,0.1,1.0,1,1,1,-0.020824618193784068,-0.020824618193784068,-0.6403660000000002,-0.6403660000000002
302,PFE.csv,2015-10-07,1.524878,1.0,30.895401,30.43136,0.46404099999999815,1.5248776262381902,0.01513368222760362,243.0,3,Adv-ALSTM,stocknet,0.75,entr,0.0,0.1,1.0,1,1,1,0.01513368222760362,0.01513368222760362,0.46404099999999815,0.46404099999999815
368,PFE.csv,2015-10-08,-0.600788,0.0,30.709785,30.895401,-0.18561599999999956,-0.6007884474456233,-0.0060260044238793845,302.0,3,Adv-ALSTM,stocknet,0.75,entr,0.05135415426509298,0.1,1.0,1,1,1,-0.0060260044238793845,-0.0060260044238793845,-0.18561599999999956,-0.18561599999999956
522,PFE.csv,2015-10-13,-0.722442,0.0,30.607697,30.830429,-0.22273199999999704,-0.7224421041951672,-0.007250643542900739,368.0,3,Adv-ALSTM,stocknet,0.75,entr,0.4898277523988527,0.1,1.0,1,1,1,-0.007250643542900739,-0.007250643542900739,-0.22273199999999704,-0.22273199999999704
641,PFE.csv,2015-10-15,3.147693,1.0,31.628571,30.663382,0.9651890000000023,3.1476925800291773,0.03099168372035525,522.0,3,Adv-ALSTM,stocknet,0.75,entr,0.0,0.1,0.0,-1,-1,1,-0.03099168372035525,-0.03099168372035525,-0.9651890000000023,-0.9651890000000023
698,PFE.csv,2015-10-16,0.968292,1.0,31.934828,31.628571,0.30625699999999867,0.9682922443761328,0.009636343389769613,641.0,3,Adv-ALSTM,stocknet,0.75,entr,0.0,0.1,0.0,-1,-1,1,-0.009636343389769613,-0.009636343389769613,-0.30625699999999867,-0.30625699999999867
787,PFE.csv,2015-10-20,-1.449259,0.0,31.554327,32.018356,-0.46402899999999647,-1.449259293637676,-0.014598636371312946,698.0,3,Adv-ALSTM,stocknet,0.75,entr,0.23514355576206883,0.1,1.0,1,1,1,-0.014598636371312946,-0.014598636371312946,-0.46402899999999647,-0.46402899999999647
832,PFE.csv,2015-10-21,-1.588245,0.0,31.053167,31.554327,-0.5011600000000023,-1.588244933888155,-0.016009927010924345,787.0,3,Adv-ALSTM,stocknet,0.75,entr,0.007907255112232087,0.1,0.0,-1,-1,1,0.016009927010924345,0.016009927010924345,0.5011600000000023,0.5011600000000023
974,PFE.csv,2015-10-23,2.160195,1.0,31.600729,30.932526,0.6682030000000019,2.1601953878580815,0.021371938301494274,832.0,3,Adv-ALSTM,stocknet,0.75,entr,0.13647594492704543,0.1,1.0,1,1,1,0.021371938301494274,0.021371938301494274,0.6682030000000019,0.6682030000000019
1080,PFE.csv,2015-10-27,2.429746,1.0,32.473114,31.702816,0.7702980000000039,2.42974630392456,0.02400697568216567,974.0,3,Adv-ALSTM,stocknet,0.75,entr,0.0,0.1,1.0,1,1,1,0.02400697568216567,0.02400697568216567,0.7702980000000039,0.7702980000000039
1139,PFE.csv,2015-10-28,1.314648,1.0,32.900021,32.473114,0.4269069999999999,1.3146475573608367,0.01306081064142361,1080.0,3,Adv-ALSTM,stocknet,0.75,entr,0.0,0.1,1.0,1,1,1,0.01306081064142361,0.01306081064142361,0.4269069999999999,0.4269069999999999
1193,PFE.csv,2015-10-29,-1.91819,0.0,32.268936,32.900021,-0.6310850000000059,-1.918190264984955,-0.019368262349140148,1139.0,3,Adv-ALSTM,stocknet,0.75,entr,0.05135415426509298,0.1,1.0,1,1,1,-0.019368262349140148,-0.019368262349140148,-0.6310850000000059,-0.6310850000000059
1251,PFE.csv,2015-10-30,-2.732244,0.0,31.38727,32.268936,-0.8816659999999956,-2.7322437901268133,-0.02770263702086482,1193.0,3,Adv-ALSTM,stocknet,0.75,entr,0.0,0.1,0.0,-1,-1,1,0.02770263702086482,0.02770263702086482,0.8816659999999956,0.8816659999999956
1312,PFE.csv,2015-11-02,3.666493,1.0,32.538082,31.38727,1.150812000000002,3.6664928169923727,0.03600876051512256,1251.0,3,Adv-ALSTM,stocknet,0.75,entr,0.6198984475659846,0.1,0.0,-1,-1,1,-0.03600876051512256,-0.03600876051512256,-1.150812000000002,-1.150812000000002
1411,PFE.csv,2015-11-04,-1.585509,0.0,31.939989,32.454559,-0.5145700000000026,-1.5855091421824667,-0.01598212795706319,1312.0,3,Adv-ALSTM,stocknet,0.75,entr,0.5386714797190381,0.1,1.0,1,1,1,-0.01598212795706319,-0.01598212795706319,-0.5145700000000026,-0.5145700000000026
1502,PFE.csv,2015-11-06,-0.644223,0.0,31.743525,31.94935,-0.20582499999999726,-0.6442228089147268,-0.006463068795798649,1411.0,3,Adv-ALSTM,stocknet,0.75,entr,0.15828988065270586,0.1,0.0,-1,-1,1,0.006463068795798649,0.006463068795798649,0.20582499999999726,0.20582499999999726
1569,PFE.csv,2015-11-09,-0.825214,0.0,31.481573,31.743525,-0.26195200000000085,-0.8252139609573947,-0.00828637699821626,1502.0,3,Adv-ALSTM,stocknet,0.75,entr,0.6834553292027741,0.1,0.0,-1,-1,1,0.00828637699821626,0.00828637699821626,0.26195200000000085,0.26195200000000085
1737,PFE.csv,2015-11-12,-1.037345,0.0,31.238323,31.565769,-0.32744599999999835,-1.0373452330592623,-0.010427631596946,1569.0,3,Adv-ALSTM,stocknet,0.75,entr,0.0,0.1,0.0,-1,-1,1,0.010427631596946,0.010427631596946,0.32744599999999835,0.32744599999999835
1934,PFE.csv,2015-11-17,-0.874563,0.0,30.751831,31.023148,-0.2713169999999998,-0.8745630843136867,-0.008784098318341187,1737.0,3,Adv-ALSTM,stocknet,0.75,entr,0.691994737783755,0.1,0.0,-1,-1,1,0.008784098318341187,0.008784098318341187,0.2713169999999998,0.2713169999999998
2007,PFE.csv,2015-11-18,1.338613,1.0,31.163479,30.751831,0.41164799999999957,1.338612975598102,0.013297327125648453,1934.0,3,Adv-ALSTM,stocknet,0.75,entr,0.0,0.1,1.0,1,1,1,0.013297327125648453,0.013297327125648453,0.41164799999999957,0.41164799999999957
2065,PFE.csv,2015-11-19,-3.062136,0.0,30.209211,31.163479,-0.954267999999999,-3.062135649232228,-0.03109998644312693,2007.0,3,Adv-ALSTM,stocknet,0.75,entr,0.0,0.1,1.0,1,1,1,-0.03109998644312693,-0.03109998644312693,-0.954267999999999,-0.954267999999999
2163,PFE.csv,2015-11-23,-2.641404,0.0,29.311071,30.1063,-0.7952290000000026,-2.6414039586398945,-0.026769157694632447,2065.0,3,Adv-ALSTM,stocknet,0.75,entr,0.0,0.1,1.0,1,1,1,-0.026769157694632447,-0.026769157694632447,-0.7952290000000026,-0.7952290000000026
2211,PFE.csv,2015-11-24,2.042774,1.0,29.90983,29.311071,0.5987590000000012,2.042774213197468,0.02022189442278101,2163.0,3,Adv-ALSTM,stocknet,0.75,entr,0.0,0.1,1.0,1,1,1,0.02022189442278101,0.02022189442278101,0.5987590000000012,0.5987590000000012
2253,PFE.csv,2015-11-25,2.815131,1.0,30.751831,29.90983,0.8420009999999998,2.8151313464503134,0.02776234828737361,2211.0,3,Adv-ALSTM,stocknet,0.75,entr,0.0,0.1,1.0,1,1,1,0.02776234828737361,0.02776234828737361,0.8420009999999998,0.8420009999999998
2392,PFE.csv,2015-12-01,2.593822,1.0,31.453497,30.658276,0.795220999999998,2.593821648679782,0.02560752708628541,2253.0,3,Adv-ALSTM,stocknet,0.75,entr,0.2549303756833393,0.1,1.0,1,1,1,0.02560752708628541,0.02560752708628541,0.795220999999998,0.795220999999998
2457,PFE.csv,2015-12-02,-2.141565,0.0,30.7799,31.453497,-0.6735969999999973,-2.141564736029184,-0.021648289791318075,2392.0,3,Adv-ALSTM,stocknet,0.75,entr,0.0,0.1,1.0,1,1,1,-0.021648289791318075,-0.021648289791318075,-0.6735969999999973,-0.6735969999999973
2529,PFE.csv,2015-12-03,-1.550151,0.0,30.302765,30.7799,-0.47713500000000053,-1.550151235059245,-0.015622917065226097,2457.0,3,Adv-ALSTM,stocknet,0.75,entr,0.03410138672141592,0.1,1.0,1,1,1,-0.015622917065226097,-0.015622917065226097,-0.47713500000000053,-0.47713500000000053
2607,PFE.csv,2015-12-04,1.265815,1.0,30.686342,30.302765,0.38357699999999895,1.2658151822119168,0.012578707131199967,2529.0,3,Adv-ALSTM,stocknet,0.75,entr,0.020422924464179912,0.1,1.0,1,1,1,0.012578707131199967,0.012578707131199967,0.38357699999999895,0.38357699999999895
2787,PFE.csv,2015-12-09,-0.737773,0.0,30.209211,30.433743,-0.22453199999999995,-0.7377732012785938,-0.007405082081629761,2607.0,3,Adv-ALSTM,stocknet,0.75,entr,0.0,0.1,0.0,-1,-1,1,0.007405082081629761,0.007405082081629761,0.22453199999999995,0.22453199999999995
2906,PFE.csv,2015-12-11,-0.927058,0.0,29.994034,30.274698,-0.2806640000000016,-0.927057967679815,-0.009313818943426836,2787.0,3,Adv-ALSTM,stocknet,0.75,entr,0.0,0.1,0.0,-1,-1,1,0.009313818943426836,0.009313818943426836,0.2806640000000016,0.2806640000000016
