ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
27,IEP.csv,2015-10-01,5.983303,1.0,57.494438,54.248581,3.245857000000001,5.983303047134083,0.058111377293382616,,5,Adv-ALSTM,stocknet,0.75,entr,0.31169595817381734,0.2,1.0,1,1,1,0.058111377293382616,0.058111377293382616,3.245857000000001,3.245857000000001
82,IEP.csv,2015-10-02,2.111775,1.0,58.708591,57.494438,1.214152999999996,2.1117747076682374,0.02089785777958922,27.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.2,1.0,1,1,1,0.02089785777958922,0.02089785777958922,1.214152999999996,1.214152999999996
160,IEP.csv,2015-10-05,3.446865,1.0,60.732197,58.708591,2.023606000000001,3.446865212622802,0.033887915304726936,82.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.2,1.0,1,1,1,0.033887915304726936,0.033887915304726936,2.023606000000001,2.023606000000001
231,IEP.csv,2015-10-06,-0.666408,0.0,60.327473,60.732197,-0.40472400000000164,-0.6664076387686118,-0.006686380490793271,160.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.2,1.0,1,1,1,-0.006686380490793271,-0.006686380490793271,-0.40472400000000164,-0.40472400000000164
288,IEP.csv,2015-10-07,2.039446,1.0,61.557819,60.327473,1.2303460000000044,2.039445610460104,0.02018927420980464,231.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.2,0.0,-1,-1,1,-0.02018927420980464,-0.02018927420980464,-1.2303460000000044,-1.2303460000000044
352,IEP.csv,2015-10-08,1.801456,1.0,62.666756,61.557819,1.1089369999999974,1.8014559612646401,0.017854220199578896,288.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.2,0.0,-1,-1,1,-0.017854220199578896,-0.017854220199578896,-1.1089369999999974,-1.1089369999999974
418,IEP.csv,2015-10-09,3.229128,1.0,64.690346,62.666756,2.0235900000000058,3.229128375497857,0.031780878934413996,352.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.2,0.0,-1,-1,1,-0.031780878934413996,-0.031780878934413996,-2.0235900000000058,-2.0235900000000058
464,IEP.csv,2015-10-12,-1.238729,0.0,63.889008,64.690346,-0.8013380000000083,-1.238728882359059,-0.012464650819933264,418.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.2,0.0,-1,-1,1,0.012464650819933264,0.012464650819933264,0.8013380000000083,0.8013380000000083
510,IEP.csv,2015-10-13,-1.735731,0.0,62.780067,63.889008,-1.1089409999999944,-1.735730503125036,-0.0175097091751216,464.0,5,Adv-ALSTM,stocknet,0.75,entr,0.13820126672094507,0.2,1.0,1,1,1,-0.0175097091751216,-0.0175097091751216,-1.1089409999999944,-1.1089409999999944
561,IEP.csv,2015-10-14,0.69624,1.0,63.217167,62.780067,0.43710000000000093,0.696240097991614,0.006938275382869087,510.0,5,Adv-ALSTM,stocknet,0.75,entr,0.3128273650055154,0.2,0.0,-1,-1,1,-0.006938275382869087,-0.006938275382869087,-0.43710000000000093,-0.43710000000000093
686,IEP.csv,2015-10-16,1.27843,1.0,64.123741,63.314312,0.8094289999999944,1.2784297490273517,0.012703268229798647,561.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0901499225359206,0.2,0.0,-1,-1,1,-0.012703268229798647,-0.012703268229798647,-0.8094289999999944,-0.8094289999999944
779,IEP.csv,2015-10-20,-0.545274,0.0,63.484291,63.832352,-0.3480610000000013,-0.5452736568441052,-0.005467656999320259,686.0,5,Adv-ALSTM,stocknet,0.75,entr,0.6430053354598306,0.2,0.0,-1,0,1,-0.0,0.005467656999320259,-0.0,0.3480610000000013
822,IEP.csv,2015-10-21,-1.823294,0.0,62.326786,63.484291,-1.1575050000000005,-1.823293576673953,-0.018401204230448772,779.0,5,Adv-ALSTM,stocknet,0.75,entr,0.22003254052230573,0.2,0.0,-1,-1,1,0.018401204230448772,0.018401204230448772,1.1575050000000005,1.1575050000000005
883,IEP.csv,2015-10-22,-1.298698,0.0,61.517349,62.326786,-0.8094369999999955,-1.2986984440365585,-0.013072052645092033,822.0,5,Adv-ALSTM,stocknet,0.75,entr,0.6618181177312265,0.2,0.0,-1,0,1,-0.0,0.013072052645092033,-0.0,0.8094369999999955
955,IEP.csv,2015-10-23,1.368414,1.0,62.359161,61.517349,0.8418119999999973,1.368413973755594,0.013591357370388312,883.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.2,1.0,1,1,1,0.013591357370388312,0.013591357370388312,0.8418119999999973,0.8418119999999973
1185,IEP.csv,2015-10-29,1.918865,1.0,63.629993,62.432007,1.1979860000000002,1.9188651103271441,0.01900687067101054,955.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.2,1.0,1,1,1,0.01900687067101054,0.01900687067101054,1.1979860000000002,1.1979860000000002
1239,IEP.csv,2015-10-30,0.763234,1.0,64.115639,63.629993,0.4856460000000027,0.7632344073965287,0.007603365094226048,1185.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.2,1.0,1,1,1,0.007603365094226048,0.007603365094226048,0.4856460000000027,0.4856460000000027
1300,IEP.csv,2015-11-02,2.158841,1.0,65.499794,64.115639,1.3841549999999927,2.1588414645606084,0.02135868527017274,1239.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.2,1.0,1,1,1,0.02135868527017274,0.02135868527017274,1.3841549999999927,1.3841549999999927
