ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
0,AAPL.csv,2015-10-01,-0.652775,0.0,105.42646,106.119179,-0.6927189999999968,-0.6527745564258434,-0.006549144470579599,,3,Adv-ALSTM,stocknet,0.75,entr,0.0,0.4,1.0,1,1,1,-0.006549144470579599,-0.006549144470579599,-0.6927189999999968,-0.6927189999999968
50,AAPL.csv,2015-10-02,0.73006,1.0,106.196136,105.42646,0.7696759999999898,0.7300596074268165,0.007274075720783987,0.0,3,Adv-ALSTM,stocknet,0.75,entr,0.0,0.4,1.0,1,1,1,0.007274075720783987,0.007274075720783987,0.7696759999999898,0.7696759999999898
323,AAPL.csv,2015-10-08,-1.155444,0.0,105.349495,106.580978,-1.2314829999999972,-1.1554435163843186,-0.011621706338818249,50.0,3,Adv-ALSTM,stocknet,0.75,entr,0.61789522132109,0.4,0.0,-1,0,1,-0.0,0.011621706338818249,-0.0,1.2314829999999972
394,AAPL.csv,2015-10-09,2.392686,1.0,107.870178,105.349495,2.520682999999991,2.3926863626636186,0.023645101827013248,323.0,3,Adv-ALSTM,stocknet,0.75,entr,0.0,0.4,1.0,1,1,1,0.023645101827013248,0.023645101827013248,2.520682999999991,2.520682999999991
535,AAPL.csv,2015-10-14,-1.41337,0.0,106.032578,107.552696,-1.5201179999999965,-1.4133704282038606,-0.014234536294502054,394.0,3,Adv-ALSTM,stocknet,0.75,entr,0.004300326208932443,0.4,1.0,1,1,1,-0.014234536294502054,-0.014234536294502054,-1.5201179999999965,-1.5201179999999965
592,AAPL.csv,2015-10-15,1.497154,1.0,107.620049,106.032578,1.5874709999999936,1.4971540161930172,0.014860572851313645,535.0,3,Adv-ALSTM,stocknet,0.75,entr,0.37579606201596305,0.4,0.0,-1,-1,1,-0.014860572851313645,-0.014860572851313645,-1.5874709999999936,-1.5874709999999936
667,AAPL.csv,2015-10-16,-0.733073,0.0,106.831116,107.620049,-0.7889330000000001,-0.733072515140743,-0.007357726959852408,592.0,3,Adv-ALSTM,stocknet,0.75,entr,0.09997869729796635,0.4,0.0,-1,-1,1,0.007357726959852408,0.007357726959852408,0.7889330000000001,0.7889330000000001
718,AAPL.csv,2015-10-19,0.621393,1.0,107.494957,106.831116,0.663841000000005,0.6213929282551023,0.00619470243240286,667.0,3,Adv-ALSTM,stocknet,0.75,entr,0.32618019884364075,0.4,0.0,-1,-1,1,-0.00619470243240286,-0.00619470243240286,-0.663841000000005,-0.663841000000005
760,AAPL.csv,2015-10-20,1.825832,1.0,109.457634,107.494957,1.9626769999999993,1.8258316992489234,0.01809363544083435,718.0,3,Adv-ALSTM,stocknet,0.75,entr,0.0,0.4,0.0,-1,-1,1,-0.01809363544083435,-0.01809363544083435,-1.9626769999999993,-1.9626769999999993
846,AAPL.csv,2015-10-22,1.529545,1.0,111.122078,109.448021,1.6740570000000048,1.5295452441300923,0.015179656285462079,760.0,3,Adv-ALSTM,stocknet,0.75,entr,0.0,0.4,0.0,-1,-1,1,-0.015179656285462079,-0.015179656285462079,-1.6740570000000048,-1.6740570000000048
925,AAPL.csv,2015-10-23,3.099562,1.0,114.566376,111.122078,3.4442980000000034,3.0995622670051253,0.030524959312959354,846.0,3,Adv-ALSTM,stocknet,0.75,entr,0.0,0.4,0.0,-1,-1,1,-0.030524959312959354,-0.030524959312959354,-3.4442980000000034,-3.4442980000000034
