ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
149,DIS.csv,2015-10-05,0.82524,1.0,100.910194,100.084259,0.8259350000000012,0.8252396613137748,0.008218531771379592,,3,Adv-ALSTM,stocknet,0.75,entr,0.0,0.5,1.0,1,1,1,0.008218531771379592,0.008218531771379592,0.8259350000000012,0.8259350000000012
345,DIS.csv,2015-10-08,1.180004,1.0,101.648689,100.463219,1.1854700000000093,1.1800039972838312,0.011730962382357706,149.0,3,Adv-ALSTM,stocknet,0.75,entr,0.0901499225359206,0.5,1.0,1,1,1,0.011730962382357706,0.011730962382357706,1.1854700000000093,1.1854700000000093
411,DIS.csv,2015-10-09,0.908124,1.0,102.571785,101.648689,0.923096000000001,0.9081238617843866,0.009040252122310998,345.0,3,Adv-ALSTM,stocknet,0.75,entr,0.0,0.5,0.0,-1,-1,1,-0.009040252122310998,-0.009040252122310998,-0.923096000000001,-0.923096000000001
458,DIS.csv,2015-10-12,0.748392,1.0,103.339424,102.571785,0.7676389999999884,0.7483919676351429,0.007456054092322931,411.0,3,Adv-ALSTM,stocknet,0.75,entr,0.0,0.5,0.0,-1,-1,1,-0.007456054092322931,-0.007456054092322931,-0.7676389999999884,-0.7676389999999884
554,DIS.csv,2015-10-14,-0.806823,0.0,102.736984,103.572632,-0.835647999999992,-0.8068231769952432,-0.008100956089018004,458.0,3,Adv-ALSTM,stocknet,0.75,entr,0.0,0.5,0.0,-1,-1,1,0.008100956089018004,0.008100956089018004,0.835647999999992,0.835647999999992
614,DIS.csv,2015-10-15,2.042932,1.0,104.835831,102.736984,2.098846999999992,2.042932270622225,0.02022344335462412,554.0,3,Adv-ALSTM,stocknet,0.75,entr,0.0,0.5,0.0,-1,-1,1,-0.02022344335462412,-0.02022344335462412,-2.098846999999992,-2.098846999999992
735,DIS.csv,2015-10-19,1.136372,1.0,106.371109,105.175919,1.1951900000000109,1.1363722906951836,0.011299640824848405,614.0,3,Adv-ALSTM,stocknet,0.75,entr,0.0,0.5,0.0,-1,-1,1,-0.011299640824848405,-0.011299640824848405,-1.1951900000000109,-1.1951900000000109
872,DIS.csv,2015-10-22,2.870381,1.0,110.044106,106.973557,3.0705489999999998,2.870381322367358,0.028299575985416152,735.0,3,Adv-ALSTM,stocknet,0.75,entr,0.0,0.5,0.0,-1,-1,1,-0.028299575985416152,-0.028299575985416152,-3.0705489999999998,-3.0705489999999998
1178,DIS.csv,2015-10-29,0.612215,1.0,111.783432,111.103241,0.6801910000000078,0.6122152638193586,0.006103488399870714,872.0,3,Adv-ALSTM,stocknet,0.75,entr,0.0,0.5,0.0,-1,-1,1,-0.006103488399870714,-0.006103488399870714,-0.6801910000000078,-0.6801910000000078
1232,DIS.csv,2015-10-30,-1.130048,0.0,110.520226,111.783432,-1.263206000000011,-1.1300476084863909,-0.011364811605274699,1178.0,3,Adv-ALSTM,stocknet,0.75,entr,0.6640641265641081,0.5,1.0,1,0,1,-0.0,-0.011364811605274699,-0.0,-1.263206000000011
1291,DIS.csv,2015-11-02,1.142964,1.0,111.783432,110.520226,1.263206000000011,1.1429636417862654,0.011364811605274763,1232.0,3,Adv-ALSTM,stocknet,0.75,entr,0.0,0.5,0.0,-1,-1,1,-0.011364811605274763,-0.011364811605274763,-1.263206000000011,-1.263206000000011
