ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
76,GE.csv,2015-10-02,1.111541,1.0,24.116873,23.851751,0.2651219999999981,1.111541035289183,0.01105408817491085,,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.5,0.0,-1,-1,1,-0.01105408817491085,-0.01105408817491085,-0.2651219999999981,-0.2651219999999981
154,GE.csv,2015-10-05,5.300364,1.0,25.395155,24.116873,1.2782820000000008,5.300363774358313,0.05164668779314865,76.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.5,0.0,-1,-1,1,-0.05164668779314865,-0.05164668779314865,-1.2782820000000008,-1.2782820000000008
229,GE.csv,2015-10-06,1.752429,1.0,25.840187,25.395155,0.4450320000000012,1.7524287605253885,0.01737250793204534,154.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.5,0.0,-1,-1,1,-0.01737250793204534,-0.01737250793204534,-0.4450320000000012,-0.4450320000000012
284,GE.csv,2015-10-07,1.758888,1.0,26.294687,25.840187,0.45449999999999946,1.7588881999963835,0.017435987836452012,229.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.5,0.0,-1,-1,1,-0.017435987836452012,-0.017435987836452012,-0.45449999999999946,-0.45449999999999946
348,GE.csv,2015-10-08,0.936258,1.0,26.540873,26.294687,0.24618600000000157,0.9362575793353294,0.009319018541591752,284.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.5,0.0,-1,-1,1,-0.009319018541591752,-0.009319018541591752,-0.24618600000000157,-0.24618600000000157
505,GE.csv,2015-10-13,-0.783185,0.0,26.389372,26.597681,-0.20830899999999986,-0.7831848197592859,-0.007862678196769408,348.0,5,Adv-ALSTM,stocknet,0.75,entr,0.07578165930827269,0.5,0.0,-1,-1,1,0.007862678196769408,0.007862678196769408,0.20830899999999986,0.20830899999999986
557,GE.csv,2015-10-14,-0.96878,0.0,26.133717,26.389372,-0.25565500000000085,-0.968780158921557,-0.009735033636384942,505.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.5,0.0,-1,-1,1,0.009735033636384942,0.009735033636384942,0.25565500000000085,0.25565500000000085
619,GE.csv,2015-10-15,1.557972,1.0,26.540873,26.133717,0.4071560000000005,1.5579720251811118,0.015459602405429367,557.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.5,0.0,-1,-1,1,-0.015459602405429367,-0.015459602405429367,-0.4071560000000005,-0.4071560000000005
682,GE.csv,2015-10-16,3.389225,1.0,27.440403,26.540873,0.8995299999999986,3.3892253657217624,0.03333056723039469,619.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.5,0.0,-1,-1,1,-0.03333056723039469,-0.03333056723039469,-0.8995299999999986,-0.8995299999999986
775,GE.csv,2015-10-20,-0.724386,0.0,27.251026,27.449869,-0.1988430000000001,-0.7243859706580025,-0.007270223854250628,682.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.5,0.0,-1,-1,1,0.007270223854250628,0.007270223854250628,0.1988430000000001,0.1988430000000001
877,GE.csv,2015-10-22,2.530337,1.0,28.008528,27.317308,0.6912199999999977,2.530337176708619,0.024988541254858422,775.0,5,Adv-ALSTM,stocknet,0.75,entr,0.5139566706172256,0.5,0.0,-1,0,1,0.0,-0.024988541254858422,0.0,-0.6912199999999977
1236,GE.csv,2015-10-30,-1.431489,0.0,27.383591,27.781277,-0.3976860000000002,-1.4314892724333739,-0.014418339204768628,877.0,5,Adv-ALSTM,stocknet,0.75,entr,0.6334681880723312,0.5,1.0,1,0,1,-0.0,-0.014418339204768628,-0.0,-0.3976860000000002
1295,GE.csv,2015-11-02,1.659738,1.0,27.838087,27.383591,0.45449600000000245,1.6597384908356339,0.016461153637386258,1236.0,5,Adv-ALSTM,stocknet,0.75,entr,0.6878332612904057,0.5,1.0,1,0,1,0.0,0.016461153637386258,0.0,0.45449600000000245
1352,GE.csv,2015-11-03,0.646269,1.0,28.017996,27.838087,0.17990899999999854,0.6462692641200471,0.006441898983708159,1295.0,5,Adv-ALSTM,stocknet,0.75,entr,0.25621798935414763,0.5,0.0,-1,-1,1,-0.006441898983708159,-0.006441898983708159,-0.17990899999999854,-0.17990899999999854
1484,GE.csv,2015-11-06,0.944678,1.0,28.330465,28.065338,0.26512699999999967,0.944677737357019,0.00940243561129541,1352.0,5,Adv-ALSTM,stocknet,0.75,entr,0.6781071269145226,0.5,0.0,-1,0,1,0.0,-0.00940243561129541,0.0,-0.26512699999999967
1549,GE.csv,2015-11-09,-0.56818,0.0,28.169497,28.330465,-0.16096800000000044,-0.5681798727977124,-0.005698001549632069,1484.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.5,0.0,-1,-1,1,0.005698001549632069,0.005698001549632069,0.16096800000000044,0.16096800000000044
1607,GE.csv,2015-11-10,1.243682,1.0,28.519836,28.169497,0.35033900000000173,1.2436821289354287,0.012360119325111867,1549.0,5,Adv-ALSTM,stocknet,0.75,entr,0.1999848395253333,0.5,0.0,-1,-1,1,-0.012360119325111867,-0.012360119325111867,-0.35033900000000173,-0.35033900000000173
1657,GE.csv,2015-11-11,1.826038,1.0,29.040619,28.519836,0.520782999999998,1.826037849586505,0.018095659977491293,1607.0,5,Adv-ALSTM,stocknet,0.75,entr,0.09214252397581763,0.5,0.0,-1,-1,1,-0.018095659977491293,-0.018095659977491293,-0.520782999999998,-0.520782999999998
1713,GE.csv,2015-11-12,-1.662864,0.0,28.557713,29.040619,-0.48290599999999984,-1.6628640043795204,-0.01676844792218734,1657.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.5,0.0,-1,-1,1,0.01676844792218734,0.01676844792218734,0.48290599999999984,0.48290599999999984
1983,GE.csv,2015-11-18,0.659624,1.0,28.898588,28.709215,0.1893729999999998,0.6596244446251832,0.006574584423549808,1713.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.5,0.0,-1,-1,1,-0.006574584423549808,-0.006574584423549808,-0.1893729999999998,-0.1893729999999998
2049,GE.csv,2015-11-19,-0.819137,0.0,28.661869,28.898588,-0.2367190000000008,-0.8191369073118756,-0.008225102679344906,1983.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.5,0.0,-1,-1,1,0.008225102679344906,0.008225102679344906,0.2367190000000008,0.2367190000000008
2099,GE.csv,2015-11-20,1.288402,1.0,29.031149,28.661869,0.36927999999999983,1.288401674015047,0.012801723884416022,2049.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.5,0.0,-1,-1,1,-0.012801723884416022,-0.012801723884416022,-0.36927999999999983,-0.36927999999999983
2246,GE.csv,2015-11-25,-0.978473,0.0,28.747087,29.031149,-0.2840619999999987,-0.9784731565395456,-0.009832916627537516,2099.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.5,0.0,-1,-1,1,0.009832916627537516,0.009832916627537516,0.2840619999999987,0.2840619999999987
2313,GE.csv,2015-11-30,-1.383396,0.0,28.349401,28.747087,-0.3976860000000002,-1.3833958202443268,-0.013930539168084326,2246.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.5,0.0,-1,-1,1,0.013930539168084326,0.013930539168084326,0.3976860000000002,0.3976860000000002
