ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
56,BA.csv,2015-10-02,1.493022,1.0,124.648239,122.81459,1.8336490000000083,1.493022123837248,0.01481986258212806,,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.7,1.0,1,1,1,0.01481986258212806,0.01481986258212806,1.8336490000000083,1.8336490000000083
129,BA.csv,2015-10-05,1.101384,1.0,126.021095,124.648239,1.3728559999999987,1.1013841920382035,0.010953631260516194,56.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.7,1.0,1,1,1,0.010953631260516194,0.010953631260516194,1.3728559999999987,1.3728559999999987
267,BA.csv,2015-10-07,1.775222,1.0,128.842041,126.594704,2.2473370000000017,1.7752219713709365,0.017596489399515487,129.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0901499225359206,0.7,1.0,1,1,1,0.017596489399515487,0.017596489399515487,2.2473370000000017,2.2473370000000017
329,BA.csv,2015-10-08,1.474231,1.0,130.74147,128.842041,1.8994289999999978,1.474230759818527,0.014634696119997495,267.0,5,Adv-ALSTM,stocknet,0.75,entr,0.06278581485474227,0.7,1.0,1,1,1,0.014634696119997495,0.014634696119997495,1.8994289999999978,1.8994289999999978
446,BA.csv,2015-10-12,0.701503,1.0,132.2836,131.362091,0.9215090000000146,0.7015029929753589,0.006990539076634209,329.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.7,0.0,-1,-1,1,-0.006990539076634209,-0.006990539076634209,-0.9215090000000146,-0.9215090000000146
538,BA.csv,2015-10-14,-4.326736,0.0,126.209175,131.91687,-5.707694999999987,-4.326736224108401,-0.04423130194428784,446.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.7,0.0,-1,-1,1,0.04423130194428784,0.04423130194428784,5.707694999999987,5.707694999999987
598,BA.csv,2015-10-15,2.361766,1.0,129.189941,126.209175,2.9807660000000027,2.361766488054456,0.023343082755743313,538.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.7,0.0,-1,-1,1,-0.023343082755743313,-0.023343082755743313,-2.9807660000000027,-2.9807660000000027
723,BA.csv,2015-10-19,0.59594,1.0,130.158493,129.387421,0.7710720000000038,0.5959404662683584,0.00594171764532614,598.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.7,0.0,-1,-1,1,-0.00594171764532614,-0.00594171764532614,-0.7710720000000038,-0.7710720000000038
803,BA.csv,2015-10-21,1.66331,1.0,132.763168,130.591034,2.172134,1.6633102085706741,0.016496287064297323,723.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.7,0.0,-1,-1,1,-0.016496287064297323,-0.016496287064297323,-2.172134,-2.172134
852,BA.csv,2015-10-22,3.626313,1.0,137.577576,132.763168,4.814407999999986,3.626312984637415,0.03562109792642084,803.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.7,0.0,-1,-1,1,-0.03562109792642084,-0.03562109792642084,-4.814407999999986,-4.814407999999986
1049,BA.csv,2015-10-27,1.199726,1.0,139.599228,137.944275,1.6549530000000061,1.1997257588254433,0.011925860968572923,852.0,5,Adv-ALSTM,stocknet,0.75,entr,0.6495863942716381,0.7,0.0,-1,0,1,0.0,-0.011925860968572923,0.0,-1.6549530000000061
1215,BA.csv,2015-10-30,0.604693,1.0,139.232529,138.39566,0.8368690000000072,0.6046930951447518,0.006028721634597721,1049.0,5,Adv-ALSTM,stocknet,0.75,entr,0.4721508142824289,0.7,1.0,1,0,1,0.0,0.006028721634597721,0.0,0.8368690000000072
1389,BA.csv,2015-11-04,0.68625,1.0,140.20694,139.251328,0.9556120000000021,0.6862498287987617,0.006839058522409511,1215.0,5,Adv-ALSTM,stocknet,0.75,entr,0.5306788217108684,0.7,1.0,1,0,1,0.0,0.006839058522409511,0.0,0.9556120000000021
1529,BA.csv,2015-11-09,-1.324874,0.0,138.115967,139.970398,-1.8544309999999768,-1.324873706510413,-0.01333728454651505,1389.0,5,Adv-ALSTM,stocknet,0.75,entr,0.1615351033721248,0.7,0.0,-1,-1,1,0.01333728454651505,0.01333728454651505,1.8544309999999768,1.8544309999999768
1598,BA.csv,2015-11-10,-0.568565,0.0,137.330688,138.115967,-0.7852790000000027,-0.5685649654105543,-0.0057018744884767,1529.0,5,Adv-ALSTM,stocknet,0.75,entr,0.627994949501729,0.7,0.0,-1,0,1,-0.0,0.0057018744884767,-0.0,0.7852790000000027
1692,BA.csv,2015-11-12,-1.689798,0.0,134.861267,137.179321,-2.3180539999999894,-1.6897984208567336,-0.017042384167425467,1598.0,5,Adv-ALSTM,stocknet,0.75,entr,0.6283678200932494,0.7,1.0,1,0,1,-0.0,-0.017042384167425467,-0.0,-2.3180539999999894
1834,BA.csv,2015-11-16,1.28341,1.0,136.64003,134.9086,1.731429999999989,1.2834096566119497,0.012752437486952196,1692.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.7,1.0,1,1,1,0.012752437486952196,0.012752437486952196,1.731429999999989,1.731429999999989
1908,BA.csv,2015-11-17,1.1494,1.0,138.210571,136.64003,1.5705409999999915,1.1494003623974551,0.011428449406385432,1834.0,5,Adv-ALSTM,stocknet,0.75,entr,0.09412135554435352,0.7,1.0,1,1,1,0.011428449406385432,0.011428449406385432,1.5705409999999915,1.5705409999999915
1960,BA.csv,2015-11-18,1.506056,1.0,140.292099,138.210571,2.08152800000002,1.5060555679203584,0.014948271481806125,1908.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.7,1.0,1,1,1,0.014948271481806125,0.014948271481806125,2.08152800000002,2.08152800000002
2036,BA.csv,2015-11-19,0.647409,1.0,141.200363,140.292099,0.9082640000000026,0.6474092315063321,0.00645322539390464,1960.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.7,1.0,1,1,1,0.00645322539390464,0.00645322539390464,0.9082640000000026,0.9082640000000026
2131,BA.csv,2015-11-23,-0.709506,0.0,140.348831,141.35173,-1.0028990000000135,-0.7095059961416911,-0.007120349591300595,2036.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.7,0.0,-1,-1,1,0.007120349591300595,0.007120349591300595,1.0028990000000135,1.0028990000000135
2235,BA.csv,2015-11-25,-0.820723,0.0,139.487869,140.642151,-1.1542820000000233,-0.8207226580316048,-0.008241091281856305,2131.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.7,0.0,-1,-1,1,0.008241091281856305,0.008241091281856305,1.1542820000000233,1.1542820000000233
2297,BA.csv,2015-11-30,-1.020752,0.0,137.614532,139.033722,-1.4191900000000146,-1.0207523610710894,-0.010259977635603164,2235.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.7,0.0,-1,-1,1,0.010259977635603164,0.010259977635603164,1.4191900000000146,1.4191900000000146
2355,BA.csv,2015-12-01,1.574428,1.0,139.781174,137.614532,2.166641999999996,1.5744282006496204,0.015621626538322098,2297.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.7,0.0,-1,-1,1,-0.015621626538322098,-0.015621626538322098,-2.166641999999996,-2.166641999999996
2414,BA.csv,2015-12-02,-0.527951,0.0,139.043198,139.781174,-0.7379760000000033,-0.52795092420672,-0.005293495098342519,2355.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.7,0.0,-1,-1,1,0.005293495098342519,0.005293495098342519,0.7379760000000033,0.7379760000000033
2484,BA.csv,2015-12-03,-0.952643,0.0,137.718613,139.043198,-1.3245849999999848,-0.9526427894732289,-0.009572094567211085,2414.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.7,0.0,-1,-1,1,0.009572094567211085,0.009572094567211085,1.3245849999999848,1.3245849999999848
2559,BA.csv,2015-12-04,2.019782,1.0,140.500229,137.718613,2.7816159999999854,2.0197821771556654,0.019996551404974985,2484.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.7,0.0,-1,-1,1,-0.019996551404974985,-0.019996551404974985,-2.7816159999999854,-2.7816159999999854
2687,BA.csv,2015-12-08,-2.33075,0.0,137.179321,140.452927,-3.273606000000001,-2.3307495756211627,-0.023583411131936093,2559.0,5,Adv-ALSTM,stocknet,0.75,entr,0.011252309693388649,0.7,0.0,-1,-1,1,0.023583411131936093,0.023583411131936093,3.273606000000001,3.273606000000001
2746,BA.csv,2015-12-09,-0.517275,0.0,136.469727,137.179321,-0.7095939999999814,-0.5172747574687161,-0.005186172549438249,2687.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.7,1.0,1,1,1,-0.005186172549438249,-0.005186172549438249,-0.7095939999999814,-0.7095939999999814
2812,BA.csv,2015-12-10,1.504425,1.0,138.522812,136.469727,2.0530849999999816,1.504425226849015,0.014932209837451626,2746.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.7,1.0,1,1,1,0.014932209837451626,0.014932209837451626,2.0530849999999816,2.0530849999999816
2860,BA.csv,2015-12-11,-1.222595,0.0,136.829239,138.522812,-1.6935729999999865,-1.2225950192232502,-0.012301301915401262,2812.0,5,Adv-ALSTM,stocknet,0.75,entr,0.3370023177618081,0.7,1.0,1,0,1,-0.0,-0.012301301915401262,-0.0,-1.6935729999999865
2934,BA.csv,2015-12-14,-1.120166,0.0,135.296524,136.829239,-1.532714999999996,-1.1201662825881797,-0.011264873940603838,2860.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.7,1.0,1,1,1,-0.011264873940603838,-0.011264873940603838,-1.532714999999996,-1.532714999999996
2989,BA.csv,2015-12-15,2.468525,1.0,138.636353,135.296524,3.339829000000009,2.468525355462945,0.02438549573201608,2934.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.7,1.0,1,1,1,0.02438549573201608,0.02438549573201608,3.339829000000009,3.339829000000009
3064,BA.csv,2015-12-16,1.078291,1.0,140.131256,138.636353,1.4949029999999937,1.0782907712524676,0.01072518672581854,2989.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.7,1.0,1,1,1,0.01072518672581854,0.01072518672581854,1.4949029999999937,1.4949029999999937
3146,BA.csv,2015-12-17,-1.721702,0.0,137.718613,140.131256,-2.4126430000000028,-1.7217022589164566,-0.017366958986910083,3064.0,5,Adv-ALSTM,stocknet,0.75,entr,0.036677938750134136,0.7,0.0,-1,-1,1,0.017366958986910083,0.017366958986910083,2.4126430000000028,2.4126430000000028
3222,BA.csv,2015-12-18,-4.108281,0.0,132.060745,137.718613,-5.657868000000008,-4.108281282211292,-0.04195056113509019,3146.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.7,1.0,1,1,1,-0.04195056113509019,-0.04195056113509019,-5.657868000000008,-5.657868000000008
3296,BA.csv,2015-12-21,0.945703,1.0,133.309647,132.060745,1.2489020000000153,0.9457026764463696,0.009412589033041052,3222.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.7,1.0,1,1,1,0.009412589033041052,0.009412589033041052,1.2489020000000153,1.2489020000000153
3346,BA.csv,2015-12-22,1.050399,1.0,134.70993,133.309647,1.4002830000000017,1.0503988507298363,0.010449204916884483,3296.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.7,0.0,-1,-1,1,-0.010449204916884483,-0.010449204916884483,-1.4002830000000017,-1.4002830000000017
3400,BA.csv,2015-12-23,1.179926,1.0,136.299408,134.70993,1.5894779999999855,1.1799263795920505,0.01173019525724909,3346.0,5,Adv-ALSTM,stocknet,0.75,entr,0.15828988065270586,0.7,0.0,-1,-1,1,-0.01173019525724909,-0.01173019525724909,-1.5894779999999855,-1.5894779999999855
3491,BA.csv,2015-12-28,0.703702,1.0,136.753571,135.797958,0.9556129999999996,0.703702039466602,0.0070123761139736255,3400.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.7,0.0,-1,-1,1,-0.0070123761139736255,-0.0070123761139736255,-0.9556129999999996,-0.9556129999999996
3529,BA.csv,2015-12-29,1.944103,1.0,139.412201,136.753571,2.6586300000000165,1.9441027978713745,0.019254465297264847,3491.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.7,0.0,-1,-1,1,-0.019254465297264847,-0.019254465297264847,-2.6586300000000165,-2.6586300000000165
3600,BA.csv,2015-12-30,-0.637956,0.0,138.522812,139.412201,-0.8893890000000226,-0.6379563579230936,-0.006399999958112768,3529.0,5,Adv-ALSTM,stocknet,0.75,entr,0.3272746587911832,0.7,0.0,-1,0,1,-0.0,0.006399999958112768,-0.0,0.8893890000000226
3657,BA.csv,2015-12-31,-1.243083,0.0,136.800858,138.522812,-1.7219539999999824,-1.243083341392162,-0.012508742547209883,3600.0,5,Adv-ALSTM,stocknet,0.75,entr,0.6918966592050799,0.7,1.0,1,0,1,-0.0,-0.012508742547209883,-0.0,-1.7219539999999824
