ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
112,SPLP.csv,2015-10-02,2.236994,1.0,16.746986,16.380554,0.36643199999999965,2.2369939380560613,0.022123402194566884,,5,Adv-ALSTM,stocknet,0.75,entr,0.4076771039450814,0.7,1.0,1,0,1,0.0,0.022123402194566884,0.0,0.36643199999999965
190,SPLP.csv,2015-10-05,1.301004,1.0,16.964865,16.746986,0.21787899999999993,1.3010042523472578,0.012926138863479994,112.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.7,1.0,1,1,1,0.012926138863479994,0.012926138863479994,0.21787899999999993,0.21787899999999993
253,SPLP.csv,2015-10-06,2.335091,1.0,17.36101,16.964865,0.39614500000000064,2.3350907891103208,0.023082446618481713,190.0,5,Adv-ALSTM,stocknet,0.75,entr,0.004300326208932443,0.7,1.0,1,1,1,0.023082446618481713,0.023082446618481713,0.39614500000000064,0.39614500000000064
480,SPLP.csv,2015-10-12,0.62077,1.0,17.658117,17.549177,0.10894000000000048,0.6207698514864856,0.006188510123991961,253.0,5,Adv-ALSTM,stocknet,0.75,entr,0.004300326208932443,0.7,0.0,-1,-1,1,-0.006188510123991961,-0.006188510123991961,-0.10894000000000048,-0.10894000000000048
527,SPLP.csv,2015-10-13,-1.065623,0.0,17.469948,17.658117,-0.18816900000000203,-1.0656232485038015,-0.010713416739047707,480.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.7,0.0,-1,-1,1,0.010713416739047707,0.010713416739047707,0.18816900000000203,0.18816900000000203
580,SPLP.csv,2015-10-14,-0.963724,0.0,17.301586,17.469948,-0.16836199999999835,-0.9637235325485706,-0.009683974008042773,527.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.7,0.0,-1,-1,1,0.009683974008042773,0.009683974008042773,0.16836199999999835,0.16836199999999835
652,SPLP.csv,2015-10-15,0.801389,1.0,17.440239,17.301586,0.13865299999999792,0.8013889593705334,0.007981948913077117,580.0,5,Adv-ALSTM,stocknet,0.75,entr,0.4295851999835733,0.7,0.0,-1,0,1,0.0,-0.007981948913077117,0.0,-0.13865299999999792
708,SPLP.csv,2015-10-16,-0.738224,0.0,17.311491,17.440239,-0.1287479999999981,-0.7382238282399576,-0.00740962185470129,652.0,5,Adv-ALSTM,stocknet,0.75,entr,0.4421488720528627,0.7,0.0,-1,0,1,-0.0,0.00740962185470129,-0.0,0.1287479999999981
752,SPLP.csv,2015-10-19,2.231131,1.0,17.697733,17.311491,0.3862419999999993,2.231130755866143,0.022066051620238513,708.0,5,Adv-ALSTM,stocknet,0.75,entr,0.6877293893152671,0.7,1.0,1,0,1,0.0,0.022066051620238513,0.0,0.3862419999999993
838,SPLP.csv,2015-10-21,-0.674151,0.0,17.509563,17.628405,-0.11884200000000078,-0.6741506109032597,-0.006764332709629183,752.0,5,Adv-ALSTM,stocknet,0.75,entr,0.11506990646052699,0.7,1.0,1,1,1,-0.006764332709629183,-0.006764332709629183,-0.11884200000000078,-0.11884200000000078
